,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29H,30C,31H,32C,33H,34H,35H,36C,37H,38H,39H,40C,41O,42O,43H
1N,0.0,1.020815361010635,1.021903313014778,1.4625834552642947,2.075745564674063,2.4593126962940786,2.430390919974259,2.9020578911452626,3.7919921076960685,4.319277295491985,3.9246571774657744,4.921553071242046,5.0407487192732185,5.688315397807612,6.3167314939580566,6.165535776403115,7.053279806706626,6.491366332994917,7.819256087977114,8.343586620232752,2.493555887818195,2.7404131796737783,3.7370682342943353,4.023376400218819,4.953399625081547,4.856235427970582,6.0301193151652654,6.400359943745964,6.926544825035592,5.941010542680398,5.213924075577636,7.336750547040277,7.62050966206487,8.126472370915664,7.562184068800166,5.925786467716777,6.2631084658423735,6.788475209911178,5.056456024361726,5.789061987588287,5.823343895763919,6.879309393218638,7.469151407504038
2H,0.0,0.0,1.6056796660231987,2.0200102819677856,2.4273221967246323,3.3331292992700727,3.4332774885637014,3.7207741327748773,4.579127597362075,5.052853495760007,4.6237597155402455,5.659482341749093,5.746271458175715,6.376626648358307,6.959118308963662,6.874596884747415,7.74068663441022,7.186125642479332,8.486867685806295,9.01379410744094,2.5353813523095563,2.382097647851332,3.8702424560224045,4.362984128926735,4.919962035608331,4.644104982560113,5.908549516443856,6.4221774012202655,6.752298837513673,5.635253166955317,4.9650809817920045,7.03473597527674,7.451450672359469,7.788751524838731,7.172667018795253,5.38865255931954,5.62679132022025,6.2446973201932465,4.47148278882066,5.927736090135021,6.162908351725668,6.900763905800629,7.580839554260485
3H,0.0,0.0,0.0,2.027664826423371,2.9187935713162982,2.6119081685356496,2.5488676052168677,2.667328916191985,4.1025175829793845,4.864832467724614,4.602999005503026,5.072231880040007,4.995811062748017,6.23916155192191,6.9598865500360425,6.40852052589484,7.2128197322947125,6.908588435257802,8.26710534765445,8.711697281218449,2.7486761690320707,2.8231875867912706,3.9846566973599518,4.309298035618911,5.078205348948456,4.896875138102929,6.335332555137009,6.7472589526601,7.145462352585016,6.434794156887518,5.827437856261725,7.897878188708854,8.204723924540529,8.604838891735362,8.213868407389946,6.350154769476482,6.79551261218479,7.104817798073042,5.404531615469529,5.705403162411867,5.674451247362634,6.732153579988864,7.24075064010852
4C,0.0,0.0,0.0,0.0,1.099695378350492,1.5544483045760082,2.124034498879299,2.1817730287027044,2.6074549016408155,3.25607180509507,3.1364176286622762,3.6585744506139624,3.849414316745162,4.553887080917547,5.285588887383255,4.855015145568826,5.728743367156848,5.224394765067824,6.546749300981582,7.026565618327097,1.55155160025109,2.4225799366671055,2.4867325075961046,2.6093654690806853,3.854821954245614,4.027520754322282,4.855940119725695,5.082569178981812,5.820056294199851,4.907884560965357,4.1517231061776,6.262357888026083,6.417006052329725,7.075979705577919,6.602950020330058,5.208872181168204,5.671105072631397,6.086534623451853,4.492690926623893,4.688084769849613,4.6743053056163495,5.889004140002224,6.475900334370894
5H,0.0,0.0,0.0,0.0,0.0,2.164023571348965,2.6084592082774662,3.0511940885202242,2.6809725830551914,2.850418539518197,2.5483303619013054,3.8506169863701945,4.295819600816732,4.063191697143167,4.63713629106472,4.824334926952145,5.778453459718318,4.915075093760984,6.157291108140935,6.742073819743211,2.1401733974361847,3.0257056941930154,2.790890689060319,2.784582548067857,4.174113788845714,4.4529446621924516,4.8557324811750275,4.98592831140028,5.899078537400498,4.652180557302132,3.727264292439884,5.8547712829273095,5.946364768968765,6.775374640316608,6.069513588059806,5.08321858990797,5.389737597533855,6.067402704009316,4.525537765243434,5.183893106342836,5.2283673816991785,6.397318931028371,7.042278585609634
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0969760313944894,1.0975771394545564,1.5174220321539504,2.538176320017138,2.7322898675759624,2.5518360155734703,2.764675121923603,3.826982805592266,4.701240369903939,3.8398904063383235,4.708442722292852,4.341330208745982,5.707519157047272,6.126115910633768,2.604609546564389,3.6130396949629375,3.0216128794485146,2.6801813463315645,4.381690209433918,4.7854226596535,5.4621218244534555,5.445974735057019,6.404760089256284,5.841467481855583,5.124424384091729,7.117929525461473,7.077727076735427,7.911496440250994,7.591262812862489,6.385728058085481,6.964131332868243,7.189407351436996,5.743600703383082,4.766635896115855,4.352589657594007,6.064645800928386,6.447291755347367
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7611275386906093,2.142814324131779,2.7692005466414464,2.6634544302751033,3.289926261677502,3.583851758364767,4.097376770327673,4.8381194412591375,4.472521614921646,5.3857980990016605,4.797977904662682,6.130002005593047,6.6261379924055515,3.462844870401515,4.320822954886091,4.071288058613113,3.7590321781013434,5.442237805064256,5.770111374144788,6.520616247426973,6.510672048983113,7.475571169090333,6.798639878131019,6.014937548971778,8.06438260993996,8.027882210910967,8.898772434406691,8.458828279975048,7.270899701858146,7.7652152955546345,8.115664828959643,6.580044375906157,5.8316854335321056,5.378564984558042,7.111782669914816,7.469451028514398
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.152575983823867,3.428300846362585,3.7778767898301853,2.641298390054959,2.4077542628821873,4.58692965015295,5.549376676181605,4.033523248118249,4.711486699361569,4.831079526544123,6.1842365359858915,6.453737474892195,2.7221784807928873,3.580200110180998,3.062283988213562,2.817407022927808,4.209960308621492,4.5522200875160035,5.4873423003843715,5.527623366475246,6.310113938656982,6.097508245217203,5.546032419046832,7.440217761624345,7.438718680152831,8.120633541775367,8.023194789421753,6.569421091918467,7.272435627662575,7.246300566075234,5.868933513280923,4.299843793281895,3.774983779419575,5.533703896673364,5.809009783339799
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4068826442162672,2.1599117759494333,1.4011974535910092,2.158200594471417,2.4423615696239924,3.430682289163148,2.4398765392180355,3.421102121784698,2.8241739917725615,4.190791929890126,4.624822344757623,3.3969611770360175,4.587067667155283,3.2292158109755174,2.453046442939439,4.52827730401044,5.224977362716624,5.30447913154308,4.986123217361789,6.283262775211092,5.760799755854699,5.0102506112664065,6.811240255391784,6.5412343308931975,7.6430142991712335,7.330458643150405,6.63909760460306,7.2220296376457584,7.446082474287216,6.221752882528313,4.8041066395008025,4.239076869377432,6.156431428194271,6.476983469603326
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0882143293454232,2.403284551954785,3.394972157293334,1.3902774961190159,2.1638234182347182,2.7816203542723374,3.8706122775865732,2.4147720635195955,3.642259323330348,4.328678776689583,4.249865389526591,5.42893917073367,4.119849242422771,3.348106099827685,5.443707693214777,6.165817745380888,5.936306265771676,5.519428256011839,6.981388642174241,6.123038225323171,5.222022819498155,6.978424802604008,6.6081820403015685,7.920297208151082,7.343110455030402,7.090263276069112,7.504184247010434,7.996090138174746,6.786024511568389,5.916589728113388,5.443977165024416,7.259913799811342,7.640181497519142
