,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29C,30H,31H,32C,33H,34H,35H,36C,37H,38H,39H,40C,41O,42O,43H
1N,0.0,1.0205204979066491,1.021750690447544,1.4617019425400768,2.0768628847464257,2.462756825070434,2.4422433111975095,2.891355830096726,3.795770869127551,4.89887552002603,4.993937290726938,4.352504490739078,3.9855292265007267,6.147959257629206,7.025396222669343,5.715074799363109,6.356656804674408,6.495484007771335,7.825204173088715,8.338464439669881,2.4934508298055196,2.7546507042916883,3.7334765377368586,4.0189081849445625,4.9394111089170085,4.902603012963648,6.161735319021969,6.998822352192952,6.713282099912195,6.204656517078353,6.814151832370968,6.222680039183679,5.596738428119411,7.255622481615632,6.17816220235019,8.171236014791631,8.357814357486616,8.686388156487661,8.797589610990963,5.54696109242947,5.444716514948164,6.642756658930892,7.128225628824154
2H,0.0,0.0,1.6033018375955994,2.0274629066517953,2.354169918672808,3.3493749609207577,3.4221639539637896,3.781494335537187,4.564186399311999,5.638559648470847,5.731223003785537,5.023455350664818,4.598610564899283,6.839769590181147,7.70722287886186,6.334655198688212,6.9119724521733,7.142856948918677,8.437480394656124,8.966862039977528,2.6515739332918327,2.672357858425034,3.891677932965244,4.339154701833447,4.986224071453912,4.765514038631973,6.137449246620143,6.943706053794175,6.868068777064601,6.402975948864191,7.099406033472654,5.986295352683447,5.365956903505922,7.006109939750306,5.796607091440783,8.271452043881025,8.353190791237026,8.883187245204917,8.868035183208146,5.78545683606816,5.887621277659936,6.775678703604955,7.356759596137582
3H,0.0,0.0,0.0,2.0215140599528216,2.9141561771092017,2.7112369191536456,2.728334072545584,2.7386725775914096,4.186308674043887,5.1162411714869425,5.003532688490625,4.978223690908204,4.743493017094046,6.456117166699295,7.242912992821025,6.342003059620697,7.075312179948165,6.983568594294226,8.341602848904303,8.77095604131949,2.6271991617921118,2.5453742910518677,3.9593007925228414,4.353739115865896,4.987502394207855,4.871423051742408,6.363769138116294,7.092496734656559,6.988701532432685,6.6077833723511485,6.9693531682552345,6.590708536582734,6.106179034353115,7.663122564607184,6.476301243055447,8.490446222844103,8.772440083722675,9.02801989988333,9.021653750047923,5.362254224057619,5.199356392560653,6.3710203842608255,6.763150561393256
4C,0.0,0.0,0.0,0.0,1.0980771385309043,1.5581209860632825,2.126055056454033,2.182762197667857,2.6023415672146037,3.61733071998674,3.7824066375761256,3.2859061725858756,3.2000206755964937,4.819443968672147,5.681857223672376,4.571249470790041,5.316997529461533,5.213880617196512,6.537310873294307,7.005081863566079,1.5472676538675965,2.4244077620435776,2.48274793155385,2.594292042971538,3.8360270268403798,4.059029632139467,4.9566138345406285,5.865571097442368,5.337643871250074,4.783781694861407,5.431769883519058,5.143637391006203,4.505570610672523,6.151415224239116,5.30029508819966,6.796462636679776,7.026793884132544,7.259692378889661,7.466997711065991,4.493110291873787,4.3745430530689156,5.7080097444803375,6.223785502625498
5H,0.0,0.0,0.0,0.0,0.0,2.165714694694739,2.6002681972308417,3.0528669030599054,2.679825040815222,3.808389700901559,4.227161050699083,2.8982045641183403,2.6482947460610275,4.787730326290214,5.728439985643836,4.094029112025045,4.687945687301669,4.909139704379532,6.153276966668628,6.723676964611676,2.1569761588806293,3.1421704274065587,2.690869295784081,2.6190135075838374,4.109561292032938,4.391303342633747,4.93864891802085,5.944956790846843,5.220186890872579,4.508473444093944,5.492930804410906,4.87272792115522,4.052371588732739,5.791253964598464,5.118124730454186,6.568776508920254,6.654451528828148,7.005428131029143,7.3457308111170585,5.017044780101283,5.005299622737999,6.240320049958171,6.844534189372553
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0962924893027104,1.097309570789014,1.5163319880709507,2.5519300119594455,2.762519449724495,2.536514075921705,2.7294913268850154,3.8391799268066586,4.708888717853079,3.8264893858088707,4.700343488428985,4.3408559790245596,5.707470832472299,6.125130190988572,2.5728300307679652,3.4800619623520244,3.116515640076944,2.824634663303029,4.4066395921864485,4.895325054615813,5.507482107423394,6.396435133600038,5.523529534558844,4.925419830878748,5.358931397994558,6.009874268463116,5.421257859833093,6.961208380576922,6.354691469303815,6.986623446940248,7.387672158871561,7.246363129860019,7.682812808109213,4.641192526166099,4.119154120390496,5.947994087583341,6.264388260387446
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7622278377318386,2.146618029632853,3.3194329356501666,3.6248409644114195,2.7457897065460646,2.612476882048204,4.496063234957605,5.418029853416063,4.08526712656878,4.815808808700628,4.805030569838114,6.137049332181603,6.63986602546488,3.440181473366892,4.211717265575601,4.1468027152955464,3.8678333393451276,5.465141988363481,5.882069050071716,6.568564010388497,7.472981658485616,6.574486699733828,5.914084467833597,6.423769638618623,6.977306188390384,6.313039582296132,7.923645576219854,7.286581351496545,8.01252590370354,8.37442866438096,8.232175402796939,8.74390812549014,5.702671772221602,5.139101479838729,6.9897280295599575,7.273934405231443
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1538964333661914,2.6534193496311933,2.4265463922548802,3.422252675295063,3.765383698904659,4.042503863817748,4.724699250547848,4.5845329362451235,5.543918163825937,4.8343821678539225,6.187565330286439,6.458285614044971,2.679222617345107,3.3395681224757405,3.2493559508127667,3.1026470602303777,4.293682338628886,4.754965801139355,5.552462784053078,6.308538623809466,5.625723335851597,5.212368022288381,5.283591188302933,6.273898875893742,5.856888612531219,7.257514636595629,6.564015248519887,7.1269979893649875,7.65565892351323,7.402452325474207,7.69987586427014,4.186441078730227,3.501880438092588,5.427457364347502,5.608614594762435
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4014791895713836,2.156508214164028,1.4068687012826666,2.1594043180101834,2.4393881839498452,3.4212226096149525,2.4435749702646623,3.4317621946304158,2.8247541263689624,4.191819113603115,4.624651735386953,3.3468608806912843,4.467663595523758,3.266000165426443,2.5276459030614937,4.5012199189052025,5.256595010397593,5.249416954354288,6.194370695599954,4.856193062072061,4.10633892868822,4.669999348911468,5.815537686315673,5.189480232300459,6.616958525220886,6.404288863319114,6.1869340692899035,6.6094419003090055,6.256176896505704,6.989323108168304,4.737047848465336,4.15424255646089,6.089169701672054,6.397143983577628
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0865988299707925,2.403471257804428,3.392584781448171,1.3984951085060915,2.1581688606303095,2.790206779209686,3.875959599777016,2.422129706802689,3.6931352379463163,3.8436261959240077,3.860832998718755,4.916934224667451,3.3971665734774676,2.561867345637011,4.278627365314096,5.203656346514572,4.887500856416852,5.708517830768389,4.229549934787276,3.6382885819877866,3.784789700778042,5.759639611723042,5.337680519772797,6.475988055661728,6.4567075368279445,5.491898009262523,6.102783532826464,5.434394369535322,6.215042261408387,4.175963667034281,3.4242068180789116,5.469874643617615,5.648282154647264
