 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,C29,H30,H31,C32,H33,H34,H35,C36,H37,H38,H39,C40,O41,O42,H43
N1,0.0,1.9458870509522703,1.9212144767626496,2.6919162550901232,0.09191383835389377,0.19300732709641066,0.03448194718777009,0.003458368926290367,0.028344222385086687,0.006124633460353926,0.00022698538773013865,0.0040116521095157065,0.0003698315961138121,0.0013261675430145947,0.00011449113439998548,0.0006694280550677972,3.130187380628868e-05,0.001082664099247982,0.000298475785728905,1.6628982947963777e-05,0.22803267339128383,0.048288448260713074,0.03350824753459032,0.0021030017253163003,0.007449657565281542,0.0003497142879886894,0.001468075289499382,0.00029636699102986164,7.463422307533996e-05,1.0550698121170043e-05,2.529138894535876e-06,8.889085510072059e-05,1.3830856898655597e-05,4.474059892789484e-06,1.4878614007507451e-06,2.340813275615583e-05,1.5677236264721728e-07,5.14990139932614e-06,6.3188778025580206e-06,0.00042958581413399255,6.884196502283946e-05,0.00010432225262328038,2.9435642407982243e-05
H2,0.0,0.0,0.02662166734160709,0.1102290502781692,0.006153766546126427,0.034483843100541534,0.002309700669817172,0.00014186919605641002,0.004240183373938722,0.0011344420677383837,5.017847397903452e-05,0.0005218043977546216,3.431895348215974e-05,0.0002279579545999555,4.132817086288654e-05,7.664938825380219e-05,1.018022663967777e-05,0.00016997812375441068,4.1643601439322886e-05,5.074017865869251e-06,0.011295742168591305,0.016046568629655145,0.0015153157681239149,3.2098686754133965e-05,0.00026509315444500636,1.7695477467105647e-05,1.5174747638124764e-05,1.7947538846208033e-06,7.832372057259285e-06,2.575238260638102e-06,3.7844282418930675e-07,4.6955120043268295e-06,1.981959572683323e-06,8.462853042789931e-07,1.0576434461562201e-07,2.004593906423935e-06,4.4906200979966115e-09,1.7237753047183446e-07,2.5084221588755895e-08,3.913122298793148e-05,1.0714611582418598e-05,9.699155823827965e-06,1.5475152024269079e-06
H3,0.0,0.0,0.0,0.10537835185428523,0.03797393619945311,0.009023803674710673,0.0009427922279865442,0.0024032701390266364,0.0010047809623615622,0.00016751360534028592,1.2227050337765277e-05,0.0005083081851492421,6.77579589654087e-05,5.6326749377832996e-05,5.615445473949876e-06,0.00014002078736274903,1.2802648315712872e-05,1.432889620589517e-05,1.6564033781252263e-06,4.250524154869595e-07,0.013963410648503372,0.03020328394545424,0.0022743045627015013,0.000268591754869707,0.00039495391994159856,3.575049077686465e-05,6.897718819609544e-05,6.941130814119845e-06,2.231413635400692e-05,3.175826681189875e-06,7.834575563858692e-07,4.9206628288667176e-06,1.0251143871542467e-06,5.94908446949205e-08,2.3053510567194735e-07,6.142765592631605e-06,1.6108863798436346e-08,8.087745746454544e-07,1.620996821216636e-07,2.2984738034970142e-05,7.512633752870812e-06,2.9141780042429843e-06,1.099220157563252e-06
C4,0.0,0.0,0.0,0.0,1.9214896042540255,2.6852358874262627,0.09178247157089836,0.07823621177235518,0.16794433233010983,0.034773684713852004,0.000654041564408292,0.034105184710431447,0.0023724635192508003,0.005378829409184632,0.00023161322898901382,0.004395395189388945,0.00010794620853449288,0.010425847345188421,0.002612082182478326,3.4346998764589465e-05,2.5801117483761264,0.2786220621816108,0.2083243688286844,0.011559887872465646,0.034175147464665795,0.00471893806127921,0.004040533220265458,0.0012871634803932608,0.0004309867832933134,9.408583593972786e-05,1.987287157012574e-05,0.0002619864304297115,6.735397326540493e-05,1.5613385315305095e-05,3.6713963036394404e-06,5.5261322154054326e-05,7.101389796204671e-07,8.412047124206623e-06,1.4218504179597247e-05,0.0032724166623622764,0.0006687409082524881,0.0007371985282220717,0.0001422538767842374
H5,0.0,0.0,0.0,0.0,0.0,0.07404804976098445,0.002056933143058437,0.030002675528583822,0.015908395830058764,0.0015579248005495039,0.00018245305494191122,0.008837847927581022,0.003222406280338319,0.0008721744181805491,3.141385538696362e-05,0.00082771919478275,5.7821283752090835e-05,0.0005296221598807271,0.00011088296909678164,1.3396538773635669e-05,0.10176337929828216,0.028071030905109873,0.010021928725175933,0.0015725985145633725,0.0013655336257141215,5.580835521623584e-05,9.64297984007434e-05,2.5610104474882434e-06,1.269790361413392e-05,4.341571346877515e-07,1.2536289850650917e-07,4.190030388839805e-05,3.969872236120331e-05,4.927942419685749e-06,5.748107638758881e-07,1.2403554890960677e-06,3.2573788999457065e-08,2.5104754119986694e-07,2.536767167438114e-07,0.0006209499600831059,5.951769421863595e-05,9.38014485161176e-05,2.5403897769615824e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0154795965103256,1.8392519680081685,2.6581116554906856,0.24489038552463924,0.014205059553216492,0.2322187088202073,0.013127984413322968,0.035885117958151386,0.0023289299329303237,0.03688959363728411,0.0024986974860576883,0.020266320381569808,0.005137201254115431,0.00028673953813795894,0.17482707181359936,0.03912423606563231,0.02319515721320116,0.003701902047837713,0.0024606341836345136,0.0005435887307503329,0.0003901452634143543,4.544752630686322e-05,6.602452475140685e-05,3.576405436445107e-05,5.431462555494093e-06,6.310429585816568e-05,2.474038560662528e-05,8.843513294998218e-07,1.5500956174197e-06,2.011945240944224e-05,3.4107783108972e-07,1.0571503925582704e-06,1.3369976730182032e-06,0.001172777251885193,0.0010630855400539235,0.0002683548356342408,5.8410030250310996e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02573778746519273,0.09967599895711365,0.030124537049806,0.00038497047824193054,0.01789501834068319,0.0028875233930460986,0.003005353927457932,0.00040891843321788635,0.00198048119550287,4.0830617126674795e-05,0.005877117253944242,0.0014373393537132628,4.4096971592910705e-05,0.027370589861989147,0.003933962011882897,0.0044844513472204195,0.0006375895898924622,0.00048697979821921145,0.00016606753671610797,4.372592098111916e-05,3.361909504118188e-07,2.6883080353368172e-05,7.996691914868848e-06,2.7369379993480436e-06,1.2864731965378517e-05,5.933185181161704e-06,2.266873817546866e-07,3.240512922442207e-07,1.0829868594131042e-05,5.07587674114518e-08,3.2050653908655136e-08,5.875191886328679e-07,0.0002955002644862148,3.8969325035997926e-05,7.603768299435654e-05,1.861146413917325e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09761382393286366,0.017267167840187003,0.006917431682735398,0.0237279031430766,0.0008236625298865263,0.0014249803322905485,6.540228620610655e-05,0.0028546654212562306,0.0007638365510906908,0.0008133460716688301,0.00018145907571476272,1.326001384960307e-05,0.015726762641511183,0.0029078136299416357,0.0012682984937446573,6.249762579013662e-05,0.00017245923269548769,3.457477135593301e-05,4.7914955920047575e-05,5.242021583473644e-06,2.776303443363659e-06,8.228617005556771e-07,4.877908790223984e-07,7.835113348009237e-06,4.355477915218842e-06,1.0018450842252946e-06,1.0633262004233757e-07,3.532144905449286e-07,6.18113651373875e-08,7.806091995021802e-08,7.816207259203622e-08,0.0003751973444703349,0.0016462637060939977,0.00015527349483168695,8.632088798421478e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7749834292735245,0.1282461553182408,3.6468514704873933,0.12330627452395904,0.32507656067501656,0.02551679537642526,0.32364604755266435,0.02665117812654505,0.2627163508975925,0.05401123091902589,0.0014001367542770815,0.009470810632385779,0.0029941706464810536,0.016770217428692363,0.046105257264230315,0.0020523190906802657,0.0005389851450497973,0.00013679825266804668,3.3281194937950787e-05,0.00034124161524906604,0.00012915220202236455,5.772631371714354e-05,1.6433786069108836e-05,5.090792630113583e-06,1.059863514729642e-06,1.4715623215533213e-06,9.228033584568474e-05,7.51696892287157e-06,4.436993603862405e-06,1.8818044094981445e-05,0.0005593296817763271,0.0023007674817807217,0.0001988354107183843,1.9448422777790242e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.017679814638945,0.3347684071362428,0.028769302756161963,3.7364008301019536,0.12706065873733685,0.29956387194808937,0.003975516155184877,0.33946653784857755,0.04387215010743678,0.002758514586874594,0.003357170932601128,0.0015888726055571928,0.019621259386086345,0.04520910817030166,0.001836901500461341,0.00044698220236127906,0.00031261420337130863,2.9510025113976823e-05,0.0017495383130297637,0.0013182857595461783,0.0008046056565129689,3.84855104043208e-05,2.203621419605284e-05,1.3231010489445083e-06,3.372046480709656e-06,0.00024852913686077005,1.7362119334896065e-05,1.0518671766046594e-05,3.058438332037561e-05,0.0032945136474428205,0.017077789434581533,0.001212777299020043,0.00011514155937941695
