 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,O23,H24,C25,O26,O27,H28
N1,0.0,2.0002666585793065,2.007269888986654,3.095074148424369,0.08526564324372476,0.2123586562733844,0.03494040952296529,0.0028936636640741753,0.029824742392193265,0.00565410736896392,0.005790566001215941,0.00020295051907104344,0.0013704880515376106,0.22240622544920266,0.05827149871515013,0.03467788822064587,0.0021848982586678556,0.007499165453824633,0.0005971069076458058,0.0013503220461097698,0.0003082022059714973,4.619609386824486e-05,0.000102923460495008,1.9901949810385844e-06,0.0006139737888564978,0.0002591780283210249,9.378137558870014e-05,6.002307355257308e-06
H2,0.0,0.0,0.027407583564878824,0.11212897501445007,0.009881282334091468,0.03093926842773642,0.0017693252706836304,0.0002208279123974144,0.003913168372132625,0.00047204062694972126,0.0013164177992366355,3.283673723775138e-05,0.00029478281615591406,0.0059042610625400505,0.0035476615704784775,0.0005465819810261952,4.647830053605695e-05,0.00017011737468575205,5.288230702227281e-06,1.2492697850974288e-05,2.5569038277772904e-06,7.735877958214843e-07,3.22988104262123e-06,8.582506971777093e-08,3.5950309485e-05,1.0778371055453206e-05,7.4361765891595155e-06,6.886437262654255e-07
H3,0.0,0.0,0.0,0.10583597752328266,0.03329088815466874,0.0054825204035301445,0.0003949263010862847,0.0014204183920136781,0.0010625918254882905,0.0007595604270158596,0.00021944342341273515,3.5778721326096274e-05,1.217226746663691e-05,0.026901586993995252,0.07203502341856705,0.004537092246467589,0.0003706067074069619,0.0006911819997605928,0.00010121045258193462,9.376548491779602e-05,1.348789670685413e-05,1.96633158400239e-06,3.698921725137083e-05,2.124159811156545e-06,4.7734191681136906e-05,2.3037198122466407e-05,5.216725022516577e-06,2.9417159841393925e-07
C4,0.0,0.0,0.0,0.0,2.015807771505944,2.7072649510101527,0.08814708403591798,0.07896892740884254,0.16385098052663843,0.039508791066713525,0.026574799949515768,0.0020679743688101215,0.004390571567546631,2.6102545063859397,0.2766775860436472,0.22196048469882343,0.01418628393832111,0.036449550044583195,0.006867677846060349,0.004091602562759672,0.0012364543709149078,0.00013862702772193813,0.00040729782917486856,3.020426710065305e-05,0.0038754202418694317,0.0016082915138467963,0.0007050493916749834,2.5503363588974537e-05
H5,0.0,0.0,0.0,0.0,0.0,0.08187792142014583,0.001977573345986583,0.031168904928759122,0.01800912258748255,0.02020824704978952,0.002706664893477484,0.00028085888967033235,6.121981058759829e-05,0.0930975227893025,0.024689941667056403,0.010372419487357898,0.004630470417191779,0.001470121501670807,8.656778529858578e-05,0.00010338929984032852,2.8166016174946407e-06,1.4789454352293063e-05,2.5358180346990444e-05,7.304016029774374e-07,0.0003738376189985626,0.00011604163655887234,7.381656125704517e-05,4.102617959134136e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9297106513187123,2.067323137969285,2.7428144616605485,0.2799952193116261,0.2282009303887218,0.014717364006711753,0.04249866656004875,0.18261712470342376,0.036831512748569745,0.027939521514634857,0.0011221907471985482,0.0029453959688537368,0.00039205315891233106,0.0006624655440804483,9.300025927383437e-05,3.237496768226933e-05,8.108318118647817e-05,3.6086549516367583e-06,0.0011970310689397023,0.0003721260458699194,0.00038129553842430886,2.1590505642765656e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026205351938501487,0.11451765320855478,0.031172673081362845,0.012839076644589054,0.003951104664319249,0.0005291497288280045,0.026088076089454404,0.0036401157189492883,0.005589796959168836,0.00023375925840696254,0.0006827936611781826,0.00011742428006789041,9.536374668606129e-05,3.4196339013803367e-06,4.543743565177394e-06,1.925869409724612e-05,6.974300428286284e-07,0.00035099674464600383,0.00014119022610958876,2.5314870505832587e-05,8.645963105236021e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10977015208999874,0.03054373970463753,0.013395061100630379,0.0012295425932442594,0.0004476913300506258,0.01735939000830733,0.004660429567727498,0.0012864495321154301,3.9448447909595785e-05,0.00015580974839424222,3.4687676419897784e-05,1.9814519584882007e-05,3.0769378045469864e-06,1.166530103846597e-06,4.20614203211489e-06,2.1537376717617462e-06,9.11727863088796e-05,4.8468347214503105e-05,0.0006249382409660997,1.2910165206658775e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.491277352960601,3.569438130233273,0.1332397406241176,0.1425424877148369,0.009027950620540265,0.004070076684252771,0.014941435475314069,0.02293171273198047,0.0015995658856734762,0.0003014956182345596,0.0002771498601303046,7.951873730438486e-05,7.838069980392603e-06,0.00020724462009044653,7.303435820338322e-06,0.0003602737656217825,8.262766598668425e-05,0.000259154201845857,1.299472280125169e-05
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5476843734929875,0.033277511509735125,0.028491251788082095,0.0067311931297542316,0.0018822965105672537,0.059939102165612976,0.16096562906820144,0.006003682930030396,0.0012396694716151346,0.0003606157704383328,5.524483825936066e-05,1.0541640785843853e-05,0.00044481144064332373,3.174876076361688e-05,0.0006477671210344815,0.00014024923862208244,0.0001426329942820631,8.560252921285816e-06
N11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7539195270078092,1.799557117038976,0.0025159803103887712,0.0008843335755596773,0.003688963005773066,0.006774115515101986,0.00040922482745098243,0.00010331987267997444,2.660870179786723e-05,3.2645303743583653e-06,1.0764562408116518e-06,3.125771386949805e-05,2.8815081229982553e-06,7.750845451884314e-05,2.3357468043494478e-05,1.376141623506133e-05,1.2397434606681301e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037102824665820267,0.00040769361798498327,0.00013839456298070374,0.0004576373868518946,0.00023742309816920937,5.354362853338124e-05,2.5818055064519285e-05,2.94581163184926e-06,2.425851275411617e-07,1.31039775475017e-07,1.226906214846224e-06,1.1646646003171668e-07,9.436239506221966e-06,3.935856477510491e-06,2.411650584677183e-06,1.706630834430456e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031342084272778514,0.00011981473178213076,0.0002126310712398105,7.706306337018631e-05,2.6521285920733106e-05,1.1096272058530587e-05,1.702976725748151e-06,5.573392951596645e-07,1.1327777782454973e-07,1.9447127331817526e-06,1.762450922981884e-07,5.7770664499967594e-06,2.135893978683079e-06,1.924672016984097e-06,2.5003153103497766e-08
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.862766751817873,3.668529411631798,0.14203324063580003,0.2774004536271221,0.028793166197779163,0.034360682561962674,0.004320098172357012,0.0010144687304833866,0.004132759753416204,0.0001350501900361234,0.037691673404730786,0.009242165896605314,0.008306362206217527,0.000569831727752379
