,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11N,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23O,24H,25C,26O,27O,28H
1N,0.0,1.0199450384447577,1.022522258492016,1.4628370251689464,2.0898925315720587,2.450476061874113,2.470119979293029,2.8893649418171417,3.7906521164051834,4.2574463469708235,4.832200006518432,4.893363658539183,5.720861710345325,2.491299330239965,2.762302485666405,3.6956627954581407,3.9620050281397408,4.937811118721298,4.863911314641349,5.909525359174791,6.822525756937798,5.624332613904379,6.38881463324351,6.8856939852312715,5.852134003295872,6.939495611873083,5.6207652534861134,6.4538259478174425
2H,0.0,0.0,1.6111848478221007,2.030930313638347,2.2786820123376987,3.3198754897780964,3.378172413589384,3.8327375682832394,4.505327513364582,4.755378710257549,5.645228561325488,5.793486325361414,6.4721560239988145,2.791609503621353,2.9852306230324044,3.9073903754476818,4.210204172495472,5.0767371270189505,4.951742110196015,5.842185652681188,6.748463565500905,5.3750466359121845,6.372448529464586,6.98906200875783,6.196926097771278,7.264952582076384,6.138133182788153,7.029412234079912
3H,0.0,0.0,0.0,2.0132744947346413,2.893425398409109,2.822350885501775,2.948058461040489,2.8710779405216824,4.274391582335911,4.823478533031798,5.246324953297698,5.229315209140039,6.187988550105932,2.49496911698265,2.3119014931496946,3.839542688837325,4.3184820154650705,4.889395402714642,4.616140814096861,6.005502182019654,6.8104597403571105,5.772504935084776,6.666194418105923,7.106029694729672,5.7403744961011265,6.901052572047748,5.3502989657354245,6.190783902706339
4C,0.0,0.0,0.0,0.0,1.0950874559990995,1.544680106811602,2.1388311351444513,2.188907599697122,2.580417366310268,2.8773328323532823,3.8026441470690453,4.111964963618308,4.610195378301782,1.5497476120282654,2.4212198612428804,2.4631461621783894,2.5632989393560672,3.8400751814311795,4.030090861380341,4.82048148272052,5.791761274429048,4.705822774716426,5.132250011023982,5.557413210511841,4.6503894117790585,5.657263473307549,4.545066951583747,5.346470968022901
5H,0.0,0.0,0.0,0.0,0.0,2.1462441115412534,2.5991542816595654,3.049259949114413,2.6426177810690765,2.569102741940622,3.9344554051556377,4.399222189068181,4.579323191258117,2.170569327322801,3.206707522199721,2.621111979142966,2.399065220944974,4.049324002539326,4.425208028851546,4.71855439850531,5.773807584320871,4.500065251386258,4.806862376486592,5.3346829464315775,4.964216700575055,5.830957891428452,5.115722960423279,5.895661329822845
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0972041515968405,1.0990233028236571,1.5269978994536708,2.4366297406686015,2.4376075728721522,2.602018732912714,3.3656862180560667,2.545647259717693,3.3589793349398422,3.1645149710139777,3.023377103119326,4.469940184641091,4.791897831930158,5.609928467355886,6.547188099314529,5.749184348734186,5.725631182631123,5.927289550302216,4.804268324932727,5.7201529185534685,4.425459740047996,5.018717792129901
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7597152767043314,2.151920872949732,3.1591838762901268,2.6729977637951494,2.51433583425886,3.611606989868373,3.439355212717434,4.13073194507627,4.188836422552465,4.013638057941762,5.5301107309626,5.801504244082669,6.63048422628986,7.591537280895255,6.68624222682766,6.716938643939843,6.95702060022558,5.899802612043813,6.808345478789421,5.471433318967227,6.030626389730924
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.153781804273347,3.118597012099026,2.729858862702426,2.7079452331964085,3.69621280209539,2.6626961266779436,3.1677268250680117,3.3545712549600855,3.4401984721507937,4.4313459455411435,4.611315723675047,5.765770418930593,6.5848890325775935,6.021352747847475,6.033560902614064,6.120051171254317,4.547329003613168,5.525001974897172,3.882443023897586,4.418827675330265
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.229859637436752,1.363793490781749,2.083070541115745,2.0428264878636178,3.296082588780879,4.341877193996705,3.284296136650585,2.71562091858982,4.505781008224534,5.135761850126017,5.449818540116167,6.4053202073814655,5.75260237672638,5.202177218059327,5.271483095638815,4.579011442870898,5.222930388947984,4.403051167895902,4.813960855443211
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2615426628778588,3.1705749804209304,2.482577620505047,3.31762769368918,4.500797875581212,2.8652721551194,2.0067533494008476,4.017432001089141,4.833104328141599,4.670283435452466,5.662269559773834,4.977851989020937,4.200470876028004,4.311558046402237,4.183147581913532,4.662011630170274,4.374473828078295,4.807308807233555
