 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,C21,H22,H23,C24,O25,O26,C27,O28,O29,H30
N1,0.0,1.8541662364379725,1.9511031766158813,2.9302953112384573,0.08885546231906516,0.18281303209461564,0.01921730654587961,0.00625556902202562,0.034008180729103166,0.0009565928636132703,0.0011497152762038887,0.005172060719860233,0.0013414966248724985,0.002683303016017921,0.24887645111680598,0.05571971582616021,0.04338308374649735,0.0020440055285037007,0.00528056136384325,0.00046817008179689257,0.002304942955185782,0.000298174065265,0.0006080040579869994,9.588723770886931e-05,0.00010038862115949176,7.445312690158856e-05,0.0007867987164438539,0.00010343688972254406,0.00010176488203993833,1.7089726227381696e-05
H2,0.0,0.0,0.02570997761484506,0.0965445796914286,0.004722864218873468,0.031645606408694404,0.0015707979289110163,0.00027028916848337303,0.004744760998142583,0.0001992752684722987,4.5052640542220246e-05,0.0009584936971914759,8.122599701398947e-05,0.0005599695254998593,0.015580477659795977,0.0011216953091160997,0.010939973851352702,0.00039996083828430784,0.0010750087578124123,5.027945755631258e-05,0.0011024334668564562,7.70924661663841e-06,0.0006108350410076735,0.00017349709508029942,0.00014511794969607195,0.00012654448010918085,0.0004665724090948675,4.9174319383449294e-05,7.341353455603272e-05,1.2233379109050091e-05
H3,0.0,0.0,0.0,0.09731389857416517,0.037176534446407006,0.013059035369321625,0.0005350281313991623,0.006521929084206235,0.001448939017500872,6.997873577874181e-05,0.000690572328010397,0.00013291934534831462,3.7308937635760486e-05,0.00011272739232770501,0.014465793273636285,0.018307336499598592,0.001729522978623499,0.00013258457965048542,0.00018652618925196762,3.092918156255564e-05,1.8844224563219214e-05,2.995841820396805e-06,6.399418247982069e-06,1.2798163043559185e-05,2.0631233506707147e-05,4.29121445377767e-06,1.984545883693123e-05,3.1407900317192983e-06,2.8308398662968415e-06,3.565272541639075e-07
C4,0.0,0.0,0.0,0.0,2.0080330224145255,2.727285482347624,0.10323706459505688,0.08961287028608766,0.16837153665580173,0.0033977189510401296,0.01327672749757447,0.03142731256654954,0.010915486906348665,0.010104873244459592,2.6985859106414507,0.2670665741420063,0.24066664419425024,0.016370474205772645,0.037062771739883316,0.0063953504582907605,0.002838620345559942,0.0008074702177358617,0.00029872189849311503,0.0002113920818360704,0.00042087354246950204,8.647003247251595e-05,0.004825146463340146,0.0004252868694657602,0.0012901306667998241,0.0002779038684017632
H5,0.0,0.0,0.0,0.0,0.0,0.07752486513940693,0.002921510843090225,0.03660220689170601,0.011693423295423777,9.261339992594486e-05,0.007717754558573819,0.0008850658121613009,0.0005035452650897776,0.0005599385826169367,0.09096699215567727,0.02088875421088021,0.013176114670809813,0.0104316181279136,0.002181080560106574,0.0003473913231468728,0.00013432857772266438,4.0657398193255645e-05,2.9486714607784847e-06,4.747829885065613e-05,0.00012720742728600243,1.637730519243874e-05,7.433312271443171e-05,1.4177663247849637e-05,3.0059657448511246e-05,5.195981378491865e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.101884319324055,2.0223924010158854,2.831481667929735,0.08232859643584534,0.08313304539969968,0.15525455708794822,0.07336979569665095,0.04481743400505188,0.17050680154711242,0.03634671729547266,0.028362415224205767,0.0019588138695898483,0.0052883091713208374,0.00037932176763166847,0.0004121970974431399,4.2809970079771276e-05,0.00014532419618706882,3.981298551375412e-05,8.708687031562523e-05,1.3833825321454829e-05,0.0011649544727042604,0.0001062165629113071,0.00031979338670309887,9.963109935062775e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023238009153770278,0.08522699888008556,0.03490119913267131,0.0030136503063260545,0.019426860453696015,0.054499576799242555,0.0038289066364973756,0.03023924566741809,0.003446736026816666,0.004335594022960576,0.00011423164448820522,0.0010753251962134502,6.004432315620534e-05,4.9504846014514214e-05,1.6898803665510442e-05,4.379019185041244e-06,2.5286254095036043e-06,2.0439517023351783e-06,5.88463146433682e-07,0.00020562959169878603,9.030034034185341e-06,6.357981057103501e-05,1.9515091999933176e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07969607975904314,0.007186903698646274,0.03422734909784797,0.004015522746126932,0.0017847234202377216,0.00103535600309268,0.014355177075192405,0.022478603158879173,0.0022470195626809186,0.0008747381668237075,0.0002892256183908426,5.110217495274405e-05,1.5128082770266005e-05,1.8410276056979313e-06,1.2568193910045267e-06,7.390359838765903e-06,2.0916667224035734e-05,2.8582268738475136e-06,3.648436319947379e-05,9.53295511929575e-06,6.611979751158792e-06,1.0440773019482208e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0477722695080507,2.014500933572598,2.441268666449931,0.29093841136863496,0.30685565201122633,0.011712237443316897,0.0041925395161331175,0.0014091007982578035,8.059682987904271e-05,0.000230100027565322,1.3220064118302233e-05,3.7287896316087754e-05,5.484443656778026e-06,1.8467126277288415e-05,5.533736146867696e-06,7.930756096341529e-06,2.3984272599225642e-06,4.950627585623146e-05,1.0645655585464486e-05,1.5548144938343222e-05,3.3083620351037624e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02246430274384581,0.07751611637135447,0.023497241079075026,0.018559825934373775,0.004295278629537602,0.002468243999217634,0.00024910823276358407,9.223155535531546e-06,3.702152338047604e-05,1.5796676224866246e-06,1.3493356106453192e-05,2.086496417197381e-06,3.68256149374524e-06,1.5778641049291053e-06,3.822676667875058e-06,7.571532627537181e-07,4.8229866460580695e-06,9.090831343261385e-06,1.198734619234365e-06,1.9551326868594288e-07
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07957702849778148,0.019248160999742803,0.019311228595138008,0.0005086949222561366,0.00023239407942088341,0.00011144120883255226,3.674382866680759e-05,1.4414355415492963e-05,1.171044567316315e-06,2.6376505177783116e-06,2.6850711765114e-07,1.0067889950615694e-06,2.9378211530151077e-07,3.8863635665187246e-07,1.3569396095647335e-07,3.1966484830281416e-06,1.0253276090388397e-06,8.449008210842379e-07,2.63438229675117e-07
