,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23H,24C,25O,26O,27C,28O,29O,30H
1N,0.0,1.023259390936611,1.0225303422055332,1.4906522229730492,2.0907690279868203,2.470531758473582,2.585475744244884,2.7655813715995894,3.8698794395539586,4.351034709249364,4.080007598417162,5.035483446703586,4.989505398643668,6.155993601694212,2.450957545673987,3.083289514626185,3.2501228222955216,3.3237403580359333,4.429207974031948,4.669064490054831,4.703664563154952,5.714348352784713,4.123098793688522,5.031892861735829,4.97420826996028,5.730745979039546,5.664605073588109,5.971935975523153,6.776024083394544,7.489478399380031
2H,0.0,0.0,1.6222605252492592,2.0568642488688487,2.391893531375121,3.353387615137931,3.5572113953158566,3.657718452629353,4.635646203273694,5.006417829936937,4.718112848083156,5.921449025656236,5.95655128813636,6.993128061662715,2.5659670040098788,3.2940539818315924,2.973737393019335,2.919851651418649,3.995502812016053,4.385225004126935,3.987649515713213,5.009484066694775,3.380837192656277,4.17244657616228,4.226499437319485,4.772768935700892,5.26663313335359,5.7077879434560055,6.272013457065195,7.02049718323134
3H,0.0,0.0,0.0,2.0296401261016332,2.917862434173034,2.6568836912195355,2.8546990651101463,2.5222252678284334,4.14221893459226,4.50858703785551,4.589110333996312,5.203544680113958,5.1212155213593,6.306026800336236,2.5941256514580595,2.792763103837575,3.610059433704779,3.926712456304556,4.602138797662713,4.618161459356028,4.848745261327631,5.757980302057421,4.120543916850703,5.4361730171279685,5.563911386036077,6.0881090638449065,5.959088711406923,6.373609091315471,6.995117499071562,7.771749002706687
4C,0.0,0.0,0.0,0.0,1.0989954213668023,1.5337779383031074,2.148855762544443,2.1440823089172367,2.6050547301479177,2.9754739887723325,2.764530774792947,3.9980216639071746,4.276423484917572,4.990447403584288,1.5409577771814478,2.4297601003430076,2.454484179772678,2.628503533085928,3.818426282954712,4.036428895671355,4.559040963246876,5.5673903777601295,4.272309134239928,4.9806828540235975,4.673955462593266,5.9350802413721,4.822433805028636,4.903901708925972,6.075176590869278,6.676001932964123
5H,0.0,0.0,0.0,0.0,0.0,2.1647381667732075,2.549255615413125,3.055171710553552,2.7941370611686236,3.2615378249053015,2.50043150570323,4.199635011280077,4.523108167731967,5.13722036189385,2.1697388503253463,3.2911558245847194,2.5253471119559587,2.2865641017610647,3.971204642381878,4.434954690998387,4.70131499527548,5.758802296639585,4.597977813552012,4.8022046766271576,4.245020196241983,5.782339948314459,4.729520652993595,4.6426272610241,6.026755443265688,6.52370257122161
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0949560750504177,1.0993621810152285,1.532184914623847,2.1901312722953756,2.163971186627614,2.610670712959337,2.818855777104915,3.6998626701886965,2.57241616781508,2.9666506962533568,3.704010503385027,3.9962009709366724,4.996389982999274,4.988557189792366,5.920727731400199,6.862889653418264,5.618510875384803,6.468283027916755,6.1203466043046015,7.450833943725445,5.885752676178271,5.797746143651393,7.174290304873359,7.7112963789592985
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7605472236167545,2.1335309969779552,3.057504683989245,2.5644233918305517,2.6959610658113666,2.422020769894049,3.9315785327887194,3.4876478581567154,3.938098452771695,4.550054220561552,4.681990645817539,5.900946138657691,5.972062086200468,6.689001002026765,7.678217381992973,6.312922739887437,7.090244294784905,6.717409685322621,7.990210687531884,6.816520635003183,6.715015764744167,8.112419615441736,8.65143744302764
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1640967997006686,2.4770410590756042,3.067064670787102,2.9444511746708475,3.0930647954646058,3.940441208942678,2.72607179851973,2.637368150568704,4.041896569202926,4.548538546641273,5.1465111083749555,4.91577206359522,6.04389841832693,6.894398353131472,5.627214407857538,6.815856611025163,6.644814834699686,7.760955207790236,6.16179311595508,6.2053668206919435,7.366584646852476,7.970288831306532
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097257757567908,1.1040488208646029,1.5826130901351558,2.4178220108594575,2.400435830074125,3.271617477380797,3.665474709885661,4.152702174540289,4.415840578657965,5.386412200581457,5.368121841715478,6.5750017073839615,7.4661342581701655,6.497024260516764,7.098232610049553,6.553961542522235,8.203581721604058,5.92067240610209,5.540313361460574,7.254259136947688,7.622834434317626
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7575222696775565,2.1958612279972374,3.2521951322629166,2.540208631050991,3.0964836393579485,3.2843417381445494,3.9043253191619347,4.343795055267668,4.937212802506904,4.780601351155535,6.268677197676147,7.055521297960194,6.284575864172923,6.950060032058854,6.449030879218954,8.110273341142069,5.353023218667246,4.949190399781647,6.637299984060171,6.970949438467244
