,1N,2H,3H,4C,5H,6H,7C,8O,9N,10H,11C,12H,13C,14H,15H,16C,17H,18H,19C,20O,21N,22H,23H,24C,25O,26O,27H
1N,0.0,1.0199549221498614,1.0204206647483525,1.454473660259661,2.093588339924682,2.088463939707654,2.5181366809219075,2.8199035732417808,3.729717689342776,4.02234782078977,4.9744369041988135,5.033922401979544,5.6392279436433945,6.589442912222867,5.157580826292631,6.147786952610677,5.447523770120688,6.907804136328908,6.9937871029750225,6.971569328632387,8.073133345625468,8.245147007623592,8.692999748982162,6.0738215090541905,6.179220698246756,7.221507292847109,7.906577890607926
2H,0.0,0.0,1.6105798300990715,2.0257482343149658,2.3633340685860147,2.930139907999785,2.753455437425159,2.8936492398010354,3.9358166081715997,4.328619931774112,5.106073101296626,5.235059044764563,5.4906823493478445,6.459804563244687,4.875146336063926,5.901118366472903,5.191700288329302,6.763227471296768,6.548331208554691,6.418697809336257,7.6185086041739565,7.868129222615215,8.147421369742512,6.328552143708804,6.517429888195195,7.450033304270864,8.187800347010388
3H,0.0,0.0,0.0,2.0145805161664807,2.9229138852495176,2.43473832046498,2.6168768801582383,2.5245913609997737,3.9509460654390893,4.40490092235339,5.0107161061718335,4.8466377000911995,5.719331394738441,6.566038074885093,5.173040908954768,6.458964932876918,5.901075742377427,7.239477301472414,7.302812208797131,7.176966976262209,8.477996446917624,8.72258339927898,9.101347968325577,6.179364008461707,6.426637485612328,7.2132089620959094,7.9461049564226345
4C,0.0,0.0,0.0,0.0,1.097647050163049,1.1000893156896077,1.5396809390244799,2.4233222384390323,2.4600468858591116,2.5995636504317736,3.826884101667691,4.0522973010379735,4.679923309631993,5.6558668616656,4.444729693378402,5.122585165545141,4.411533262471928,5.745927270745127,6.182346916364058,6.374375785366297,7.207837073440632,7.265344428512589,7.938912339999719,4.756761085349274,4.757676513065977,5.974714445012795,6.591297827066229
5H,0.0,0.0,0.0,0.0,0.0,1.7567861557799571,2.1732110359172885,3.2087559623292297,2.6415121792459884,2.4938427867016353,4.08338041388416,4.566884296277225,4.785222271561103,5.836343952469564,4.640393654361887,4.889156220302404,4.007707052704952,5.462599009830153,5.911210737745382,6.231330941876418,6.7845757033368566,6.745606359606672,7.499943416816814,4.870277375310432,4.692024575255364,6.1683456233579665,6.712112228665398
6H,0.0,0.0,0.0,0.0,0.0,0.0,2.1474652768201477,3.0318231240380222,2.8096883293894286,2.7193803717664475,4.119211512338449,4.256975804858345,5.241887806230342,6.1461362844220515,5.161526125434365,5.745725928437989,5.078614629386662,6.21965497845813,6.9515249721539325,7.234989246236562,7.944154023972987,7.916471219423061,8.740183189841911,4.788001230466696,4.6384168246954856,5.998801613078293,6.513074127562467
7C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2263370179993869,1.367673384651767,2.073015936944976,2.4598345426868975,2.5977978947697653,3.2892288071787306,4.197283133366027,3.0490130734869303,4.026870767215636,3.576123387317671,4.6995968636279,5.118778702446541,5.254640749725109,6.272249967522467,6.434406929348014,7.0360180283055636,3.6485291661182524,3.99083969636023,4.736342397954147,5.475554735188657
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2762341824682113,3.1721726118862033,2.796170625047059,2.532258356732511,3.357443693728296,4.093675394583101,2.8199757284753,4.397150138024983,4.168462636434194,5.1876108949821464,5.2778131309008565,5.147879841655758,6.559418964229448,6.890357226482956,7.243252879004104,4.191701026370235,4.802662627007683,5.034603184915615,5.887121781502045
9N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.013792829727445,1.4538937385836346,2.0828621322492573,2.506731550885532,3.425167292144011,2.730485065382942,3.0787849400809453,2.696372642251671,3.5381419650057913,4.413986120962994,4.826829329749836,5.450884035720447,5.478415159766824,6.32159342076864,2.4010313200876516,2.6938157032682404,3.6038219494222448,4.272989249148096
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1046833412603436,2.8547994140979047,3.182930866361828,4.078960474415254,3.5851507348014877,3.3910814990904674,2.8421423504513803,3.618482281299477,4.811996607380025,5.414220342852174,5.659619507168878,5.506375058670958,6.571664165847978,2.428528174116133,2.2292908981111674,3.765128251910543,4.2329273320462795
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0970152444798233,1.5485896432473716,2.1636769800117714,2.147440850061506,2.5794596742945433,2.7596003755258596,2.9009913342772786,3.9260055772585476,4.332670687880736,5.006547099430841,5.113683257565163,5.906467071099317,1.5206596441232643,2.4305443887837366,2.3799012855565262,3.2131526575159275
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1453182882899586,2.4226857982085366,2.4388447852689863,3.4916694819871976,3.7632713937071616,3.857557620478577,4.6736441228209324,4.863908350564184,5.84597160397641,6.055155502600748,6.694089445015708,2.1384523630974135,3.1466646354138526,2.598151929391366,3.49697317501347
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0955138568294507,1.0927098417630061,1.5304115888268937,2.1613679985837133,2.18606066437627,2.533636826616677,2.837384407251762,3.73281334209883,4.059565057490106,4.552965006223445,2.539395426405445,3.4717985038650068,2.963453646764855,3.824301926971119
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7598970961992797,2.1686311375662064,3.0706592145069926,2.5055378266058446,2.8408619291714436,3.0420442646101193,3.934836480327262,4.325474736144007,4.703095661329385,2.794964482411981,3.884142957460252,2.684902123053024,3.5575968566565925
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1545735591279116,2.5411468169031783,3.0766232651142285,2.6945717956975885,2.55089557163197,4.044350113130876,4.550723126113614,4.706714058916801,3.4606514651682287,4.366594794409712,3.931232101911859,4.838993362440195
