 ,N1,H2,H3,C4,H5,H6,C7,O8,N9,H10,C11,H12,C13,H14,H15,C16,H17,H18,C19,O20,N21,H22,H23,C24,O25,O26,H27
N1,0.0,1.9150532457620415,1.971249995530507,2.9576785919150783,0.09363078652731815,0.09924028059693069,0.22716480704560985,0.04259243918357679,0.03554973859232373,0.002755497615165803,0.007685185646687492,0.0003565905004597747,0.0006677346531873268,0.00016925173455761833,8.144035725410337e-05,5.226615744718943e-05,2.3876048867665922e-05,3.14354863206745e-06,1.056318127676259e-05,6.095109939874277e-06,1.5388435120333721e-06,1.0768850278175535e-07,1.5841294820351237e-07,0.0011985319511813586,0.00010571909409896191,0.0003686986532083769,0.00010986865114126498
H2,0.0,0.0,0.026630484591597225,0.10554468958411789,0.007127914792316892,0.035872902034695064,0.008356337029398975,0.006949476016320677,0.0009166525532635639,0.00022830447149191357,0.0002437302350707382,1.408054362883604e-05,2.1864817659644764e-05,2.084537599422731e-06,5.548488417606023e-07,3.4557315009564604e-06,1.700734185705599e-06,1.638444322438204e-07,9.832570547763098e-07,3.7529694441040817e-07,2.0278301882115102e-07,2.9736355600107345e-09,4.9287760539584724e-08,4.154331314354387e-05,8.412599014517852e-06,1.0339870220699154e-05,2.973348224521999e-06
H3,0.0,0.0,0.0,0.10736504705320982,0.03634096529759345,0.004504254098739002,0.015990414288702515,0.03578674050369424,0.0028662204425061732,0.0006036893454197667,0.0003549730763859893,3.4498658291415296e-05,4.775377095800337e-05,3.154110191694315e-06,2.232435686999601e-05,8.055251276894992e-06,1.018502113092623e-06,3.947649803492936e-06,1.021960050917592e-06,3.654884347392695e-07,1.4458047103982352e-07,5.3797353238849155e-08,5.554188664547155e-09,4.7396987287173786e-05,2.7475403126642206e-05,7.459875926874027e-06,1.1403288489031382e-06
C4,0.0,0.0,0.0,0.0,2.0509715370134236,2.008773651216998,2.746734569363916,0.28068621135707933,0.22447792723660304,0.014006171195203976,0.036358934533632425,0.0036839487153191852,0.003595781858727748,0.0008232298767372193,0.0009329441034793273,0.0003189978903384294,0.00010628760292918926,1.614608463951228e-05,5.662716466489637e-05,2.3330552306383145e-05,1.0018686905255425e-05,4.242648491414869e-07,1.1268037763967342e-06,0.004330821383931233,0.00044878734346404103,0.001236211341147181,0.00024534601881853746
H5,0.0,0.0,0.0,0.0,0.0,0.025844660535583097,0.09978190350938299,0.02979065187803087,0.010744922736492413,0.003916209935816983,0.0014890155532236715,0.000355059619730147,0.0002085642858560277,9.510288096370445e-06,7.605470091998079e-05,3.356342178073568e-05,2.3640566976235178e-05,2.845181050759038e-07,6.125733286177493e-06,3.1619944096394903e-06,1.7091475379427123e-06,1.1924693499310024e-07,1.2410767968873415e-07,8.446181084109661e-05,3.8808008159030294e-05,3.6924049455100416e-05,1.0842955552314848e-05
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.10744687890121973,0.029720266925402528,0.014114759085289363,0.0014056623044356176,0.0014082062529083839,0.00013465978733018247,0.0006962461982515933,7.202964887542684e-05,7.913690536298645e-05,5.5165766791431814e-05,2.9554006119258958e-05,1.5356145364187057e-06,1.2502633421673792e-05,6.683417145714188e-06,2.9222596229505626e-06,1.3138802179568643e-07,5.676167329493609e-07,0.00022993694012551913,1.928454495148113e-05,6.551477755745161e-05,1.833614072466183e-05
C7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.890587071511984,3.2719769090854864,0.13099748716338,0.26604487308747066,0.025938044278925876,0.028828403661406043,0.0024485410243240135,0.004852625148544343,0.0037194491819269315,0.0021725564804200292,0.0002014108184726915,0.0005267059014426034,0.00038197777777593256,0.00010607424621195127,4.777176672687844e-06,6.369071524847669e-06,0.028851070214229474,0.006563305173233044,0.0057693096475941175,0.0012078877441491498
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5316772338533183,0.026212970533084023,0.06813308919836408,0.03399740575360943,0.01732476284092009,0.0008425302059834605,0.014465656850696229,0.002737231421370598,0.0016950485969423612,0.00032431886479089567,0.0003614374964086703,0.000238601415084784,6.501757568767863e-05,9.426273573476251e-06,3.47425275559754e-06,0.008602493213132847,0.004156062527782875,0.0013197950337118236,0.00026514811721334297
N9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7011595202627945,2.906243741085281,0.10071362961912655,0.17838881248301283,0.027156391156973547,0.0066984851509523935,0.024139278681554313,0.02112868364971965,0.0004248097851398125,0.0035764217560541878,0.0012925061996242049,0.0007538877663932075,1.3306031919402272e-05,8.025899385799562e-05,0.19225622745008822,0.05695918725259765,0.027055366721508267,0.005102737538799862
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09678032160899142,0.017446514983011863,0.009532022227009773,0.0006393542205616054,0.0002101211840006556,0.0011846084410869206,0.001003773449298473,1.0424938862385602e-05,0.0001845263416622167,0.00016859928533230484,5.5925729397721113e-05,7.185513180019143e-07,7.696480987418042e-06,0.03455775376301384,0.08074411899203504,0.0055454829375301,0.0001859537955251067
