 ,N1,H2,H3,C4,H5,H6,C7,O8,N9,H10,C11,H12,C13,H14,H15,C16,H17,H18,C19,O20,N21,H22,H23,C24,O25,O26,H27
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0127076015617575,2.7662027742012585,0.09622657350148978,0.09860766260041331,0.1609066693900509,0.010592169955045971,0.0056324061792421,0.032333217573972894,0.006510756097335077,0.005668578031794241,0.0002298412989176768,0.0014042229204991319,2.759957333458615,0.2735376502792029,0.22316660462545052,0.053782430781729174
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09037084256658046,0.004849274356706124,0.006248470715858545,0.024073135149781377,0.001710140784429548,0.00042494713611573864,0.00314789208343913,0.00046406748590288593,0.0011110122209539997,4.327617634114489e-05,0.00019807548335504244,0.11724690099321045,0.031189620400904783,0.01101420489599425,0.0006225286488215076
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.147576234826267,2.0188315302355635,2.824016413476605,0.0844484695721216,0.082270504451746,0.18174027884931604,0.05328450885435951,0.029096050074990387,0.0023469302498568823,0.003994056968944615,0.19059180881617427,0.04449255757844748,0.02973778863456504,0.0020390811782674545
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026733808124203673,0.08406668263882977,0.03372922229937636,0.005846052961046899,0.006270671725377097,0.0017761382367379452,0.0007507620482414268,4.701021119668525e-05,6.994510031077539e-05,0.006885075011233921,0.0010591956097937283,0.010560931086850078,0.0002581813989992465
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08905930540861884,0.003991451839895355,0.034009557321663886,0.014464959140245703,0.024869692433071022,0.002608737481663126,0.0005290310785084351,4.276883046960833e-05,0.027878592507764477,0.004553052027464144,0.0039308552311531075,0.0003372395643974624
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.100576677991722,1.9740633933829206,2.7464963494506973,0.2966669014297181,0.22962063042879954,0.015161378195990505,0.04337102735392284,0.025142663306790575,0.005870516246814922,0.00418394127822054,0.00030140413424262213
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02417626503646142,0.10678563338762448,0.029335559268525824,0.01661251390267804,0.000405532786360574,5.546424639146785e-05,0.0009520522116315266,0.00025722572886754946,0.0002819349433448304,1.9244084003666728e-05
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09647827389920627,0.02698191268190908,0.012318124409900877,0.0061929076129831895,0.0014721956654593082,0.010478674923085407,0.0021557141305870164,0.0014881377456326117,9.034041970901185e-05
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.885349343816027,3.532455797404169,0.1331838579481428,0.14475611220334728,0.00314484582544286,0.0007768483576913454,0.00044880430966920404,2.373228678786976e-05
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5613323611212808,0.03439419089008244,0.029400751061201214,0.0032742243452298925,0.0008676314755952583,0.0002945336041292046,1.7640057105139384e-05
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8304794454188338,1.910890477130565,0.0006852653974450673,9.753843431087317e-05,7.367269168327695e-05,4.562393895568562e-06
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036889257229075545,6.048996766450099e-05,2.5241325146807547e-05,9.433083313248325e-06,2.31909860670676e-06
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.668134121987304e-05,1.8765189256142456e-05,1.5206618440788411e-05,1.148421330254834e-06
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.77375357366541,3.6060173231681283,0.17302125621481856
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509823194473778,0.06623749481726604
O26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.789545039464699
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
