 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,H25,C26,O27,N28,H29,H30,C31,O32,O33,H34
N1,0.0,2.024539514089449,1.964279991671793,3.104439484629845,0.09104360122300836,0.20454109102465562,0.03648013992180443,0.0026534701265894522,0.028979921745843157,0.006240085492967631,0.00560104523800814,0.00021167436306812615,0.0010637489590525906,0.2268687915009598,0.054350688219345675,0.034676970611379226,0.002333078858003934,0.007300790485265121,0.0004170015128041049,0.0008821488775711678,3.15411825896339e-05,0.0002394470118266545,8.59443611923652e-05,3.613554535708552e-05,8.946117127872633e-06,2.601153480802365e-05,1.6365683171620793e-05,0.00019714574197462337,0.00024509252322979513,8.814580430005492e-06,0.0007386365908465253,0.00010481264558277748,0.00023910679115338174,7.117987439086981e-05
H2,0.0,0.0,0.027161189559131493,0.1124502227550177,0.009518164378232497,0.03158308639167162,0.0020095795158243668,0.00016239110126048395,0.003951925999757133,0.0005095719425786127,0.001326604575855539,3.5794576007885937e-05,0.00024106753294161898,0.006209163763404191,0.005955434357432288,0.0007672463017440734,7.683411691328246e-05,0.00020865018002125257,9.31070116805266e-06,1.590927406180942e-05,1.2896505159343263e-06,4.928439627516212e-06,1.2443709012766035e-05,1.9443342869518432e-05,9.989494447193437e-07,1.8452147605430014e-06,1.3163780350211596e-06,3.027916589459778e-06,1.7966274057368281e-06,2.410435171462666e-07,3.5029807498809795e-05,6.370446951509123e-06,7.024410132894232e-06,1.6768434263347842e-06
H3,0.0,0.0,0.0,0.1076308632910119,0.034090123116243154,0.00540699655863941,0.0005549931397903496,0.0010549196617999357,0.0010897721227796087,0.0008853995454337626,0.00021226928081397034,3.794397321543741e-05,1.8015219312328412e-05,0.021830646054539105,0.05531710854919858,0.003585405909822259,0.0002883040816781257,0.00047285353466253177,3.594780457527591e-05,5.9687333363145356e-05,2.2848174918710384e-06,1.2849043911300484e-05,3.3597650384797895e-05,1.0359233258094847e-05,4.150528724933267e-06,1.9407504836532752e-05,1.2445480327305525e-05,0.00016702984867111859,4.4839930430251584e-05,1.357988107586472e-05,3.731871972068035e-05,2.5692360889895127e-05,7.032283170005371e-06,1.0621802646326728e-06
C4,0.0,0.0,0.0,0.0,2.05199741619096,2.7711688694515337,0.08852447894779147,0.0757478446971811,0.16919741470208186,0.043897720673095095,0.02665032303551576,0.0021037261566927423,0.004208857949624001,2.7071232201939526,0.27077955411454263,0.22318790899777738,0.014282985627466327,0.035778571055574554,0.0039000907790645023,0.0034848483358468074,0.00016258861285423087,0.0009506467159361431,0.0004893424307509942,0.00043598400469324616,1.4730430233367287e-05,0.0003674748732167554,0.00011187179689592375,0.002771803482702395,0.006674851831091511,7.336660085499602e-05,0.003375426528657549,0.0004184341909290873,0.0010042533590587238,0.00022468032690625694
H5,0.0,0.0,0.0,0.0,0.0,0.08090276871582414,0.001639122814807381,0.02872937110280649,0.02228489133931877,0.026061729483144558,0.0034126725489063148,0.0003115243820455138,0.00012737062906276186,0.09747503123953338,0.024431792391641505,0.010555609989430503,0.002873236018109848,0.0013624359346122716,0.0001615984565348505,0.00023531807708798702,9.868138337143506e-06,7.688314053178047e-06,0.00010685912735342029,6.944910627826317e-05,5.561075196114373e-06,4.274041235396986e-05,1.4971825206266942e-05,0.00035068204949118,0.00033796141190567397,2.0980313412577445e-05,0.00025053876700376065,2.309765457275681e-05,6.057622076383051e-05,1.6283986632448233e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8616407122199776,1.7935118857916423,2.6398786716108433,0.2831202283369327,0.231584109689473,0.014253311258672685,0.042642579591922525,0.17848242908863587,0.03570642217419297,0.03111000799568131,0.0021033385749076317,0.002955958250961538,0.0001537126739791228,0.0010702037514092322,2.1650391829997062e-05,0.00010190046119618046,0.00017721800942918642,0.00020580029165384595,2.5574207885847855e-06,3.697215250758612e-05,2.5936478280585984e-05,0.00014434889697205466,0.00033774414030462996,5.970574087132974e-06,0.0007531196483900326,0.0002750017826063933,0.00018290088020654627,4.944934191464245e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026934240109068863,0.10769945222570221,0.030128093494281916,0.0126785594520884,0.0036008683803403496,0.0010655637271586027,0.024192652850501206,0.003103139796147736,0.006189000721697591,0.00036984148382290805,0.0006336027960189838,2.4385206770061174e-05,0.00019235653208404813,4.715052711601331e-06,7.838863983478106e-06,1.9368629986749042e-05,9.176348814809998e-06,3.9735582291200444e-07,6.136487844532468e-06,7.732973421825662e-06,3.65042173359198e-05,9.582930110618726e-05,2.8601290713581307e-07,0.00019838461252286166,3.19143148157508e-05,5.555137058133042e-05,1.8421821419423168e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10905984612702024,0.02965775734311904,0.014393604184715914,0.0012938065906811236,9.436913114724277e-05,0.018045727277335333,0.0029542159929456524,0.0020381889723586344,4.4430593131083995e-05,0.00020084168754186393,1.2480904220346645e-05,6.711167556883169e-05,2.4159071800866627e-06,2.3287372807878626e-06,2.767039036100094e-05,1.7771773449082318e-05,8.808585640895927e-07,9.362213671426645e-06,4.57093591643698e-06,5.545576620957782e-05,6.510559171890584e-05,2.413127572431506e-06,9.875965008476761e-05,0.0002949914933501052,3.497175337729974e-05,4.148602425813053e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.610278496720247,3.7249046067223297,0.13557956076119637,0.14786911958898385,0.009367999630930907,0.0037986447973475945,0.016237353552782302,0.03285654152683426,0.0019581046722149387,0.0003337201310120719,0.0003035835079914506,2.621198559471516e-05,4.090333526729495e-05,2.338327132017648e-05,4.627003653112638e-06,2.941811389378657e-06,9.991129015562983e-06,4.206612972901258e-06,1.613207460698929e-05,1.521670753745763e-05,7.426146342304207e-07,0.0008011234870190231,0.0032638185610697618,0.00028545352896275356,2.8528220592516362e-05
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5485940327541869,0.032396794885167446,0.02734838522599159,0.007384953491235094,0.0019584954245458613,0.06630838410631348,0.18416533483630748,0.006678824323604268,0.0012746693587668556,0.0003199932728382565,9.594389111033941e-05,5.667395183939217e-05,3.57456038837245e-05,4.132514537347198e-06,1.382902615199022e-06,2.8789923724362176e-05,5.2979179261808396e-06,3.6422251204818595e-05,1.4722582390214178e-05,1.2459622235061474e-06,0.0012172644772829866,0.003271067795342565,0.0002721048455791644,3.444967372967511e-05
N11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7726004014244134,1.782264748254956,0.0028134057585906813,0.001091575139420653,0.004357829008733494,0.00877834652369891,0.0004764436021654356,0.00012285274057011186,2.89642076563984e-05,7.782932697764089e-06,3.6526454263441366e-06,5.933987395206897e-06,5.477831747313644e-06,3.8228596621614486e-07,3.217391958493243e-06,7.458064271090303e-07,5.877997222993037e-06,5.862474286133512e-06,2.6006199027595045e-07,0.00011948795969679571,0.0001839053147627348,2.2243674922192702e-05,4.719578187484252e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03735004578463741,0.00034353238158635335,0.0001375968088983548,0.00056841807768504,0.0002504813223105362,7.072371179972503e-05,2.3068440560658487e-05,6.3874426751153734e-06,7.799556438481403e-07,1.1692117574124694e-06,5.355504389958909e-07,1.198709354000016e-07,1.4875977560890874e-08,3.442728317981647e-07,2.0414987267347584e-07,1.0969570705121612e-06,1.2120798935644217e-06,8.0360564869153e-09,1.1269151656945198e-05,9.474777707407789e-06,1.97717570205036e-06,3.7717122625124944e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041494257628771347,0.00019028346308769262,0.00019767029341866138,5.2901405677152624e-05,2.3978628832077575e-05,8.003331962713744e-06,2.856932315387084e-06,2.828497658313722e-07,3.041583875873499e-07,4.327455782604517e-07,2.9492656716811894e-07,4.350279025899795e-09,2.023109471060991e-07,1.4980249096741005e-07,6.663629359415779e-07,1.346691561598945e-06,5.349652942854277e-09,9.66975582150642e-06,2.5584696643932148e-05,3.832291210481564e-06,3.9410186980504136e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.487119304846559,3.7671790260383715,0.14761134001111142,0.28324873881678103,0.023933426769460864,0.036253651930125225,0.0009459581284569918,0.004695323690679931,0.007946470643183268,0.01048647390503299,0.0005153575568093149,0.0015811046999028577,0.0008070323130945356,0.009663913493980839,0.02145607088994228,0.00047853825763799485,0.032351844336184904,0.005020487650435987,0.006097847713701643,0.0013704670554995912
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5431190805757384,0.022640113351826363,0.06082909325357064,0.0358221108176745,0.010727620571988214,0.0009810313387235148,0.0017805107234649675,0.004760720242148922,0.003650057201838419,0.0007346857582414268,0.005932304330989818,0.002113292991009555,0.05938686189022001,0.1886637895251394,0.0014253559004321348,0.010466452912623825,0.003161886208547973,0.0016387308811288137,0.00034292362252763553
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5856863095700149,2.847899826545248,0.09738624096217452,0.17781433988363576,0.010488819482757483,0.02535158727702269,0.01699864646713882,0.007104258554446963,0.0010049604026172165,0.001989748721934831,0.000994731101662219,0.002445294634037684,0.0019310424273046856,8.829879060412438e-05,0.19270234427892674,0.042268006086404214,0.02784646931726116,0.004941637413280131
