,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11N,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24H,25H,26C,27O,28N,29H,30H,31C,32O,33O,34H
1N,0.0,1.0196963248486601,1.0214727343721601,1.460618720341408,2.0843049110549945,2.4580086724540404,2.4517060683658607,2.956688986591141,3.7670375082658354,4.221007462881019,4.792240908966007,4.890734298683785,5.698550015627057,2.4999520325926787,2.746352120680037,3.7145457071430967,3.9660082476540426,4.969552965637675,4.951286124091416,5.835938757184029,6.046362380370599,6.831995238872598,5.60323162628101,4.653663735315821,6.408651700804053,6.161971365115134,7.385602544812621,5.462817900868802,4.4735347918944095,6.135283287845952,5.95971754097438,6.000933442148492,7.114252457595831,7.755320970322018
2H,0.0,0.0,1.6087499612460072,2.030799279163812,2.285136960442777,3.3302005968240795,3.3832449078997624,3.884926464490863,4.480735306865408,4.714686720583361,5.599482814514098,5.794042977736567,6.447819517044153,2.7779130780040275,2.875656631011946,3.960398720405819,4.287304833215304,5.148577858627373,5.135890244475756,5.767977231442397,5.967378956795191,6.790025568372499,5.289457657314484,4.258131067981568,5.991600394137876,5.856865843327675,7.07291412758892,5.194656017467887,4.271490202581271,5.903905105774499,6.317325124785612,6.488833748907045,7.427919985861031,8.147408541809003
3H,0.0,0.0,0.0,2.021201623509837,2.9009616057351515,2.82363820575896,2.8804508720842836,2.9427192675477802,4.276989929480503,4.821416150356208,5.242270903135916,5.225980504980478,6.188295962405162,2.541912395589838,2.370438651132225,3.869476388643007,4.313185189072903,4.935374436362309,4.697054758895765,5.90673925756938,6.290817049626038,6.820209965874406,5.642779961533359,4.774350027135314,6.539701011668149,5.954379393098818,7.1539242478984155,5.074116924187098,4.065734072799987,5.6153459518946915,5.927850874883862,6.071716951782067,6.973180802292708,7.632712054203877
4C,0.0,0.0,0.0,0.0,1.095408248127337,1.5475868822915584,2.141397921274389,2.1981639417841614,2.574695803003548,2.860605588484895,3.7902836280785217,4.114949901042829,4.605979171092693,1.5508175677527438,2.4211686560491397,2.4621512191034176,2.542656954203287,3.844958626180401,4.060069341440918,4.7863838305255815,4.881520520655545,5.788140083006353,4.870997629072861,4.033781605386256,5.690476584232533,5.647361022142325,6.848854625634665,5.193943160439909,4.244455371138654,5.973089976996917,4.697453117828978,4.640141568880252,5.936185010193632,6.5227122971152225
5H,0.0,0.0,0.0,0.0,0.0,2.1436490517354954,2.635439202126868,3.0389267247386305,2.595877577677525,2.5064874140722297,3.8668377084770573,4.382576506434865,4.5367693189228175,2.1574214652095565,3.156355837324792,2.6643293493968763,2.474749170814679,4.096871600499071,4.537356359581459,4.7658244163691394,4.633513491914347,5.8273653810286445,4.829604701479381,3.9439349575374028,5.483964490084121,5.844884318845306,7.025351215763736,5.601361014763036,4.736628600261549,6.477848474480188,4.960911689935475,4.851450461220847,6.24188483829141,6.820768133573708
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0963874990845606,1.0991867393205539,1.5283025114769313,2.431387006271698,2.4396069854894207,2.607166555438881,3.369149184748841,2.5586105928578147,3.4490382286219137,3.080535825148884,2.8431718006679043,4.37969183852532,4.638343053246087,5.5798431621894515,5.616134758729152,6.480003679087691,6.002771636635864,5.3140801811757,6.862331446511519,6.760295504109512,7.912449391849719,6.311803086876557,5.363836880607063,7.013421835008307,4.759217420794661,4.3517545584028605,6.034070308767704,6.417287146860397
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7614985591665036,2.155322687621939,3.179048162145328,2.6412695526934433,2.5168943496137013,3.62527481099563,3.4358864536076283,4.173284575554186,4.124344002176852,3.886184794469694,5.446636389095158,5.647524787744201,6.614443421635607,6.636247993841344,7.540073682297272,6.925499464064795,6.151208127471669,7.764272456461084,7.6548707984048265,8.835020068680718,7.1112494206408625,6.125720284600876,7.7813420445047,5.849302869273488,5.405221652304291,7.113982011993084,7.478639788588999
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1512359965366135,3.084685046414731,2.775460855064678,2.721111743924265,3.6919928638211186,2.6595953521477935,3.314429430681814,3.168685159496047,3.125210485183909,4.221177447129488,4.294608032697671,5.606275878297498,5.8057639075654155,6.389840710364297,6.118473580779519,5.552014174277694,7.073198272017243,6.677847194039757,7.783876611704581,6.131881413506158,5.195542590488356,6.71809826565709,4.445504057180466,4.068402187358891,5.612026417777835,5.9511878263618385
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2307609497050174,1.3593656464738038,2.0829731632681057,2.042155752113157,3.3448174260469963,4.467862400077784,3.252830798505822,2.5553862527369913,4.477609346979872,5.0366498195536815,5.564474741356512,5.344398105878973,6.417875095738175,6.269238133981256,5.703315222916499,7.0112432978037456,7.2482745499723835,8.32609106344185,7.0646809501707715,6.214106828192529,7.84163234003951,4.5163631934458275,3.8062585288599977,5.840593992472702,6.066711607533403
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.261670615340275,3.176107147451199,2.4893251093098967,3.34682111163512,4.574393035039893,2.8712112808137946,1.9356637758463922,4.0346132700877035,4.810640985058891,4.860772832232106,4.4465960980463,5.724330823302561,5.636207175112255,5.137414552998768,6.248569750755723,6.791595592733188,7.8140684493358465,6.8314971985287425,6.083445476922163,7.689797368879367,4.095731140435103,3.427443796005491,5.4302581395468845,5.6845739581602865
11N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0090083631303153,1.0108917436390146,4.603763912642021,5.652975561975567,4.495281299303743,3.778233406266658,5.589822023967248,6.1192938261666665,6.7434702791541685,6.4993144099115385,7.5147938761081585,7.559110335568357,7.0405061321647935,8.30485555154991,8.503225252464972,9.551764571266618,8.2952239325244,7.4386276236213655,9.021772436777958,5.350899419635323,4.434039733738325,6.600201865704962,6.65088419217661
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7382556916125556,4.994390037180426,5.910150667646822,5.0806199977669,4.499607217026848,6.159323932833747,6.546761551060475,7.423755120804874,7.286341953250356,8.180718529255532,8.187653386927659,7.641317367127341,9.00020424014974,9.013571733341355,10.081829086176372,8.670575138860787,7.7710140825432426,9.327730101437586,5.924033359146806,5.039006505363584,7.124492067092975,7.159268489633289
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.311935206287919,6.418645265473533,4.984974605470943,4.146899530664024,5.968654090154773,6.611244083187751,7.025315867912721,6.66115737429429,7.735375984363347,7.9671711689945965,7.527235209563567,8.640614283748835,8.992903963283409,9.984945003908958,8.912702323070254,8.111544679438328,9.663950492038337,5.54493762628047,4.503366803756417,6.746614702005092,6.685138474574399
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2378958503637296,1.352042253246198,2.033243356733916,2.4714472397509537,2.545345198605249,3.4741995388743985,3.820694333901227,4.411417414120349,3.586109656638378,2.9191032105432457,4.535941975969879,4.2225708461259615,5.400290412644017,3.802800444918841,2.899110303323955,4.590050535203397,3.558644916574191,3.846959107249865,4.664300808210173,5.371380721163923
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.287980381897621,3.1697808872983635,2.8557464262512853,2.44181416240163,3.761478703486406,4.3829363721459,4.57009008594013,3.5410303241739873,2.9237344113639296,4.561548267620507,3.7285876326500533,4.906439651763179,2.960908465798624,1.9615865425304482,3.616838546641579,4.077658483089228,4.604544752113487,4.934862126475092,5.728847506276754
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0229004891967743,1.4539950276848024,2.0690213254898744,2.5012918012773393,2.693517092002087,3.4223328516841347,3.125354427425055,2.763413792713357,4.010499978622106,4.020021820530493,5.074000378787844,4.009884695620359,3.3390586822010446,4.851551526510544,2.422538153626578,2.7299571928797146,3.6195636480014692,4.295582155582034
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1389035194635344,2.9595185683114473,3.016580088437406,2.843796869585733,3.912946647038689,3.8219172670776533,3.4562128202226843,4.554030025189291,4.897224811173154,5.9017389788479555,5.0006821028568895,4.345489961229607,5.860752522495007,2.6008420785829682,2.481999450869244,3.919666236080266,4.425042871796752
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0952223610928615,1.5501128007728322,2.1607266356735146,2.1721908168048834,2.5814850492674926,2.759116177605393,3.49982682340337,3.228726109768719,4.079230282171412,3.4655691929993306,3.1047503290416776,4.206645115707366,1.5264550713499798,2.4393833274085512,2.378135974868208,3.212969373372562
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.167717340700484,3.0583375162412776,2.5569323152861156,2.750227706597294,2.943116119544372,3.7902249840171645,2.856069245483773,3.7166942258882356,2.7642171790597603,2.4036985527652606,3.3521247999972927,2.128477534649622,3.117563745697459,2.6019116239383826,3.4916055880989214
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0974658337666705,1.094784486185028,1.541344043693633,2.180485239902366,2.155696578634852,2.5438024861817508,3.1934725898957432,3.3613796902348354,3.3617733687066567,4.180146830297184,2.5398488416560014,3.495681027511266,2.93019813698847,3.7988261703006097
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7683773287158897,2.171241684131954,2.5873997888579856,2.4030242905682444,3.4719378587671756,4.067282888823394,4.337646088047879,4.264358507926567,5.210306117161921,2.8310345822303233,3.493873289944705,3.3940398058717127,4.097470940183237
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160776620418524,3.069391781854381,2.544128239519181,2.6705967277999045,2.905120619054569,3.657708159685895,3.8922893011312993,4.2915029603787165,2.6839516887789094,3.7593679664688535,2.5350708572087677,3.3810567080881073
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0955904542331147,1.0942475777260483,1.5326891493169834,2.409584304126738,2.450202479160719,2.616930589012636,3.368457385936634,3.9179273039091065,4.874170894732433,4.28303046070045,5.214257387757309
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.771111602679997,2.1882990824034563,3.268962425639758,2.5800243399346643,2.389017767447345,3.5869199634135405,4.231228616245682,5.025450921745112,4.869797476665199,5.782455177584101
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.119267107484101,2.5664883348741956,3.253705420088676,3.574407642143791,4.090948564683684,4.69127575781724,5.608741478268286,4.963913991612637,5.847180116052854
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.225612457014132,1.3648253207621388,2.0858546060211243,2.0310845855510475,4.4884734600561425,5.599228775034928,4.529232899794047,5.498888358006528
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2805855285751564,3.1830077916379165,2.496886777035608,5.108884827803718,6.282230630455479,4.843805302508067,5.762235926807919
28N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.018735867064172,1.0117256959285357,4.78662920942003,5.830582929429832,4.951888948674198,5.9137444937243515
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.745942566323456,4.485716380977708,5.399776545408442,4.896020094873607,5.831547469577701
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.381533981049984,6.458259586385732,5.364494919207135,6.293166994190835
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2110683120898111,1.3516413673525558,1.8775124745505976
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.253958458474401,2.2894876490895917
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9763381770738683
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
