,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30H,31C,32H,33H,34C,35O,36N,37H,38H,39C,40O,41O,42H
1N,0.0,1.0161299948356832,1.0164462980477516,1.4547987028130998,2.0652771681114244,2.4450436957798996,2.4746581523564624,2.7798587738300413,3.8491249000557444,4.016401363803919,4.363488166357348,4.980454880185957,5.907141700532895,5.2266383233418985,5.083799942788199,4.456215610858815,5.169291114584787,6.479108689715062,6.679765594439057,7.203450660593523,6.739652472858145,2.5641030158824907,3.686937066377872,2.840599400804287,2.367474822550532,4.237392531975656,4.711535159622399,5.235567076009814,5.0979418011837145,6.186256658732459,5.673130156820964,4.97276861122411,6.470886937579743,6.522363535839652,6.911486187000937,7.225531622405249,7.238513527540741,7.96505477907696,4.645769632423168,4.191252541051167,5.965784487790385,6.374995144422121
2H,0.0,0.0,1.6647757465958182,2.085659177204685,2.398265520215704,3.367935269729674,3.4337313887798637,3.7309040595441445,4.662025250654514,4.6485621120348375,5.19307841726995,5.824214187618219,6.7160217490210545,6.159040031269854,5.803621379695559,5.1678170070516485,5.746477738458232,7.1969610330891856,7.296666459730355,7.914426385146075,7.532190775568988,2.8374110749253343,3.9465857543762572,2.891971499862685,2.2545200783477184,4.111728710076422,4.6167626480920285,5.254665838842618,5.115342026950373,6.094267891774978,5.9432493096120185,5.3988490926951656,6.768127823942302,6.79904066656296,7.329851954029792,7.340425644178708,7.225592414948672,8.092861904990105,4.186513099859424,3.544810220603166,5.484655569891648,5.765943161108086
3H,0.0,0.0,0.0,2.0870794277267146,2.9510790998993595,2.680526310359095,2.7100378243531424,2.6044328027309653,4.207608409345162,4.557111901957396,4.7697027916323265,5.10991190011985,6.126332469423922,5.183488928702973,5.1203049155204,4.335775005473346,5.364775387752724,6.393340411615234,6.55535932612346,7.211886722536385,6.528595869929166,2.9141709823401225,4.1058379709266,2.8393271125135926,2.2331784767421157,4.226513090606101,4.875572408248088,4.957607070606244,4.637886435740981,5.947472392948078,5.361298566347848,4.622756017521615,6.027644113911796,6.392569874383793,6.806229145628281,7.193328264431794,7.194597244236125,8.004523643219994,4.691074391112792,4.242585177982333,6.033050524403706,6.459824694617319
4C,0.0,0.0,0.0,0.0,1.0973046120718823,1.5535690835313007,2.121197489430766,2.1732152838382497,2.636897333021776,2.634984389512722,3.334274863654166,3.78420265335348,4.642346274905625,4.250918314008705,3.8589404145058186,3.417768560280528,3.82311573107348,5.326090412654905,5.57154739598006,5.95649297231265,5.719975903707724,1.547898295892869,2.431963436523446,2.4803570381340907,2.570351933120759,3.8357045797270084,4.008455929360349,4.894653437848182,5.039326134640381,5.85949982225017,5.06941235223911,4.333883544300923,5.981080990737397,5.634896958959585,5.871897472828584,6.3519162744328606,6.515115900039105,6.979564236315244,4.596003002615338,4.494377387396751,5.808453455850144,6.380120352198666
5H,0.0,0.0,0.0,0.0,0.0,2.154849636792556,2.5195195559472943,3.057558014116735,2.7604047711500606,2.433488224652553,3.2628183848962102,4.124584627327617,4.789141481682101,4.739795221862869,4.357159386400575,4.147434319682344,4.132929707958972,5.86484687366177,6.156476196066964,6.351707955874801,6.3587932727425756,2.107977233850349,2.613343840791646,3.2154776480975746,3.342930654808403,4.407004194994253,4.382683028479885,5.6429326947425125,5.899929511835536,6.5248965423044725,5.863796453700064,5.2046018812031445,6.842792761500809,6.23888260038322,6.43759713463205,6.8208497189603,6.985080282433803,7.347053515790589,5.019554438158826,4.8877968785514145,6.1474164309724735,6.661915072061141
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0940565681520837,1.1010243020914678,1.5539818955992164,2.183407861076775,2.173217945948202,2.620768158656991,3.5415926533903246,2.8593156882851685,3.1428251456333887,2.8425116136626674,3.479148009522203,4.560136748157628,5.0588927483752215,5.16097055828416,4.7713098868292025,2.5598568761539244,3.1036390587458764,3.499077776624615,3.6925146162088804,4.832508789622785,4.96661046743668,5.572053024360872,5.682116948717669,6.616861614319718,5.339922553874199,4.394012414527373,6.129131989992929,5.8423247425254665,5.783467808299509,6.790541367825658,7.143277552395683,7.360782555764661,5.8499520460457175,5.856530686347032,7.035183589843551,7.696179581622286
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7482048687855105,2.181149773482281,2.889794919867085,2.279497930979886,3.3374138364748003,4.158695173133162,3.3528262090087377,4.121216743798056,3.843761482165819,4.520495982574566,5.477342929862264,6.051531692887328,6.045324607421051,5.573504109284515,3.459929001485658,4.104083263485602,4.301047669512754,4.280038364180917,5.707294857605095,5.923760504478344,6.469329918417779,6.460772552182311,7.5250027869731415,6.3159337555550135,5.349798853291876,7.053589681084226,6.905478295126403,6.848757127735322,7.861425653572297,8.180292764383452,8.449059698864808,6.5804396849898215,6.414445529544873,7.826916784799007,8.412425666677535
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2024186426373467,2.9593809082398126,2.899165886815767,2.6391604859490827,3.706688784612243,2.587222476425056,2.893651685333152,2.3120631070421624,3.479683024361898,4.126889454734859,4.571047800717259,4.880567150885058,4.171465676821066,2.7729637288106987,3.4027286150616547,3.365410084161448,3.5520578536075487,4.65401683861186,4.929478353331229,5.102552882228115,5.098483200887304,6.18639668494224,4.737923124079325,3.710812412395806,5.393083483321439,5.4023704144744125,5.342373151766846,6.479769859898331,6.845227353851214,7.120553840882402,5.777358966614658,5.845961665461812,6.959420250700491,7.661653978914878
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094365128050461,1.0949264048082037,1.5451873756686592,2.1647987288629515,2.182000874619089,2.52290563422326,2.8087596994605946,2.765308128830685,3.9052027810506695,4.59073556303476,4.232334982821921,4.246093694221635,3.2105549162232947,3.1457394708506325,4.401968234740867,4.857053494666363,5.512785359689287,5.350668272279489,6.237282694209984,6.565533647398991,7.217884285769602,5.745979815161225,4.837876114874672,6.56946406388313,5.85804766966949,5.523133581231362,6.779448479317036,7.302857995807375,7.155154803097064,6.673797840551525,6.874077922603834,7.710152833541285,8.448869147939801
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.754857115622318,2.1562134878926194,2.486535973255517,3.0705981865980494,2.7315946820869415,3.1353076002305444,2.522641969686186,4.143748931629247,4.697062033738733,4.356116457692436,4.708497675152926,2.9425137147375695,2.5735967868237455,4.2732081231105346,4.8316180643621935,5.235859495734212,4.8939214969057065,6.133734241090953,6.605896015453838,7.027571487415952,5.746816520732552,4.982446947322887,6.677993923895474,5.67779619811828,5.401384414229602,6.420818841858638,6.9218246422388345,6.71589089588722,6.333032286853273,6.596276720337604,7.273783190614668,8.00180507454495
