 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,C31,H32,H33,C34,O35,N36,H37,H38,C39,O40,O41,H42
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5233769943157669,0.025511599274575247,0.07338598971568804,0.05931913748294948,0.009276870761164402,0.0011872987214199826,0.0011514302014602462,0.002202772427812749,0.0008733021706698318,0.000490528151398606,0.004943746130385451,0.0007678027663192491,0.000591296607302387,4.328638931372364e-05,2.2456593616992926e-05,0.011265343592188642,0.003826397205390842,0.001846398441991741,0.0003853451248035933
N24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5798019430562005,2.9227018956850075,0.09531180150833651,0.17830448496628837,0.009824380736636051,0.025599933763382543,0.01862858944736545,0.013305949703205533,0.0010642584938653776,0.0017916453342411431,0.00022370299514243297,0.0014014779163460667,0.0006186610177428831,6.474467818073926e-05,0.19412449927472056,0.05280536702104861,0.029000718015244745,0.005299179698012857
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09619588645440758,0.025354668525139568,0.0046820676194260225,0.0015666392909412519,6.89671940616865e-05,0.00030603545108787156,6.504052483125022e-05,1.0849577289029355e-05,0.00015718754039328875,1.6980603021465868e-05,0.00021363501526250328,8.110225496671397e-05,3.523523606885348e-06,0.026503639720272698,0.063476346413882,0.004245350785115898,0.0001396186234488006
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8787224720383844,2.6747267511756814,0.08512370128396651,0.08831485748579038,0.15410759850153963,0.008416396192761244,0.02653907389668486,0.012354734249797383,0.002905189243890799,0.008628819965767101,0.0018358261667466014,0.00013342649259029393,2.647719126409713,0.282054145880809,0.22568393211471469,0.05309861952430117
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08088418804521669,0.03192161062636689,0.0027117562164906683,0.009201696809320037,0.00024302742704263025,0.000986926139381561,0.0056479752778202386,0.0011961336179753257,0.011545757965768288,0.0008300052913980949,4.493091967816554e-05,0.10521617451156873,0.027437456570638785,0.010396588545365404,0.0006751929386323852
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9435903112904618,2.112414789765784,2.7583811900436093,0.08550668331773648,0.09278301542871592,0.15747056628060174,0.038738854652578716,0.028074896924548925,0.023385521318687652,0.0024693842098155727,0.19244512055085042,0.04166757243820084,0.0349451207094133,0.0022019292887944797
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02607024374357847,0.10235009837387765,0.004029362768863898,0.0064205942864474785,0.026878404680053647,0.003928854127029036,0.0034863083231748693,0.0008889536442588941,0.00015877621513027407,0.00831578961674162,0.0014528588049957936,0.0008423923076523732,0.00017241870788375913
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08260820966557136,0.033159940185615744,0.003506252580963043,0.007367346983467193,0.0008323445907549853,0.008855515878457343,0.01983087864103994,0.0004882435048805256,0.012712717894584946,0.002323612287496224,0.01813181338287906,0.0003138669341316014
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0956186337701466,1.883605149714915,2.595229893904839,0.2850538230059224,0.22314131564806616,0.009099108529497135,0.04370865695092685,0.030233647808005554,0.0079272435318469,0.005389653825583179,0.0004204782725997225
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026708599061805893,0.11427156227605617,0.0170199978600587,0.024671229859550947,0.0017067796135399327,0.0010792787351550093,0.0011715243782417506,0.0002872259575767977,0.0004738868758905612,0.0001627716165786275
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12284737444244831,0.026819151890448922,0.023262813168057672,0.0001429838319007004,7.925362661254098e-05,0.0035045859280122826,0.0013621422606727718,0.0002692398971682053,4.821730675241831e-05
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.787036844623072,3.7812935630316526,0.13739795574657743,0.14885334340870593,0.0018054661794308924,0.0007999229986492412,0.00038657853178544754,3.4045161915963185e-05
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55053991705529,0.030307594908363877,0.026783656003219747,0.0006591159767275201,0.0002197459499061749,0.0001289955139040927,1.2028468909797141e-05
N36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9476667841956141,1.6842823372696363,0.0008210371593599108,0.0003864917471682258,0.0003967058573743909,1.9037086989692753e-05
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03819937540696494,0.0005345937406270318,0.00016449945440610847,0.0018821024066374425,7.337441470789408e-05
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.991675527135417e-05,4.745097515912455e-06,1.33049658597173e-05,3.047016812196546e-07
C39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.967985932299702,3.6311372803379305,0.1675720602746542
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5131361786159533,0.056880361297156345
O41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7178107146125527
H42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
