 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,C24,H25,C26,H27,C28,H29,C30,H31,C32,O33,H34,C35,O36,O37,H38
N1,0.0,2.027767231987953,1.8599671634380126,2.7707768624764553,0.08762128228822441,0.20458009512775635,0.035962235627627015,0.0027403256454883174,0.02899085949829283,0.005583719413253051,0.0054575797691756855,0.0001906270884641792,0.0010214821897558402,0.21703114679468127,0.05668749457042701,0.03302530515861876,0.0025046832773888417,0.007379604649647403,0.0002809283778522076,0.001435756522269585,4.510987678174594e-05,0.00027709741543902044,8.418143127914696e-05,2.3776198522659775e-05,3.1764767848274644e-06,1.2820756778955666e-05,1.9826679653611734e-07,6.015569831971379e-06,4.25871632403485e-08,6.9418571210372315e-06,2.590663050749953e-08,7.760533799999747e-06,1.809250793009809e-06,1.1341386829677447e-08,0.00048624231523715367,0.00013615979706060877,6.764153978482818e-05,1.3624999105621427e-05
H2,0.0,0.0,0.02745190422038668,0.11165099641854392,0.010122269405825834,0.03074313294129516,0.0019018348453105904,0.00016445414563159844,0.003912193890358795,0.0005080187927183344,0.0012877887367992447,3.178570169115602e-05,0.00021876060974479472,0.005642618809470701,0.0033500727504505168,0.0005556449624537496,7.05637068987297e-05,0.00018323153595334318,6.633614934470344e-06,1.329975644115411e-05,1.6519563850181385e-07,3.0188930137953207e-06,2.573354869861433e-06,1.1702700096760665e-06,4.0632705866627816e-07,1.5521060751089166e-06,4.07558546910991e-08,2.67283468691204e-07,2.4755864025394203e-09,3.1798561961338123e-07,9.761784713901989e-10,5.862315672899854e-07,1.5425332777763145e-07,5.744011932762305e-10,3.2509622830412255e-05,1.842501120175033e-05,6.817663661506934e-06,1.0667188794499793e-06
H3,0.0,0.0,0.0,0.10899615101222948,0.033136618655592365,0.005054621015069705,0.000501933507047525,0.0010382050002541998,0.0011388278474457891,0.0006875586070728135,0.00020986290765923066,2.741230178582299e-05,1.5155026347857259e-05,0.028137907073007895,0.07390377294863237,0.0046900328204404484,0.00034559713624338073,0.0005750985741621584,4.2263059007785486e-05,0.00011261860104549992,1.8279907841645127e-05,1.46790773982719e-05,6.970360939995146e-06,4.144545962425639e-06,1.7232158258106978e-06,2.0490069907452835e-06,2.2643619423945438e-08,8.610952411114425e-07,1.3129525910926532e-08,1.029527325169255e-06,9.700060754624928e-10,8.403663573908204e-07,2.0852069249066574e-07,2.0279022905356214e-10,4.819110850429187e-05,1.507437369696607e-05,3.704246685387602e-06,1.2994446281222594e-06
C4,0.0,0.0,0.0,0.0,1.7349008902927565,2.7619303220144635,0.08614799861542854,0.07695057860818633,0.16542746101208522,0.036388359418717695,0.027494666050020336,0.0020559445683628885,0.004119373480904631,2.5177780060399453,0.28479769760924484,0.21704569166786172,0.015345424219443071,0.03541957823085409,0.00256667925532883,0.004092619577247075,0.0001429020860990171,0.0013855414778378705,0.00027872194991043764,0.00012043808071351969,1.7280315286694048e-05,4.5208169354327143e-05,1.4008373516727346e-06,2.7154236115115027e-05,4.1843542253339194e-07,2.246272603557975e-05,1.347220635050661e-07,1.9392292005232514e-05,4.517908138532145e-06,1.0847585285578276e-07,0.003945072939019606,0.0016566686299174516,0.0007037803503294471,0.00010409842908121192
H5,0.0,0.0,0.0,0.0,0.0,0.08079794340117052,0.0016168006045396144,0.028135629105646265,0.019552768660792808,0.017280381329218386,0.0026000233851345422,0.00028096642140784667,0.0001291638285505492,0.09464662320037132,0.025240475282535257,0.00972998001550629,0.003577828206585254,0.0014317572705231374,3.168549989451819e-05,3.6539766773202587e-05,2.7992445119640053e-06,5.6707064319816425e-06,2.471153418504013e-05,4.70818596106648e-05,8.03527433856921e-06,7.801258194439775e-06,4.6670472664267493e-07,1.0513296291758678e-05,1.5412734155617613e-07,7.421633443804865e-06,8.999309297763602e-09,3.1370602426861183e-06,5.723650527977853e-07,7.107523902760704e-09,0.0005480498674665935,8.331010609308187e-05,8.282261503467225e-05,2.195977895258494e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.014045605685355,1.936323647956553,2.80035273759141,0.27681223955439305,0.2327453679364543,0.015139494790040287,0.042610350895328386,0.18527716428501256,0.03998548556131962,0.02949290903809182,0.002109774807553255,0.0029557080148972514,0.0006079789985015127,0.0003439003346279168,2.7828451252709385e-05,4.3574243601574025e-05,5.4514722216111866e-05,3.87105925547665e-05,4.1680735662463775e-05,1.2871990488799723e-05,1.644605473805072e-06,9.819924943421654e-06,5.497592661107831e-07,8.390526620674632e-06,5.656027957101628e-08,4.075424289734508e-06,8.77587835221294e-07,2.2541689959076905e-08,0.002352322221258668,0.005706410660069813,0.0007402490937938738,9.38486420667406e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0273611076959428,0.11052170581882459,0.028729553226873428,0.013388162607688048,0.005019143685876193,0.0014002879567458493,0.023681001089957077,0.003400271266534749,0.005682741053396501,0.00035951752781815394,0.0006247377408641341,0.00014942177698129555,5.140900189304354e-05,4.144353296098302e-06,9.578218408412553e-06,9.454308490752794e-06,7.486647840559968e-06,6.369236251302368e-06,2.1933840094190415e-06,3.4523267888886267e-07,2.0131791444999436e-06,1.455909399705746e-07,1.4931812134522104e-06,1.0853673071409276e-08,7.595089577261405e-07,1.4931922864835911e-07,5.11090503252376e-09,0.00047402877562285894,0.0004241742034312157,0.00016381761784967086,3.565335308408635e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1123265154163815,0.028809539003089246,0.016826396324087667,0.0009227496939672175,4.285986106156159e-05,0.020894641142398918,0.004701591194213428,0.001565258019163629,8.64514779166381e-05,0.0002486280912683547,1.498166974167603e-05,7.717095336567947e-05,9.492174015024446e-06,1.0427196800222305e-05,1.1532662545055139e-05,3.0553136002309245e-06,3.825775773957929e-07,2.232681782010637e-06,1.3232362960913235e-07,8.376756681638398e-07,6.105883176843463e-08,6.772703131652236e-07,6.051190726275024e-08,7.049338848208464e-07,1.693918831868757e-07,1.1954320644491645e-08,0.0019775273375219893,0.012661658218736327,0.0008460244214930634,2.976160306400466e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.912066478055551,3.6851791451475506,0.1352735498742057,0.14821318073335266,0.009588147870216168,0.004242681486430422,0.016026172741564065,0.031129742187445353,0.0019689237977645047,0.0004987860184113568,0.00024303382983223432,0.00017812804182693043,1.7974503068174386e-05,6.38084301358699e-05,0.0002298660918158002,0.0004469423136410633,2.1035737277214084e-05,2.1416944426810858e-06,2.962207442008813e-05,2.4480186919806357e-06,6.855701247143742e-06,5.093535009326189e-07,1.0284149646128116e-05,2.1348849645608237e-06,5.217952600000686e-07,0.00052864675477729,0.0022305129333151236,0.00020624676870281689,2.4013763637031893e-05
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5532591730444674,0.03232511106973923,0.028715859574395486,0.007772278185122383,0.0022371772879878765,0.07364159896214183,0.19519792921301038,0.0068431312103497816,0.0015902811678365492,0.000817620942761374,0.0008137634704237229,3.204778607424075e-05,0.0002843826783679171,0.0011317194626967314,0.0032767507546497265,7.303019917159759e-05,9.83306144419771e-06,0.00015476339268923056,1.1806962348481775e-05,3.287922370867613e-05,1.9253610845648694e-06,4.14492740168082e-05,8.533709168534465e-06,2.1268842397281773e-06,0.00026268782890800924,0.000525180172782358,0.00012649366565201103,3.604691893810408e-05
