,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11N,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24C,25H,26C,27H,28C,29H,30C,31H,32C,33O,34H,35C,36O,37O,38H
1N,0.0,1.020033486238436,1.0228387566702897,1.4626436948078985,2.09094999696463,2.459902244362744,2.4575472533968927,2.94715601774901,3.781739060892534,4.288202210021981,4.772560919621625,4.843075551098208,5.6922090093626805,2.492678642153849,2.767037183297679,3.704558656852082,3.9429645257998636,4.92124035842175,5.051460786792947,6.168270742526023,6.332524262141146,7.03754851576402,6.455487329741889,6.420995215638069,6.150435554494743,7.180508159280994,7.508498772190928,7.103164664103494,7.374782600308328,7.801085493185997,8.533058771341306,7.766200101138815,8.651603803679203,9.157558156598936,5.345564660218858,5.1216901816859215,6.460781729452917,6.870821745440225
2H,0.0,0.0,1.6104129933481022,2.029542055347147,2.2722214673543366,3.326801173471473,3.377453192542814,3.877927032195022,4.490112512062506,4.788245677076606,5.5673173349409275,5.731643103367029,6.43255364545103,2.805421770698976,2.995901645434912,3.9462785378034613,4.255423375197925,5.145432262571773,5.12267816149994,6.327602167977685,6.606959845287582,7.211932712718576,6.392693364794711,6.31369746337181,6.170347387681677,6.973566423829819,7.336388546614292,6.819707580939708,7.072224430081025,7.438468093571226,8.103618839615013,7.366897648750083,8.143081247441744,8.606361709573937,5.800016098811719,5.762373334541971,6.851851837501983,7.365924304267207
3H,0.0,0.0,0.0,2.0107467154496437,2.8894219913113908,2.8353784374381465,2.9131152421770476,2.9419286684328707,4.287350775044,4.8517188948295615,5.245671883453109,5.219498977472526,6.193994674414393,2.4845297402012783,2.307196144101565,3.830057084982353,4.268522983389035,4.829834832529231,4.839554113082055,6.226097187486826,6.480849048912934,6.981737542217865,6.653348509488551,6.8266121346138835,6.6360811234019765,7.29055870350138,7.471645966520244,7.586395659265878,7.977295121693871,8.009323732919311,8.676685068498559,8.146860718470025,9.093127132566504,9.524235108428751,5.0660722970204075,4.856919806374511,6.056109690890631,6.401668628448095
4C,0.0,0.0,0.0,0.0,1.0953914415215833,1.5503872537611667,2.1460491298786204,2.1901312152974586,2.5881991973733935,2.9104548228327163,3.7873249590806513,4.097164831034298,4.612676744918638,1.547169378905583,2.424098793378939,2.459123803881965,2.52149351369561,3.79864655282811,4.168311714616224,4.911038542199752,4.955869664579514,5.8364728197240305,5.271894934468682,5.198175219130735,4.82546270032609,6.17207099648669,6.569214806704363,6.027962604612555,6.325175110088154,6.891318977311837,7.730295486350216,6.828057678993025,7.8245279957382445,8.39908814779212,4.295823858636515,4.070300537759818,5.532786225536031,5.989476721947305
5H,0.0,0.0,0.0,0.0,0.0,2.156184613777003,2.653198211084701,3.0391393934851036,2.632563211697619,2.611517639564759,3.869008452790495,4.362898503674121,4.558135048208014,2.170789023587383,3.2026061395854883,2.6390563882716394,2.436103545434226,4.078532964547395,4.488702943130946,4.915299845219644,4.906064814366249,5.93841965237133,5.005373072520563,4.6610999940961015,4.241498241437757,5.938823444964996,6.501815337375316,5.337541437022023,5.494105507806193,6.490598693958014,7.3739244390575545,6.223811091301961,7.125713373521335,7.770243883693429,4.848494578053004,4.728358134915748,6.106277464798389,6.6550044539031825
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.096067665093821,1.0989884198450994,1.5258979623334512,2.4408989758366175,2.434447861451206,2.596075326516701,3.36383235137374,2.530161658355291,3.3638221022056283,3.1070833184595497,2.8536534060296703,4.29537107905469,4.927832007995443,5.311601071560804,5.072344152030149,6.182015954749648,5.9602166338840945,5.863204880387708,5.260287597773584,7.049300199237236,7.425396438857324,6.858905736498148,7.100179570456503,7.90436440283347,8.81602690464609,7.821306239830294,8.88652499481852,9.52632305727221,4.349210284518958,3.710786034201548,5.653417423127061,5.900000830221647
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.766882812981054,2.155688085229845,3.216066236634135,2.599156726776949,2.4432141359933355,3.5939399489658155,3.4105410542257246,4.0969921976004695,4.146411480803142,3.892729721711997,5.363771404322019,5.935369136805009,6.399179719476241,6.148656281514512,7.276768685541958,6.989803833528038,6.808357735181011,6.177123089716301,8.058299819865928,8.454390556615877,7.716174169609475,7.864935685765971,8.8466845256507,9.747315118996223,8.69358804273923,9.685949544398321,10.342024949021095,5.382094324561455,4.67797130413619,6.656647693976056,6.844988608435967
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13643901965251,3.0408360943333745,2.8055358216148893,2.774002794935433,3.702494343446955,2.596924946319073,3.151685905868286,3.1934379826360195,3.13694140210536,4.090208615975306,4.7121768551688055,5.233629736663515,5.024151287421256,5.960483100250646,6.1179437289868535,6.250591691417496,5.707356289938767,7.170192443664483,7.3974272719789775,7.365767392750605,7.731486912832151,8.166899703506234,9.041243953395542,8.255430843246415,9.406663409627235,9.989506999057802,3.7787597951064535,2.9734577066350676,5.003725945888519,5.111860280150786
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2329780113259672,1.3606505480116942,2.0810305489099292,2.0433180293509317,3.3319377391924507,4.396777014441201,3.286751012488735,2.585524772041472,4.4061658735964055,5.269608822267985,5.006812192027653,4.482889340425945,5.917142667392628,5.6324966710814754,5.323864367437692,4.50662263291369,6.895341061898315,7.397421865363217,6.359545466644841,6.486513500462378,7.732757651658718,8.737227802448903,7.50043108273549,8.56772999356536,9.301240620061343,4.521077266882652,3.858426031878727,5.865409081881769,6.1239595046038335
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2585014503317447,3.172123578038617,2.48288081050326,3.343745850715013,4.5323079707055465,2.8557175526247947,1.9123771975078458,3.933290522004368,4.849484722760325,4.213411472070363,3.6252737929320795,5.190938823694562,4.664066394577291,4.205365654931768,3.3209339828715776,5.978739582244943,6.5868168412957155,5.231609883007061,5.335918638807145,6.750449210271133,7.791715431149247,6.433260707791873,7.495691813646352,8.26124885875028,4.35198091353743,3.954878591835776,5.672348743673542,6.074179468231409
11N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0090662043457863,1.0108297561738133,4.605121897113089,5.580930162259354,4.576188358459343,3.855486905620447,5.5670036743822555,6.484419836029199,6.077584145528576,5.406431756671247,6.911432615711907,6.794894286609409,6.443574131902547,5.530672392618975,8.107743852925479,8.601023945013123,7.482538516983755,7.525059820779365,8.966353367021469,9.99201876690336,8.691093182381602,9.74165556722506,10.512072024486457,5.44203805720413,4.577973989436126,6.7336859180366195,6.836345523102482
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7370853191502575,4.989398784697127,5.820765908435763,5.173538771484055,4.583844832242227,6.140819682386175,7.003636151931887,6.807936610319712,6.189590321466857,7.593514943970696,7.609116791952709,7.344164147657992,6.47090694835682,8.886581885315433,9.313218219125242,8.397373243114846,8.46666975108931,9.78520110417831,10.78645143573439,9.567713178757579,10.628416270376567,11.375956760912574,5.845898284420709,4.864387446422102,7.0964350655423685,7.0943257812650495
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.31846569363618,6.3503741548968105,5.066231978116664,4.230931564358972,5.951363835085538,6.942891930263211,6.22186028541345,5.412444888039052,7.024943962257088,6.916790160124829,6.475082188133973,5.481315543627659,8.282594212383664,8.822052958760871,7.504965223339717,7.481868615703499,9.121976994371062,10.177879073142075,8.779670981276105,9.814263657059954,10.622467953992247,5.836987135818101,5.002324770866011,7.088232662852274,7.182439602466268
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.229223454746739,1.3611148112246,2.0244909785557375,2.4297444403536015,2.6582460188899324,3.749085659644659,4.038156911901801,4.559582404243738,4.245436522953521,4.546929262969449,4.406675484652915,5.018877775455629,5.248348494308646,5.5037833223036525,6.050911680796432,5.9025911353182465,6.680127449432619,6.116858676214969,7.24241794273288,7.70606021138767,3.0285580311956313,3.1448961448933024,4.154601762170722,4.720972299184533
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2820324627863133,3.144488650633086,2.782118506154296,2.595324929180991,4.279521370476935,4.765799548210283,4.881826592482718,4.834087193902465,5.381586625682618,5.409256152933975,5.348122097958822,5.354437363153217,6.290114089901186,6.940382637921295,6.26141644203603,6.888668963520964,6.6874104877474405,7.79977441427875,8.135102371156947,3.133608324437335,3.3802928020169003,3.9682829892688662,4.491329784598638
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0212181165669059,1.4446248981576917,2.074109992565976,2.4704108541194802,2.7103552761737926,3.3880441665212575,3.0261442815050565,3.366964908117154,3.2155161895477917,3.9948563721002563,4.318347516981463,4.489405076925372,5.109526210154389,4.981364166480404,5.857763794378578,5.189924508537283,6.417069502188187,6.924804627493898,2.4477978633194946,2.8003304045247934,3.6194545017111763,4.308236195050552
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1312149863935135,2.96795440187949,2.6476522476150812,2.4914503885240578,3.6684966092258513,3.1374566075076014,3.1144831163538034,2.6479630774021503,4.333230816071169,4.825905433067073,4.280426097019469,4.740460074072271,5.241107908596904,6.2167382340974635,5.2209287231822605,6.419468936777086,7.043759554154704,2.9636321850633816,3.057437828889654,4.2188959932742955,4.829847949521462
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0942693410145838,1.5513401635077042,2.1645232281934557,2.152217775758302,2.5637364479688682,3.460184816017376,3.5629190587968456,3.3505124715591488,3.3748368280957455,4.674124826779039,5.503738949743009,4.593649708162729,5.373981789913194,5.142948344331618,6.468649449216456,6.846090292374383,1.5340828474596704,2.450235647582504,2.3846610371544066,3.219404246080923
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1756174114195934,3.0683529278410973,2.504216433827176,2.7949543258682565,3.859451901021986,4.214330804617195,3.1179395582279748,2.9212612923949264,4.87452947698037,5.789276099356451,4.307290037855399,4.918743283436328,5.060871384561528,6.3335807778603055,6.573477056066971,2.1316465543270726,3.1845942279973087,2.517185208960744,3.434172686120446
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098195581498589,1.0955925778268207,1.5136062864361106,2.543080427214149,2.748252026334619,2.5332841228952123,2.735430271638062,3.8288967047221925,4.70680139860801,3.823243350736597,4.690370956950461,4.332588314773078,5.7001544586973845,6.112064427383832,2.5245806011793057,3.390661427294737,3.028500567878665,3.85861404980925
