 ,N1,H2,H3,C4,H5,H6,C7,O8,N9,H10,C11,H12,C13,H14,H15,C16,H17,H18,C19,O20,O21,C22,O23,O24,H25
N1,0.0,1.84756606505378,1.9379061498670085,2.9303835892574974,0.09711546346733235,0.09766387211462657,0.21557183403580352,0.045025692035574015,0.03228213077318064,0.018327778503812953,0.0038943807547166254,0.0002564022952965539,0.0007405923201070641,5.931398851166669e-05,0.00016786166475735165,0.0014000157875828229,4.230071539512714e-05,0.00021963776108302469,0.008461216481459144,0.04208201450441264,0.003531681827386529,0.0013666553028122974,0.00011514189874618774,0.00023177132629706443,4.038335804557036e-05
H2,0.0,0.0,0.02859802907980491,0.1019657932955671,0.00566229821119002,0.031618484584230444,0.006078621391090833,0.0007357535674378246,0.005556550822311768,0.016285488773897017,0.0007333364818558064,3.412001915648055e-05,0.00030827621307183417,9.328135787978198e-05,1.444344786838414e-05,0.004629041763312469,1.1404620383181907e-05,0.00021441565896362924,0.016591052543775242,0.13206337097415055,0.0053987549418975656,0.00023809354138681904,1.1380426650386966e-05,5.31088352614395e-05,1.9453419293435914e-05
H3,0.0,0.0,0.0,0.10121963739559336,0.03586544798189495,0.005164444550740388,0.008860514950667309,0.0011247027543683785,0.0038568725474888987,5.2214874947997814e-05,0.0002796314820981971,6.035773813817258e-05,3.230735015147257e-05,3.815520367433933e-06,2.7364531971496575e-06,4.727992413511295e-05,9.892223957752577e-07,4.745304285069807e-06,0.0005373781476936124,0.001584230135525555,0.0001110486006993261,0.0001749184590783548,4.786209967067023e-05,2.054117052996407e-05,5.4163490958991645e-06
C4,0.0,0.0,0.0,0.0,2.011800605406671,1.9834613422487675,2.7573088526788645,0.2894527685769405,0.23133048616617444,0.009678717227992406,0.040014353326535745,0.002377125493148391,0.004013701196930661,0.00016480802984775167,0.0015543325432862964,0.0003663502153975762,2.874814833764283e-05,3.400803022612919e-05,0.0010453185322815417,0.003779815950793977,0.00032761458598563886,0.006047817935473154,0.0012744065277155853,0.0010346645210045496,7.579528428480753e-05
H5,0.0,0.0,0.0,0.0,0.0,0.02656592383252776,0.09945731876977781,0.027409515705065002,0.01382202461373594,0.0003574388420330976,0.0013207373534702693,0.0004469516171459187,6.693730681328613e-05,9.666982812017721e-06,2.9445018407958656e-06,1.392171831482436e-05,2.3767297878674043e-06,1.4274572341932412e-06,4.136480665195563e-05,7.214690230306076e-05,6.753520405355928e-06,0.0005406588208356489,0.0002518005919243116,5.253747539080145e-05,4.890614820896033e-06
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.10670644644938321,0.021205207074900145,0.02337282282518438,0.001599218703550065,0.0035596841949234737,0.00028862132860374423,0.0006597810646977731,4.234104637590441e-05,0.0001407728984992307,5.4896654315461646e-05,3.2634336790682283e-06,3.808721311004959e-06,0.0002502209949557521,0.0008204674975708093,9.936620209372027e-05,0.00025517660432705647,5.249003821006237e-05,2.0963999194822946e-05,9.759546016674392e-06
C7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.652747470163358,3.6580717789963644,0.1303362650855946,0.2898787654252819,0.0257232598228756,0.031046044045048043,0.0010554098901280895,0.0043444307109163915,0.0019435830130800913,0.00041979560420002393,0.00014083084184468575,0.0031047686673149333,0.019127636593099878,0.0010650994115589674,0.042884829929484586,0.007886843203852939,0.005863976204339233,0.0005855807583549089
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5576168721804113,0.02051706298792677,0.07417755389985342,0.02230813922414132,0.00933181236704976,0.0006558156836434792,0.0008971033281121032,0.0017067426620193116,0.0005143840077179718,0.00012445096418445267,0.001275027746481333,0.005792601450826072,0.0003536429556377507,0.04670462354646876,0.008742030739694318,0.0043972636922201686,0.00038663127219573656
N9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4948574532885364,2.9395071295120054,0.09922876067016051,0.18045655403895405,0.008387136314600863,0.025451304929230645,0.01817289377198253,0.002686117240074948,0.0012433437869425745,0.022452953418738014,0.17039164009138527,0.008341918143690799,0.19889718959617772,0.02781757093087764,0.02914881099853764,0.004865956211654976
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09826431834385274,0.008904361132577865,0.020076717270507305,0.0034106058166196718,0.0014928600194334951,0.00578085977315379,0.0002959310618773081,0.0002768205648513433,0.04670035620400892,0.376229070094236,0.010085284316524445,0.009383982127217916,0.00047853567345113035,0.002089154830559714,0.0008478375066267585
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0183466472702536,2.7952663808572455,0.08442124326397416,0.09401239843681419,0.16045278145732897,0.023645485752250783,0.01734681174750663,0.008192795653859886,0.013580001768985092,0.0036361584811253206,2.7227880505543856,0.26119102210703005,0.22239020311355653,0.05525652585083629
