,1N,2H,3H,4C,5H,6H,7C,8O,9N,10H,11C,12H,13C,14H,15H,16C,17H,18H,19C,20O,21O,22C,23O,24O,25H
1N,0.0,1.0251792681599339,1.0201230893123463,1.4664800137245178,2.0870623499547616,2.103792209690218,2.5830900504539827,3.624565983906159,2.9460413626244177,2.6415586375628273,4.314344687920384,4.615994994179877,4.972527106106765,5.084414326219531,6.018313401431489,4.742549399718464,5.7704132534262484,4.6614515248004125,3.980392956490216,3.1338319022321923,4.682180611363913,5.347232039656529,5.558489112342852,6.444979010781924,7.10881154264638
2H,0.0,0.0,1.6153998974593782,2.068298083566164,2.422429581681432,2.9663981314917494,2.820781464549258,4.010850902381249,2.6987352933961444,2.055264569899607,4.015543368718959,4.474237324433572,4.384362139897286,4.378024381529664,5.4691682174420535,4.074766885105858,5.050979996950001,4.182943836640395,3.128673028742329,2.1756476991971603,3.8500033413132466,5.119929725866109,5.311768972286188,6.283904612171682,6.959989155367702
3H,0.0,0.0,0.0,2.037452512410435,2.932400949918742,2.4159626301316997,2.7724401963008605,3.6660496465903907,3.117256463817242,2.9074298470374154,4.310697462322159,4.381465607727754,4.964510697066635,5.279845622461216,5.951123087489791,4.539715303040011,5.545463330220464,4.237819149826035,3.899581987874326,3.358394254344637,4.481463492592976,5.501896170002909,5.917879861645823,6.453173167242064,7.205904782363392
4C,0.0,0.0,0.0,0.0,1.0995047259655035,1.095925729829472,1.5434638644628684,2.436090578971222,2.4346349940921805,2.615910470634696,3.800556097483559,4.1338623645073795,4.825159945935026,4.928914571204137,5.791000153357427,5.034916964821692,6.12325305706257,4.967490897367489,4.6437706511875785,3.740162056467227,5.584373403270852,4.497817124081561,4.588925510574131,5.584557052143366,6.133520732789365
5H,0.0,0.0,0.0,0.0,0.0,1.7623784611308964,2.1500634196728914,2.9974574712506934,2.8398579147989196,2.91087772807262,4.206514763761787,4.753818767373645,5.1475479159152835,5.022161325736686,6.123970671623879,5.521244359635961,6.578944422122252,5.646007316261823,5.035871174107276,3.945916758079073,6.019753025271769,4.653444565087491,4.45592323652658,5.85693904081033,6.273825447393677
6H,0.0,0.0,0.0,0.0,0.0,0.0,2.126259206861751,2.515632130866172,3.304985182457025,3.640870936942613,4.542359632506542,4.687384322563945,5.715366245176109,5.9131632231246165,6.618283790804179,5.920938830638901,7.015263304703982,5.7084015732017015,5.604421393825908,4.778700236525434,6.487135395508037,5.136963826764748,5.252273264507724,6.084010529576743,6.599236810443028
7C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2373782610587152,1.349736372204322,2.113535079703144,2.438329055338642,2.714052429824925,3.722246371685097,3.996273314519128,4.553810444246774,4.225529718923799,5.3071944653386,4.117022145628656,4.321136141309913,3.65536834354836,5.413762056650547,3.0729806330302134,3.382267207319463,4.0685717292540495,4.664320711375808
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2807911089179433,3.2306018213036993,2.803545753333796,2.7636301265349372,4.307293836531281,4.7116688849181525,4.924092792713979,4.976337504195397,6.012104890521676,4.724954712104821,5.344532460773812,4.811742101809723,6.432760510338931,3.0396060005979555,3.425365541157366,3.712221574035968,4.226704264979102
9N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0500588598917477,1.4399717910528005,2.0978357888829517,2.436243297978371,2.677384265690474,3.363905621421961,3.009085702888514,4.068367904876132,3.1272778715952585,3.2136557351742385,2.653748371142663,4.395347816005021,2.457330794380233,2.9000549302110272,3.5870381870817063,4.276559969329461
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1016115204402817,2.8251322375845795,2.432294449971479,2.451822541696923,3.5087789776551097,2.635300508056602,3.67473980171826,2.9684671540894363,2.3861517477189422,1.6250776674998761,3.5629092095021107,3.223599110847164,3.541029016354226,4.398364882963714,5.085654919358166
