 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,C21,H22,H23,C24,H25,H26,C27,H28,H29,C30,H31,H32,N33,H34,H35,H36,C37,O38,O39,H40
N1,0.0,1.923003166352937,1.958913976170048,2.933414295596992,0.10179477801375447,0.19128290000542347,0.02408851180392846,0.005727442564470886,0.031229675093094267,0.0013201888814888818,0.0007240168484443643,0.005325496769533478,0.0006067855155452995,0.001466045886021422,0.20540889088854664,0.04091046079963999,0.04955581427127505,0.06905889232422191,0.006234664642112447,0.0009814058955808225,0.0009221951342853196,0.000153856655485618,8.40497191895162e-05,6.015766816334922e-05,8.723481117911547e-06,1.2561334127747514e-05,7.668279416475632e-05,8.031437977140676e-05,3.075438767652372e-06,1.6379799556376362e-05,6.158445874149265e-06,4.4661092424291837e-07,4.032031595435637e-06,6.566372898419992e-06,1.0623803015086253e-07,0.0003282604425022262,0.0011968918050776767,0.0006633655321714865,0.00023942850606280264,1.757203706509447e-05
H2,0.0,0.0,0.027245905238169277,0.10278094116665537,0.004034975060365431,0.03257362234624428,0.0017116628683053747,0.00022391886082040457,0.004789155263196565,8.875479381420526e-05,1.379385442423775e-05,0.0012338469480781544,0.0001261551519081694,0.00030963538856787487,0.007642775194327878,0.0013750607148652616,0.00994330984919023,0.00665473686554674,0.0008565006699527977,4.147947549726361e-05,0.0005717454011273659,9.909659654772085e-05,9.096372157513244e-06,1.9786455995096652e-05,7.701824339179097e-06,5.607241960081666e-06,1.9572757373409466e-05,2.9347456430128815e-05,2.5223825650400045e-07,1.7327232614272603e-06,5.201935158183346e-07,2.398699205929944e-07,8.56913664692982e-07,6.884041079402436e-07,1.7172664845688246e-08,0.00010500746105890357,0.00012652076875618867,0.0002610092889464566,3.138345511588536e-05,4.7889086778329926e-06
H3,0.0,0.0,0.0,0.10198268062759097,0.036463033338737016,0.015374251712858111,0.001112632395821267,0.004949637132245499,0.001538189067859519,0.0001507770008246645,0.00033639302738142085,0.00017359356223056732,0.0001449783870351995,4.0873343068015267e-05,0.004951695288853308,0.0010623849318894818,0.007671645340442734,0.010813937104731108,0.0010789517002367521,0.00046185996755543357,5.920369989820262e-05,1.9098648497584136e-05,7.794019144302666e-06,2.6303949103079205e-05,1.0246148518522347e-06,6.130257215630763e-06,7.877158652491723e-05,0.0002019223996578834,5.370787017344725e-07,2.4547000733843305e-05,8.973173498016962e-06,3.656344182978444e-08,1.298940224048195e-06,4.3451152609286225e-07,1.297993994509028e-07,1.5057549429542405e-05,9.529736977842429e-05,4.3948528602122394e-05,3.101352210033159e-05,2.532803705657116e-06
C4,0.0,0.0,0.0,0.0,1.9848282829150592,2.7078091331976424,0.09017270520067644,0.08369380779979085,0.161173786750399,0.012104851260904215,0.004438149207453446,0.028403698370398883,0.0052413872365750375,0.004985318508263531,2.703099130112361,0.28245606635851217,0.21949622645281058,0.012664014860315098,0.037585215575400566,0.003694260414981887,0.0029903042444997807,0.0007520652435417663,0.0009225055761554746,0.00022436313601309488,1.594343533617426e-05,4.627390542322196e-05,0.0003658704868124696,0.0008686029433897513,1.717516097654581e-05,4.7315780564577414e-05,1.1504656027172544e-05,4.597222303059922e-06,2.497963256395397e-05,3.8648346033842707e-05,4.009827396789234e-07,0.0013967809588686375,0.0045501687104218536,0.0003481087648545128,0.0013593766443139726,0.00026832230576268046
H5,0.0,0.0,0.0,0.0,0.0,0.08136285958824285,0.003252284896994695,0.033106974949697277,0.011847414301777937,0.0006953846000863351,0.002734966804617933,0.0011384764150426108,0.0007478049391239638,0.00021478295667765046,0.11094334805177541,0.018156777132127155,0.024034790173024456,0.0020369475097927747,0.0028601807627663955,0.00015593352786535952,0.00038952887626708677,5.3972188029938195e-06,0.00010981930502773629,3.1942122204919876e-05,4.092585893511469e-06,1.1814651022845624e-05,0.00021653669855614677,0.0004987687477888691,4.6201768064690896e-06,1.3264616193331413e-05,4.779923431730282e-06,1.07355273049059e-06,8.094032572736332e-06,8.902512272479512e-06,1.3041435531491175e-07,0.00013811039296340866,0.0008461638903904944,3.0948422523602304e-05,0.00023081341640607267,8.081654161484764e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0452129321378996,1.9391440020586865,2.7574720950863516,0.08467019310915036,0.08229798571605673,0.18819361572416565,0.04618632849672774,0.030042450192930545,0.1865684579118188,0.03709653577431178,0.025728563985537953,0.0009832242857389373,0.0031688396890540427,0.0005517644499506424,0.0010489037374196153,0.0001581946755504493,9.145696685042282e-05,0.0004587388244830237,6.98749227279194e-06,0.00022299284937332686,0.0050246290348043565,0.005752791347441999,7.901702881429884e-05,0.000304576846763549,0.00019091292329864729,8.322655854042793e-06,0.000392650495838906,0.0002380122610525781,3.087252181344091e-06,0.004622519572069161,0.00034647719913882824,5.154632477716303e-05,0.00011093766011260886,1.6095157037043784e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024935485082190567,0.08821689842822678,0.029587889295698666,0.007841492743424716,0.00538241765947145,0.0007244420612678715,0.0007782525407603602,0.030268628496969097,0.005731455354972104,0.0039351373897722475,8.404201857392657e-05,0.0007183609261105506,0.00014840570709306888,0.0002007495098175216,4.7133050767644846e-05,4.090836079462257e-05,3.331779214410524e-05,1.2842888517106132e-06,7.483789994378043e-06,0.0001816539186527688,0.0003690158990432568,1.9775446002956443e-06,7.875650086752728e-06,4.576643907183708e-06,8.057110774117859e-07,1.1183918983359575e-05,3.477288303721515e-05,1.1483397654998839e-07,4.764119980116277e-05,6.455063502008862e-05,2.7630794134925196e-06,1.9824890508335358e-05,2.976497152529234e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08449863324599904,0.0026545024689101915,0.03130750404426208,0.018554454680556276,0.02633045164752046,0.0027231367967192055,0.012233484110276027,0.001168344551078282,0.002496227324457423,6.817304773809596e-05,0.00032718607652637566,5.6372107216873246e-05,0.00011422640754721325,1.5579997060921613e-05,2.0617437388903426e-05,0.0008478698368967752,2.0422418414156596e-06,0.0003730610118399813,0.006031896995709385,0.011991628270458188,0.0002803388660830297,0.0007783718765883574,0.00039481511634176236,1.2279064063092093e-05,0.0010965334945951533,0.0008306724531168541,2.7951436483153458e-06,7.363524414216727e-05,7.20670115446076e-05,3.4997103647294026e-06,2.0245038591326647e-05,7.0474851290303064e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8987501412287033,1.9991934304212355,2.7416047177773986,0.2804619721183892,0.22447273426577952,0.02058167323865248,0.036212130272775915,0.004233525075030664,0.00024994242536746647,0.000595985922912351,0.00020996027085762314,0.00014036738585326836,2.005579895125731e-05,2.8732491108796054e-05,5.449444655086788e-05,3.0766381400315623e-06,1.3988182050450604e-05,0.0003150370793410934,0.0005819743349630979,4.972462031460623e-06,8.917221109007445e-05,1.859307265372756e-05,1.9373189972471394e-05,0.0002236048404505031,0.0005925018053587472,8.951512221133662e-06,0.054778943263795954,6.7170942665562e-05,3.4910823886021014e-05,9.721433032974791e-06,2.7977704017967397e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02802251640958109,0.1307364269288489,0.035001974819912185,0.014810594079726291,0.016007400619467038,0.06516960978780706,0.0032554466186524023,3.308560064629873e-05,0.0002852108831870037,6.860863166657793e-05,5.702368409188363e-05,1.0468462769530618e-05,3.2567463367438876e-05,9.95007453019614e-06,1.5096551857496365e-06,7.444815661727944e-07,2.808963904255002e-05,1.0160592126773338e-05,1.0742578870903685e-07,3.992880078740324e-05,9.04503273124746e-06,2.314443584983117e-05,0.0001368056610672186,0.00011840845872512773,3.4489846687524306e-06,0.00010859885764791244,2.1065568205580476e-05,1.8946211751358355e-05,3.903890506085084e-06,1.5274746101301417e-06
