,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23H,24C,25H,26H,27C,28H,29H,30C,31H,32H,33N,34H,35H,36H,37C,38O,39O,40H
1N,0.0,1.0173944737606673,1.0182626498233929,1.4623171099584273,2.075724491927685,2.4402418800505443,2.504911772847127,2.794366284945547,3.817173145219843,4.137198188108845,4.143851413991686,4.967435125440095,5.20422885485092,6.084015612471197,2.570404816758288,3.686337598027727,2.8516642826406535,2.434464734335338,4.280434754478067,4.711715809108169,5.274014763039419,6.247346497962602,5.312359435090675,5.4745350302577656,5.253962152189696,6.572050095928293,5.168711615166817,4.149741657804745,5.542117600407494,6.2205194301254965,7.1881567400221025,6.211340145917532,6.529253711228647,5.871643322218981,6.741919369333689,6.803001727785738,4.793842031493803,4.418090434394965,6.110242984778598,6.5401142383999105
2H,0.0,0.0,1.6519738457073079,2.075211371651384,2.4356955895834767,3.3550631123462598,3.491329808181328,3.7017349408679827,4.624675265636771,4.790236141697809,4.891332526554245,5.866770561983812,6.141384057664192,6.95391500093903,2.780943092918523,3.882027479769758,2.831151279420654,2.2988264827135123,4.122979423377993,4.474192461442536,5.341514679129825,6.214058039628205,5.517152932043575,5.664979313000751,5.327189316782015,6.750170774147957,5.625209686978712,4.692616901855254,6.018437137174159,6.775442423338658,7.6808502305841655,6.728862723217929,7.249996068708517,6.6658623681759055,7.47718197425248,7.709135148167539,4.397687733927475,3.9269301632350553,5.6738707497441485,6.019458884815267
3H,0.0,0.0,0.0,2.072810632611171,2.944956358651508,2.6209242005150744,2.675708133358598,2.567884383682401,4.124198927464023,4.478552810587237,4.642300670161344,5.043054925492967,5.036591411507254,6.2722415872118775,2.9075556788825683,4.100947612012789,2.836152122777037,2.2251434711156564,4.224043934636718,4.8699571601808875,5.047310175083309,6.057699940791432,5.187000483224021,4.967185505950534,4.657686776469439,6.043795028086101,4.570546199495225,3.591616574864211,4.784249328171752,5.734086020548861,6.658030010670846,5.893754873429885,6.02253318157977,5.440186062583335,6.108304996385031,6.881345605850542,4.625107956942125,4.143540700003965,5.971283845499989,6.349722586007813
4C,0.0,0.0,0.0,0.0,1.0975303014725508,1.5459100432366957,2.1408259060106163,2.173316043539059,2.587811996805952,2.729090531229131,2.970648012106226,3.9043352967226497,4.341675736239223,4.95325234750837,1.5449321831388336,2.4266089022087898,2.4699648370699254,2.613263602397141,3.8406755564753423,4.0819774062277325,4.674740846471878,5.6482617144825005,4.443396259105451,5.127542208717987,5.199143907565179,6.2024706688666145,4.763384672963436,3.7235092667050953,5.377531610634171,5.535223022402879,6.556635655502956,5.312450811843042,5.839990232863554,5.122913102430661,6.252173880975195,5.7359251802051965,4.781095398392733,4.776312518799584,6.004921523611043,6.623899932841122
5H,0.0,0.0,0.0,0.0,0.0,2.1625988566644567,2.55352085227962,3.0636591743161055,2.7319945478015026,2.838625220553829,2.708659059952408,4.204573643460975,4.890336434528941,5.020027493729302,2.1129288310379564,2.5937131249955065,3.231029125111782,3.452940811334005,4.473784280030741,4.469152820149044,5.412207533096876,6.3024423674587755,5.100280079613821,6.057087076453753,6.163528281797679,7.113985817743969,5.763675225785503,4.745010929579979,6.43617768345534,6.42479380804149,7.451741509276244,6.0760570996063805,6.703212722360649,5.936827799839124,7.186882838056159,5.903109004298706,5.424401952593693,5.468131279076474,6.571889621208584,7.202535645299655
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0962496074130283,1.0972781732336827,1.5330662508809463,2.1680265684889855,2.1893666728099204,2.527243008948342,2.890832726824686,3.681762937187574,2.52643072049369,3.1023175568641976,3.417582340678567,3.605099531032338,4.706986918191056,5.063246539834615,5.107882397741747,6.154746098131406,4.682668625933022,5.294170954781648,5.532693563168096,6.302776716650226,4.491506401986237,3.4164207735184315,5.0241533416998205,4.984302579129745,6.073398285838238,4.846597502448151,4.918299048472393,4.053768491958941,5.303120245423041,4.371507792794143,5.787915688199196,5.82548536747725,6.998940255239953,7.663564063279476
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7598161539965183,2.1695789704463584,3.0647639580141113,2.457338176250138,2.909476608847433,3.2277212766265344,3.933530389016156,3.453040215139199,4.11203790943701,4.256377866106865,4.2397724936119445,5.627969520529979,6.021979174170807,6.101020297041259,7.164210610277053,5.740739455408944,6.161861851554268,6.291756143221728,7.177876139920364,5.2780584684192835,4.195353914874471,5.645790019877306,5.8187156994541676,6.90239351082584,5.794862866605203,5.583092051460579,4.676520655867542,5.83033224485153,4.579950158095579,6.572167673264569,6.445038909336571,7.839674026483748,8.433089010017964
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1553734121890904,2.6128152774613995,3.0672880441028285,2.6262807788924443,2.513121066640321,3.951228538306347,2.7216952834914427,3.388034565059734,3.245766546183671,3.382766509540689,4.440090652091538,4.991678387468301,4.597664486624331,5.680911942612361,4.237616608687619,4.513823626800414,4.766433115121098,5.485251439235175,3.540121226329644,2.4728484847883148,3.984045556535913,4.0818193308881945,5.157934951054002,4.122391925572258,3.992196007219544,3.188143303001381,4.287908549794733,4.450660736517342,5.478544502344688,5.510431926764682,6.679839766796785,7.3272964891715
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0982888225393062,1.0951423244027783,1.5107071718402783,2.431977384655986,2.3768592058068654,3.1201962683105218,3.084370968794574,4.264586406816693,4.732656024856927,5.313671356691825,5.447865580862097,5.5025171033967855,6.457906835005689,4.798017964985357,5.8899871685451926,6.368056270306901,6.791279825677553,5.051534063556387,4.1081861447732875,5.740613936435983,5.104275921449118,6.187575628969139,4.718002154620053,4.902606198171215,3.974187476730603,5.496312604270297,3.204557351554212,6.61844495560358,6.88553512014533,7.690920635257744,8.468753018026398
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7539964827007775,2.1150202203348663,2.950090532423288,2.8157204254512624,2.696722075007417,2.284337206958867,3.881629683692748,4.552802950049172,4.705367415926012,4.69678015208883,4.827933193633304,5.693454113140606,4.021559949361289,5.438700998737059,6.021791475867033,6.289962067536236,4.796487416552998,3.9633817383233048,5.6457829851927475,4.756333094698034,5.7901463957879455,4.169848607504042,4.7945866421171335,3.9898991706915568,5.531894793136529,3.6170932030570953,6.117306926876073,6.561654279887982,7.069308922683572,7.910246123167565
