 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,C24,H25,C26,N27,H28,C29,C30,H31,C32,H33,C34,H35,C36,H37,C38,O39,O40,H41
N1,0.0,1.9376985261526602,2.867077233703466,0.09735870692273374,0.19814117917188812,0.016232483054038127,0.003726182957067614,0.2222618520350012,0.004277701443444304,0.028318426642519823,2.8361431096053575,0.0799111177488383,0.1008032849236069,0.1902868603279163,0.06334826314816232,0.027242234856917014,0.0029226685216777737,0.005875090130932459,0.0005852307109842636,0.001189907279806418,0.0002463427094477888,3.697719546569278e-05,9.047150238411517e-05,6.363588158361799e-05,1.659018493960218e-05,1.207960210436454e-05,1.3730793845631584e-05,1.6350093889894168e-07,5.2878464151806526e-06,4.391172181608671e-06,1.1824504970725513e-06,6.302638272670524e-07,2.5322901109348095e-08,1.2463152393449306e-06,9.936123701592692e-09,1.908940956807381e-06,1.5928869112613597e-08,0.0003257355717577737,0.00015021716442711885,0.00010445351598313557,2.178116168116695e-05
H2,0.0,0.0,0.10371787642394559,0.016067615338709373,0.011737548913299034,0.0002581564475352405,0.00012571555072216078,0.0062585839580052705,0.0007491651331132942,0.00015088236425286894,0.09879083156325574,0.011318779574387872,0.02383029448103735,0.04756792112338859,0.10691873034662047,0.007787933177747841,0.000583468865789305,0.000926357269516509,0.00010718109899010564,0.00015952795427032207,2.4518372100823527e-05,3.043369964483844e-06,5.9686943561620964e-05,2.1046849208450347e-05,1.8164698154521375e-06,7.2173471497016806e-06,3.5027558492606303e-06,3.76798283685531e-08,3.5114622052301314e-06,1.860659734176373e-06,1.412554173629843e-07,6.193889695582655e-07,4.5135962745135316e-08,5.720124002239757e-07,6.463540813683721e-10,1.442561196496328e-06,2.6675028852451987e-09,4.6600760846171596e-05,1.2911045054964099e-05,1.0829097929709874e-05,7.944392257375199e-07
C3,0.0,0.0,0.0,1.9263557509682048,2.727094614006041,0.07177086928004117,0.08267872155669043,0.19845252910721176,0.003771638156844448,0.027775274078665868,0.24724777573100898,0.026189585087536216,0.005137622754671778,2.5883790092040058,0.28176413489987007,0.2288206298225359,0.016895024538969405,0.03527867889991945,0.005893223149581961,0.004538701012810065,0.0012651395652805153,0.00011856404235799367,0.00045384497912803745,0.00021988626928301502,2.103306887346612e-05,3.7027241013842804e-05,4.17438058244457e-05,8.958372867962083e-07,1.902151930041618e-05,1.3912722257675147e-05,4.819829261260011e-06,2.244105309634481e-06,7.452939421170868e-08,3.7085895036592653e-06,7.32279923365553e-08,5.4347269154153555e-06,5.993656038150164e-08,0.002591338508147384,0.0010104408963188122,0.0007470035285764148,0.00015710670694546458
H4,0.0,0.0,0.0,0.0,0.07483967790338997,0.0037347873239144125,0.012280699119222582,0.017039409835529762,0.0004868763119927344,0.00017479673350639935,0.012133201899490853,0.00025183931426742134,0.0008405896385972333,0.10679596368631583,0.02852860327168294,0.012347756194013515,0.00675770951424326,0.0020808043529156883,0.00017704174736921097,9.129447949240976e-05,1.2960887876278804e-06,1.4359991262313798e-05,3.256001186091595e-05,6.579109400917105e-05,5.470297785836742e-05,5.070483381164337e-06,5.228440920435062e-06,3.5736861758728367e-07,7.966781875312634e-06,2.4188184133411283e-06,9.555553481810364e-08,1.0663175478153875e-06,1.4696903472000145e-08,6.839885783316291e-07,3.9952615216165555e-08,2.980804223451372e-06,2.668448062514983e-08,0.0003739109469385049,4.7073471259651e-05,9.296982290185607e-05,2.4578719025392104e-05
C5,0.0,0.0,0.0,0.0,0.0,2.146784707777025,2.1549132236332205,2.85582993390382,0.08271614580806186,0.08053403482405619,0.22261393475596347,0.027847324726882783,0.0071919722015880705,0.18900550015654483,0.04190567526361631,0.03091658613191632,0.0034676299764384577,0.0032120107264329845,0.0003844067533087525,0.0007552289607945101,8.648986548998039e-05,3.712274734002374e-05,5.2607834822512856e-05,5.2828318798006646e-05,8.352889175777811e-06,7.80150000677382e-06,1.1924573759883317e-05,8.548524255136414e-08,2.0466757547632497e-06,3.2754783737126703e-06,1.330880531558165e-06,1.0233974735290863e-06,3.0040296472577666e-08,2.3883519173206746e-06,3.925868741205818e-09,6.129296637874537e-07,4.090067362572114e-08,0.0024216948972486385,0.0063364216858017575,0.0008259616744684395,0.00013972854207400243
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.02660556637009126,0.07755837409775879,0.008738320480684791,0.0011747062862432767,0.02696824793244379,0.0012829822450595163,0.00045461604823593404,0.020058663260778875,0.0030166827797932783,0.006410872075628404,0.0023945135622083225,0.0007234418611667959,8.162782644105526e-05,0.0003063814462518355,2.0622867286990143e-05,3.9050709925714244e-06,2.0798890092432742e-05,2.0525061998899474e-05,1.7709333044457765e-06,1.2372883622102648e-06,2.1001558663247266e-06,3.560663897062e-08,1.3570717258826193e-06,2.643789433820487e-06,4.1034719933108477e-07,5.972343837257199e-07,3.1731890448583044e-09,9.749874458897523e-07,2.1549295681211333e-09,9.88269692525634e-07,2.0364750552559485e-08,0.003437326410565378,0.021919062602169692,0.0015047867416954075,7.058346498878265e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08117389504311978,0.030483548871039323,0.008346358367699036,0.005881483798944931,0.00025772385261624287,0.0016751468921569757,0.01858737523963727,0.004958005639557728,0.0012409852152432954,9.86875256883124e-05,0.0003093540746275103,6.145716534300405e-05,1.3736862739976985e-05,3.245332337531437e-06,1.8817999121178985e-06,5.93194306830469e-06,2.0107583869055645e-06,1.6997734053614266e-06,6.030498733711198e-07,3.9751328317905177e-07,1.3264158216230726e-08,1.6771647604052475e-07,1.247355703171138e-07,5.838341143871162e-09,6.252402728890161e-08,6.160701060409224e-09,1.4802208303521525e-07,4.2343950568124455e-10,7.885789554684663e-08,1.2171057495180548e-09,0.00011748488828344783,0.00010979695627644226,3.7544632326302896e-05,1.290925582853042e-05
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11692405377293,2.007087519971238,2.7787526194340706,0.07795680368730395,0.08152649817735647,0.013852913737536332,0.004185986397016242,0.004642013903501274,0.0006040381643696024,0.0006073646042129843,5.305870933569601e-05,0.00011717955164908256,1.929323463811805e-05,6.813836287200559e-06,1.050084654072303e-05,7.814010454826326e-06,1.4675532451491335e-06,1.5811659289655111e-06,1.6993669375992004e-06,1.3665028775200483e-08,4.53454436666334e-07,7.39344602943004e-07,3.233645584632683e-07,1.3989034831907166e-07,3.396237291397597e-09,3.7007565102664675e-07,6.162190757663666e-10,1.4072343877680193e-07,6.8113688023174745e-09,0.00028647389589264716,0.0003996737225470115,8.257589280204203e-05,2.0514864088938545e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02522853349566412,0.08040778706499263,0.008035126943432003,0.03115167016074949,0.0017145915211174145,0.0030038219960620838,0.0004035878075658861,1.2722466205650207e-05,2.7484046352777014e-05,4.943721687578062e-06,5.248144233416241e-06,6.557025062914335e-07,3.3337956684142966e-07,7.200647740290833e-07,7.993660682270587e-07,2.532581211411866e-07,1.3688416355961408e-07,1.6325315921328354e-07,1.6497641031065768e-09,2.474858584733397e-08,4.231166861323743e-08,1.8776580068546878e-08,1.2891336220732796e-08,3.516869018227453e-10,3.6888199161921875e-08,3.6174396811361476e-11,4.902396710804169e-09,5.538027814111501e-10,2.1557774883440572e-05,4.477051202922411e-05,6.140726763637083e-06,1.2666230888580543e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07711091687044891,0.0012049922882753084,0.006436830325047271,0.002253048238535893,0.0005032542150813502,0.0006724938007476311,8.67864371527638e-05,9.081208993633183e-05,5.362085204518863e-06,1.726845439375957e-05,1.600001605206458e-06,1.2489212983801679e-06,1.4994163841652863e-06,1.3500517135334178e-06,6.355857018469635e-08,4.162501734406021e-07,4.938067486026654e-07,5.283440351888657e-10,7.825120373894379e-08,7.93276158095324e-08,2.445303670661758e-08,4.048993784699917e-08,1.8314880723124816e-09,9.832072822568705e-08,1.2757128686757824e-11,1.3904789986085575e-08,1.6341865638480613e-09,5.132896856152591e-05,3.6537797780678005e-06,1.033256421778539e-05,3.063063858776971e-06
