,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24C,25H,26C,27N,28H,29C,30C,31H,32C,33H,34C,35H,36C,37H,38C,39O,40O,41H
1N,0.0,1.020361751506787,1.469551256775131,2.1276272415449196,2.446252813441525,3.3320882390482627,3.0109003912024037,2.4052237370243383,2.8113372041262674,3.3705865093118454,1.474875448024887,2.117074263131248,2.114865972687451,2.4641925393725526,2.749610328567045,3.6807845157467023,3.9552537625180317,4.918684931292967,4.887520760058584,6.042104801665584,6.933872138522696,5.889176783293194,6.560332233187781,6.416511427549914,5.90256128662399,7.68604224079686,7.418426475429216,7.766737821550579,8.143624463516684,8.578433343775414,8.527637328160575,9.350932099142526,9.849604190574158,9.714257693598409,10.482289202470094,10.060348906051052,11.037862987904305,5.619653744811187,5.467898324766412,6.805506193528338,7.313333333308106
2H,0.0,0.0,2.009358013948272,2.8036619443950266,3.041109798139716,3.723950878511678,3.814960070851359,2.831667470683139,2.847700994192499,3.867085424848923,2.0490703779412276,2.2649054908118793,2.91866734605871,2.336485505355434,2.146019260989907,3.6784800453749575,4.195732951087928,4.70937250365028,4.456944194685796,5.889495944250459,6.6824871756240665,5.688963913146135,6.629701319619991,6.652191930171864,6.169359203603205,7.802863324048587,7.764869843530162,8.208960985986042,8.417856732265873,8.611104839960056,8.437876790248925,9.66829018534837,10.25369827183524,9.81842251280565,10.534036230866278,10.293582465770717,11.299650774832132,5.4615788264670595,5.4662508162872765,6.524132063282404,7.074621689243132
3C,0.0,0.0,0.0,1.1001204214818792,1.5695764576668187,2.231765124313458,2.19284416929761,2.4352468561397806,2.8626217925533557,3.4000348429827665,2.3775862491518263,3.2841974977194215,2.898876329596145,1.533894506050576,2.4244475555802083,2.4485709676957694,2.5429724425824918,3.800845915828326,4.037325319294482,4.898650233894851,5.837181142448282,4.907872943030032,5.251221245611816,5.126816950338923,4.743822276053427,6.296399862611925,6.066344843725783,6.461560231129775,6.726038584040121,7.198197365119457,7.219594343031393,7.906311711946371,8.419031382602604,8.292394257861476,9.079726518471661,8.605034312791918,9.574269887391962,4.432061557816531,4.2222344528021445,5.707077701792186,6.199153448881808
4H,0.0,0.0,0.0,0.0,2.2003945875467075,2.8181248601581435,2.339697772383161,3.3062352268978494,3.8945754369373096,4.1312290658627475,3.101467781724883,4.067480879027229,3.2971293328490447,2.147966361806974,3.2019021699775325,2.5782717393686543,2.3807681614289202,4.023211513235251,4.4301569144222785,4.8189014867298825,5.853324020042038,4.741139847977233,4.93098414532424,4.534397679151867,4.018390078826997,6.006347737053975,5.41035138858097,5.680021016588689,6.242287661936178,7.068113451198138,7.234757271679098,7.431633359409987,7.843934116271459,8.118714007103337,8.994284889648915,8.277226745062805,9.242005516153995,4.802853448238263,4.6349725677556854,6.104510351779022,6.644084808340108
5C,0.0,0.0,0.0,0.0,0.0,1.0948818023360332,1.096951068871265,1.536899660898393,2.174997363711484,2.20668306477524,2.3853997332281076,3.36721407110655,2.7935801013405106,2.5512887626545018,3.357221842891606,3.1910465572783844,3.013888510639377,4.376349500477143,4.757710391162082,5.606356276714574,6.4718321599663975,5.885081091745764,5.773906860741807,5.733247527801793,5.574287784926493,6.531306361566015,6.427377263758258,6.813652404413615,6.895190682764494,7.276902786567408,7.33128471917644,7.89321428987271,8.37644848546279,8.210760417875985,8.923963698294601,8.48682080656532,9.363826600144144,4.478289538957807,3.8567561669219015,5.776217778949801,6.030531276171268
6H,0.0,0.0,0.0,0.0,0.0,0.0,1.7699890284064517,2.2158418599866523,2.4511412451530723,2.7396432640161317,3.3565753855998897,4.235730448722886,3.8580307893300403,2.604442440057638,3.4060248703923723,2.8977948963575675,2.6764630853374003,3.836753004806606,4.321976824831057,5.110513340727633,5.882925100095639,5.576350396133839,5.246361036391266,5.399032698685354,5.445937092112765,5.841006319419258,6.028331694468472,6.521045293496172,6.294097707039711,6.442776379851141,6.4628948232111565,7.225176768181308,7.783218192811321,7.335433745276901,7.986280122244928,7.686606214948366,8.54392896047443,3.62982054673683,2.854923804847721,4.904131398375398,5.061224917900074
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1757237590721084,3.063205167160497,2.439556232076398,2.81651979773027,3.8767332195030093,2.792842812356794,3.4017699036013256,4.33999372749244,3.8286856932866846,3.3893170710709692,5.089011355766576,5.609944358261589,6.148449188351935,7.0762450921067135,6.424555630023277,6.067887269489023,5.815826139724013,5.625743954132491,6.740955074265391,6.328019072813087,6.566019260999423,6.879811012638495,7.573083981752129,7.77410519350153,7.790521476198477,8.140166054099067,8.39271013962897,9.159067988760793,8.489409036025965,9.31172298790325,5.1862562016881615,4.475324796399797,6.517591625889418,6.736715021944318
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0971257446232112,1.095915736597846,1.5371341654938853,2.219451871804646,2.175781890023437,3.3443123371760333,3.6804745459554997,4.3384106932581314,4.395898542243409,5.396065496240232,5.524077043077123,6.771296875349901,7.55601743781086,6.997016829703975,7.138489704564907,7.186020728029375,6.983548623315419,7.922039098972716,7.943242338376397,8.343068292181485,8.379989645996245,8.567551904490543,8.50116650018946,9.371718698688023,9.880879650651668,9.523328470059514,10.159146114607042,9.89003825545848,10.753995032336078,5.43108554025931,4.820169122891717,6.608990741359964,6.8023105875526575
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7760553090365383,2.172559989006303,2.465208297183935,3.0666799974161365,3.2790603685327953,3.295528300724062,4.324304194121773,4.5784570142405805,5.14648897038529,5.114860689513797,6.62872800733075,7.293099406601123,6.896059110561805,7.179934512183559,7.426529155586646,7.301199570044175,7.950146659832786,8.263244055257891,8.774222459692494,8.578521529705855,8.458149059089067,8.255559001865736,9.58415967482882,10.193441677583554,9.459140611943896,10.011067927547037,9.975534248941022,10.852709149345,5.069845181879106,4.5333925671762865,6.113808182351257,6.275712361171139
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2183900895169764,2.7417135677479276,2.4610647506400753,4.3775763664555285,4.749572087226542,5.258799339580489,5.190181916186554,6.291456032266853,6.488483005140832,7.659134548067062,8.433146533103306,7.957277065960321,7.910802935177158,7.926533585049695,7.772983128617259,8.57169024171098,8.553243850211441,8.900303525708075,8.943181525955707,9.168759702910112,9.146198875652669,9.827314737913245,10.278691472549164,10.018172098799639,10.622264895995027,10.32128647341015,11.117404111214935,6.152508107341053,5.3813398004152315,7.312876525382671,7.387714425458356
