 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,C25,H26,H27,C28,H29,H30,H31,C32,H33,H34,H35,C36,O37,O38,H39
N1,0.0,1.9309671845844685,1.651929352851211,3.0648471456534407,0.08529699630242393,0.21121957722475115,0.016575240383298273,0.008151879862264177,0.03620715820305408,0.0027128752268557044,0.0006723610163155147,0.003495876636657458,0.00079111380763916,0.0005712248141879067,3.4970205605389104e-05,1.8779999484519472e-05,0.23071463282249166,0.052828556052142296,0.0354176764436612,0.0023088275352786125,0.006777401427284738,0.0005595051229481118,0.0015494073567407507,0.000282369849861408,7.986813483916444e-05,1.4980177264201089e-05,2.3874809800261687e-06,0.00011779647360020407,1.7677248238312515e-05,6.600808060475138e-05,6.436270762577578e-06,2.248036015485566e-05,3.2330602750541004e-07,5.3319417896435795e-06,6.964920956420428e-06,0.0004628912866448398,8.095044313710664e-05,0.00013177434246551545,2.7451213158946608e-05
H2,0.0,0.0,0.02716292641768403,0.10562818098846516,0.007765738208105333,0.03235613791404457,0.0008211698562363701,0.0008222967286617422,0.0046644000960140986,0.0007387830464173906,6.769283444385543e-05,0.00030554994736309293,0.00011964430692334993,0.00012830894491666633,1.618667871960966e-06,1.4251159778932987e-06,0.007568573477449991,0.002455354098614082,0.0004473961852199393,3.665725526014185e-05,0.00015477111946160527,5.532508613681486e-06,3.3875616929801566e-05,1.5003207193720058e-05,2.7469402099633555e-06,4.850124406541312e-07,3.613459509388406e-08,6.280423008686586e-05,6.301397887931159e-07,7.025975626029357e-05,8.146681903520303e-06,1.2298844507263595e-06,2.2125296039732234e-08,1.6799199031858336e-07,9.203201378760184e-08,2.2922726370833146e-05,1.287955875395319e-06,6.573839220092026e-06,2.038427623585193e-06
H3,0.0,0.0,0.0,0.10541141621954597,0.034935150995651476,0.008432891566791278,0.00017219712620808458,0.00465597709364296,0.0006043839895509828,8.793490921776836e-05,3.332364238950447e-05,0.0010951924460622653,0.00017405129653491613,0.00019592075027652367,6.430157302173001e-07,1.1751329945797195e-05,0.020667887404264507,0.05191500185835218,0.0037305211645213276,0.0006292413741197933,0.0006025030509165807,0.00010224406792858076,6.080197432023482e-05,4.171860599866406e-06,3.26713443286053e-05,5.353567857691033e-06,7.86880402392498e-07,1.0378273617606126e-05,2.8389418289531676e-06,4.094037302282416e-06,2.1311327635942234e-07,6.322934979041683e-06,1.7466947666022747e-08,4.2410376432933106e-07,1.4595942587902755e-07,4.385788312688543e-05,2.1650198725353675e-05,6.5910624521547945e-06,3.279056375316003e-07
C4,0.0,0.0,0.0,0.0,1.6894497111345792,2.7309538296642457,0.093057291599983,0.08602527744023836,0.15149505897209076,0.02727422393608636,0.005823373210044336,0.021013181040903717,0.0058232365120638035,0.004093510504986617,9.286593413204702e-05,0.0003050744029824415,2.5228230847074675,0.27191352544654346,0.2264664085783166,0.01592846934332859,0.03532763313999657,0.0073939177105982745,0.0037697669845541404,0.000976805517473034,0.00039362733718562026,6.848084360511209e-05,1.2562366538571013e-05,0.00040550800800027986,0.0001565874662738942,0.00012495433721415594,2.3251940883595168e-05,6.521799998675248e-05,2.2649600732727038e-06,1.1213248154229305e-05,1.3258177863573195e-05,0.0033245408686733424,0.0003087816514593389,0.0009813418749829578,0.00021722949264202374
H5,0.0,0.0,0.0,0.0,0.0,0.08411341772798187,0.005274357613980651,0.035158683421657955,0.006424258327756727,0.0006364583565869886,3.976951130857387e-05,0.012596753079691991,0.003755920567044435,0.0015207932486457354,2.832444440281634e-05,6.367006149199383e-05,0.0924218156151484,0.023080109670542193,0.011934887470761657,0.008345989003979204,0.001956537824398197,0.00028774074619475343,6.447720668223411e-05,3.60051083925228e-06,2.7150334039216517e-05,6.784998014763843e-06,4.5634658540905093e-07,4.221384405878048e-05,1.5554897502267906e-05,1.8189184092909372e-05,6.879837181505977e-06,4.2096467289809425e-06,4.4321068237707095e-07,5.279488890508333e-07,2.866626636066627e-07,0.0002188051777654021,2.469472455046695e-05,6.946777622252043e-05,1.9707967209292576e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.856776413798316,1.7062997563500293,2.7691235466080864,0.09652514845639026,0.0796098163820198,0.18303495870264774,0.04382242393276062,0.02963972774602855,0.0013732323722913664,0.002587108768153712,0.18524343701640267,0.035984265649585845,0.0273838673257618,0.0007267159374932941,0.003386309211367053,0.0002729203225693144,0.0005874389342373776,4.232807713422382e-05,4.7572708440440925e-05,1.449528251118437e-05,5.7634352839119884e-06,0.0001401462403397835,1.571139863076887e-05,6.671230487698132e-05,3.442679037846119e-06,1.3487471930889727e-05,3.131805532685661e-07,3.2175058084504826e-06,1.7213770491242286e-06,0.0013668808121862497,0.0005659449819461759,0.00031883343586407153,9.055552840664394e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024191775265950843,0.08568955603812722,0.005493110003819135,0.03360194581006537,0.009960383144614449,0.013789822635656424,0.00182870287849779,0.0003372398830132628,4.3942114585693304e-05,0.029461638146258906,0.005492179112121187,0.0031065146408141286,6.307153645623842e-05,0.0006329864815762809,0.0001366589447222566,3.3107075883220816e-05,1.0421489242240511e-05,7.967442765099975e-06,1.9605414136592003e-07,6.950189352927794e-07,5.776858949424479e-06,1.324676104363931e-07,2.6595867808065776e-06,7.193721802689623e-07,1.6308654654517696e-06,6.8124823560111736e-09,6.503124083678813e-08,2.0050523730219538e-07,0.0002467232802458863,0.00021180184218405618,4.8543195229844294e-05,8.936670918835432e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08958000861794324,0.004971495131608661,0.004366812074975357,0.027903598212868808,0.004813786992114211,0.002961439566045665,8.709946567342364e-05,0.0009315807565235534,0.009585301773873844,0.005657974850710401,0.0012205440860790784,0.00019100787909831496,0.0001394142284478761,2.957917853363412e-05,3.6404140176582445e-05,6.696557202978681e-06,4.677259551666424e-06,5.765919017797216e-07,1.2928931991673664e-07,4.732763920212157e-06,1.509430361590347e-06,2.1861572605530455e-06,7.763575045061089e-07,6.598433874849263e-07,1.898348434004049e-08,8.379131877234158e-08,9.598085748407925e-08,1.3804292413155395e-05,2.1167105311303835e-05,1.9664606121239103e-06,6.30524330746951e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0307038754683604,1.9061783801192342,2.43044611866793,0.29289876090831535,0.2203123134447829,0.014118147996170283,0.04426866892680781,0.018266250510010545,0.0035342995709327085,0.01263884017536443,0.0016441698444664699,0.0009497299191470326,3.554025370133829e-05,0.0004976500103738846,3.6447317339205476e-05,3.824873437388576e-05,1.7975368212796994e-05,1.1418949833919001e-05,8.319826681234266e-05,2.536740197456311e-06,4.350890979143429e-05,1.7697144980566293e-06,8.580525795942595e-06,8.059491320988599e-07,2.2826383780927273e-06,9.01311762779855e-07,0.002064395060284746,0.005807388041912817,0.0006613539412155672,6.581150213891274e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02605738052200013,0.1084030038588144,0.021710430510247902,0.023726008516780417,0.00015629989168042258,0.0011402728559577469,0.0018284108564108337,0.0005493702883384577,0.0010117589468812138,0.0001945196712658248,0.0001081526196207161,4.857330599961074e-07,5.037680345099105e-05,1.2207935452090979e-05,2.56213948657269e-06,2.0170387653450916e-06,9.711850283977697e-07,9.556212001604614e-06,3.090111690973174e-07,7.067078480860189e-06,9.77795855394703e-08,1.2260612569647833e-06,3.946674986821108e-09,2.146892803533973e-07,1.0894444146813953e-07,8.804133040385409e-05,0.0001231810541528766,9.496376564555042e-06,4.380656307034769e-06
