,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25C,26H,27H,28C,29H,30H,31H,32C,33H,34H,35H,36C,37O,38O,39H
1N,0.0,1.0201378655104658,1.0216349756705536,1.4642346999442182,2.0824401493249436,2.4434720187454393,2.6005053808632512,2.676504476026373,3.8540351676401343,4.595675956404623,4.243206306247586,4.407891341573503,4.654825956628594,5.113419557028714,5.448366707935859,5.833011716681937,2.4848274310377567,2.833294674633781,3.640375862700363,3.8991189310339713,4.888671990800021,4.837537878990365,5.747867309039294,6.677195058214986,6.3278486560151554,5.678674121902343,6.7726414932046435,5.3618329745094595,5.265170559882317,4.581196902823581,6.294323444837147,7.5798055226778445,7.479159380710749,8.154269174896347,8.307562491900839,5.926338055595458,6.0675665648971036,7.029228092909601,7.700609279160895
2H,0.0,0.0,1.6211502818369208,2.042328628631865,2.315296747868111,3.3321978773306085,3.4943453863514136,3.645735239114391,4.618929843100573,5.457162059376497,4.9316351600307256,4.974369304235784,5.200322834973674,5.496385711315112,5.840325177281695,6.129820840482115,2.748842954920017,3.084077980819588,3.73178760199164,4.01316728418524,4.914845090280536,4.895843059171607,5.5100882023816675,6.471423982459952,6.0607745830743305,5.374243958706317,6.651075083746317,4.8965452767194275,4.845008442517399,4.015725714497559,5.727295481374708,7.1740602395558515,6.940557755307724,7.761721449568694,7.937507879125154,6.127135939321095,6.39005882988475,7.196094852836369,7.942665241505569
3H,0.0,0.0,0.0,2.0174388424672824,2.9053586511467437,2.7476175321738507,3.0775099538785375,2.5638377888385078,4.17578974480102,4.8352947259792325,4.406546874194815,5.007777442680841,5.386459387396847,5.700860017252728,5.890339985147841,6.5112815557054216,2.5428896815190107,2.424900704025157,3.870330481794742,4.342523891259892,4.927203152714881,4.649807458499206,5.871835736351282,6.6952405900345395,6.672656498402334,6.162335220275698,7.1193311185290105,5.440637664727454,5.139251513906588,4.800565444227133,6.400870962336812,7.936008653221913,7.835658519042326,8.610619849519313,8.56262254081496,5.971295333865697,6.226527734842723,6.949558802116831,7.642975119192708
4C,0.0,0.0,0.0,0.0,1.0973040767000963,1.545128298358352,2.135258526397513,2.1594136722940913,2.607787813914189,3.5255674077171575,2.9111781071770495,3.119380368592505,3.6182057189056462,3.709259639816377,3.988365322763246,4.496286324282773,1.5418697234741365,2.4183529007291535,2.475262493446277,2.5845550736005465,3.8389879649955647,3.995007580624323,4.859203154163552,5.7955784955281064,5.312956434319698,4.691673264409164,5.590941466021016,4.84321067270759,4.90737717433813,4.164507198755743,5.848546631000514,6.690333192039259,6.776314477870397,7.206233290764134,7.4019642869175835,4.681487747494906,4.682731919859205,5.878813038184492,6.471153091830582
5H,0.0,0.0,0.0,0.0,0.0,2.159650837556147,2.456843459046789,3.0573056050808916,2.8393478341736493,3.8154618032302245,3.256929622687334,2.765522400126161,3.0956417708869237,3.220265544086434,3.7027562783206602,3.8292153876623036,2.1726124406005582,3.2625981848610732,2.565162572894581,2.2961509964068556,4.011499269323746,4.425099742182384,4.806312960111873,5.831351396163198,4.946641411987333,4.154619721025375,5.232680182021622,4.829346353503297,5.125696443831001,4.031021255559873,5.744452587338245,6.257952708374609,6.336420673020016,6.640404267398186,7.081338352252849,4.829247511816734,4.723356603879044,6.106868579745971,6.673274862881445
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0938455846626933,1.0976065831391328,1.5399827355786795,2.153522865695474,2.1909815104924903,2.5375834542362536,3.0152240683877394,3.5413442191232742,3.8257020748709634,4.400881543546238,2.5395688549034525,3.2123364490365582,3.3526743560554895,3.315203419301627,4.595697955431642,4.723526971708357,5.8689497839241405,6.706238267566772,6.278011145701786,5.724371254936547,6.317284601701629,6.119589736483577,6.1404438737735,5.564408927813891,7.166758049775652,7.74906669914644,7.990149707981214,8.197154333976142,8.403983513335406,5.014868528210978,4.724876992358725,6.205960805433559,6.612757023077546
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7695023525231912,2.162257405671159,2.4649195939647845,3.0813765223581133,2.7591796037840433,2.767048712530934,3.9804124174398905,4.477125692984806,4.687038375080109,3.4617423110519145,4.142629775773656,4.264388991103962,4.092897906989819,5.588356712128349,5.7625745470344985,6.77242336070685,7.666676078916161,7.060401124876959,6.39003371574309,7.121093984821422,6.938187364745344,7.004802867706444,6.268481660026749,7.947817970616175,8.488601501234465,8.681778572448382,8.86120994910079,9.220388643469768,6.027001269029248,5.657508691024926,7.253022018995229,7.637935368602299
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.163985540443277,2.464531755853747,2.512335186443601,3.478085419946781,4.013095702144103,4.4260620134711655,4.5340090418956605,5.3469263187894835,2.771329324064639,3.016341550829267,3.800163948818103,4.006197461992337,4.849325259250788,4.735975368085222,6.223906802528292,6.957846466504354,6.853457837026614,6.422227231253712,6.901754285863152,6.425456397291865,6.261444859063628,5.9737997761677875,7.503146372645813,8.336124644623153,8.567641206528418,8.881869570498921,8.89871253586551,5.251384608221694,5.076518895450442,6.300688292239799,6.711172517763738
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0966762418429814,1.095310021995906,1.529100271426943,2.4149482622578047,2.457417035519445,2.6254163548651026,3.3683632415751577,3.103869511370986,3.919624945743698,3.3449204038208977,3.0470121649248094,4.402471454251039,4.737751991787525,5.742151780423604,6.492722272910288,5.948033674560719,5.486475691462761,5.723449726414188,6.364751074325939,6.521244042623748,5.955669712741798,7.39608907189571,7.458788504738562,7.900246762921313,7.794537708370324,8.056309552242704,4.359584685866022,3.743203590153557,5.569322027730966,5.779560131809987
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7651339162086368,2.1243695012345793,2.71248323964424,3.162337501455897,3.3115605764561975,3.9624719454998636,4.084378374636842,4.750356153039663,4.395618552403801,4.11687223659031,5.353870404784874,5.617305373946346,6.748505710823384,7.436374124605632,6.958365239508863,6.531158112900105,6.649013407757899,7.415885219907503,7.522968544084988,7.0359657716851265,8.457000346939328,8.471507348477004,8.956470971067633,8.77707303715847,9.033631391876398,5.135688261799309,4.410307074684636,6.252725472657409,6.339825049600198
