 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,H18,C19,C20,H21,C22,H23,C24,H25,C26,H27,C28,H29,C30,O31,O32,H33
N1,0.0,2.0383215702656003,2.0130666462416538,3.1121792042058343,0.08754225727851517,0.19831561401027492,0.013955763045247482,0.007570791105447006,0.0306472468484722,0.23240818733940968,0.05052223021284119,0.03595496570160414,0.0025809422580074237,0.006934938266556667,0.0005583039157834868,0.0014009506779373154,3.0468130958527517e-05,0.00028742684663429774,9.221228897615674e-05,0.00011539408189795153,5.9448910543213884e-06,3.224898751826022e-05,2.2280060821833203e-06,8.165556013969844e-05,1.5776144779433565e-06,1.2998335977898456e-05,9.548843227236148e-08,2.210483633460769e-05,1.8303773607897256e-08,0.0005864610991624108,0.00011285335441766492,0.00017182268632787157,3.682708534902268e-05
H2,0.0,0.0,0.027078656588660932,0.10981571711072624,0.007075709449197998,0.033911911231292,0.00077028448640859,0.0007897734589696892,0.002845999498616303,0.008078283781040252,0.0033467555185608955,0.0005176289831285708,3.4002754971451665e-05,0.0001838948782310057,7.629253249374912e-06,1.8792676995671442e-05,3.244996303886083e-06,5.4669143680907695e-06,4.5307979404718424e-05,0.0003519847689164024,3.2467965065396953e-06,4.125141137456545e-05,9.617089569147197e-09,0.00037583576005639774,4.926610664091058e-06,3.4719509873770704e-05,2.1553174800459374e-09,5.78317592226929e-05,1.4316918539591938e-08,2.528970195359026e-05,4.068815799174175e-06,6.778750676450507e-06,1.8291896177746736e-06
H3,0.0,0.0,0.0,0.10880192610542783,0.036990225108732844,0.00953423000800957,0.0001693404404061738,0.004731046757136648,0.0002896071678410994,0.018817163869580655,0.04728383297322181,0.0034014105892100632,0.0007633609525317109,0.0005254419785941655,8.970306113775806e-05,4.2472021712369745e-05,1.0478564281157787e-05,3.0526821266363413e-06,1.2193838115570621e-05,3.84102162165334e-06,5.778301614967063e-08,7.770299002340941e-06,8.354457960990658e-07,3.0670199100413242e-06,9.391684652193533e-08,2.2205681970977054e-06,3.9026285758581025e-08,1.1653609368611484e-06,2.8487714409664022e-09,4.905707491564826e-05,3.0173612563522134e-05,6.326503785070159e-06,7.489663971238514e-07
C4,0.0,0.0,0.0,0.0,2.078784417253675,2.834447383672002,0.09151402130857011,0.08239728219130549,0.08866175925487907,2.708653533838592,0.2816717598029642,0.22749715753595834,0.015613721898616206,0.0356208354764839,0.006391225664917011,0.003672055264807794,0.00013769926100626328,0.000970244634151074,0.0004181664595940826,0.00016961618855949878,1.5915866302895765e-05,0.0001839588780594703,1.5227297175401944e-05,3.781607706949963e-05,1.1855562065399283e-06,2.792116466651673e-05,2.3629015521997587e-07,2.4891338455623746e-05,1.4614606436147426e-07,0.003418286754802713,0.0004068566681231234,0.0010172803776321293,0.0002221390690358982
H5,0.0,0.0,0.0,0.0,0.0,0.08138183128989751,0.004984944372055988,0.035255476698795585,0.004233891984321669,0.09378430371316071,0.024510130293520005,0.012649938910150205,0.007807154182872811,0.001998821122323191,0.00034834729068333736,7.540065817357444e-05,1.9719777778037795e-05,3.821880728338556e-06,5.178178780163023e-05,8.452097618794063e-05,2.594165905689394e-05,1.9817893156748312e-05,3.055821836461803e-06,1.0244315390539604e-05,2.6637923022931886e-07,9.06480103379792e-06,7.408837854327999e-08,8.408324275510637e-06,5.9468088897673965e-08,0.00017836855537178842,7.503838599842716e-05,5.8653766711436184e-05,1.8207459907104706e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.1338478099092764,2.1335429607174072,2.169338998279874,0.19430112616540945,0.03958473175737525,0.029496595858276894,0.0018486533610755362,0.0035019604743683347,0.00025695205088627215,0.0008372930203345286,1.986843489343304e-05,7.062569508364813e-05,0.00017890371645278014,9.715055531996086e-05,6.646953597977401e-06,2.1967227323345384e-05,1.0168625815820675e-06,1.0918018672589902e-05,3.8517081435429645e-07,9.00412403767592e-06,5.445289275041176e-08,6.489693350764103e-06,5.462155339142072e-08,0.001007400429831884,0.00028779225430708433,0.00026729558442781243,8.218866572562433e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024558063689093634,0.02532764300889534,0.031297583583394406,0.006377075502446705,0.004100782958492921,0.00028434143122169075,0.0007071217707574906,8.970095681193335e-05,7.028392791541549e-05,1.4243717452178117e-06,1.0262154337414842e-06,1.610552735664683e-05,1.1916449117466144e-05,1.3478013758394525e-06,4.709741930786215e-06,1.642165630144632e-07,3.271179630170984e-06,7.095633525189271e-08,1.8619965735933164e-06,1.3233476758856e-08,1.4567077490923452e-06,1.3593946635026555e-08,0.000209305483986455,7.937809332281276e-06,6.219422609199388e-05,1.939836108122428e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023744166285594615,0.011186169723623962,0.005515243211843934,0.001173702072108318,3.200970419214855e-05,0.00012532654023389433,1.6352977413092162e-05,2.6411191721642524e-05,1.3019755122911647e-06,5.890566555866172e-06,5.443743799071754e-06,8.652932382613443e-06,2.0937641433960152e-06,2.610884490827914e-06,2.1111161552234137e-07,9.803390061957629e-07,1.790486514607892e-08,6.060454889045275e-07,9.17982379000648e-09,1.0408279165208256e-06,2.9527007505691927e-09,6.8082850992468025e-06,6.363328703629101e-06,1.1576196090601343e-06,2.2194822846266504e-07
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007804272526581446,0.0015191092830197928,0.004168012334446969,0.0012841863646797513,0.0003287263687097308,4.621505201418685e-06,0.00020608110343012243,2.208487979604712e-06,1.7773594982006813e-05,2.190131616419677e-05,6.710064742287969e-06,8.931987964810872e-07,2.3788157621495998e-06,6.613065384186712e-08,2.086638574150257e-06,8.200046974771169e-08,2.7374665760859784e-06,7.878641072878168e-09,3.4651140290442584e-07,3.2337614808142234e-09,0.00025572787315453205,0.0006342886499499656,8.890039370013092e-05,7.931274463635063e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0341897164508,3.476897270012974,0.13507975040504672,0.2709080055259665,0.028817209499019114,0.03309787973616382,0.0007983443920136502,0.0037635739658072875,0.005167846465527204,0.004417988333615064,0.0003613576027432508,0.0015227258678156275,4.608736985689532e-05,0.0004437274458679308,7.072624122361759e-06,0.0004014903260710079,4.572418843329373e-06,0.0004707660675968839,4.197340743861133e-06,0.030417882638536176,0.005369145662442787,0.0055388926768275,0.0013122403633196722
