,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27O,28N,29H,30H,31C,32O,33O,34H
1N,0.0,1.0202300044778188,1.02179651620122,1.4640457094103936,2.076680421461132,2.4853365169946,2.843583182692489,3.4127035368071095,2.9051153105669343,2.625487863082256,3.941739893477667,3.385342063649028,4.349121123512192,3.304286581402534,2.629084404905031,3.9790997376214463,2.4947155499112763,2.788032074177331,3.6914428034528943,3.9727158489983174,4.962696681875025,4.978407405484981,5.841481733420117,6.052359476897777,6.839120978248831,5.803986450967247,6.718346210447529,5.177467093670283,4.372770725001109,5.509565285292287,5.945420310348259,5.999114476769926,7.06919527697255,7.721051964450606
2H,0.0,0.0,1.6132410759219338,2.0341371916552355,2.326491893489614,3.3644008527668725,3.762662816351183,4.171083941509951,3.833885032474966,3.5727593452363764,4.899613130131762,4.058244980118795,4.946576532854062,3.7634321902908328,3.03971643655593,4.240462656984681,2.7040036000331207,2.8770688474481516,3.8224819709912103,4.190076469919892,5.0392831431703575,5.096678909685499,5.664304959330907,5.838637684429426,6.700724570722219,5.396747134664633,6.19022596543672,4.7598397991750865,4.086322794905863,4.9477322474219685,6.191313375650976,6.341864328256689,7.302441366357681,8.021630820963617
3H,0.0,0.0,0.0,2.0259976887652993,2.9126108997523312,2.763520023282607,2.711377865059424,3.7619148457001983,3.3037535933226905,2.8600140051099827,4.209741506212393,4.121392149676923,5.116935547840194,4.128866789603849,3.4027630552781174,4.89172199408045,2.6038459039585393,2.4707342715989284,3.940251955248958,4.397791268012763,5.024274601829529,4.815422292191738,5.981540553586571,6.365600467622524,6.9040673097392045,5.8807260489550846,6.869500115739838,5.062578214168426,4.167983479713726,5.367765623032813,6.045959092172817,6.2377747154797705,7.043308437722633,7.733138755228027
4C,0.0,0.0,0.0,0.0,1.0982344846304966,1.549373162009123,2.17540174548647,2.1705979798669106,2.5721349070582153,2.857403536597302,3.507058744175076,3.0212402226636126,3.6605230856679083,3.460070933971778,3.187933368506449,4.070471332616156,1.5406090440272242,2.420796660781486,2.4632121210000477,2.57840897779405,3.836012852043675,4.037674036358174,4.853747937553836,4.989200280751312,5.827826764518643,5.155255889791995,6.13392124901976,4.7912250389496895,3.9979716251744835,5.360578838452815,4.63322946115229,4.573419558855594,5.8319482799036155,6.413364394770253
5H,0.0,0.0,0.0,0.0,0.0,2.161445552940375,3.0617724219524587,2.427374970912323,2.8743138701211417,3.32940457979514,3.8231007650625957,2.737240951807529,3.15861023480566,3.095465388971292,3.023725700181123,3.4642421838286954,2.155678142016852,3.2099896828853898,2.602135450377054,2.4086639209881993,4.058960635299784,4.5172523371688476,4.86366707200933,4.75641323364492,5.890483086450823,5.204789562710597,6.041130655270997,5.078404294245012,4.449240979409203,5.63002022376148,4.782924278749522,4.56553089305458,6.074706659710364,6.604526027889587
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0982626596204454,1.0956811680892855,1.5383645918126538,2.168735197266843,2.1608086995522253,2.5257833406434997,3.089094629916042,3.4479554628483244,3.4228087943171714,4.231030692105386,2.520761255375863,3.3266243943974727,3.160941889390717,3.018368377547059,4.37449737599554,4.515105664632217,5.6708022990846345,5.826420785389101,6.511282742207063,6.261142654863926,7.318966981577027,5.938065926699164,5.070392040075041,6.615995185949091,4.727702327324861,4.4306405897552485,5.876247343184936,6.278842451086636
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7670774488129313,2.1640319862666435,2.4729304590875225,2.496849307983807,3.47144638183519,4.083525723826934,4.332783192014515,4.1703259596574584,5.195224414542835,2.675351329280915,3.1276010520369972,3.445374690115976,3.5333827002395592,4.410974000090441,4.294703178822456,5.822919671481655,6.165826331030788,6.5647090899831495,6.389939427205519,7.529672471069665,5.912174185019495,4.962419016414378,6.597937303920843,4.754393690876429,4.627292380366695,5.732890310103633,6.156964877634555
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1594992302220377,3.0628238031612462,2.4474726932638293,2.7810506171351888,2.887450317638519,3.936224331707233,4.142203565892434,4.573293396117937,2.794952943705232,3.785518482792571,2.93772691186052,2.510452444059935,4.053633184647835,4.371304950165313,5.37362172244615,5.423312086003546,6.142211815966732,6.206572245840711,7.241512194096331,6.101826999421714,5.313802842517002,6.884796802151977,4.091063917504246,3.5786817200075083,5.272788931456322,5.550759213628542
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0926539288063313,1.0954067115029733,1.528063914903613,2.4134928800081297,2.4409437340839766,2.568682084242037,3.3559277487872428,3.9072556834141157,4.6450887874093025,4.596037102270845,4.326335242445302,5.879375540461498,6.048518329085147,7.115436013923023,7.17376394800612,7.993599315808443,7.6441652003205185,8.643943287981493,7.296925487127966,6.435616050285425,7.887730428519016,6.177152835905756,5.731665792271454,7.3448720514030965,7.6743697253448175
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7734256723358661,2.174800644619287,3.2860491608908795,2.5117689833289187,2.266509731443478,3.5211989923220512,4.204589544594524,4.70523081502977,5.139222459072956,5.044903965600034,6.414590780148764,6.449782878864341,7.621918162935686,7.767078031457832,8.525744990515115,7.969201977526017,8.972306343366627,7.452884252063064,6.555723219263077,7.937968118898071,6.888586123458016,6.581619165871822,8.014879461354138,8.42375047679212
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.131152803842739,2.6573141089186287,3.1978048651099074,3.482036042062801,4.0600995297459175,4.678178096440332,5.399067832674987,5.238658053346706,4.893276764791574,6.406321786587226,6.5509823868835495,7.7394372441193475,7.808620268209859,8.537186588933555,8.407183312110364,9.44436282419511,8.09298092849514,7.2087179565706885,8.745310303617067,6.476571809874735,5.924174730892973,7.571134880232462,7.7833586663028465
