,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27O,28N,29H,30H,31C,32O,33O,34H
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2238935926486345,1.3724288627084151,2.050612568847301,2.032539307690459,4.475592349637349,5.409086101082642,4.948270659710994,4.469807149493035,6.3413627563758315,6.735323576226866,7.3757396585533765,7.211939650513315,8.319522871834769,7.8980929726689855,8.755450954059153,7.733705911396337,6.99865562181472,8.288145822090268,6.627294464185655,6.03634795843113,7.903644645472326,8.198915090623924
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2861804311609166,3.1398871977137093,2.497957997175824,4.932192637473874,6.011355416009315,5.082145256981666,4.389441993202603,6.4052673236601905,6.950440376610959,7.39070262884253,7.088665361262364,8.281843232613895,8.089775561768846,8.894781658458411,8.12244018955697,7.459767659615671,8.753920967019816,6.461174240535791,5.685547427983077,7.746695950910697,7.922224026240783
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.013731566025799,1.0128907765269552,4.98462389954263,5.792079737886174,5.623028008619091,5.265560661477021,7.071821329993778,7.441404436611128,7.9534165610020455,7.771803192379031,8.97004145484087,8.244003151758253,9.010809449401437,7.998656756158789,7.309338015435671,8.405133212132416,7.577968437440336,7.095381668809298,8.874594937495848,9.260473772576304
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7285909167153353,4.689431357641892,5.321926349651108,5.530609355488431,5.354803676084281,6.966185926888478,7.2226997972584455,7.826968696217254,7.748783513553848,8.863132859330513,7.9558174477230175,8.735758121271433,7.564875801180357,6.852955395530097,7.887299188581632,7.64638299552357,7.317168664677851,8.909062877526315,9.385378828936854
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.526929811463293,6.401142533129397,6.024349724071549,5.587417652798162,7.477147851836869,7.9557632564863825,8.214379847847646,7.908310267167701,9.248627217444543,8.483471167392086,9.140947152882784,8.35325145330694,7.757517952447209,8.727450364610215,7.976933970520353,7.4447702532449425,9.305508401601147,9.675727124670972
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2357483505794176,1.3588324358851926,2.048869546290811,2.476561188180226,2.5554670658743612,3.5153477660219163,3.8817699446483185,4.439511401602955,3.8163686536320167,4.90648783595301,3.421432229474225,2.597484929436562,4.125437716234365,3.547611329386163,3.8492314355536275,4.620969625766434,5.33798648739733
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2791803728923705,3.165816223785175,2.842827749619324,2.4531588053115008,3.752996844014367,4.383998020620306,4.564336565470137,3.7120815040722683,4.844674235929418,2.9077343225325945,1.9193854969075146,3.498402057309027,4.090746931081929,4.659828283937052,4.904692484683034,5.725736502665686
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0152248352859543,1.4582721415485076,2.0791388198479743,2.5202001755957957,2.732503404800246,3.428643911173203,3.2800229102347083,4.328503470224065,3.3756486551800413,2.8200242288006496,4.250987195463093,2.403845777146033,2.69217953908766,3.597396302580798,4.274119792030808
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.093918851763985,2.9030698127999433,3.0466507087950623,2.9299609657452126,3.8999316384259695,4.001929943235492,4.923697115777393,4.29523516670539,3.813253114716632,5.154509591206262,2.454966291411661,2.264540704786123,3.787564526138671,4.27196470161662
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0946085223680575,1.5468821154144985,2.174593799178677,2.160047292690865,2.6653580087509243,3.760806673344896,2.9625058603645678,2.6209638618950044,3.9652121819611175,1.5277488411847882,2.4291702442930596,2.3828351001846375,3.2199022306537715
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.178237118061527,3.077231859019866,2.5542416282498963,2.8812006835099613,4.071210667462666,2.737367957811147,2.2150201561321508,3.7174892615460524,2.1409551154844473,3.1625465892426554,2.5694199976400443,3.4839053047117132
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0953377566104712,1.096638823178906,1.5381019943524403,2.3810318360708767,2.4874809236307853,2.721805788351249,3.388324523313227,2.5039018313733723,3.3869545504028773,2.9743693460970833,3.8071128817323565
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7567708676794347,2.1271148805089135,2.5662970349532275,3.2687102608098275,3.542498133392623,4.057887146300203,2.7919371630130705,3.338872832643231,3.4511380019338107,4.105773985998367
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1143753684757183,2.69910276263984,3.0668753093889216,3.405797538060585,3.91646204168051,2.6309355018157423,3.6385748132383235,2.577803494944278,3.3760440358394335
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.224010240677523,1.3625295209172874,2.098817431284105,2.0104277527575336,3.9424559219371766,4.8394156597896885,4.338280092999,5.235496152146468
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.276325968822494,3.182835654490719,2.4640934276739883,4.884659777977295,5.715391898426849,5.199515587970723,6.031744165568056
28N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.019519798388388,1.0125299768356453,4.423763961177927,5.368901754521864,4.826435147571053,5.787451823063306
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7327119225258163,4.114165545123787,5.00407011187992,4.63513178130904,5.587065061769054
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.432950863911186,6.360086496509776,5.813799613530237,6.77678814341869
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2124149277196525,1.3465523961983454,1.8792655982808872
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25680029769096,2.3035752168128707
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9769490064771484
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
