 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,O27,N28,H29,H30,C31,O32,O33,H34
N1,0.0,1.997055192343221,1.9365317211996542,2.9493860212716108,0.09146497236380036,0.17227380497222033,0.004583166554859575,0.025952922264921408,0.041612828952533584,0.02032088713414748,0.0042181969304017075,0.004607693193807244,0.0021206417194422275,0.02318570187987637,0.0658516155407004,0.000377952139261728,0.21660650098641035,0.04653019485334929,0.03325050465985524,0.0025232969359397783,0.006835168254117868,0.0004022810045187786,0.0010746910201757387,3.200790904067663e-05,0.00026422643206613916,8.10383185821939e-05,4.222232682332683e-05,0.0002190366154163348,0.0002592735756621334,1.2075799006860954e-05,0.0006014759469214759,0.00013221327767966307,0.00019183500031516587,4.8303636297597485e-05
H2,0.0,0.0,0.02745461102581137,0.10678913885843788,0.006988165866884444,0.03272414379995714,0.00030877588507105536,0.0018273230636989268,0.0024671520474879305,0.0003632163509961206,1.032100915732137e-05,0.00017711671441367205,0.00022203580652757626,0.0004150386475498813,0.0004471419916902697,2.5096149726566708e-05,0.009005842068454117,0.006418490721074477,0.000759384670510399,3.352515022991831e-05,0.00023128376915593218,1.1645961674355831e-05,9.994537672364245e-06,2.082128552904905e-06,2.247316899017804e-06,2.924311210850128e-06,3.636219383928996e-06,2.0916603110876508e-05,3.953607062401332e-06,2.3807885263238404e-07,3.567722299890885e-05,6.9778451164959066e-06,8.774847637060823e-06,2.352041491349155e-06
H3,0.0,0.0,0.0,0.1039553047557219,0.03670653191069184,0.00790600789548479,0.0031573538244342725,0.00023284465108486252,0.0010435566841838773,0.0006584310526462911,5.4479627026760014e-05,0.00046692581361929,0.000402238307215641,0.0007357193565794562,0.0005802132380208214,1.1236017181337488e-05,0.016066460184911202,0.04184208855991334,0.002776954256202613,0.0006146875339423374,0.0003922385190460176,3.943678655948801e-05,3.281138850719234e-05,2.960622585979067e-06,5.263140317346426e-06,2.8491499428850986e-05,2.0388080748223736e-05,0.00023877758981427633,7.423936551154142e-05,2.106028535653337e-05,3.677491014686396e-05,2.9427181557406534e-05,4.9566735553785435e-06,6.055828016826581e-07
C4,0.0,0.0,0.0,0.0,1.9430282793850073,2.7996490821102205,0.08309426668814734,0.09186471993193779,0.15756201936364317,0.0068866218802416945,0.027117715309466384,0.024506410460088668,0.005811756832948947,0.008994637061108007,0.004404220471434739,0.00042255468249829953,2.5396580073016697,0.2676417550733844,0.22587405442843814,0.014195021084875803,0.035611084778606916,0.003997166017777221,0.003877257494810188,0.00017716777957388352,0.0010556404851844725,0.0005497806130360938,0.000254062590474613,0.0029890049194663676,0.007096830122269138,5.7270870972958576e-05,0.0030213546737832275,0.00046812627244459393,0.0009408563872423115,0.00020098647255017976
H5,0.0,0.0,0.0,0.0,0.0,0.08149557727584122,0.034180013104622375,0.006537154476095264,0.006039305414622165,5.417026123710755e-05,0.00048051258704573385,0.013218850022533202,0.002755644696008197,0.0032290477108140037,0.00010338761492323378,0.0001046443894721083,0.10112605235906114,0.024152584209529038,0.011319477812576029,0.004603020363671773,0.0017417405991955182,0.00032781012763316575,0.000121789612781531,1.7727036919712447e-05,2.355802351416969e-06,6.616121299996003e-05,4.7266925146671745e-05,0.0005256797875253794,0.00037612811713572114,2.0034410568747774e-05,0.00017062063425599128,6.683003761864814e-05,5.791241089614374e-05,1.8681357952798905e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.91688740542489,1.814303380884062,2.553406022461397,0.08411532751745354,0.09626989534425667,0.1885033433997374,0.043421785756988324,0.03128583647528635,0.0012703509058203943,0.0029218578182732546,0.1950990695824822,0.03649990517220436,0.03311903164869312,0.0047034356754335205,0.0032723322047625847,0.00018592717707088813,0.0010392584000801092,2.9368142341335002e-05,9.32024724062952e-05,6.91441442505214e-05,4.324269143016202e-05,0.00033556961842481914,0.0005177891292719172,6.296202202937806e-06,0.0009476622538347745,0.0006529080333483456,0.0002755607927343584,7.027045504448548e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023826096777024297,0.09014742312450363,0.005591871008282734,0.003897589684322078,0.027626548618709945,0.005191859529396936,0.0026695668895498903,6.498329698922944e-05,0.0009832146778885331,0.013997302155823288,0.00391039372570301,0.001104237120326923,5.6167194911305174e-05,0.000114704584694314,3.071017049549596e-06,1.3587757499711195e-05,1.273925309464019e-06,2.2716812009271337e-06,1.2568267398593846e-05,1.0937946132494325e-05,8.63899655199063e-05,3.775432933439404e-05,3.2571198145259217e-06,8.194570358277531e-06,7.87215599973301e-06,2.413105834264684e-06,7.496853147159754e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08334610869334624,0.03218764781224914,0.0059220174993079855,0.008522937250347473,0.010041301653722745,0.001625707807310639,0.0002755906165450295,3.872507334024e-05,0.005815601874779475,0.001092524611485568,0.005721991879612087,0.004580597117074481,0.0005034962079670802,1.7882526883727934e-06,0.00027005031598936746,4.1320586270376936e-06,2.607912550889324e-05,1.36857395254264e-05,7.648458912212774e-06,1.2420576790961313e-05,1.2476321612719943e-05,1.2139808847067002e-07,0.00047334159063439074,0.0017161771990086283,0.0001985626135364571,1.085536328582215e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8175456664210459,2.1250639022680615,2.612830895547216,0.289314158657732,0.22342946051797302,0.016189000472417225,0.04448952454656607,0.033010515808861995,0.007477048958616617,0.0062521283095590685,0.0009323222124563157,0.0007899914136016706,6.0101787309085886e-05,0.00016537703202791632,4.252430575224508e-06,9.347724214681108e-06,1.0433078257210404e-05,5.4860000648221385e-06,4.072257266396484e-05,5.4059594179811654e-05,3.952750304847541e-07,0.00025584488336680145,5.14726113749614e-05,7.752309663280887e-05,2.3148202239253735e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025688966326782747,0.09339424807485175,0.022747248021145028,0.01343621675543094,0.007951324735556042,0.0017503189152587861,0.0009660990025079919,0.00018005159800393855,0.0003987725812566456,0.00041154739663018525,6.667985120678566e-05,1.1850721082229398e-06,1.1428635224075556e-05,9.751954797021511e-07,4.299301811228062e-06,4.039104559705464e-07,2.0978486425793363e-07,7.339755464519371e-07,4.548605592180621e-07,1.7936751639524573e-08,8.172139550177704e-06,1.8879215700096097e-05,1.9798396053705147e-06,2.985227542939839e-07
