 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,C29,H30,C31,H32,C33,H34,C35,H36,C37,O38,H39,C40,O41,O42,H43
N1,0.0,1.9288536649717447,1.8073633219233596,2.963768092748978,0.10111769053795938,0.19349255630354267,0.017711323220904518,0.00999143630368593,0.03176872892281521,0.0007765078747139498,0.0037860091689670416,0.001087050104925602,0.00019479633824182052,0.0004985231289984515,0.004874660256198218,0.00010453961931577993,0.0010977805769387672,8.756191374792444e-05,0.20701128214236714,0.0417308640579437,0.04967206455486174,0.07184808983659219,0.006442002857734566,0.0017179303314764915,0.0006592675433932799,3.760622817039483e-05,0.00010959595848714088,9.548991624701297e-05,3.191468119322083e-05,4.053064042164323e-06,5.2273553926174277e-05,2.1045965801658184e-05,1.2486568929312436e-05,3.07572950219992e-07,1.4882517139228058e-05,1.437551684357885e-07,8.954086384183046e-06,1.2532964583089612e-06,6.093975138954377e-07,0.001133038648308965,0.0006519497234438593,0.00024148328418045761,2.585066918570078e-05
H2,0.0,0.0,0.02740460958304114,0.09900497672428599,0.003770893225084837,0.0322579702932404,0.001254411468115224,0.0005479096667453387,0.0050469374652537535,6.812245840293052e-05,0.0002387445808890165,5.5094944424016745e-05,1.04897161132822e-05,3.719582122374554e-05,0.0012217456613091704,3.384813679185861e-05,0.0002741289051739759,3.3602164204671325e-05,0.008479657153238618,0.0011655568214573586,0.009105519899374803,0.005428160757699807,0.0007588348341758255,6.857848979691106e-05,0.00042981712860612475,3.914157711726318e-06,4.997306745724295e-05,3.465293702309413e-05,6.189270233214472e-06,1.3112745456123065e-06,6.253175347303852e-06,6.433521682058796e-07,1.2604869398247232e-06,1.0229513791593092e-07,4.390006122956258e-06,7.94379517721211e-09,6.844415574303042e-07,1.436993707359946e-07,1.5688811250136325e-07,0.00037643483072979933,0.0010492217702067208,0.00013090095132584079,1.5949114542834764e-05
H3,0.0,0.0,0.0,0.10130409318758826,0.03566603048199268,0.01869613600097564,0.000626020215793277,0.009292890652351282,0.001432928186952953,6.33194834451789e-05,0.001203837949505182,0.00031805138472296157,1.4360516930711498e-05,0.00016438908164118082,0.00014422079152731637,2.1341923351236858e-05,3.3708998898207554e-05,2.0602749405851384e-05,0.004540575196002816,0.0009786300766377876,0.006962463686426279,0.01239133428855732,0.0010908170142595042,0.0004617021497641538,3.7204142959601505e-05,1.651477889264008e-05,1.3232176692579145e-05,7.212484471219582e-06,8.283705662859298e-06,6.208141251295984e-06,3.455989471934373e-06,1.3203506044057178e-06,3.180052476570161e-06,3.1746739659332945e-07,5.304821385498926e-07,2.2885402017891465e-08,7.139229805108727e-07,1.7556438991483958e-07,5.699076877085929e-08,0.00011065867013548836,6.174372288381136e-05,3.7330340542429674e-05,3.887933831325796e-06
C4,0.0,0.0,0.0,0.0,1.734205417223446,2.704778767189562,0.09381730221802598,0.08731568932280709,0.14278191011550154,0.00590353603100624,0.01960398169401248,0.0075791656334665,0.0008432723071500892,0.0024260245507579103,0.03229715776169734,0.001068368238038575,0.004607400135555162,0.0006522460305631306,2.699472435537502,0.28585864805649047,0.2196341825145275,0.013566934960705157,0.03642137855408992,0.006270164098885478,0.003161212093285848,0.0001223863507406886,0.000904378538625128,0.0004776378328620323,0.0002323358643626372,4.4021053063003635e-05,0.00035697155845076933,3.621395212327627e-05,6.626627639988447e-05,3.1972392002810324e-06,4.6983387874982574e-05,5.08691254008653e-07,3.624440373106719e-05,7.019132997304611e-06,3.188606556348006e-06,0.0037445506833603537,0.000372897802690092,0.0010943937537918058,0.00023698682323392006
H5,0.0,0.0,0.0,0.0,0.0,0.0843634142066485,0.0051877109758331486,0.034343490129421506,0.005843012576693507,3.607949415140865e-05,0.010868694352256014,0.009795379499583756,0.0002980305714181952,0.0007759768271049516,0.0010502048419804844,0.00019857568256353986,6.928718819554369e-05,2.0036251370258995e-05,0.11095023751564814,0.018022706884535,0.023544956545429985,0.0023845766651677813,0.0030564304293640987,6.10774180340723e-05,0.0001520052812511441,7.058388959979567e-06,7.371221978802467e-06,8.805187315097385e-05,8.124922694352499e-05,2.7643465659199506e-05,1.989089344833772e-05,7.015036647128881e-07,2.0346366565560103e-05,5.629446702126728e-07,4.671074237072581e-06,1.8380005961660117e-08,2.336042170147934e-06,3.002589027412128e-07,4.422701689321684e-07,0.0010850015559413784,5.2996889342016296e-05,0.0002545638522348792,9.487731505197772e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0611339856769835,1.7492616060242911,2.667855528524563,0.0820781197882452,0.15907271795919914,0.004966536357852602,0.01078828898894768,0.030552598623672766,0.18418363368568286,0.010903914358265876,0.03036379965841074,0.009733580015655496,0.18233158710000888,0.03986579337276552,0.02504863440488085,0.0008176190884400247,0.0030154681867290978,0.0004525835662717581,0.0011599245954967696,1.8693860638352433e-05,0.00014980764315408734,0.00041096598340331636,0.0011210728728769381,0.00019446006543977212,0.00013601864818497955,6.257592359837361e-06,0.0006765683205176565,1.3135655500873256e-05,0.00028024202479302873,7.200102218885007e-07,0.0002065789335583823,2.9774733189408265e-05,8.285040344668815e-06,0.00044737346075540696,6.844125000347867e-05,9.56825590599647e-05,2.0597456006909987e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021836165914405514,0.08075210545613842,0.035575830453884905,0.008603417972306682,0.00015219626077445092,0.004688634935077429,0.00031426901732944934,0.010353528938896295,0.0002458826071545239,0.0006138438604528229,0.004964476082843561,0.030743861516312698,0.004698916441426615,0.004337195740481414,8.948868408320543e-05,0.000723536787025969,0.00018339391256527726,0.0002932505024162424,4.822382524638513e-06,7.020512815336666e-05,6.049834183485814e-05,4.008888081985518e-05,1.1458117549656421e-05,3.0026108959413378e-05,2.545531188946626e-06,2.24822249499379e-05,5.09186475206036e-08,9.329788853285059e-05,2.7425010773463043e-07,5.823201297094904e-05,4.292435869412969e-06,1.0541495121252353e-06,3.8860632116444194e-05,5.518708700802399e-06,6.064914289671819e-06,1.3931387377041915e-08
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08402850715220156,0.0043849897652985526,0.029751348857362636,0.00037563982017130293,0.0005617556609540664,0.0014736182388839225,0.012319080799844784,0.005998190506686596,0.0008187408502904336,0.00022469582342266037,0.008760193570809927,0.0009675244692199936,0.0042577358407356325,0.00016712331607826592,0.0003978293148982903,6.658197664810572e-05,0.0001316654747793855,7.832016970521494e-06,2.6895165240237162e-05,0.00032552296371379796,0.002309949549623491,0.00033909734123405144,0.0001284025747316786,1.9679554823515133e-06,0.0009304202812396856,1.3231647606692931e-05,0.0002781716075688223,6.515428174758142e-08,4.659810454965552e-05,9.50165855395646e-06,1.6126942692373802e-07,0.00014959126790281552,8.037730322874026e-06,3.3641189408406547e-05,1.3482751043625285e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0488938861065162,2.5160782015543033,0.08791814159400024,0.08109857617313265,0.08634501122385707,2.764130633806815,0.083173063044095,0.08412190800949637,0.08066512653772318,0.01942603970436868,0.019396494385243587,0.0031456326991390893,0.0001306961731776246,0.00038504552099294376,4.9240145909568156e-05,7.916782112474263e-05,7.719206805534284e-06,7.63753949861723e-06,0.0001479066567906806,0.0007323629943171428,2.438639807378351e-05,0.0002126627856487151,8.081209363908215e-07,0.0017557877919422427,9.056432158605077e-05,0.000618700664905103,4.7736493897776455e-06,0.0012019727217471576,0.0001428166008012599,4.006562436886796e-05,6.462665695383674e-05,1.834764050966109e-05,8.64613769673006e-06,2.1743443736621515e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08453231893386226,0.006115034772293804,0.033912753735227064,0.0033559308450274994,0.0819892435596502,0.004427711247038557,0.004821102323314452,0.03452013673753673,0.012601072878630548,0.01922191547284069,0.0010141697263226224,1.7481018581122498e-05,8.754740944461048e-05,1.3857885384327417e-05,2.0748142396165292e-05,4.127117369412403e-06,1.2732050498343028e-06,0.00014649921175546865,0.00064919016287035,4.771832131211795e-06,0.0004832866234587563,5.034143694571114e-06,0.0024045823820111334,7.213470737843508e-06,0.001715350479680855,1.3609397015335034e-05,0.002636272942268647,0.00031621296966399814,7.917290585357506e-07,1.3929501868403804e-05,3.5745799037423254e-06,2.2032089219692352e-06,3.5414555932256064e-07
