,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29C,30H,31C,32H,33C,34H,35C,36H,37C,38O,39H,40C,41O,42O,43H
1N,0.0,1.017709664301015,1.0181802139599805,1.465196006831317,2.0744304897308403,2.439289187032316,2.558190733662094,2.6798842758194468,3.86917014447728,4.222041230273335,4.433395361344031,4.240516970496353,4.4542936256750885,5.5085073944637015,4.9387998820781105,5.037151445631419,5.914063865919478,5.057086561436596,2.564239707099428,3.6577451626506057,2.869419533419335,2.431403008947643,4.271564593256252,4.718525130357643,5.27808164798764,5.257333019032256,6.250568867457094,5.529042106564429,5.459476593118261,5.177909228539938,6.321540291226283,6.700252913883635,6.188884916909748,6.474008948788004,6.963159766311043,7.745958941823644,6.903573016622761,7.8721634756709085,7.93141326844702,4.731247155334352,4.345289336968712,6.03577734880439,6.450158425164777
2H,0.0,0.0,1.65187061990382,2.077848765223555,2.4492086211683897,3.3536200211199367,3.5375141252336046,3.593433245537883,4.684290470138606,4.91345839204879,5.118727565295811,4.737443089753625,5.178077063627927,6.185425723777035,5.864270320682512,5.974806509666509,6.797557950181835,6.029417049077826,2.754459412692511,3.801586302003159,2.871686099188841,2.3363373621691004,4.110908322887717,4.546141489409229,5.304937163354007,5.296122194899114,6.177460517698543,5.803997748720615,5.934169004318452,5.6538704892825,6.594628753582138,6.8320383407114855,6.806736610953863,7.190209259423873,7.389641501125075,8.150443436050391,7.486715365369898,8.536317128532467,8.67069436357363,4.2721227167706335,3.747996371091323,5.539525645657034,5.84464383070264
3H,0.0,0.0,0.0,2.0749515300326835,2.941130152399382,2.6018447512747267,2.754785905972589,2.4088816225315064,4.106949057075218,4.406738762539266,4.960495032675459,4.91466845209833,5.026243849401016,5.995519479788839,4.961757320576234,4.8395283764449735,5.988177309433209,5.103278026370093,2.9220981702501208,4.117028446144783,2.8401843334779313,2.1985082039878554,4.217534112663712,4.862981649845246,4.9869651701232325,4.7759079750229425,6.003154830694742,5.251958437210426,5.011909679393489,4.556286056566229,6.2206549522268135,6.7066309658217005,5.797926401013949,5.989299098723651,6.874000163505321,7.7526290781334035,6.686470957707976,7.689141038903758,7.6690907582481325,4.659190801895329,4.21144051657784,6.004273590758609,6.40166670454918
4C,0.0,0.0,0.0,0.0,1.0953499756255187,1.5464094107336397,2.1340421351622307,2.1544245345789816,2.6410645427475195,2.885919383900115,3.1573382940650006,2.903224760070759,3.4273743717031926,4.191897022998461,3.950267207979261,4.20774781396114,4.7996985259076865,4.2659359543239725,1.541616887644301,2.4210525302409978,2.468830260090185,2.5884031247761885,3.832077592398916,4.014816219033601,4.808686930446764,5.054900997320509,5.771518170303585,4.769859540773508,4.793215635824861,4.796705657452934,5.310472132990314,5.6811280064095495,5.351907663519015,5.7520446769778415,5.8198185683970705,6.506946547312409,5.838824777504814,6.744327970565548,6.895828545648088,4.68974645201238,4.679456367062143,5.887341773267283,6.485788508001709
5H,0.0,0.0,0.0,0.0,0.0,2.164640062818905,2.481252836574756,3.057436768576819,2.8736737469078375,3.222273670939395,2.8107980274931723,2.3154437766780362,2.9569985584255707,3.856140750486636,4.278957352050306,4.775816906861398,5.014742348359933,4.493235657457684,2.10445896892125,2.5438315419886757,3.264950810107651,3.46702362468012,4.490851387224935,4.45312303942547,5.610841863533774,5.975033760507817,6.494510496535998,5.559669821799733,5.699631272633991,5.810239791443826,5.898449230567634,6.146798723313029,6.16162829556683,6.595225069410667,6.34392261340624,6.891873547617963,6.468098716663557,7.277375648144362,7.485035227181033,5.2835661330542845,5.292955105202937,6.390381692657928,6.971184297515634
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0987967896720234,1.1013334312963148,1.541883610248185,2.155504582827342,2.560409920170799,2.8761238425118916,2.7898459358095358,3.5084437565994766,2.510950952226038,2.7434330406775547,3.476812061972275,2.7908888500204165,2.5380028456706145,3.1870216813561316,3.3486851485185296,3.5080763698535815,4.663283423813277,4.888791564342888,5.231169946637183,5.408846953162182,6.268368584369716,4.784923438341405,4.4117491699381715,4.426294748829446,5.300210445154844,5.912568966846868,4.619384426726152,4.792722194111999,5.478477387062128,6.188926741497376,5.158332336289338,5.864812145499617,5.850065759321353,5.7487105020195735,5.818554447817297,6.937471290472944,7.612255593362453
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7639663862264705,2.171564579645662,3.0648511961060727,2.825717861851608,3.2808792329740943,2.6113913772985775,3.7931371265561817,2.7478789054542037,3.0779138148792633,3.767747320498998,2.5738986235875676,3.4616253552908556,4.1378739541069365,4.248306443348251,4.2267302712719514,5.630562979028415,5.893575388615353,6.243834460115034,6.331061989462148,7.296752716523187,5.842514788170568,5.370258766025967,5.2719593817108015,6.389042536237064,7.010336810085184,5.508117595992753,5.524837571039979,6.510771060778466,7.199406504383292,6.091634782667539,6.680822551544034,6.562474338131151,6.592746877466536,6.511189809883286,7.832262861474251,8.442631445428065
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1618987590474577,2.4840829569857052,3.4967937764561,3.8618236176023473,3.792947369734751,4.320645185133589,2.6884278499523515,2.4565100850271313,3.6954747995682493,3.070584505826649,2.7992440770368874,3.6100126662885073,3.170001478556396,3.216892389867694,4.432893567683323,4.858400032430139,4.734703294114811,4.74196814507427,5.815729296443686,4.26866537192475,3.6684977317915277,3.5084467956257988,5.003604346319071,5.741980028903616,3.948351602521734,4.018428382501579,5.219319463183137,6.065181292610323,4.7419911365602125,5.532809175785812,5.426496299332619,5.5170055456920855,5.568327756164949,6.726838153314614,7.3934750008240835
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0968205561477071,1.5363721977020672,2.1847885020799596,2.1894940671779817,2.178848664053441,1.5373739424637534,2.1897782342342205,2.1839849757432805,2.18979775668568,3.1036101445621034,3.178926855644238,4.115217424671408,4.578416316297947,5.169814854062337,5.135843688659566,5.5744431820102225,5.964139623018065,6.520857710452333,4.775367717896905,4.4360109703098125,4.777247578295738,4.9045228483681464,5.5302767195921865,4.2496186906101965,4.472236939371144,4.739554931627203,5.263735501201935,4.40779170001836,4.865041591077099,4.918894374586019,6.47476394156434,6.790820909867711,7.503752578948704,8.29354128003991
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.141615876271057,2.4453472485587,3.068442985774019,2.5229737376497594,2.145616084722764,2.5007141642366086,2.4881291535948185,3.0726309276836417,2.7601821420150685,2.597275490532145,3.680353209243907,4.3355188066650046,4.496490368029533,4.367127805269936,4.777554033589836,5.294771217411948,5.652540109831558,3.8668875846607498,3.6908251490247554,4.227738958121351,3.847094422630253,4.463797013433496,3.520580819498063,3.965944866442405,3.684751379629323,4.211271406526364,3.514320139146224,4.107638520731664,4.3291947767187935,5.910102232385226,6.399927635613031,6.821834122387939,7.673135841925038
