 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,C25,H26,H27,H28,C29,H30,H31,H32,C33,O34,O35,H36
N1,0.0,1.706309048955227,3.032526944821784,0.10055785929821015,0.22260640609621946,0.02649115011934544,0.004994813128139652,0.19769274090635647,0.004829227417483706,0.019332535352970526,2.8198128320211397,0.09983525345264677,0.11058596892744044,0.19708954665410533,0.04005461566294606,0.041388692074907515,0.046617313655727965,0.00521027193398213,0.0009218957953454066,0.0007933701416565631,0.00013754529968212914,9.16971438207348e-05,5.816746155462571e-05,6.982836368241152e-06,2.3711556157601787e-05,4.716690600314877e-07,3.928858170576532e-06,5.057161515775732e-06,0.00028986966323363283,1.0185631553971675e-05,3.823720486773041e-05,0.000984118697221481,0.0010105454688686122,0.000568153520602091,0.0002037358532614164,1.7103607972690504e-05
H2,0.0,0.0,0.09245041161402956,0.0025696165300956864,0.032548815841296985,0.0018413902773155577,0.00015274994132630226,0.02556231197365999,0.0002202705895395507,0.00042173066641426615,0.08706205020984115,0.007928606501375501,0.0035424941038764146,0.007285811330529857,0.00134926016392789,0.012675673375820096,0.01257000843918088,0.00125140338508134,4.960278547305741e-05,0.0006497953160086167,0.00012999169197924765,1.5929634790357028e-05,2.1702052534711136e-05,4.5184203956161184e-07,1.2347692377234765e-05,1.0336719880044143e-07,4.145433746716165e-06,2.432288890519274e-06,4.6988889393029254e-05,9.98197469348483e-07,1.2195461116526474e-05,7.408525733532123e-05,0.00018738145946950446,0.0004573084332800681,5.4317372132905994e-05,6.0822123688630825e-06
C3,0.0,0.0,0.0,1.658099278898444,2.667146900935528,0.0751184533725191,0.08668137078849347,0.20013259164224215,0.004352418622651788,0.026190099575005066,0.24056311567945773,0.015563144524942896,0.017653152332768762,2.4172547343427735,0.2892729611853155,0.2197525969385729,0.011465418719362686,0.03716628824545978,0.00391128076726599,0.003094316985012835,0.0005477938693230211,0.0010267769075404942,0.0002494830652177704,1.4892967690860459e-05,6.840786276722521e-05,1.95703418781612e-06,1.303746302205866e-05,1.200608932983016e-05,0.0001839903012662153,3.472642087953837e-05,3.32740300774681e-05,0.00012108498430540848,0.0043994527074271705,0.0003220101846053425,0.0013266393758721712,0.00027235363776112465
H4,0.0,0.0,0.0,0.0,0.08027939361630987,0.0016497241807880147,0.009187962351384416,0.024616053887296818,0.0003682183643218817,0.0004911225820589671,0.027520979520843314,0.0010564377393778024,6.511330175329455e-05,0.11576321176440652,0.020035273212606897,0.024795364914128037,0.0014023569097518784,0.002960301825653433,0.00014831466586162634,0.000451738930083212,3.864944962961303e-06,0.0001956714767181733,3.547891263977476e-05,2.0406676322082262e-06,1.1130478375309671e-05,4.054319577839749e-07,3.2951877995124335e-06,2.2696688817269717e-07,2.474804152785559e-05,1.2574308435153725e-05,2.233289899455926e-06,1.034670610100541e-05,0.0008412908639314765,2.3123200979635605e-05,0.0002263501635606513,8.145724862629322e-05
C5,0.0,0.0,0.0,0.0,0.0,2.0289104917932894,2.043133499979641,2.614702815500355,0.0832509294447179,0.07870343545617575,0.1896434345406922,0.01749756247965273,0.0043396484913300615,0.18068617655608255,0.04182784267131047,0.027239332714562248,0.0011049925514549086,0.003352545404786078,0.0005992294963570455,0.0009655967498215373,0.00013664888306830214,9.545416603784496e-05,0.0001117418310180307,1.2137362892961079e-05,3.777647713058829e-05,1.3056606420480676e-06,7.845306897458215e-06,3.5393465580568773e-06,0.0003843273783075696,3.531873292561549e-05,0.000363155438562357,7.310943942484549e-05,0.00033735965309361626,5.975655097739674e-05,0.00011868985731509907,1.701720556157582e-05
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.026438113335575775,0.07744449216009408,0.008909450906020355,0.001056169134266538,0.026002981899276634,0.0002579007476690709,9.901273191870175e-05,0.01712643320804097,0.012062078465120085,0.0028350493767465013,6.0108469765118855e-05,0.0002931369173022613,1.852777204303102e-05,6.572358359580033e-05,1.4500091634062073e-05,1.2697512959514157e-05,8.137637664606956e-06,1.7160998604381916e-06,2.336660756663278e-06,2.4403763632108166e-07,3.951367695265162e-07,2.1903054925331844e-07,4.3210789971381836e-05,3.924928758003432e-06,2.8399056698713565e-05,1.5633740777509786e-05,2.929585417432712e-05,9.470534828026622e-06,6.22767637936672e-06,1.6776009335028874e-06
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07977337634830528,0.028980991604501405,0.009188461676297832,0.0034361294295319755,0.00020945315250364693,0.0001949527905120707,0.024812392369832015,0.003930703908263333,0.003927040144929839,0.00019241865880603726,0.0007891944452935729,8.00940372240877e-05,0.000122988756189768,3.154014149253648e-05,2.058614318989349e-05,2.2870679705411234e-05,4.072301043489546e-06,5.7917994608081e-06,7.06005182982139e-07,1.410168958271285e-06,7.74790594126884e-07,0.00015330342751729287,1.1134299974902007e-05,0.00014634831441040497,3.49731193716174e-05,7.880052252517977e-05,3.1502452981779783e-06,2.8396261717356097e-05,7.345561926719313e-06
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0008889141254755,2.1290791022965685,2.546477436917292,0.0798360290375093,0.07588902424982069,0.013690579355195936,0.004398287749029839,0.005801058899406672,0.00027343024622938916,0.000577322286938492,0.00020799017641881523,0.00024085272856709528,1.2027967182914878e-05,2.9313499324112868e-05,0.0005912056817245492,0.00017887196157007068,4.3886265906942223e-05,1.2676103209541267e-05,6.439510753297739e-06,1.5749490079652873e-05,0.004089996600332241,0.00019779596481250827,0.003345751059572466,0.00035912870388576934,8.235655960742161e-05,1.534503408866239e-05,2.4402425926703386e-05,6.976973029648725e-06
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025794694798448647,0.08104487417427553,0.013093820084097763,0.01858884683935691,0.0028192071874766356,0.00025075473159197337,0.0035894443354491656,3.903331216048578e-05,0.00023850609425135616,0.00010554959418507259,0.0001435613214888498,3.644583642437027e-06,8.23758369570271e-05,0.0011074921090150625,0.0003697650671377062,9.195148147123078e-05,5.600790848214743e-06,1.3711363320956238e-05,3.625448091537642e-05,0.0065504549976622695,0.0004733178663596238,0.007711043475933099,0.00028852594576078694,5.331650693429779e-05,1.0532830422183004e-05,1.268408344334837e-05,4.614604165231739e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07749667237479274,0.0036717374806343184,0.009973097890032978,0.001750641946471454,0.0006757235934227168,0.0003335281215481878,8.332428865842623e-05,5.0812238572950363e-05,1.7896160220187696e-05,1.4959921745827387e-05,1.0534362286929166e-06,1.947313716943455e-06,1.6484926781634712e-05,3.0122232106410962e-06,1.445872339522758e-06,1.0695415622041793e-06,3.0864318789625145e-07,1.571689032253687e-07,0.00013880574007318902,7.53955803634021e-06,0.0002640058426772729,1.550763968238833e-05,1.5551372959388132e-05,1.3743502093044313e-06,3.945000620175776e-06,1.6104659454896364e-06
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.136668778456499,1.6946298335277676,0.016764390863289846,0.004666060130980032,0.008020973767042278,0.007407271462208764,0.0010340268857919055,0.0004190926561142838,0.00012407051703104688,2.108643843934388e-05,2.193715287734932e-05,0.0001933971261606493,1.0149262319902874e-05,7.601729281468683e-05,1.5243369784201377e-06,2.7649575258248404e-06,1.9617109388025966e-05,0.0013171307087468942,2.4562347519241357e-05,0.0003537133879394361,0.0013506612604301527,0.00014129478086255531,0.00015469969453803245,4.077101726381038e-05,3.42594487889869e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0234916757195498,0.001731919340455912,0.00027414768214573115,0.0017538182810550307,0.0019889561445811665,0.00032375623644442797,0.0001404134111653299,3.9786555524390366e-05,2.6842593087383904e-05,2.2850740093449673e-06,0.0002863080139385854,2.535288481153586e-06,0.00012908567768343815,6.403935832732799e-07,1.8750041275161777e-06,3.878834987558477e-05,0.0013371249266105334,7.469159593531671e-05,8.703708213708694e-05,0.002493343749701671,3.154005310057606e-05,7.258682117439186e-05,1.4892668434907108e-05,1.993858215865174e-06
