,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24H,25C,26H,27H,28H,29C,30H,31H,32H,33C,34O,35O,36H
1N,0.0,1.0132072460346189,1.4559193735342535,2.111989506621429,2.3284966315589384,3.294188169157899,2.7164256198345105,2.388253886503523,3.0065881208233476,3.25529341911292,1.4731667712365806,2.159850596796329,2.1161286157714865,2.5794371293741816,3.695957148936237,2.8581817685808204,2.4337824061780906,4.285004568823399,4.6968679486730895,5.3034614821310315,6.243892011789579,5.179562052092232,5.805343058679163,6.214580399253879,7.127729155133216,7.091549881951901,7.713695825107365,7.822185596297067,5.054101235905591,5.870108705729728,4.84190681624357,4.253944701769426,4.808021429683921,4.442555107771459,6.124238345152052,6.556979885017845
2H,0.0,0.0,2.116278241183086,2.5812064463546935,3.278186244910413,4.165670265323223,3.694544528766811,3.275312214749617,3.7257144702925706,4.166253097509236,2.128247562370994,2.407079975687948,2.689181276078594,2.829742969920376,3.9817033971781814,2.77135751026448,2.1460357280372038,4.060586577184468,4.458884163027637,5.277254195710735,6.149311198627997,5.348813317157472,5.78837497404305,6.026735621572122,7.215968389513691,7.326402544601388,7.795121167027853,7.841093556287735,5.163497267997849,5.972825249629514,5.161331117292511,4.251538734140576,4.29850080322603,3.7891928029695867,5.593383833518701,5.9217946521525855
3C,0.0,0.0,0.0,1.0976820933616502,1.5436787336767965,2.2004827447295954,2.1623128685510853,2.4138542733707804,2.8644782352058678,3.370587371917545,2.4227432021182476,3.1261046419898153,3.224132803483107,1.5451637047709526,2.4184076023117753,2.4782049921284797,2.6136790563373804,3.8374222291225597,4.032086010437837,4.723696673906012,5.593833732028145,4.367899586739968,5.507437182869817,6.090513690854935,6.685309079757587,6.500122271486365,7.41928119637449,7.296138596830336,4.985447758596833,5.940555313688113,4.590854680618377,4.429495699501899,4.770975207351077,4.775175155057802,5.986679485596428,6.6041302835370335
4H,0.0,0.0,0.0,0.0,2.1860990437034165,2.6916422903297677,2.3823655057013067,3.3626531682951684,3.907683093537297,4.198038530499145,3.321023913456186,4.100298284357426,3.934422658943775,2.1077767316873817,2.596743653530766,3.2066798740400655,3.415865507232306,4.416634235018368,4.3561378271965925,5.412401972529246,6.160785207907045,5.032318267667887,6.372802273840943,6.929593039155519,7.53233630575234,7.331361607806786,8.333986650662949,8.050818169443597,5.994848867878628,6.982674130148524,5.609401276824568,5.448219647407864,5.343444058257725,5.397206101183594,6.473291064245622,7.097118352973998
5C,0.0,0.0,0.0,0.0,0.0,1.0929314893283966,1.0955509130843577,1.5411553962014335,2.1741380615092596,2.20764829261041,2.4414514888515644,3.304836987043282,3.080549758559141,2.541011888790066,3.10429085203782,3.4635735639331577,3.6340623677914454,4.776615857599678,5.084677519508561,5.260560266320791,6.202935840245336,4.674302708685189,5.839780753685966,6.600548940754999,6.795474365848964,6.402580010118224,7.450002967924235,7.52966524358057,5.084935489656438,5.926795924931333,4.404518866294185,4.720091453875114,5.8480484060833025,5.880371352987699,7.062090110809295,7.7227498542293365
6H,0.0,0.0,0.0,0.0,0.0,0.0,1.7754579028413842,2.2198331697068174,2.436398609513261,2.754438936894408,3.3978520879784724,4.1178046021376655,4.104180776888155,2.632841564121709,2.777542030023158,3.6769583159279065,4.101011037020828,4.7824891397772955,4.997581632562734,5.013497316766006,5.881809226562973,4.241443798825304,5.6799572913200125,6.558144897743333,6.439350662063345,5.907022325210059,7.156455600424424,7.122366571039972,5.078892177029154,5.947692673649242,4.266718181218355,4.9381951554977315,6.046486861781613,6.282302692731614,7.1514789323587165,7.906640376163288
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1832173234640293,3.060509712964245,2.442963786797545,2.883922932580247,3.912725962476704,3.165857583840752,3.438754771699967,3.9173476310002804,4.432157325273627,4.522047230566695,5.775958879822859,6.009285252607389,6.335509293302727,7.25663565052559,5.73635440370209,6.931927896532432,7.677097845963122,7.881216969393365,7.458828325447569,8.52166253424287,8.617328310188844,6.136001857379036,6.935901788855629,5.44481342099273,5.727525296280175,6.799579569888681,6.758155420069319,8.028820531986606,8.663000043748603
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0957340562943918,1.0944087484866203,1.5483656970610449,2.196265470181109,2.2048485901647368,3.1912418481116616,4.031624952155897,3.552603391083613,3.4244694435830096,4.8694855433781825,5.477412521277448,5.216618615861457,6.274496777649031,4.7870749678614635,5.384185494938384,6.088600727536258,6.360589995773776,6.04911226921772,6.818924753001132,7.2432679030245515,4.29483367270315,4.946896743481174,3.6529096560138195,3.864866714198573,5.71685424240059,5.55619564647957,6.991370292139539,7.546921562059312
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7650571228318856,2.1828993590024557,2.341335319970201,3.0149379765858906,3.0950281888378193,3.8594294852490307,3.20844019506348,3.195958534972855,4.330980366652774,5.046483699520166,4.413267227341134,5.486107298661102,3.9825970774160515,4.429212974343629,5.198122753322373,5.317830435014429,4.994452370670387,5.748254555206581,6.235453539608183,3.3054138291146327,3.9529953110627463,2.5793222730830845,3.04925918894898,5.221333164835725,5.178844469758862,6.425889919916933,7.013863491367912
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2094850119657012,2.8334195789616756,2.390949648857008,4.24658625284409,4.996490366251619,4.634896552978161,4.475876443170543,5.920818284959804,6.545621806219525,6.148574880049,7.211653450687884,5.6639624597249165,6.180994113532324,6.914753505777938,7.026596176852406,6.633482489944528,7.385717383427434,7.968391534638155,4.9696864229691,5.4597734982481,4.244070627761339,4.623867609140685,6.751965503982304,6.5468757413452545,8.021616286525907,8.558511364412794
