 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,H34,H35,C36,O37,N38,H39,H40,C41,O42,O43,H44
N1,0.0,1.921374710679785,1.7569996061168798,3.08538024711699,0.08865211345434831,0.2073596032163864,0.028972742634524207,0.00441463198922909,0.03281060216301858,0.0015046567793643995,0.0006116436603258446,0.005449159149425051,0.0010680379117149474,0.00020984822927760938,0.0003804669174040515,0.00013207986262353533,4.2606904022468584e-05,3.31388127057658e-05,3.226879600104482e-05,3.757217950428604e-06,1.122125261740492e-05,1.927882440688755e-06,4.2852353743239036e-07,0.2368480846430185,0.05024134785096333,0.036556177608129015,0.0016918214442713797,0.007258453969573031,0.00033157655697990673,0.0011419800792434043,6.102672217933591e-05,0.00025997278018419223,5.479884671323598e-05,7.879442743163878e-06,2.4071753441656796e-06,4.077584278855406e-05,0.00013593202037553292,1.1835246507233e-05,2.2473832401725957e-06,3.076480437069762e-07,0.0011745924700659605,0.0002426354063391617,0.0001158680433840098,1.1985496650268601e-05
H2,0.0,0.0,0.02757518668667558,0.11188210444004443,0.00797234243818501,0.03217929796205832,0.001571597362528987,0.0003140086275963405,0.004226673348031618,7.047316488617561e-05,5.384117478213213e-05,0.0010510745039661318,0.00023801610747065105,6.91611646210788e-05,4.004299584103865e-05,6.65991425985446e-06,4.764939551482605e-06,3.5692740248949306e-06,4.1568706117267595e-06,2.3738588894595125e-07,1.5704070226441047e-06,5.056224994248737e-09,1.893163847910273e-08,0.006528206291504635,0.001895453074357456,0.00037883405172012274,4.031348128075152e-05,0.0001281827774575195,2.8920139192312178e-06,7.417044263768879e-06,7.736938800739779e-07,3.032226357779777e-06,1.3073249264250464e-06,1.322848228735296e-07,7.575336691267864e-08,1.1890982886120227e-06,3.3974694403360317e-06,2.4443509993865575e-07,1.402461013988443e-08,1.6100659694373576e-08,3.9975581043960595e-05,3.7187889430190246e-05,6.4113338603677406e-06,9.171779287164838e-07
H3,0.0,0.0,0.0,0.10866238552152863,0.0354032463054339,0.006975918534905423,0.0003441011756022405,0.002789187586815345,0.0011359612621814064,0.00022610121131561023,0.00014588984874452926,0.00019061544850085266,1.0298398636310324e-05,1.5403789896728526e-05,2.9571481716117454e-05,4.001622205818123e-06,1.0487052224505966e-05,3.4925247318629005e-06,1.397425699600774e-06,1.3842333479452407e-07,2.7556388275673527e-06,7.670634083467576e-08,6.506951422124985e-08,0.02030957714996995,0.048423615943956055,0.0034555188508886836,0.0006584423872355583,0.0004348072437955208,1.7119178339131125e-05,7.248859073538672e-05,4.569268052367903e-06,7.377736294778003e-06,1.6148905703672334e-05,4.7444436648280686e-06,1.3551353432728064e-06,1.6284606293659465e-05,4.72208371418148e-05,2.93810518148252e-06,6.515308168530964e-07,5.948468424499254e-07,0.0002099950653736693,0.0001382338603765909,3.266693140646648e-05,7.876344678692249e-07
C4,0.0,0.0,0.0,0.0,1.962830197334081,2.7108137764497138,0.09361022103530581,0.08127755403454806,0.16276243843009636,0.017939240179848603,0.0035034572650707307,0.02598529317897763,0.0029817976146333525,0.0011294598935949196,0.001836264830101797,0.0006632256807439507,0.00032084240558727384,0.0001501625929813677,0.0001044747467106033,1.0480882872698771e-05,9.641475559368784e-05,5.805205755327059e-06,3.01973555583146e-06,2.7245949220480887,0.26742758829391233,0.21944057641968873,0.011922546020632363,0.035654186372205465,0.0018967335750816883,0.004012609475554679,0.00017144456621864812,0.001474891642543552,0.0002509598558791404,3.340653157901663e-05,1.0826910468386686e-05,0.00024952012031276283,0.0008214418069385498,8.088576654664836e-05,3.3079781374123485e-06,1.8777576235029514e-06,0.008646395270877627,0.0019642172429188975,0.0013688601533982936,6.643134906691994e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07761028437050266,0.002660005998746273,0.032969113169553976,0.012327385174072836,0.0019003393701193527,0.0007646206546647605,0.0013149980244757664,5.9316735185444e-05,0.0002752844979838631,0.00023007995282497973,9.927424484468261e-06,9.784228172504683e-05,2.1514789587895322e-05,9.367912151558855e-06,4.855549435855977e-07,1.976298167383206e-05,1.5832856830044761e-06,8.432939646585424e-07,0.0951273700197024,0.021911674129515557,0.009468301599311335,0.006866165348611064,0.001312953520081095,6.345429291609861e-05,0.00011156508005305543,3.2536513603353967e-06,9.824045184458896e-06,3.628214107442851e-05,8.593980641791177e-06,3.4260758743354103e-06,0.00022789008203050187,0.0011920390611481757,0.00011788822082337003,3.926020614386516e-06,3.1575466663547047e-07,0.00047689140517404027,4.0460277519360766e-05,8.4237661632236e-05,2.1838090421777423e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.02365757885877,1.993658975114564,2.801459746372187,0.07490078120884092,0.08427587852130414,0.16685919395624735,0.02744813108858457,0.01245418426340672,0.020363144050476206,0.0020618697186436385,0.0031795265231666925,0.0010436398230496136,0.00030745224046024866,5.426757665782933e-05,0.0008823167010900829,1.1586378516503792e-05,4.811991926323422e-05,0.19714124695201785,0.041368175170064345,0.028325407986791826,0.0012087822404653892,0.0033202167959365536,0.0007382472228015802,0.00047312371047723845,3.86025867000761e-05,9.176623750495327e-05,4.121882078764183e-05,6.65703379054694e-06,2.0382264001028716e-06,5.809286843277972e-05,0.00019178515048150213,1.560555031850097e-05,1.3138508127008564e-06,3.195104748554556e-07,0.0011538702927446354,0.0005091788386242108,0.00017888927331835558,1.695135015566951e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026110425211231858,0.0908156434092966,0.021861051551236077,0.012899125570769332,0.0041842561779528165,3.176849878627763e-05,0.001088040963677095,0.0010639731825562437,5.964702540839362e-05,0.00041817720050207896,0.0001448292181362998,3.3031152457674295e-06,6.446246197500116e-06,0.0001302430894175588,1.6529967390432887e-06,7.883789186369228e-06,0.029856430063157635,0.0056485167337300135,0.004254718955764791,0.0002260607039121787,0.0006553837965106446,8.795579689757638e-05,8.345735466397386e-05,1.2408441718125829e-05,3.539176847522363e-05,6.999260213413905e-06,2.7580847739017145e-07,2.151211990764068e-07,1.247915796009913e-05,2.17551242004399e-05,4.592778005463316e-06,1.279394123976374e-08,1.3706291435156004e-08,0.0003121138427322201,7.192644591536013e-05,6.04120705930411e-05,2.960866102963422e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07472774746514088,0.002315718729741567,0.021595874722811992,0.02023878800575174,0.002575824225657275,0.0015790598080185347,0.011840129489253393,0.001019776280578144,0.0014879421794375958,0.0006127934298639781,5.036819885395616e-05,1.0734138632395585e-05,0.00033899674680260006,6.530154433193047e-06,1.4191898868087804e-05,0.019750306506433946,0.011323031199432232,0.002511943329572164,0.00026043239829975917,0.00020366451947761988,1.5129882533715389e-05,3.3159864614829004e-05,2.567929084928977e-06,1.0254540211862562e-05,3.5668599598359663e-06,3.9129935047732545e-07,2.433993397943368e-07,1.0994723589341504e-05,3.8066424008054156e-05,3.926512245011615e-06,2.625645019183054e-07,1.4848408991241513e-07,7.556717888190789e-05,0.00013142239221952678,1.4918411504805107e-05,4.0521438426921463e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6803051905522428,1.9633269140647744,2.7295568404880184,0.08689834948567576,0.08167572671615209,0.18802218175959495,0.018723990582818706,0.02964650429552504,0.006431560049831447,0.003676633726202083,0.0002820098835308871,0.005492766263118079,0.00015755388755700483,0.0005004767891244599,0.013615538768002117,0.0035549093434900925,0.017939673516507132,0.004417940958587052,0.0016884435241495271,0.0008529912725547817,0.00014264078938301672,5.351847564505352e-05,6.585527259073132e-06,2.4963317820453357e-05,6.537251004079536e-06,9.945706995084791e-06,0.0002574827069004859,0.0012847947748797703,8.224418882096796e-05,1.2434305138864232e-05,1.2279524644887019e-06,0.00042293799404036214,0.0009615164111261287,0.00010313571764912488,1.0876618921074055e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026847219391059163,0.09302823046297526,0.003555126139773712,0.03238778480093574,0.012316742864863173,0.007971740476102607,0.0010762819861522832,0.0009997582059860788,0.0012223303340987979,0.00013485905120025343,0.00030386963306794357,6.817185884688826e-06,2.4468910298391933e-05,0.006104676596941028,0.0019491638760997798,0.030055511795826773,0.007504790739052414,0.0018330158939801056,0.001473453865343588,0.00015027933723232856,0.0002388585347898875,2.1574996789119893e-06,5.195181746531219e-05,1.844415849938663e-05,2.3427798109487696e-05,0.0004939793936631354,0.0033262534929603405,0.0002141154281184443,2.8260633885723863e-05,1.664007484691865e-06,0.0003467063259308123,0.0005276065154825593,5.960196720400379e-05,3.473248949559249e-06
