,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34H,35H,36C,37O,38N,39H,40H,41C,42O,43O,44H
1N,0.0,1.019463406598093,1.02129649509529,1.4600910464564292,2.0837776395503145,2.450030440204516,2.5025403449237853,2.7859707425805795,3.83196217497731,4.0805967755518076,4.2329656027034686,5.007398819322904,5.933592800483242,5.1309654312679545,5.263445708984115,4.965004578610046,6.23239052804278,7.059142021179252,7.040923757836608,7.735898549820645,6.678875335541359,6.341394028249245,7.647725648935393,2.488602602834187,2.8500534108734135,3.657359972565823,3.9595008560342175,4.840980955795743,4.909660072558228,6.102030027291391,6.342834211922503,6.949681487920768,6.406155419759124,7.495592307967724,6.078005534219291,6.215716179910416,5.392985092885259,7.302734902823488,8.06601914592062,7.471576406989789,5.353050522064579,5.490456066367403,6.1814331054980585,6.705754540329086
2H,0.0,0.0,1.6249620891137657,2.0448755449241136,2.316415073198225,3.340467212746542,3.4320997591829014,3.7326062579787354,4.58583302456116,4.658184870367845,4.932443459110477,5.857176758388906,6.732761474876114,6.071575066536423,6.070799462325607,5.656528854747743,7.076418547622312,7.975626784652298,7.9836492808305595,8.664624737430785,7.443420340682171,7.006325392918497,8.417685994028924,2.7819711540347063,3.1448275709283653,3.7897577445077593,4.037237840413535,4.880620754875089,4.76235546125202,6.094943217562998,6.478818423998915,6.925833032042099,6.197674728217034,7.263184482645375,5.716875405459035,6.042357876417434,5.354472451498437,7.044156681638045,7.742443217891065,7.231267149555933,5.601128638287478,5.941192155691048,6.325733499570779,6.951640157323583
3H,0.0,0.0,0.0,2.0242359148197715,2.912789834869391,2.758080405239865,2.908703552751244,2.6783426026443964,4.23618212997891,4.519571234953923,4.810169787708162,5.1832908616459115,6.196976713345545,5.231845460593143,5.210949226506232,4.909483999883996,6.011105918276252,6.857748083740218,6.95376159149535,7.432612944500181,6.30517500435364,5.9590775821086055,7.230575277146004,2.5539651120023255,2.4455883192622028,3.880864469939159,4.409166362757815,4.866845032815352,4.860148137657113,6.270515941215565,6.557644806853072,7.0069326549024025,6.752682069010494,7.823257506413827,6.402055461520936,6.7656223133389,6.013216709958919,7.928484594610819,8.642850347045087,8.192483168101834,5.134151433159375,5.262135373942423,5.82256989260347,6.25346110893607
4C,0.0,0.0,0.0,0.0,1.097559166399779,1.5480959132328957,2.138591667357084,2.1512826822505655,2.6023936074810057,2.6601881853667235,3.1357879796888364,3.8775568320275315,4.725718349786166,4.247282672977444,4.13171171234249,3.752908760742431,5.250144287822926,6.160807526394268,6.139923917255499,6.94351081285733,5.769979174848394,5.405389798487222,6.773377335015158,1.5412847388692201,2.422245618660217,2.483706464232446,2.6876738832192673,3.8261925248796,4.169141672529689,4.950851944560737,5.041536254796854,5.868947052565881,5.3455852140428295,6.438768984638187,5.223166821927801,5.076625047852482,4.162322447497056,6.233316695851484,7.046228043333583,6.416259610687032,4.38510859961446,4.419498925542027,5.419452435911781,5.965363438839528
5H,0.0,0.0,0.0,0.0,0.0,2.1693593418884545,2.5804395662071693,3.049529457849044,2.7302733790915177,2.5914347551737817,2.953806098532279,4.206821824911479,4.865154312940512,4.687107611558193,4.667456046902757,4.273197271248364,5.899939347191867,6.781440654385515,6.6632980442967265,7.638892749541075,6.508616981588044,6.1324594250628195,7.517887020716267,2.1771976885163506,3.2755485739311228,2.5989790291389343,2.3797130455396944,4.0226928791606955,4.390598775750841,4.8790266206205235,4.94022793795819,5.89209817572887,4.986866881174446,6.069753637218947,4.884834730699461,4.451461600118941,3.4731848487730255,5.482359049648509,6.342521433123519,5.549167550191754,4.871727000166573,4.97855081620919,5.958532587799844,6.599123428471889
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0946232042223818,1.0988484964047973,1.5444647192776388,2.196833911991547,2.1795092996470644,2.5745066397383116,3.5134029079303835,2.747411642736461,3.096557844029671,3.088389180318467,4.1746198598172075,4.874575846549817,4.731311416740681,5.672962874191536,4.953413391102671,4.849133227791934,5.926109647386761,2.506567462825158,3.1644722050435647,3.3066363331793913,3.474381486074591,4.58263660580148,5.167051796346616,5.612018780387609,5.424903405230399,6.507540201038195,6.237383673475901,7.293605418618012,6.334792012490247,5.875741797825506,4.815438872494443,7.04419219114685,7.923038666369449,7.149767269225508,4.758898759396106,4.3769150868318,5.902396815557029,6.249961350155782
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7593258709002217,2.1800180415255186,3.0294315608896785,2.3470971942982755,3.1139952918921683,3.9783447607002893,2.9592503535995265,3.905018474529546,4.074844527148713,4.879739574734511,5.353608533987623,5.05960635798534,6.104416807168103,5.758737327146978,5.770771351375449,6.687382042045258,3.4183331889414146,4.010827508744153,4.292352262810327,4.368843636230957,5.61587947944779,6.133562432337712,6.639319236616497,6.455362430255973,7.562021943458868,7.154298545992042,8.222080243960905,7.2009061961947545,6.6700776909557975,5.559611610694853,7.754365506747699,8.666288537747274,7.75285513261357,5.833504007022011,5.448985888166599,6.9440483454164585,7.278986651118881
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.188971459500316,2.8057823151539787,3.0267975926074318,2.618115023475903,3.696445991585753,2.6264699874289423,2.712953532028587,2.762614129962591,3.5427316396592707,4.277803525803141,4.30069316988525,4.9620268460940755,4.184922292345083,4.123776487864223,5.130760948283399,2.6050508047612233,2.8338222382101965,3.5630820268537433,3.9950216755153254,4.611714433500712,5.1643316227902085,5.784608233203935,5.62469488516183,6.553226337299963,6.625682136676772,7.65801788565171,6.713950387592595,6.486427553069395,5.518278880863038,7.733686498959151,8.558833329879384,7.9428782154739075,4.4522646700762,3.956799507066515,5.489188627973334,5.695142746837585
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097344802875911,1.0954918243677272,1.5319961282013062,2.1744287295086364,2.166503926682608,2.4575930105629906,2.568923503975425,3.7158500867010633,4.348705505093443,4.075155950008473,5.292028550924833,4.702850908413396,4.677025886676363,5.642511538999413,3.202815314181541,4.058970162288904,3.404153208999829,3.278024624484677,4.611029258352617,5.441052540989561,5.264816002760164,4.796972431688643,6.194446441935972,5.904312519420615,6.877195173624169,6.2584058808135214,5.355062536613353,4.21400742078507,6.457999280370603,7.380044944483507,6.488458818360842,4.7927839665784315,4.222713111990888,6.079195289878011,6.4069006687954815
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7474719727868024,2.140548884776863,2.524707824229808,3.0534150895930026,2.6296519877333298,2.3635948570272856,3.958812867983793,4.800126538502809,4.660393999144361,5.763886625411296,4.766225399762715,4.549563192863619,5.718597812992978,2.866428560473563,3.8612127357140045,2.6430959956698135,2.366493909704697,3.7885059264785923,4.689046328379991,4.257564244637057,3.7575716256920426,5.219124146096402,4.860376137834039,5.807704551764311,5.293239381141245,4.314805284519634,3.2105110404306,5.444612086260249,6.345005006014455,5.543565228248822,4.14618745698448,3.707838944583174,5.467838033936566,5.891035642357751
