 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,C22,H23,H24,C25,H26,H27,H28,C29,H30,H31,H32,C33,O34,O35,H36
N1,0.0,1.795873585841475,1.662026465526061,3.1065241244192743,0.08456265678481811,0.2089334468936941,0.02726064259361527,0.0037873507662707917,0.031066396845911642,0.005149225478595185,0.00614693443070434,0.0003427842995680219,0.0014489931160327485,0.21372928768931754,0.05539033956027159,0.032710325243644534,0.002479260663939109,0.006887186854069999,0.000257249773436774,0.0012897864955985078,7.375934602815715e-05,0.00039690894139310373,2.567822968924105e-06,1.6678331763886334e-05,7.215628964692133e-05,1.902169320033842e-05,2.433939279500308e-05,2.8751511587099543e-06,0.00010371561375235872,1.729377520032216e-05,2.3841804428492708e-06,4.5308717178116353e-07,0.0005708017923901354,0.000147804392306633,6.394302551472608e-05,9.313644514508113e-06
H2,0.0,0.0,0.02736212673043803,0.10873319116360991,0.009616299155758679,0.03062265609127479,0.0014429184489257452,0.00036572232553178097,0.004261507385953656,0.0004706648942633951,0.0013655701862038683,5.285148123279626e-05,0.0003131748181324223,0.005945867673678884,0.002714515360926817,0.000457486407733243,4.294855929010133e-05,0.0001659315201469891,3.0963724622079525e-06,1.3212041864996138e-05,1.6899775296952413e-06,3.7150814288233747e-06,1.508436349162423e-07,1.1507475949912305e-07,2.423410314089658e-06,5.589187965782116e-07,3.99658325456187e-06,1.1206955163878263e-07,1.3142569477153643e-06,2.6367250804959497e-07,1.7298183996317107e-08,8.98282115358029e-09,3.315367389300494e-05,2.1628030264397857e-05,6.941582555208825e-06,1.2960199966549624e-06
H3,0.0,0.0,0.0,0.10790925964707454,0.033476852147610536,0.005882450097622782,0.00026666688346455025,0.002076156299852139,0.0008822263132840513,0.0007279919298972537,0.00020855321863633147,3.635495102893849e-05,1.1584655815521927e-05,0.026490045042226074,0.07011209490681958,0.004560807166727243,0.00036610916533730276,0.0005427952113019607,4.0381228451957796e-05,0.00010374671241020206,5.986275697367205e-06,1.8779358840759208e-05,4.0701719927760394e-07,9.904039131036768e-07,2.7896625821588472e-05,6.540982260272443e-06,1.0203920272733313e-05,3.5760797345574247e-07,4.034715955225643e-06,8.35828326994914e-07,2.638410561139892e-07,9.534594735960411e-08,6.208469200985611e-05,1.8300039151708525e-05,5.832545772244124e-06,7.735680764842101e-07
C4,0.0,0.0,0.0,0.0,1.7157310699853825,2.5617071073731728,0.08872490587175275,0.07959130446338536,0.15934874775471647,0.03896499502346229,0.027021587180106763,0.002127311517614694,0.004415808470646043,2.469061210538404,0.279694137759846,0.21794636246623567,0.015484242372931889,0.03536808599951474,0.0025752185057552612,0.004171206739153971,0.0002652384758483617,0.001456517332087237,9.831826980555292e-06,4.894724663606631e-05,0.0002685143329022588,2.7869758939536027e-05,0.00011375828627468998,1.0459806867535448e-05,0.0002891613485560135,5.6295850788368185e-05,5.74333875125177e-06,1.9652814444715005e-06,0.004172263283046568,0.0016405147382551333,0.000724048804477434,9.826986087757561e-05
H5,0.0,0.0,0.0,0.0,0.0,0.08120750544169208,0.0029855615661207313,0.033065069685321635,0.014053230592651511,0.021040014957503517,0.002332016119236502,0.0005068928841447384,5.848591425450245e-05,0.09183669576234932,0.024441325014206927,0.009861632672106713,0.004736590003746599,0.0014914410995627847,4.313900189800712e-05,3.968300617973597e-05,1.8462072029601373e-05,7.672697538874118e-06,6.370534333388633e-07,4.397353046137198e-07,1.2057359300210457e-05,1.039809691016913e-06,3.070335933297308e-05,1.1975770439764943e-06,2.2802915824460257e-06,3.802120807083753e-07,8.66843687941099e-08,1.2235665680648822e-07,0.0004876499842194626,5.028786505523186e-05,8.125824229698875e-05,2.2002827844369577e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.6420074920050296,1.8378239684174453,2.8211554619697368,0.2829966429609981,0.22995428632862147,0.015495156946408017,0.04248172694028152,0.19133533278334316,0.03913572379369629,0.02775121945229274,0.0014826328481024609,0.0028819132181151785,0.00046940440076248535,0.0003519572033940932,4.952002376101827e-05,6.590807682410604e-05,4.063439887014297e-06,5.829326999107209e-06,0.00035150466207437003,9.087219952741421e-06,0.0010770408427084321,4.645034695993644e-06,1.3386593120903734e-05,2.1632654945147323e-06,5.78822690888714e-07,1.2792151093954374e-06,0.0021052201891747224,0.004113211503988981,0.0005971088200572433,7.581482434815268e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025954132167960386,0.11605282705897868,0.03132261719508589,0.015194786867976373,0.0005650441969782261,0.0005463917970840448,0.027227689588213533,0.004391057578804758,0.005143430690207951,0.00034182980317343237,0.0006897412085957733,9.140122897521863e-05,5.807624041609394e-05,1.4138871263114083e-05,3.7511737747131235e-06,8.042082975112663e-07,9.984849480559888e-08,6.686988984527797e-05,3.764336995004669e-06,6.525268159873754e-05,1.2720253110831692e-06,1.2721756067479717e-06,1.2490849465862652e-07,8.365838422008665e-08,3.1971155101118143e-07,0.000581099015679376,0.0006932340139522708,0.00021199707031682724,3.0771499800907876e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10270239509844514,0.02843459031321216,0.011894639594491996,0.005487564775778608,0.000473674357444942,0.015374805156286309,0.005305243461505849,0.0012694346640031995,4.15186430475778e-05,0.00013324158802752173,8.522969028978977e-06,3.2676339378090447e-05,1.686660987765265e-06,4.376007953554861e-06,1.0664372207536132e-07,8.815063317069161e-07,0.00013439948972482352,4.7595897423313716e-06,0.00015286038103012878,7.400514998590069e-07,2.6327109748924826e-06,4.666020088084366e-07,3.6129868652423625e-08,3.2964051199790845e-07,0.0007375090274415186,0.0038559444557052514,0.00029999065350438947,7.274301606630118e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.813398546753045,3.493020927930313,0.13579014789509458,0.14451188819327043,0.011401470944869097,0.0048047409032033195,0.021236389118410248,0.030428012369637658,0.002185770834031653,0.0006129899784652615,0.00043880411859748003,2.384381761610932e-05,0.00013448255041875745,3.1719143436248487e-06,2.2644814146266512e-05,0.002561515870897535,0.00011422335981459142,0.004484688947393289,1.9339912286753247e-05,1.4159917830033897e-05,7.817423153255731e-07,7.100900005774236e-07,4.936082531381558e-06,0.002391678367662131,0.012844326270660483,0.0009423670069027279,8.337474917108345e-05
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5432297126456217,0.03333425728368522,0.030210907061066772,0.007461786516336416,0.0023011035886411346,0.05955599382077356,0.16091519927081221,0.0057575448623720105,0.0013305777069041458,0.0011058973453964976,3.965220463675312e-05,0.00029322937984729847,1.0751622025462204e-05,5.4089831935333343e-05,0.00845117142096323,0.0002077493682451914,0.025355694717471566,0.00014780401417313627,4.1300858908820126e-05,1.592242573345004e-06,8.695968463090509e-07,1.4639598209242877e-05,0.00039511184140683664,0.0018440434472725836,0.00021501171139964859,4.855812680348848e-05
N11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8501531906337174,1.981155162820564,0.0023586786529475046,0.0008059846830964501,0.004124781049864051,0.007788196980415996,0.0004735162489950956,8.994891944980044e-05,0.00011351801272670159,1.8457167364482885e-06,3.5468554461293156e-05,4.220944272992355e-07,3.2975482574526538e-06,0.0006254027235865073,1.896032797266134e-05,0.0008408814801750264,5.214874758685539e-06,3.6333117104311863e-06,2.6425125321249965e-07,1.360691914698009e-07,1.954656446478964e-06,0.00032724089950378343,0.0014872493825594107,0.00010990096233697011,1.3576258261482899e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03648061641665201,0.00016953583185452814,5.9438922617616186e-05,0.0005886807275109485,0.0003401832752167877,7.125701961474551e-05,2.901936643007197e-05,6.140715817060105e-06,1.3860005920740548e-07,1.429966037580499e-06,3.6321262664174014e-08,3.7167412236804864e-07,2.0255349011510937e-05,1.0744400735784865e-06,1.2829436814465467e-05,2.1720619858278667e-07,1.4279181015375286e-07,1.5561591126811436e-08,1.6273624670049003e-09,6.97519362269361e-08,3.5487413469370566e-05,0.00020198338754440215,1.3509157142488348e-05,6.364400499947465e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024860606902588067,7.341953380513022e-05,0.00011708306927604717,1.3542172950131715e-05,1.7640476427716045e-05,8.503677629834172e-06,1.2131286740602043e-05,3.127741583508481e-07,3.771969159127586e-06,3.146578464452432e-08,8.020516653051146e-07,2.759202866520205e-05,5.5133106249272146e-06,0.00016203950232451803,3.5122722241709425e-07,3.223780707939383e-07,8.714599286641089e-08,4.230903849489209e-09,8.10586686661452e-09,2.870810106792021e-05,0.00014097081222275154,1.0590420946088308e-05,4.48015310405836e-07
