,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11N,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22C,23H,24H,25C,26H,27H,28H,29C,30H,31H,32H,33C,34O,35O,36H
1N,0.0,1.019982295514875,1.0226649136786545,1.462715166836029,2.0936732466333807,2.4490459689347146,2.522540605765548,2.812055916312791,3.8153691497958824,4.261135899491832,4.8797595478092255,4.9774867880394345,5.78033564890908,2.493401198573806,2.7865114429631697,3.694391923182771,3.932192399146989,4.923910697635282,5.042496394596978,6.157973475752584,6.023783225145167,7.4052078777198425,7.792977133561494,7.273737392423347,6.6685884270120965,7.539651223520947,6.037227677364417,7.134878221112866,8.614379517570416,9.45720395909705,8.500068045500829,9.03201126409882,5.331148010011552,5.153209298036487,6.378158049104808,6.778933772976976
2H,0.0,0.0,1.6139474492208181,2.0319116458378184,2.2873433610478733,3.3209448948034033,3.4130121729406024,3.7686020192556384,4.54139987682432,4.765942580434721,5.711335458512067,5.9037719129943484,6.55794372273435,2.8039237920999964,3.0473989394228016,3.9005377481348775,4.19866090675884,5.120137669210428,5.0948521727799765,6.271455866875311,5.982462347263391,7.463206233826795,7.966935161371346,7.2324906358209775,6.936964093021922,7.7376174962460835,6.368834171256256,7.514169688189387,8.598347920543555,9.415541553266673,8.37314240287259,9.097648514232231,5.7679853379285335,5.77476767930031,6.760035345957717,7.270450677319801
3H,0.0,0.0,0.0,2.0115183479669794,2.896437906948056,2.810833574849155,3.026134211572689,2.774847544510704,4.2540456252116945,4.8210821660923475,5.207296836107142,5.150236607791115,6.130405260155483,2.494552861600293,2.3245945269953325,3.841162656964854,4.283282007216628,4.854631009382667,4.84331503302789,6.24196424380043,6.235061023935093,7.359012128203711,7.6500296804041215,7.145755868952812,6.8561867098340885,7.800653555808697,6.334269877305256,7.210853905867,8.673178918835475,9.44168749942166,8.650778885707373,9.14497327730013,5.0823942386698056,4.940549196904101,5.983331586420689,6.32474416392492
4C,0.0,0.0,0.0,0.0,1.0948786454327954,1.5445981035294072,2.141920890585031,2.1798002083733055,2.583841565496772,2.8817195836819978,3.8044820528176664,4.098575046690533,4.601433986716651,1.545107108169394,2.4210016764022884,2.4644866356352435,2.52674935903933,3.804634026126596,4.171424749955148,4.918436793815646,4.832499700828434,6.273605497155103,6.6567143818472045,6.304852432669395,5.273365268968828,6.1370015486942435,4.590768933593795,5.757704401807297,7.43699868798752,8.341816236826594,7.3620177170891195,7.754856439960989,4.255157427480082,4.0401169852941665,5.448258844135211,5.883424898789467
5H,0.0,0.0,0.0,0.0,0.0,2.147453134995716,2.5482459856094213,3.0554469244411204,2.692856297400783,2.5745839506092496,4.018110429135272,4.530303428163045,4.686359061750002,2.1751195224861175,3.2318623007826424,2.6141497628363255,2.3801509995155956,4.0633762717385915,4.494608556339806,4.88790748741347,4.594086953769807,6.3214741447439575,6.841625840337447,6.411135040294988,5.167969719037663,5.886715024091246,4.409551611628431,5.819229578849355,7.310502170639651,8.272281678019125,7.0989451830463475,7.589058487860319,4.779356188928086,4.638824686230591,6.022780659691242,6.544204449231393
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0973350488364382,1.098018865541767,1.5268951157556032,2.4344724834448366,2.438752701383278,2.599661893523418,3.3601402051064735,2.519478032313966,3.296649502551074,3.1725555676114987,2.961719729972702,4.339123175552998,4.947355402701199,5.394673608106056,5.530303246117617,6.789864359612118,6.984649257750092,7.009586596195611,5.360364406692728,6.262317839096936,4.5402185620992945,5.634315539995184,7.968726334539478,8.904103178001078,8.039304485577615,8.109292966635437,4.324572162698526,3.6830498299498218,5.575894277874884,5.785582395566723
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.762751376093033,2.1427606941450983,3.0571811283189674,2.760865233212902,2.814036060340888,3.7217165966308796,3.4400137786253073,4.138567556044578,4.180761487635423,3.9102042985315384,5.411123371831377,5.981778434839512,6.435694534847503,6.496559730750061,7.856706474873282,8.07549355072745,8.06624493785038,6.353055817661021,7.202756688023989,5.466525231105479,6.6486674431151975,8.999892564382895,9.953543210590771,9.019308776714153,9.123248085517385,5.4137003117389275,4.7262717415061175,6.648517912869659,6.81945616757309
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160000512547211,3.204003778066302,2.6506699999589607,2.4333374127124805,3.588823169930177,2.6702415814446967,3.0865223382183378,3.4513790806331377,3.466906777179414,4.349107170727037,4.891417359045735,5.568099990194697,5.883979507063536,6.830855851980279,6.873186323635231,7.012497201613944,5.582123580709788,6.575803343579057,4.8874019381569545,5.668491556317998,8.128491090903442,8.992614727761593,8.327048851487964,8.29063203391823,3.9932098122991886,3.2349023057335224,5.117692307211972,5.1841362267025115
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2326794901262486,1.3620922467961174,2.069940589379857,2.0326098115384816,3.197592889147266,4.191610403217829,3.2013570310756485,2.5819280710655135,4.2351963774703245,5.102499442024824,4.913720801962308,5.097648310782875,6.375046916458502,6.545132115736508,6.823158044922032,4.475584646846657,5.272986768897774,3.5118194228258885,4.731011537721686,7.387555696184617,8.385441054284136,7.489218986511987,7.336920893641748,4.197087713922487,3.4456468660794233,5.5240098866733085,5.717648160019052
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.263528465300679,3.160496123403849,2.4756241868478015,3.309101594850172,4.468013717053531,2.88105577168882,1.9778772447773054,3.931074478942236,4.857146363705863,4.271362250859055,4.288345501284003,5.793491902429546,6.110452633212113,6.310863679189625,3.749737399005195,4.3943083484455245,2.705130037858069,4.230477733545686,6.62389695948601,7.672396865595277,6.614933225908691,6.533252204552682,4.241968226091343,3.745982938252243,5.585597706172606,5.934473617763702
11N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0099724269400285,1.0115959592647954,4.355086133457406,5.197382875511548,4.346330146513709,3.7522893808544566,5.144590457955385,6.06924417787388,5.752937072227142,6.098940368206567,7.125871472966966,7.123936005695531,7.678102113085347,5.057034946457062,5.822493536604776,4.117337509262687,5.064416209711604,8.119763817422589,9.093706084370499,8.345092011111554,7.934065161617837,4.75679794784442,3.7541212398491055,5.9866949094662045,5.972016727139921
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7275933195068458,4.6250996829685915,5.272241773870152,4.824159939891902,4.400931502436655,5.538975283560638,6.389474711196,6.31944929280138,6.758298979654166,7.6127319412287395,7.508080084640255,8.108546784799179,5.712485671412091,6.55526113756826,4.86503629456739,5.588086893382005,8.712637836786001,9.635865197875543,9.01217501899276,8.563725798415405,4.928458056034883,3.818191308554,6.058230940091507,5.909570358941415
