,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30H,31C,32H,33C,34H,35H,36H,37C,38H,39H,40H,41C,42O,43O,44H
1N,0.0,1.0187937785642653,1.0202484481764098,1.460887368742703,2.079022475357952,2.4437177851121294,2.6312201626889355,2.6469037956697803,3.8315004353047715,4.027908963069351,4.249614356103086,4.995796117350783,5.44888991876033,4.893848676893324,6.235234573228778,6.569422680603518,7.114458262793589,6.3151129330113385,6.233674245367192,5.77607477137326,7.295140660522168,2.496265161964228,3.0104549637504268,3.5215914566149635,3.698734729467187,4.7520362824308835,4.722597498359622,5.863452555354978,6.621719144267144,5.5984330098552455,6.765063343324922,7.245605135874177,7.996023197332817,8.76260301438219,8.527094301732737,7.857401691824601,6.323154570461824,6.006706260502724,5.686919807551246,7.27662947626214,5.5492399318730055,5.639100653957915,6.579497457938226,7.203703771704965
2H,0.0,0.0,1.6355643803465372,2.0574622202378596,2.340881098729749,3.344145712112216,3.5457067462759615,3.612609264600081,4.605610237373136,4.657922217194974,4.926712880719482,5.878528775243514,6.363747782735009,5.832251001342996,7.03703852976876,7.2902900166005935,7.967181043618907,7.029255965342673,6.991957508005779,6.385243809501124,7.9723577479746535,2.7840895794207174,3.3861339742870173,3.5255185620956455,3.6043401576861354,4.680736611534245,4.561425198527945,5.614098733480204,6.332005299638248,5.181422276007097,6.617606926987157,7.217840339502934,7.714822536597159,8.541668711267603,8.213017951837527,7.4619707823379695,6.263041319061274,5.82035768203314,5.786616131145747,7.2561612971262,5.714045316586708,5.990639940113045,6.6785316238032895,7.404543664079142
3H,0.0,0.0,0.0,2.036768640914352,2.9242287714313075,2.7177175941369875,3.041732231546115,2.489780402961033,4.131873615268337,4.275070349015692,4.760704332329868,5.089166678987125,5.620838883851057,4.771511682141343,6.310484463493542,6.791497080047798,7.126121144447553,6.242673068621474,6.0006718020050185,5.751813083227282,7.223394418125282,2.6151451482724593,2.680713491127637,3.8265003587327793,4.237580230384761,4.861674664739351,4.656131778699446,6.122735806051888,6.762901245251136,5.958886816146184,7.139859780930894,7.5216555702454375,8.413594662326243,9.222806628399349,8.844488647765935,8.354063052354435,6.86435498943879,6.659000983839116,6.195237840888956,7.849243582901141,5.523498046775993,5.651287234322911,6.426492729836333,7.009623958705331
4C,0.0,0.0,0.0,0.0,1.0987313816261748,1.540934144221167,2.1541960564027027,2.1335525830299704,2.569147683954317,2.634309756109551,2.9745160239726425,3.917072735532394,4.4835803145339534,4.032653032298546,5.010165054826895,5.23298734223689,5.970895971952553,5.0984284053245466,5.181177915160689,4.503231567972395,6.048837930244287,1.5403162664737096,2.423566374221292,2.482699155872539,2.6302539705951022,3.8363126547119277,4.100808117985949,4.964283294061207,5.8277923882717735,4.868049874168295,5.6512248112104775,6.052799213694102,6.98077886473758,7.655168672297078,7.584075066323879,6.959454948669027,5.093762240421446,4.91152907343985,4.3478999186866245,5.999656290744349,4.477119106237765,4.400535292652929,5.649415704696139,6.212063254274682
5H,0.0,0.0,0.0,0.0,0.0,2.170856007224057,2.498873350428864,3.04936617505221,2.8272427325026093,2.8956388380933,2.8185688858859166,4.322891652929768,4.769501292943468,4.678650645437936,5.330894377611657,5.336223764744502,6.333207588277579,5.558551005706806,5.818568257778316,4.917747337362404,6.452086574737472,2.178212312724863,3.3007831972229074,2.5499114849651154,2.2556330510836964,3.9982317489724664,4.43815941184928,4.832692104330841,5.803471456331816,4.600166694484763,5.341701236741821,5.877697354534986,6.569050488900649,7.181820545970434,7.285802365168985,6.438742280504349,4.57054344887494,4.2179074606756375,3.9164224949247415,5.419754434200383,4.792798952694603,4.7149206960352155,6.030635527649696,6.634190958535212
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0945816795281365,1.097997398876962,1.53827630825885,2.153696469152224,2.179371502922166,2.5760591231040646,3.0349815783287193,2.658522127987165,3.895109042427095,4.274566522935791,4.736383439021745,4.27863906079936,4.3105977307648455,3.974913001447535,5.284649533914107,2.4909261633199162,2.9608475837265273,3.508840836981016,3.717838500200831,4.738996379085572,5.10005958945915,5.97316555560082,6.836667480993792,6.074899556031929,6.44271419279988,6.644368773845552,7.877190190793827,8.424043153819586,8.515037596517185,7.995278687216025,5.755447250277339,5.758305485547522,4.814816251631812,6.512248734245045,4.930947667605014,4.483863177965381,6.126098784937827,6.478153735892435
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7657766040039393,2.1918980814405917,3.056736164255728,2.4499369961623985,3.001379841753507,3.071552584902245,3.126706701201244,4.452685298698519,4.787537905883305,5.178041699775827,5.102696461904347,5.144496196056917,4.916759756060316,6.098652575903852,3.4408926249373124,3.964683304308641,4.4071644892477995,4.4529805209472535,5.721742363884561,6.081097590405849,6.872354628558984,7.779284508096978,6.869799142918341,7.293263818319259,7.562015649899526,8.677024115113626,9.19021196437702,9.377108637975528,8.712540222823817,6.4657544846693344,6.351944645120558,5.552327333849725,7.163612837836999,5.996111368958546,5.528558547804996,7.208752173100218,7.56581586795876
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.166893910524427,2.628507870789763,3.06543860624632,2.6781843823905263,3.239095862219458,2.298246661778773,3.986665318133298,4.610082226978839,4.704343549013391,4.171458876107532,3.941071557423031,3.9736618380746953,5.195471084591011,2.691358234758303,2.6773583195878308,3.9238874204007486,4.366379944666003,4.963010249113674,5.145072197149491,6.354668391279989,7.099739422317932,6.5371441017320615,6.962525635478906,7.065315855010334,8.434599473647495,9.033788922548558,8.967798733647367,8.61971285232495,6.465356888414727,6.5571797139374075,5.5155675458806614,7.263070685958847,5.000653280796571,4.581554227344867,6.057295620164877,6.346158744615659
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0971732768748192,1.09783686269126,1.5403747277914421,2.187579145982495,2.1826333256682453,2.563062446902725,2.768890923011116,3.5172484806827247,3.1305265379233234,3.4595703448785042,2.8908276774864765,4.0680279844752,2.968460458571209,3.4671765898563143,3.5570224017370284,3.695339116150233,4.613724150156231,5.235041064881785,5.729655637981489,6.625537263092398,6.028450052151565,5.85969703373398,5.895550194011033,7.331287370533419,7.715529731818516,8.023101454535677,7.596884921276301,5.0518281191847025,5.272761663921863,3.9969328417811667,5.634362749147212,4.466247118085421,3.705753823741628,5.714911774425547,5.913125353168596
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7484074492690551,2.164827721212666,3.0509624580691903,2.697595729835333,2.6303177349148608,2.7327974198632865,3.700386949226075,2.689444385699045,3.122746924871719,2.1240149196552993,3.5655524378945036,2.448593662983337,2.936425421125765,2.776664876531576,3.035873121102202,3.6483752226805617,4.34483349141601,4.761508834341637,5.620000132780643,5.1770441904749624,4.88513632800012,4.855806110028415,6.389955910083854,6.799819310141465,7.026771722364174,6.7364718829749615,4.231556333369185,4.58935211074837,3.1710055640097563,4.871289687631007,3.3966370591601027,2.635597241500257,4.66024541045559,4.874320135584784
