 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,C31,H32,C33,H34,H35,H36,C37,H38,H39,H40,C41,O42,O43,H44
N1,0.0,1.96771620448634,1.8847787971608254,2.7909028579323216,0.08836056662977132,0.20976505861542866,0.014655219750989823,0.009223222827645428,0.034901661969092265,0.001736160597101577,0.0007059854578360669,0.0056675741675331626,0.00010920899212640833,0.00022050402786655265,0.00142464718537047,5.69770469975861e-05,0.00025210399906960834,0.00011360372056355705,8.742317942012079e-06,8.003661403122031e-05,7.009906244359598e-06,0.24574228552693955,0.04863568546844373,0.03772197708030607,0.001740393911082161,0.00609986054977299,0.00042054732480445445,0.001011693741058528,0.000255862879876223,5.38439169590621e-05,4.61621888618452e-05,4.206602510326007e-06,1.620605408063358e-05,5.315917502746181e-06,5.8936061076986235e-06,1.3312806446119652e-07,6.853152756459979e-05,3.8139992777352916e-06,4.4220391530513936e-05,9.859672230216887e-06,0.001196520157387304,0.00028995700334003005,9.634443111336544e-05,8.451142727516903e-06
H2,0.0,0.0,0.027669655000730264,0.10837120203074613,0.006926654135406718,0.03242022648627496,0.0007098793442557039,0.0008588051921443185,0.004797292864935576,0.0001181127018714534,6.438840063904827e-05,0.0011120819031685825,3.5449564097511654e-06,8.344062573439892e-05,0.00029986622408284536,1.1562941360176993e-05,6.391467254363015e-05,1.4510549522728233e-05,1.193870708959821e-06,1.7335302517906825e-06,1.3094185258299973e-06,0.006627894325850425,0.0007048847681427883,0.0011768294455709594,3.683932829368075e-05,0.00015452249390734973,2.1711823104730854e-05,1.037142719706452e-05,3.761530776413835e-06,2.590510116196043e-06,7.439250103713491e-07,4.752060167589889e-08,1.51424886740692e-07,3.535783021924033e-08,6.759292991986854e-08,6.969915755661305e-10,2.41542557399832e-06,1.7856333300869665e-08,1.0324758539237422e-06,4.779538371746384e-07,6.698225407131275e-05,2.3403956217915578e-05,8.230595626379511e-06,2.3823794155219957e-06
H3,0.0,0.0,0.0,0.10528162532178986,0.03635799407802742,0.009288289014979134,0.00015819216853207863,0.005569129967200492,0.0009773798870958972,0.00010156323869159323,0.0002896088737343039,0.00010840307460258103,1.3597412685584231e-05,2.023503712345054e-05,1.173230119422275e-05,3.5596252447867016e-06,3.2714257927057844e-06,2.2293638037851338e-06,2.1550867068675927e-07,1.0558205896238348e-06,2.050952652155047e-07,0.015459091477192155,0.024289982287977296,0.0025254018696159175,0.0006193226953470354,0.00027127770219892433,2.647506916986231e-05,3.555589802717307e-05,4.482948265049913e-06,3.9174669583808e-06,5.1690585033403735e-06,8.20533465173412e-07,1.7813966195490138e-06,2.415468995931036e-07,7.690792358516774e-08,1.592902925118267e-07,1.0302871302325656e-05,6.124974245569348e-07,1.3747990632584361e-06,4.754086524449974e-07,7.195092063438935e-05,6.911061265513219e-05,5.9326147315852396e-06,4.1909656500749293e-07
C4,0.0,0.0,0.0,0.0,1.9622989718997985,2.682879116081702,0.09012741314241612,0.08563423557183136,0.16812065453989572,0.016858757693262616,0.003628473191355397,0.030434400599674866,0.0005851189657644085,0.0014129630318271413,0.004678259081914354,0.000118269279132166,0.0007705348388646893,0.0003000386769879265,4.444015754612174e-06,0.00018461608217046344,4.3879095174559346e-05,2.62853728520121,0.26800299277763784,0.2271692987396758,0.017484124711560356,0.03509696851570457,0.0030175781040836513,0.0037413866185216638,0.001182881661699886,0.00020791738078562716,0.0002135170289893351,2.055474563134041e-05,6.233421569198927e-05,1.5336154474354657e-05,1.6540130758579963e-05,9.837891978836666e-07,0.00022666038165891633,1.4320318369343e-05,5.6822010751744756e-05,3.034248931466088e-05,0.005469682807587334,0.0012410336083280293,0.00099458794025728,0.00011808078517627774
H5,0.0,0.0,0.0,0.0,0.0,0.07739830865431374,0.004559341413722162,0.0348290930889692,0.006491093225750477,0.00026082677103134166,0.00172655558527679,0.0008344538995281869,2.0425634034593187e-05,0.00045751693783713243,0.00012854225228831062,2.0802662283880835e-05,1.940126294330824e-05,1.0896933722470692e-05,1.2316729864902953e-06,5.857731412373113e-06,7.267514874342851e-07,0.0934690042275299,0.020344792467022255,0.0118893384808334,0.012327777460115152,0.0018133501645469785,0.00020812960114713341,0.00011986645053885248,1.0479684846353976e-05,1.0081677116247079e-05,2.9005198791898223e-05,2.039341171045095e-06,8.471968717005396e-06,1.2432146077046013e-06,1.4581391016843526e-06,5.162925260648876e-07,4.177716039976964e-05,2.1104959309070637e-06,1.205809313331585e-05,1.3345877163395414e-06,0.00024107663844730176,3.5218952027626926e-05,5.848596816915297e-05,1.9707156649895197e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.038095220040905,1.9922969022640624,2.5151856327240907,0.08242379158454805,0.08116400125397649,0.17399044980544928,0.0024813156674430292,0.020119934481172885,0.03143305062910304,0.0012473034443641895,0.0032093859765485178,0.002388160888707691,0.0001370224823159516,0.0016167928522061725,0.00014096054198620145,0.18715799238000289,0.04239713379856716,0.030313168058393958,0.0014722723633310286,0.004411499615841835,0.0005175389164773225,0.0004867141901150618,7.515865620111306e-05,4.917700388729074e-05,4.5094740058204685e-05,5.861671446005801e-06,1.8150335697825204e-05,3.3116501707564083e-06,2.287695555658331e-06,3.633513157019763e-07,0.00013015969298248165,2.85725343163179e-06,0.00024174763942808042,5.582164778861198e-06,0.0012643406470599639,0.0012166931553175414,0.00028040693904626823,6.40288500061148e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02458608554271713,0.08614022568828483,0.02981607694713495,0.008602788125604777,0.002632844795859235,0.0005051879721365005,0.00013022511762006417,0.0008437208442397814,6.042104801107229e-05,0.00018047468976267744,0.0005005130244207789,9.801678793275315e-06,0.0007191600683709165,5.882973363235955e-05,0.02884895256640263,0.005575025200181272,0.0031948466407665244,8.28507749104368e-05,0.0007665598156756381,3.14122691285057e-05,0.00012786271493525625,3.186522925324731e-05,5.726346375301006e-06,8.940539934831904e-06,9.656833384052987e-07,5.857904944450709e-06,1.3805294891700015e-06,6.154403513480844e-07,3.512769897184853e-08,1.5821685412698017e-05,8.085535583290948e-07,2.199625048304732e-05,4.569073310811689e-07,0.00014173803175809851,0.0004134905249355558,2.5906655285234947e-05,6.308248298392272e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08019157348751471,0.0017359671722831926,0.029869786732292347,0.018471464791726122,0.00012026413978150075,0.011528102543585161,0.0014874571797383052,0.0004532598368178764,6.415134815385137e-05,0.00011136961843483117,3.5941550906803954e-05,9.53181889351562e-06,8.903906939750073e-06,0.013124197664984738,0.017394766045907173,0.0021444348416925774,0.0006772811514503818,0.0002150077126337191,1.3708542300205906e-05,4.884550956063549e-05,5.137681634126423e-06,3.091883953088015e-06,8.973901518327665e-06,1.5752135729130146e-07,2.524977141815654e-06,6.469135958031558e-07,2.0532723299382383e-07,1.0073804057597613e-07,1.8835007586703867e-05,4.907509874030325e-07,2.1827962604747952e-05,8.92229579330106e-07,3.8389365809354814e-05,2.5198738389797803e-05,5.758377063069808e-06,1.7545930659501607e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8875346214038795,1.9608456235606186,2.835946480894075,0.0810201745415785,0.07619578531798599,0.172579206908421,0.012022717416696582,0.02770531263295062,0.01895906236393878,0.0006689305167448811,0.014042753295407717,0.0014619564063726997,0.03364420347880148,0.009189185579409523,0.012760144982721294,0.000407546954241389,0.0011959809679857325,0.00032108509065009727,0.00015590092126449573,1.5877597782210096e-05,2.1118746156734147e-05,6.024148517508321e-05,2.8206134921049397e-06,2.460331426802631e-05,4.301064697731505e-07,7.21775278522685e-06,1.3276533759043474e-06,0.0003926222048077077,9.832065700710046e-06,0.0006581275963499778,7.337870997714546e-06,0.002603038733020535,0.012690843987298223,0.001152224125523224,0.00016983852797614052
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025735511008484036,0.08223883011268773,0.026664387142978807,0.00156203354449036,0.017100728606291637,0.0008246233391280278,0.001772850093791023,0.00766761378711367,4.891216585289904e-05,0.018162242162441666,0.00034121799696729127,0.029515221908200218,0.0020888513170440604,0.01266226123161096,0.0003031538648636811,0.0016590721157117017,0.0005614725053026959,0.0002181521397572883,9.277375378591302e-06,2.5861524009185288e-05,9.790521937391716e-05,2.168878025177179e-06,3.972806794938499e-05,9.548555390814784e-08,1.3470573397622587e-05,1.214153245276961e-06,0.0004341755797178104,4.629767713848487e-05,0.0012040154277876969,2.5077728236677643e-05,0.004798156536472087,0.031997160389689694,0.001987734146680298,0.00015122139012491154
