 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,N29,C30,H31,C32,H33,N34,H35,C36,O37,O38,H39
N1,0.0,1.7081602208474471,1.782326561025281,2.959023382942049,0.09526471051543783,0.20197086483107718,0.020478460102652862,0.008297184017460602,0.03290713430755966,0.0006922644121516441,0.004009277518953497,0.0004933520498986432,0.0010441919385935083,0.00024062100181465595,0.005308849346647895,0.001156810917993134,7.920951556883438e-05,0.00011659422584253676,0.2023496745032511,0.04102907623245465,0.05204855777505006,0.07429269114909998,0.006403463718323094,0.00108490800569494,0.0009877491995588378,0.00016023674177734204,0.00010006764441894411,7.77837945997728e-05,1.7289565397010653e-05,2.6899795389973002e-05,1.2234148094592e-07,6.459709983808182e-06,3.9437528598362803e-07,5.52558036333306e-06,2.325323474883234e-07,0.0013134332250791247,0.000974426542734011,0.0002660683426034677,2.0909389882306506e-05
H2,0.0,0.0,0.026923467778057653,0.10153069384803048,0.004576276030290982,0.03262449931200195,0.0013454596568909238,0.0005118993483836931,0.0049803245883661695,7.114813941355713e-05,0.00022630507188747817,4.194238772270431e-05,4.126423939498913e-05,1.1035810514314903e-05,0.0012269454988039774,0.0002677284596421803,2.575058637321881e-05,3.7241138025390086e-05,0.007156515704906274,0.001381800702860092,0.01187244900676443,0.009210157857545642,0.0009923606416433195,4.497614197207511e-05,0.0006032096003109055,9.461682800382398e-05,5.820943083545416e-06,2.6513425932850332e-05,6.909231358043222e-06,6.052165988479352e-06,4.831201549926334e-08,1.0567100631186932e-06,1.7837118515551253e-07,1.518787068777172e-06,3.599229803086246e-08,0.000339830491764892,0.0012966843187922628,0.0001272534253727864,1.2432857000144182e-05
H3,0.0,0.0,0.0,0.09917138548917448,0.036037292425639356,0.015375101010677739,0.0005536741139990919,0.00741472954628386,0.0011856275568892238,4.494209882333067e-05,0.001214880061039203,0.00017249961105370026,0.0003523086288597099,2.1956582521243106e-05,0.00012172265524290626,2.6694059591214625e-05,1.7306334274547197e-05,2.1851827899599385e-05,0.005136174772211399,0.0010024941456270309,0.007854899981228347,0.010390465700410578,0.0010952626847708924,0.0004710061676398425,6.324235011412327e-05,1.698026037288969e-05,9.210762149658436e-06,1.7165468170210474e-05,2.6036025372322413e-06,6.001299451385833e-06,5.739272634919246e-08,2.3517060180333615e-06,1.553754302996424e-08,1.2790562544662265e-06,1.249266718961195e-07,0.00011103736347539694,6.0294647069136786e-05,3.2811936258148044e-05,2.22658842941037e-06
C4,0.0,0.0,0.0,0.0,1.790677615451457,2.421862261653323,0.0943549401091035,0.0863294975859965,0.14236021512996389,0.0046329875323489755,0.021958686052033285,0.0028657721195439745,0.007875684215536527,0.0010757227119966295,0.031934972280930535,0.0046015078813066435,0.0006110011129834003,0.0011313750707788728,2.6933592736824257,0.2867737327864887,0.2231264444034492,0.013043071770838632,0.03702583779991528,0.00423035659547788,0.0030899081013011087,0.0007487163445281109,0.000978345856758267,0.0002724885147375733,3.565665935745255e-05,4.1176243155499614e-05,5.229156141428604e-07,1.0909699086403268e-05,1.6803860769520895e-07,9.669524215882852e-06,8.620562528260933e-07,0.004320706996914503,0.00039709697974911473,0.0012607178942847796,0.0002548121527793379
H5,0.0,0.0,0.0,0.0,0.0,0.08390978428883589,0.005034012907995322,0.03416954695962682,0.006733852022248632,5.149213252608753e-05,0.012737992435594148,0.000892020981476449,0.010060403578034505,0.0006078569525376221,0.0011466195340449348,7.305832687376501e-05,2.093459705632128e-05,0.00020606565151948253,0.11103114931392022,0.01862899336058843,0.02365978056537954,0.0017428264299710339,0.00270579963366413,0.00013211915287780762,0.00037977189047988524,7.087880872225227e-06,0.00013055938809047873,3.535769092444241e-05,6.583317045283366e-06,1.282153433790345e-05,2.2498263629877613e-07,1.7428762641991113e-06,2.8489371084461368e-08,2.305078079301026e-06,2.825160856367859e-07,0.0008290603199514468,2.8523465618435218e-05,0.0002117694609122811,7.1658222669857e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.954814432980998,1.8287713294324046,2.8020259535495224,0.08223657361240932,0.15469228657265238,0.03035154957532371,0.004960495934593245,0.010613889960540801,0.18795506956999816,0.03050849546301615,0.00937288766037181,0.011407571968758301,0.17926984701228657,0.03424833588688138,0.025497006096078495,0.0012928491431873912,0.003217070960017998,0.0005918812282144081,0.0009440930814434284,0.00014821080224547423,8.00374983640495e-05,7.664190307096752e-05,6.270566477076245e-06,3.2299605019159294e-05,7.829209627274736e-07,8.826594876193417e-06,1.968274099262146e-08,5.240226255642799e-06,5.400193937576958e-07,0.0003233791783610884,9.651309821433196e-05,0.0001146666252622025,1.8819083565713157e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021837725389163287,0.08075747879414141,0.035078567362187174,0.007516115544558888,0.0002282393481396472,0.0001410204418905714,0.00413750736720786,0.012194521528535729,0.0008370762003833132,0.0053617929469862435,0.0002939561464914142,0.030289124709182103,0.0044272827998279585,0.004083902476059054,0.00011694920466420733,0.0007546983327073598,0.00016607058180606593,0.00018360444059162262,4.54792429127604e-05,3.715261329229058e-05,9.234763842069782e-06,1.5088500491255985e-06,1.998913380152345e-06,1.627634715894999e-08,1.574127664216718e-06,8.455548927699397e-09,5.05341830825401e-07,5.983175221935255e-08,6.244152622336685e-05,2.3833883824320168e-06,2.211414427844005e-05,5.261387890698188e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08258201129481546,0.0050973935662106395,0.02970532446645313,0.001408679997356721,0.00035983460206190365,0.000577910515687563,0.010756319730078623,0.0006234642916600475,0.00020100278712598119,0.00556687607759776,0.008662029500026591,0.0008755153159267781,0.0021333403426868625,3.574468976097478e-05,0.00027907627775580757,6.893505448846149e-05,6.715424033343353e-05,6.7628502664618395e-06,3.764387011218062e-06,5.219227130748294e-05,3.23888646591719e-06,6.560838389235712e-05,1.271163384108931e-06,1.6064964398543324e-05,1.027177987111827e-08,4.039410966605317e-06,5.252194457128212e-08,5.515019843449487e-05,3.6250932375914147e-06,1.6749242260694075e-05,5.12016658515968e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9191767488320144,2.598458585146414,0.08609612335712091,0.08753524248544942,0.0793496107397782,2.445018794531986,0.08534235850540028,0.08240949507994566,0.08207287941789332,0.016732436191547573,0.02448824089547033,0.0034360731694091096,0.00016239413694096871,0.0004672468194850121,0.00012090884455029371,0.00010550831037994812,1.3294123138996028e-05,2.878234497427634e-05,1.2719059108323716e-05,3.4654407532475062e-06,5.621925355275836e-06,8.080167657187332e-07,1.386770810962723e-06,2.1564952046304597e-09,1.1845924643705263e-06,2.5574166451214353e-08,5.52091158603496e-05,2.2915053881883418e-05,8.299981989562388e-06,2.1288921846496223e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08182123568687305,0.0033393093817553066,0.006301670090430589,0.03411058402594214,0.08194942388994586,0.005061806107969247,0.03466883031077672,0.0038354288992543673,0.00966009587956429,0.02527653388984097,0.0016813792585224085,2.1227307811955143e-05,0.00016135578156495356,4.4368163555574824e-05,3.730140488611422e-05,6.415478523535967e-06,6.173847107682207e-05,8.697435555538036e-06,1.8898320925941903e-06,8.315914235001998e-06,1.4262122194352855e-06,1.3219310841527943e-06,1.87729742862075e-09,1.3297388838928725e-06,1.2120309200724932e-08,1.427582442570241e-05,6.047496695971155e-06,3.115612150939029e-06,6.454055920812607e-07
