,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29N,30C,31H,32C,33H,34N,35H,36C,37O,38O,39H
1N,0.0,1.0178027660158049,1.018522362154083,1.4653269952391816,2.0685755792866867,2.4379840988243715,2.5277569698655973,2.7026553063953993,3.869289766203565,4.256125319529797,4.400771193412659,5.4824319605597225,4.223204004623286,4.380416717817894,4.930602108805815,5.9094966011605345,5.029301965191847,5.043701400702267,2.568585655054587,3.6886881144178676,2.838198219920765,2.4020649179347036,4.242532339957155,4.6441309798991375,5.290827778198216,6.251148031700445,5.353440276291896,5.486304317807276,5.60508806642425,6.106664088993919,6.527125480959614,6.24297378423054,6.752408757520818,6.5531591174043555,7.221774826782837,4.7115031503373235,4.273863300885511,6.048720809289375,6.452426158252145
2H,0.0,0.0,1.6496165026224134,2.0763226302523115,2.412974338564157,3.3537205093369855,3.4933135024573563,3.637425278523256,4.684957416415723,4.969579252617671,5.055074055579272,6.133600360893287,4.685553577440066,5.049780642473019,5.859753688633312,6.796930483002255,5.985573878385575,6.006338742248009,2.7777428115748446,3.8863426045623206,2.794621044858576,2.221106308866504,4.03191862022227,4.371231814123239,5.290041003784275,6.145474765074343,5.501619006244779,5.59382495181316,5.575611910887185,6.407515439382149,6.936659194007438,6.3453625426993145,6.808949956595326,6.836880517321912,7.586033509049962,4.23576596953473,3.654635835971788,5.55115051221558,5.860004102646964
3H,0.0,0.0,0.0,2.0726745915651374,2.939732611054055,2.6414993644647233,2.7836523312000003,2.4729257847326065,4.149017075819044,4.456262312538484,4.9726257412846495,6.014917240247135,4.915633530615119,5.020683999154517,5.023633253132281,6.045881779318102,5.171756078617568,4.912738072912154,2.894050461705019,4.087469302577917,2.8237439819665293,2.2196874325168374,4.21168385779018,4.831637370848779,5.0811399574730505,6.085244820723315,5.2274830946856214,5.001836798030045,5.001520730927473,5.51870351547195,6.001187611995052,5.484051760208718,5.924046540882281,5.802206021891037,6.4144236655691005,4.603962230206465,4.129189167281852,5.9441044032096855,6.313827094294574
4C,0.0,0.0,0.0,0.0,1.0964134310035492,1.5465090126014784,2.1265351247900606,2.1603889897040847,2.648614113599945,2.9224406222952113,3.1337284740052915,4.179194581539769,2.8862916628430693,3.37061208507262,3.955256920501191,4.808079250649999,4.252967518779544,4.229994019739607,1.544949412285947,2.4276871961670303,2.4725548271768587,2.602842176197318,3.829829034330694,4.023472858598887,4.728311757055954,5.690788188878916,4.521467335484005,5.174515937823316,5.648247140625388,5.727176881445766,5.949184180529089,6.369773026643718,7.073694792962184,6.452002217093317,7.139774129461892,4.731100946869159,4.660736010455813,5.98182861013192,6.576222211310875
5H,0.0,0.0,0.0,0.0,0.0,2.1571089611477734,2.4747748196349595,3.0568692888320412,2.858618499999226,3.246054392037973,2.759609212237708,3.8150073301369813,2.2940680298081806,2.855303939291734,4.245460404523551,4.988693526839582,4.427121237301136,4.761637864045689,2.1025349451066084,2.5985666916305417,3.199702841869031,3.3927477149705467,4.401841141916683,4.341809813609867,5.418942331756745,6.288756265432317,5.153746445509509,6.062399953382438,6.570256637960486,6.680967417965252,6.858348228963358,7.376985219559685,8.09227858014197,7.479228539420326,8.190779313396087,5.279152284149859,5.21010161168345,6.472438406368294,7.061857769115997
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0986241880940002,1.1016852089113771,1.5424770572896542,2.1547359769731265,2.562931410275646,3.509955674327677,2.88126443435138,2.7901206345659215,2.5119706891447624,3.477546164311361,2.802485280150892,2.7383441357549443,2.5622034163393983,3.125896707166386,3.4951656284674013,3.681981753741101,4.817414958131682,5.101501040404422,5.325713857796138,6.364026972742145,4.913925812040416,5.541295734313328,6.155117950782792,5.7274320636568055,5.735187272303581,6.627812185862343,7.34599445828018,6.426852824686831,6.938632111601722,5.877820127260179,5.885838885017111,7.097929289590279,7.747084609756013
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7604523514634614,2.1679658495965435,3.060280233138365,2.8519736524273833,3.8072971912280558,3.325990820597993,2.642479519691408,2.7130208311867277,3.7457242891368447,2.549951094845854,3.009455850596304,3.474131616955572,4.1002300330278505,4.346294528770847,4.345163697663586,5.737750470695944,6.032367568665412,6.3445279711095885,7.390165222540107,5.990453081210691,6.4842625090510895,6.971977591091294,6.65017652886648,6.688610001447745,7.373253619169845,7.9935683922055585,7.2218076142076795,7.673455558802186,6.663082599358136,6.5091263286075645,7.936677880234502,8.515118767572297
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1648772711750732,2.4679350953945676,3.500281121282959,4.324653900862308,3.852976764713807,3.8068722483992405,2.7192397833157895,3.7119892185387005,3.1346686384745865,2.4843678000099247,2.825361006653973,3.51465478886102,3.3960589433507993,3.5034095453262686,4.681735295500022,5.175191238799654,4.9747995045717675,6.059367667871294,4.628330044609645,4.911007130520429,5.4786309974544665,4.934273048711986,4.961759566042437,5.785390170539815,6.473553638215363,5.511083533071662,5.950097225589893,5.699671032167291,5.715148414673443,6.904665656562615,7.5367131344841205
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096797050465654,1.5364444252494207,2.1787065764145814,2.1828271627800677,2.190324148678519,1.5379160984441669,2.1852118147441706,2.1866767457074356,2.1972337992111672,3.1620276792840563,3.120254546033919,4.318175278110269,4.788538752279427,5.400028069994363,5.478958569346935,5.668570623572456,6.626310099939754,4.981807745984165,6.056394208573334,6.933983993690911,6.094948832827496,5.841480156749991,7.418018441972303,8.252958492537196,6.9972842883223425,7.462572446681829,6.6895321664001655,6.924010503190873,7.776157406592905,8.540406336242784
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1383934398389,2.524175995001378,2.434466452161091,3.066189762240871,2.153439125285164,2.4871126957134733,3.0755485476559743,2.531644556762538,2.860612129344795,2.547230900651918,3.946028926910821,4.599158528166254,4.806537308974998,4.847025614944032,4.87064689513295,5.774333819783629,4.07126067567118,5.3440800602990395,6.365104284056121,5.360772548082577,5.025930045647647,6.892554828351749,7.809225002579276,6.397706401777464,6.898691294215672,6.211059152546833,6.62381902963982,7.182216042327849,8.011168488945348
