,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27N,28C,29H,30C,31H,32N,33H,34C,35O,36O,37H
1N,0.0,1.0203919879618812,1.0219654346261449,1.4627621401664048,2.077849021115899,2.4583472944477838,2.4522894650477687,2.8899166973137005,3.7790188269067855,4.303620148851417,4.968201855723059,5.38764558012104,5.559541115554304,6.399009509427975,5.936302566275419,6.911602164164412,2.492430661405909,2.7443037068648466,3.7314017286614862,4.009067573491027,4.9526273438131065,4.871081729275572,6.03116727679273,6.328637940736942,6.95895255140297,5.99928885150011,7.1169720662285645,5.368240757535869,4.592127049778105,7.212574291947581,8.102859911088276,6.260591427650016,6.384477251978362,5.789570325096338,5.850286011697366,6.850365513510776,7.451162571114904
2H,0.0,0.0,1.6054250417759666,2.0208545504001187,2.4151188739920033,3.3357102833143384,3.448097878217539,3.7330244068969765,4.556339908368565,5.001262806755073,5.709405798085679,6.109627842335494,6.2302257385074,7.020199189108998,6.637694139192769,7.596681416752694,2.5567845356203702,2.4133196407249766,3.890128867500292,4.368823801136284,4.957452614496966,4.709183587190275,5.931764181551926,6.3586632203955515,6.833895805736776,5.686658707844164,6.779736384563102,4.856853406346219,4.0047212890923864,6.721214322872251,7.582124186458913,5.6501790921624755,5.656131427610885,5.979185392531592,6.237102901679479,6.931359184359083,7.625787756764185
3H,0.0,0.0,0.0,2.0290522355575953,2.921827011307677,2.6372814228868062,2.632695134402826,2.671090931982328,4.10862149123582,4.87680522718336,5.1538949982250415,5.391145208394148,6.085447641004138,7.005479859981368,6.27672699873155,7.217821513313905,2.7233482139299094,2.7962896673475672,3.9497674732555033,4.277443698397665,5.035958277322519,4.8532136354615085,6.2937858315693616,6.66300102504519,7.128249389838519,6.4195712597512085,7.636235762247186,5.815498794026884,4.954237556248826,7.805009255925634,8.748002276013723,6.824325814443105,6.975325851413858,5.679408935222569,5.705077480651291,6.656966361918546,7.187861619950069
4C,0.0,0.0,0.0,0.0,1.0986976407804414,1.5521106725502798,2.1246961014592007,2.1879319925340046,2.580603654114378,3.195447442556965,3.7001312434930584,4.168441815380942,4.3479943805381325,5.234684364635806,4.63286198671622,5.583634986440517,1.5504838759710047,2.4251287254612603,2.483673287156984,2.5982322460479255,3.854932121087003,4.043392923141751,4.858911182076297,5.01183180836677,5.836319277191393,4.987721680724715,6.08590704546664,4.639056467837011,4.065910345164838,6.377415290020505,7.303079768959767,5.6302661964770495,5.963858322955502,4.6829364461217216,4.6828369874111715,5.864604734979785,6.457337593076253
5H,0.0,0.0,0.0,0.0,0.0,2.150182571907815,2.57144993005732,3.0512685214073674,2.6516755512416217,2.7693462424950113,3.853923489473129,4.534104138132747,3.9269803169853916,4.660872414690406,4.486965250168075,5.446365617189454,2.14804678502342,3.0291287423842794,2.811909183580639,2.794792337693393,4.202076729016961,4.505213778382475,4.8912220341858745,4.916281874648129,5.949304386114174,4.809036850888337,5.721489031045756,4.473245468497915,4.078712681530282,5.923545670690922,6.759549824616768,5.264448962831815,5.572160506153786,5.190640522319732,5.220771267344574,6.402397814746255,7.042520734144285
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0961355032197617,1.0978140254980107,1.5023920146393739,2.512880594577972,2.6011352182268634,3.070783356131461,3.58230786584987,4.584384921163325,3.672768326255231,4.623617464750739,2.6000669164276813,3.6218811847613552,2.997801300915359,2.6432799877977122,4.352002244592936,4.763456211903438,5.446093854938693,5.383549143790549,6.365588083086138,5.917179679151245,6.994687268509015,5.849250899677701,5.376040092844224,7.4906048874453175,8.424957600448266,6.912530285426083,7.356098578558444,4.7189533484543285,4.31907414537119,5.992689557745016,6.37730221894297
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7667414792166432,2.123022394678837,2.75755309593018,3.3007873585665397,3.846515113231662,3.922243597293833,4.827536032440972,4.217808579400083,5.184787890090789,3.4699207646174592,4.351187758272315,4.050899007110699,3.7155182180675834,5.420391430646649,5.765198832073849,6.503865890721606,6.433194005076017,7.442410397768423,6.879721191067338,7.922401621410746,6.704027315551048,6.17627006268517,8.324237818445528,9.217874685517032,7.687132918162665,8.035656442371621,5.792618472931572,5.351216343105947,7.0485183227379995,7.407366636173978
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1398304102333876,3.403859595736316,2.7462227013084224,2.8135187227103216,4.281542768604905,5.340691412726151,4.040899786332246,4.880719606092503,2.741847346765653,3.614977746229643,3.0594477859339313,2.803227621796259,4.196731415022601,4.533635182488806,5.488542431863203,5.513989662730717,6.281730832099442,6.1545978510710695,7.33638798389926,6.133607962727605,5.591666799083866,7.921071081754028,8.914448792925981,7.3221609354189745,7.80687288955539,4.276490027397379,3.7914363883593225,5.469002617865832,5.752315230303718
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3844011986039102,1.3784510523609534,2.2496511546309885,2.151121253998946,3.2060230181821283,2.1956730670768514,3.176378612700474,3.345390598265503,4.545200028577682,3.155312380627427,2.3667229471660445,4.441741206434062,5.1487755158144015,5.240903717099294,4.878042100239519,6.167836959033169,5.830727902294669,6.723812021642219,6.063933605854766,5.848989725559497,7.368680691067444,8.243593464839705,7.055832158327985,7.625562301253244,4.6810561701759195,4.098771963475843,6.027491553401905,6.339629896124931
10N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2629283692135003,3.324079706179286,1.313840082747211,2.1364584919318865,2.218877073347278,3.187126087894669,4.138873726262045,5.326419429071203,3.9772508180713375,3.1934488687648726,5.2852969971710975,6.031687990304717,5.785513676281659,5.287998224026029,6.783544892040149,6.144051633938669,6.815230220698797,6.370204418722673,6.286959725142812,7.355100007610745,8.103964990608764,7.144511386673829,7.6634253775921755,5.722557361831632,5.223141576468648,7.070068127262033,7.43901257871528
