,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34H,35H,36C,37O,38O,39C,40O,41O,42H
1N,0.0,1.028774413548007,1.020726216418742,1.463390573261231,2.0626307791073657,2.4692108882349593,2.576775932240285,2.7355437090104138,3.87057480793578,4.021790251415289,4.517933207331195,4.898786574414249,5.842692324014943,5.224072957881482,4.911682938000401,5.069357399753464,5.015880228022757,5.044225216188399,4.436633897832053,5.484618429795439,5.737920180659171,5.974506387370456,5.59518105795096,2.4747765848796854,2.9519382887160845,3.4996121196125403,3.5099778377627544,4.608965644345289,4.525312526806832,5.232357624009712,5.600341617722022,6.188992184181003,4.656035733691822,5.5662203688162535,4.604126480636935,3.552785718399253,3.0153593561689944,3.7999934815235314,5.814641765164352,6.005185994436907,6.968467613280822,7.681194395216344
2H,0.0,0.0,1.6450799328685344,2.0212477018570887,2.205831382475801,3.322395129188414,3.4171549580176674,3.7115490977935117,4.57507443087422,4.51057009339346,5.236810682018221,5.653677970005446,6.533643580814009,6.095930438428838,5.56714273602018,5.560452546832394,5.7125437457790165,5.8856299653680155,5.362605623026042,6.295160359239723,6.286944480659452,6.4008442705022635,6.099665337051564,2.7715126731091404,3.3633262375706146,3.4982639393848944,3.3223294291140166,4.453513788091527,4.397441658456963,4.780507532718403,5.1578484210228375,5.730158570964839,3.9606197113558457,4.774086382307654,3.919979063971575,2.772011405723421,2.0456331348033516,3.2153846975037914,5.815994434052612,6.203986365493147,6.854142197334544,7.6514845209219065
3H,0.0,0.0,0.0,2.034582864158488,2.8865727245106805,2.8636342703551367,3.1377434853634143,2.738945831144033,4.29998622098296,4.574253084694416,5.035779450269393,5.0642350636379225,6.0857845834831155,5.273010878000582,4.877698849682312,5.108986371593758,4.709108077194229,4.612647494761063,4.071120446097564,4.8865463730895495,5.319290454937707,5.665493866878681,5.024644615602879,2.518138851803042,2.5327530669613414,3.723364764751334,3.983186281147229,4.637919454684177,4.31899673155263,5.4025187151783385,5.938370927157634,6.253691208694647,4.859621010195519,5.825513866859801,4.591398295662152,4.020662315244915,3.4294749060435232,4.4686939983827925,5.804493613950442,5.9879454168528925,6.932225715479198,7.629613120448762
4C,0.0,0.0,0.0,0.0,1.0951373603265488,1.5421623311119266,2.1197754259935158,2.164492657691475,2.6057617550655268,2.617693321635785,3.408772477682886,3.647065198239906,4.512576631632205,4.174595197526229,3.68480416947697,3.7562487187840365,4.06877891598546,4.367528441179527,3.858030224912694,5.008658790556415,4.8738494252053695,4.98730823395405,4.962934571380857,1.540739178506495,2.434643029836578,2.447499395910985,2.50774875262033,3.788500962387178,3.959424062298125,4.605228344830197,4.811990953093997,5.608481771754716,4.439131521148449,5.411077443973786,4.623092521020094,3.4320642475710446,3.421754481957341,3.2867628965334803,4.785518193930264,4.821020266759677,6.027880121655359,6.65215262030919
5H,0.0,0.0,0.0,0.0,0.0,2.155032249465917,2.4714575643683414,3.05985929552066,2.7947221956795887,2.434112622928493,3.4465508041513333,4.052187298288109,4.727204196561708,4.735718151782687,4.221951786201244,4.109407500136821,4.844033505836799,5.2915548980822695,4.80577341077005,5.999190352564232,5.615339279051739,5.568712659646126,5.793381186996893,2.153693485210751,3.289141227585654,2.4700542559045884,2.0719476236616763,3.8529387640249904,4.2715747225146865,4.374888439457854,4.362533370624634,5.448744055722483,4.171411234806601,5.019481758557728,4.590520355174906,2.964894720219825,3.142695727213605,2.4965342814352907,4.882826291155045,5.010080257962532,6.058391942361322,6.7112173136811535
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0942349842340982,1.1011813973787499,1.5493791243852157,2.177804088186996,2.1817849134602514,2.632437431880491,3.552951945289826,2.9229153695280896,3.174739443341288,3.599150656082218,3.6593530460361747,3.6866529813066653,2.9766899511688316,4.478121679881605,4.793276192862837,5.079988035664919,5.0559142504716865,2.554533091414274,3.1182857731395113,3.4804207198728796,3.655405492366174,4.853000841881039,5.042736517607888,5.874222470041635,5.987117822090074,6.848774205280758,5.909365892394348,6.8883713641077,6.106355535669085,4.928050606374734,4.933763408185213,4.593041296567773,5.512037514539818,5.2012541868584785,6.836028869436695,7.295307841719904
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.746184245227158,2.1802950711998017,2.7909485569548433,2.309389237666849,3.432367610264234,4.247284960486316,3.5676306636829223,4.2001686904590105,4.646734558062061,4.682600254902948,4.538189629079767,3.696290914844127,5.288276998448039,5.852155064281875,6.170883131217311,6.080071324150377,3.4603997563899265,4.054620606351115,4.354748442964151,4.340259426401468,5.763730181687748,5.9661178314972005,6.637698299763783,6.696728308195897,7.658149061385365,6.496098074877433,7.409364302842664,6.7118542619095365,5.322833387859636,5.170734555042475,4.9552215862359645,6.518896238369888,6.251980767252447,7.827989518301745,8.318578912347197
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.205358051349927,3.0291538975779226,2.823239899871022,2.699720113232924,3.757931784858974,2.6455938015910703,3.0541861831485626,3.700529355831939,3.157459180824864,2.850927491884164,2.025313788019706,3.55069841631003,4.324839778026207,4.816141929974317,4.487423214515459,2.790151657235323,2.8892776985832453,3.9435754026610876,4.349109503245636,5.1606261841193595,5.140659697893915,6.338422442676438,6.601175311019139,7.231177433155539,6.389304349408614,7.426477997901948,6.417131330477434,5.5541786388023295,5.452954277209695,5.407229218528056,5.746156531821253,5.362120121423799,7.068592829437018,7.485620836438667
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0977194288947578,1.097531346500526,1.5375424430893387,2.1658483949867526,2.186910296308296,2.5305204477567727,2.8894638183454022,3.495330140580313,3.8201111878552796,3.326245167906482,4.783717625608045,4.677819876795362,4.80296064242582,5.230156683026807,3.160620747865622,3.8280005869921023,3.613565419292462,3.7646961621131765,4.951029625575036,5.378159666139455,6.01777049225405,5.921171822794044,6.957917195600015,6.387636253618102,7.324761193360757,6.765051176520274,5.531974885036317,5.846316065279392,4.905279499125882,5.236289888418346,4.681161841899032,6.549306438716007,6.847812345991419
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7496459623088716,2.154929748674299,2.4600524733836986,3.0744316670757086,2.8013552177111367,2.757535995468762,3.9243083845888433,4.540821473550447,4.191383535597045,5.484408111269425,4.909223386030729,4.808046658986396,5.489178026616543,3.01948924470527,3.9374250094918657,3.0587495684663453,3.0182075727566695,4.388561806327896,5.008265957446525,5.292966925266928,5.050235063485896,6.250082518429291,5.745180219066275,6.609003590692794,6.268805701305416,4.920507554113538,5.4274889085418545,4.130132617681673,4.67161865760512,4.228658700517756,5.928705623575569,6.258442250456289
