 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,H34,H35,C36,O37,O38,C39,O40,O41,H42
N1,0.0,1.8443282141182913,1.8819065671688344,2.89219541848257,0.09002382448959223,0.21753879720185335,0.02311143512234559,0.006558780952066856,0.03668785755084786,0.002295363677620732,0.0016485345131346252,0.0038864791035074647,0.0008201761274250208,0.00012040370406940504,0.00044663981465979663,0.00029606342017540754,0.0006421915215288065,0.00017572379905649027,0.00015947785247349966,9.975369398285139e-06,0.00035437485572877014,3.180191106177954e-05,6.137593948907227e-05,0.25745027002210513,0.055741622858126866,0.0423067012021406,0.001303150914097273,0.007855762694970056,0.0003770438959249667,0.0022090954473770047,7.98608492150743e-05,0.00046992587784600026,0.0029048266351431873,0.00015732108439314718,5.457530292840573e-05,0.016023039347332985,0.05737105635580993,0.004702221667791523,0.0007920053591937148,0.00016071869870043498,0.00016162041903576563,3.0192884998947456e-05
H2,0.0,0.0,0.030388107179788904,0.11547113796820707,0.011400388049618071,0.026921460259791474,0.0008496637602233292,0.0004964090967158885,0.003440327032797952,9.85872443732827e-05,0.0004716613236277478,0.00037307465084535085,0.00010330398753910508,1.662563437454523e-05,5.295412149930456e-05,4.993573963218978e-07,3.3016520039841346e-05,6.411890499546935e-06,1.280853057883391e-05,1.2434638008151921e-07,1.016289804434134e-05,5.305779757769358e-07,5.772488682609378e-07,0.006619209895064704,0.0007524927481660226,0.0005843378371257479,0.00023405664349307465,0.00013765273621668683,1.8764794759151826e-05,0.0009235590739538058,5.934629318637974e-06,0.00022898188224118599,0.007420816325977353,0.00023146536376028592,9.41861007164313e-06,0.028973623121425818,0.17413950580674775,0.005167777497538051,2.2756253883371436e-05,8.019973729456176e-06,1.768886899633504e-05,4.537563681683565e-06
H3,0.0,0.0,0.0,0.10369700791049274,0.031374283149050886,0.005941357855458795,0.00016119299574657298,0.002782304155636073,0.000845091074986648,0.0005713870397119347,9.654786502100166e-05,0.00020647683227204006,3.2608215692064846e-06,6.9567686451499355e-06,4.3713944124723625e-05,5.187857464727941e-06,5.0624482516803404e-05,3.821047931795718e-05,8.070697956918949e-05,2.474967027099595e-06,7.02516903696715e-05,1.2885574435905767e-05,1.9350884929325574e-05,0.023459030491264077,0.0375516197849618,0.003762219529665378,0.0005297260145789018,0.0003278581562633498,3.28326775751453e-05,7.379371664029133e-05,1.0836389100710164e-05,1.0483144794015686e-05,3.2023859145469125e-05,8.940949485225502e-07,4.696972393025689e-06,0.0004414323719690305,0.0010033837995517825,0.0003274446583431123,3.2134276486628366e-05,1.1355516882805006e-05,5.930374277651751e-06,8.976355909684486e-07
C4,0.0,0.0,0.0,0.0,1.926973113374161,2.8132320321423925,0.0973473051955338,0.08194006623448868,0.15951771251708735,0.023341103917760897,0.015166984892936775,0.01202840016702178,0.0014410736865109186,0.0005478965839209593,0.002010431946126781,0.00046594396155541506,0.00147304326676026,0.0013689880304160323,0.003408093739376894,4.808091754493482e-05,0.0009826169888466768,0.00015739004209447405,0.0010049757347077026,2.5687519312354703,0.2583243052473728,0.23142251522308144,0.021106031753937105,0.03670579487237344,0.005581306014408094,0.0028433828476488177,0.0001564084734584359,0.0010087456635574643,0.0019663353039942877,0.0001971406470657744,0.00018929536148348802,0.00884247336455704,0.0071427166734523845,0.025779927098742092,0.004909454550609982,0.0005051168089265229,0.0012501454234964127,0.00023718201362132874
H5,0.0,0.0,0.0,0.0,0.0,0.08747337745306472,0.005170974021308172,0.03266171817469887,0.009659589225514686,0.006059557257944048,0.00013425349356643856,0.0007810956334728392,3.210184910451552e-05,0.0002676676666151234,8.379099562150216e-05,1.5900948259650605e-05,9.47052988786723e-05,0.0006411058551929472,0.0017463848705554508,2.179433981153167e-05,6.151010718824512e-05,5.284553033169104e-06,8.907992617768201e-05,0.09286486729389787,0.018336949619666254,0.014607533186790533,0.01644001490821445,0.002221114179005834,0.0002129124811800498,0.00024930757533492276,5.2833811273078624e-05,3.0539521962635874e-05,0.0038637865739461486,7.781546219542967e-05,0.0001533564349225358,0.01000387986808815,0.00282604340101833,0.05424145099896127,0.0002846623046464103,1.896965417058638e-05,7.114474677105687e-05,1.6168232327862242e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0036097852826957,1.980306498957584,2.7102994356154855,0.07738599110982114,0.0825802266190907,0.15390707528246078,0.028709873031878885,0.0074614399420913635,0.011585312220956406,0.0003418619294579539,0.003876402085047498,0.015064458483404417,0.03220473814848801,0.00047699287618996333,0.001546620081177924,7.769125893608564e-05,0.00011910345321308746,0.17990592373258865,0.03219659574758482,0.02844386429624579,0.0019539460767734607,0.004224345937994811,0.0005207468856326392,0.00032158559674033693,1.5286174390283236e-05,4.858608082480842e-05,0.00026317885815202446,1.955223808369766e-05,1.9977630045131534e-05,0.0014047849347063324,0.0014417650486268918,0.0028254547775004163,0.0013522307311331638,0.00016697470741183773,0.00032203367928128335,9.373127262668479e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025197709198509832,0.09037815698236185,0.003063111037852062,0.013921204515544794,0.016924729437219788,0.0008479767853877274,0.00039365168427418773,0.001461169093348258,9.386028224755982e-05,0.00022866579258740138,0.0005968143974034446,0.0016408396861193886,1.047242250562519e-05,0.00010461639626757613,8.443118753032053e-06,5.505797764082665e-05,0.03075535220201897,0.004697225972452479,0.0033262935229646517,0.00015472979626296457,0.0007429704716526153,8.857811620210931e-05,3.671912263991661e-05,5.475874242932832e-07,1.5094188813069565e-05,1.1178051873894645e-05,3.042830203359159e-07,8.772167321424718e-07,9.241410404992045e-05,9.747724510855704e-05,0.00015330450769213133,0.00019017373944918425,1.133836556121981e-05,5.254682671373967e-05,1.4620539721121872e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07642662938135869,0.021006565580030667,0.003096149976921314,0.017650496012559636,0.0016051168422483997,0.002129314922260095,0.0008918483621667139,2.084982632943877e-05,0.002545806792656924,0.013299355308568517,0.03739084249138358,0.00038145747750850667,0.0010782108364228993,1.3650080258331698e-05,2.1853358015411217e-05,0.010555886893853783,0.008590899235605853,0.0011156369651745823,0.00047485178344452983,0.0001753723374637861,3.1507361783367216e-05,3.2426613158165196e-05,5.378483104445664e-06,8.295624873699836e-06,4.5828386696200596e-05,2.208226034694505e-06,1.108724413545481e-05,0.00027318584050939343,0.00015535849507153365,0.0007053258928406692,1.3572295132435741e-05,8.44277098099866e-06,4.354956070873328e-06,3.6813607562358186e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.653530579126314,1.8074149108723894,2.8783929288857855,0.08596040748181388,0.08023651930966103,0.1718365700721584,0.004882298929813178,0.03978702379865978,0.007573393192943284,0.0026772274321522627,0.00020048370888936518,0.009578589173124957,0.00011215029360422957,0.001954623876739836,0.012301151882352424,0.002785105248754277,0.0072506202208134085,0.0004692676644756366,0.0007827720917200492,0.00022795720912416328,0.00014078912504547625,4.466551181470102e-06,2.3881615086818186e-05,5.135653753293723e-05,4.703768219038729e-06,1.62636875322697e-06,0.00024674476236599685,0.00029835808764916427,0.0001872792655305544,0.00024624862731251196,0.00023560615077253266,5.081457609576456e-05,1.2503141029518439e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025051058630561007,0.09353379143228069,0.005702794273778844,0.03228555948079026,0.006543891760413922,0.0022812227794173356,0.00045430095781351376,0.0011447537453714851,0.00118750160345793,0.0001188569058891975,9.247437166426398e-05,2.8247133985193074e-06,2.4795913132313885e-05,0.0033237241318411215,0.0009325458726910929,0.009334758117025777,0.0008379602166488365,0.0006418601014290815,0.0003486451033041238,9.999007309335894e-05,3.2075317348834176e-06,1.6972074703192064e-05,1.2019691873810245e-05,1.218572249994665e-06,9.97025069837676e-07,4.435397934710039e-05,1.1290342693870414e-05,6.217214668957638e-05,0.00020037785486359816,0.00015037129992057086,2.8380782315484687e-05,7.722529399067923e-06
