 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,H34,H35,C36,O37,O38,C39,O40,O41,H42
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11562987903959332,0.004619762420940088,0.004968131728330105,0.029884929925361847,0.00014022311114048058,0.004882906424845457,0.0009706628944211593,2.2226825798776773e-05,8.580905184185639e-06,0.0013632846723184988,2.929282053476534e-05,0.0003594690170405368,0.001509667361457634,0.0003525407311808504,0.00048299708662380425,2.7572545054699305e-05,7.067723500808754e-05,2.1450353920871024e-05,2.1461374814846224e-05,3.458853701232556e-07,5.300472472047346e-06,8.230960539812315e-07,3.787400393306939e-08,7.893102460521106e-08,6.187921380185202e-06,1.4699138373597265e-05,2.1799308945302798e-05,2.1070654022015134e-05,3.969925882774117e-05,3.3063321535076184e-06,7.958375178862553e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0186821434754445,1.67540464727279,2.636762040580021,0.0914656303582162,0.2763945104681836,0.04163120466961123,0.013519098480534564,0.0030053181685466557,0.04625098498766933,0.002011454591955175,0.004131287756722668,0.0018321191344184418,0.001861859157124321,0.0008573218442687602,5.844279966005228e-05,0.00011422784090472926,1.4079246881792962e-05,2.5937033920758745e-05,6.155434346677424e-07,3.3410334863148705e-06,8.14671520960042e-06,7.884319921380722e-07,5.750458396125424e-07,3.124672877646839e-05,3.389271645849734e-05,3.269565443513034e-05,0.0009184616741778895,0.004786434710682103,0.00028161176007177047,4.572646270872838e-05
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027644526725641327,0.10926260812243138,0.004340670498099497,0.029164122812889826,0.004683851769961334,0.0003379703723562777,7.22581783407783e-05,0.005999686042359564,0.00012197101668975918,5.7109786232079074e-05,0.0002996944645436983,0.0003000575452857257,4.565408261703041e-05,3.5058280944966214e-07,7.193804216543143e-06,6.904142744179609e-07,1.2187167742760963e-06,7.369739707385747e-08,2.850335256709968e-07,4.620996540971589e-07,1.1402514599190283e-07,4.3769614155309e-08,5.5722493588206135e-06,5.906262856014699e-06,2.3403264360899456e-06,4.003287006115741e-05,0.00016261078927937156,1.475834038511259e-05,1.0894918303083756e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09513632114236725,0.025971448377440476,0.017008358570137494,0.02443141732443921,0.011691752230334362,0.0005627392075153725,0.0012325543822145901,0.00023803306997804974,0.00015107451106666225,0.00016535191980859842,3.96288280445356e-05,0.00019317209096880728,1.5941884419445884e-05,2.4171256424176946e-05,2.6419546415024087e-06,4.120516153172105e-06,4.225952381364806e-07,1.1764046929929606e-06,1.6929396793319285e-06,4.2059661753413025e-08,6.859890944177494e-08,3.224551886171767e-06,2.0009589704050867e-06,1.0446111100570477e-05,0.00021881532270295878,0.0012394209759897246,8.430985290164283e-05,1.8681503803019694e-05
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5615473105772533,3.859634189007727,0.36689489049974056,0.011824663979728145,0.026627318742554973,0.36807659846370444,0.014418377257251702,0.03814795794756065,0.02315437875553182,0.01972779030710855,0.00873796906083689,0.00012187194821500213,0.0010031025476582023,0.00013126755142467417,0.00022370209380644102,6.95459384048025e-06,1.563578049246228e-05,3.593312259347892e-05,5.082721047600103e-06,3.1932750628183015e-06,0.00013517370121368666,3.524199289005325e-05,0.00013481048106028792,0.0076360776060625385,0.05206469708764647,0.0030512949270950773,0.00033492160774528656
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16064418128609126,0.02595599502414747,0.0006479664673080254,0.001483456963178753,0.014575254664008552,0.011494470333805129,0.0005824195916597219,0.008660222717501331,0.0012238849605118451,0.01928291876225241,0.00020400734348546834,0.001751843046543855,0.0004547853443179761,0.00045909886605577377,1.0167627214174857e-05,2.4946258709857005e-06,5.8296058930262795e-05,1.6139306053819524e-06,4.119478612674143e-06,9.782000662506007e-05,5.849403519031515e-05,0.000191265579004396,0.021623784229849452,0.17218817446226975,0.006860916991979993,0.0002468496268241971
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.419611336202257,0.14449392806785755,0.15171943316221725,3.423155447251576,0.15218779773184188,0.15551888503003664,0.026006904279773868,0.08181604024365693,0.008929011689574134,0.00011323936261176115,0.0009309452573594834,0.00015608261615751573,0.0001828970612980929,4.19546851992969e-06,3.192206732549607e-05,2.1037923832706307e-05,1.7530091471762432e-06,2.2013941827214722e-06,0.00012538368002718014,2.3199078404881335e-05,0.00017927915753701562,0.0025629821746096237,0.009574870386356849,0.0006367835850181747,8.438109303510188e-05
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8621022138902792,1.9049172569717812,0.3301984150225251,0.02783074127058649,0.016294837908489956,0.0037702463382121576,0.010109996669469934,0.0025691823238845335,3.177560210354535e-05,0.0002502549072156829,8.929179508576635e-05,4.2654435793404444e-05,2.1058758143954748e-06,8.545108258650735e-06,8.952954661259338e-06,8.203398763617642e-07,1.3421757067977325e-06,4.808909416684215e-05,5.796174878044957e-06,8.447387418981933e-05,0.0007348544640137511,0.002206682373626964,0.0001791854546212418,3.33956944373881e-05
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036721693094694086,0.0327727604347996,0.002306416285807522,0.00014996211193896158,0.0007919063393184711,0.0032894463711989896,0.0002756375135840594,1.2699884799127759e-05,3.7811843925816824e-05,3.0321668192279105e-05,4.934397795031131e-06,1.3191352521424449e-06,8.173798156096979e-07,9.485140547771387e-06,2.065420179331312e-07,1.921768799428847e-06,2.176396895281485e-05,1.0099678174335658e-05,9.038371946856749e-05,0.00012633380306892317,0.0002240718271240283,3.532331878453032e-05,1.0046742437985756e-06
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01857368280603533,0.0014870436053664449,0.006058318811402286,0.0001915256922322417,0.0006560842863856386,6.560998752169755e-05,2.5507328482721192e-06,1.4236232997233422e-05,8.880005229583432e-06,1.1791118449400173e-06,9.974015835467753e-08,1.6372123190500076e-07,5.890540959452295e-07,6.801235419295892e-08,5.627096610894e-08,9.97911209221769e-07,1.1992977733132903e-07,1.565775599621233e-06,9.429731408483466e-05,0.0003674818298441407,4.146719256103992e-05,3.3324154999903044e-06
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6149405156706926,1.932273280877472,0.006845042384941671,0.02374839167348928,0.0025176345377160778,2.6590370504897543e-05,0.0012790917636740229,0.0007273365624271833,0.00022901169636956042,9.08335105009872e-06,1.701850253044146e-05,1.5819571763317497e-05,1.0159706080870023e-06,1.9312334745835713e-06,2.9813400198794304e-05,5.3187207503108125e-06,4.904381666335361e-05,0.015163490658931647,0.04764825803429409,0.003514207394195709,5.610728032900969e-05
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03730757452454525,0.0006304132431810272,0.0030867781989828424,0.00026252236868617995,5.9344150893370085e-06,0.002047451913883669,0.0003263978393703848,0.00021569850750735586,7.074446497501441e-06,1.788754476539367e-06,3.9770401611849415e-05,1.502562543276298e-06,5.77936357815112e-06,5.52917772855821e-06,7.324095393501651e-07,3.086563848397894e-06,0.029346351570243567,0.1422214207709641,0.005690339650470833,0.00022751626715322715
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028428046671182816,0.02100203599258854,0.0003451152284639214,3.40112117247493e-06,0.000144321901728528,9.386723220061732e-05,4.195013404328929e-05,4.208121914928142e-06,4.4390565807628235e-06,2.0216608235257283e-06,6.468939808268459e-07,5.124142483659e-07,3.80209956263311e-06,1.030238732324662e-06,6.464574273223889e-06,0.0003227996111772047,0.0009286143420612625,7.427731230635892e-05,4.879925118217443e-06
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.564409163715747,3.4459678245431657,0.1384890719884615,0.28239971916762585,0.03139591061298308,0.03156236119559688,0.0011442277856983374,0.00476506789110287,0.0023602506810194157,0.000219331835846992,0.00018211390530442628,0.01218252210181342,0.008651717840804707,0.024376125756338185,0.034547042410268486,0.005467811946057166,0.0061287401100657,0.001128417355557687
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4994055020964414,0.023431712517524073,0.07046395736058317,0.04986787941052795,0.009020793067068392,0.0010547279675592325,0.0014336869932368712,0.0008640319362153981,6.455474970701314e-05,0.00014958252735142175,0.003160053471342017,0.0012910707129520915,0.007099583923891664,0.010372241235882845,0.002692965435057773,0.001612903965088383,0.0002335589463433596
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6937869551369862,2.743616189933204,0.08836313395870521,0.16891394232017118,0.007109047779839339,0.025215774069340946,0.01592954787685709,0.0021556628403234246,0.0005218969208662383,0.05700127486932283,0.014800374091246196,0.1474526724265376,0.21123633546914314,0.033246465012744544,0.0310771274413999,0.00447251248719871
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09653706360149383,0.015426191109999765,0.021285003682499304,0.005843568515058406,0.0014262632953350174,0.005010701230128589,0.00017337130570460602,4.4718146357869415e-05,0.06871882180686173,0.017162108084755268,0.3234657561967197,0.007291493333794308,0.0007919428737200862,0.0011305093829088175,0.0001939346633312855
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0224903651779904,2.6386447705908136,0.08546836672527514,0.09554065814820012,0.16401308227473232,0.02904466693583263,0.008876204303577717,0.014537182718161068,0.004304807643679756,0.01288108066888942,2.542849592731286,0.25186900662866213,0.21607609766683164,0.053218650140777646
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07840604259214679,0.031307849589873094,0.004078592229906919,0.010276720150953489,0.0005738665115337938,0.004642153343551225,0.001293173808676329,0.0005433496722248021,0.001311372713284631,0.13766524828279203,0.03211123534067695,0.016050917446467472,0.00010089523381839882
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1021080329792254,1.9334625732004438,2.5338970212396092,0.09850908602751618,0.08449924141983911,0.15395987311096113,0.04467834026818973,0.05375526772968492,0.1766543951287506,0.036335797684015986,0.03953759855040516,0.0033083953455702586
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024656612329517547,0.08349973782816833,0.004490461172606652,0.034991784480410404,0.01072765853595703,0.002214000995827692,0.029545524370062193,0.007327008743704955,0.0008303138968424051,0.0015182984742309058,0.00018290518090879893
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08623802746517129,0.005613775841482482,0.0034405068367207026,0.025993840528923506,0.004573843361104779,0.005696540900242075,0.008595911243839849,0.0012277114012284596,0.021571880453558512,0.0008833811269544078
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.892251201025783,2.110341752517079,2.5664467951820678,0.3042086401800995,0.2769994337014398,0.03103688614069336,0.00662347891970419,0.0060411447591728895,0.00045490919993207424
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024946822980605132,0.0869552952256969,0.02468051758918899,0.015043019312433237,0.00413224640638532,0.001335815768936044,0.00014727272237613498,5.206375591937373e-05
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0823780672374328,0.019942888649897905,0.02345031857715907,0.0007236566140467193,0.00021877219293719996,0.0001438681301473288,1.0493979022196953e-05
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.528978159097708,4.339569510901769,0.0022645472088015095,0.000555385755898391,0.0011827231651013737,0.0002837809445925821
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.557545179109229,0.000676820838048986,0.00014745812683515658,0.0005329023205054989,0.0001329002037410154
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017199366405276084,0.0003302789594945982,0.00038242461550154483,4.711190373496432e-05
C39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.992856331596096,3.517522602439526,0.17772752196915909
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.503730894576986,0.07213293679029054
O41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5210641839495445
H42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
