 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,S31,H32,C33,O34,O35,H36
N1,0.0,1.9251331256724078,1.9095064947822475,3.045945403702733,0.09117515823500744,0.20991216078170105,0.015598236364968043,0.00930545470860722,0.0364880483573775,0.0019443141047297274,0.0023537801228051825,0.0029297461664802293,7.354744525778223e-05,0.00041008766454608825,0.0007949256981121394,6.098147476396587e-05,0.00012658922214558999,7.416083598704715e-05,2.96291879241517e-05,4.390254398478621e-05,7.89527516131816e-06,0.2558912182169465,0.05346418385557633,0.03806910587690593,0.001841908760868205,0.00676597119702238,0.00041929732891232696,0.0009932538011846598,0.00029832442978194873,2.7612632365059397e-05,0.00019704198469673584,9.813398113012184e-06,0.0011534527185267929,0.0002061534177519586,0.00012687348043266544,9.61575025881789e-06
H2,0.0,0.0,0.027907876376815022,0.10817960824601114,0.006822483081195596,0.03249900872763545,0.0006862924661601433,0.000926594216278831,0.004766119749545217,9.848530387235321e-05,0.0007180211932065195,0.0003327138690081277,5.567541579543089e-06,9.835353523990342e-05,0.00013572492036484363,1.9769504056688092e-05,3.128142840314041e-05,9.939393385116624e-06,4.130920117084713e-07,9.037670694045374e-07,1.7571728012644172e-06,0.00719814653395523,0.00112980955173414,0.0006777459884999004,4.066784795297984e-05,0.00011523250362499571,1.239415971654445e-05,8.109375701725874e-06,2.9059371156048286e-06,1.3363906057328734e-06,3.4900654365399575e-06,6.412384896403722e-07,3.715945339488602e-05,2.2216368458560787e-05,6.5515630771617595e-06,9.324924665765622e-07
H3,0.0,0.0,0.0,0.10784176048972016,0.0359739431823507,0.009311789839831275,0.00018434143469692188,0.005342640164785584,0.0007419584765847587,0.0006389081704603061,0.00012408548506170902,0.00011142438530076237,1.5795535853291298e-05,1.0492122812122417e-05,1.1734981031019664e-05,5.228510950860965e-07,6.516101556108822e-07,5.743637647159794e-06,3.5815941945571694e-07,5.832998854371496e-06,5.852419262541986e-07,0.015136850891418363,0.02616930039059362,0.0026814756225828074,0.000664432576806151,0.00028217327492496835,2.1206572827336956e-05,4.143773413134433e-05,4.8723085408486355e-06,3.577897141671116e-06,7.39900643775826e-06,2.981572959637191e-07,0.00011715468405160134,0.00010543706979893042,1.5889411786651486e-05,1.1569506819242292e-06
C4,0.0,0.0,0.0,0.0,1.986567950262288,2.706871848468763,0.09932246707577064,0.08379969863343417,0.15979465905378615,0.020882414792759763,0.019837972406178794,0.010305443536859304,0.0006195856074404649,0.0009149059819013594,0.0016347713057072166,0.00017906907412834627,0.00019561391526023986,0.00037026968592651643,4.307444372098068e-05,0.00036173952318718783,6.493171738886083e-05,2.6320759168870542,0.26722822577701977,0.21578084297513986,0.018447550942936597,0.03384388249341197,0.0020813816607302416,0.003962345708471565,0.001403002038408041,0.00011243407040639752,0.0007168220078671572,4.926353409406836e-05,0.007949425713772357,0.0014660996541588645,0.0013669474084408995,6.817735277231396e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07999327073650053,0.006431612630027672,0.03315923229002449,0.007616999513213596,0.005081322696689039,0.0001751443129653918,0.0007573600393020463,0.00027337223388412824,9.350031191646124e-05,7.411646747645939e-05,4.631110097186308e-06,4.7525517081759006e-06,3.552337551893103e-05,1.0600532900362225e-06,2.221087228160279e-05,5.48002333555786e-06,0.09989320250956113,0.020981481217983156,0.012366384469201686,0.01330430466042043,0.0016960700637407289,8.851529656284107e-05,0.00014550631366105904,7.143500608819409e-06,5.867682701055088e-06,3.584607871021106e-05,6.11274290296393e-07,0.00044151017996241215,7.601303283788496e-05,9.737624176364701e-05,2.7069123539336104e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0021682829804313,2.0046741189061623,2.751343158682418,0.07916760609798579,0.08781127706836611,0.17508201591269473,0.0051686621918082265,0.011961779961328523,0.033770423078152534,0.0010474484102245274,0.0029425353304186608,0.0031647649835398334,7.768930779616934e-05,0.003423782321347435,0.00018438201051251824,0.17909963678450194,0.03357679766197259,0.027479465392254446,0.0017614893975456125,0.003955696371716666,0.0006042471767915281,0.0006221482054810934,9.308823799114574e-05,2.778169903683292e-05,0.00019145910637993757,2.720269617806359e-05,0.0009231138746949863,0.00037748244495966476,0.00016926094134343816,2.0390875788312002e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02544759193748125,0.09033590335222752,0.0014607544713947096,0.011586910700707387,0.02144498254578242,0.00015110728450884459,0.0008332157828974118,0.0032813993064844116,2.2573207004938922e-05,0.0006309370496597744,0.00029484465927387404,1.57259817052946e-05,0.0003438378311928503,1.5948664345177832e-05,0.03037158732162326,0.005218965658506214,0.002933845124057255,6.602731791249816e-05,0.0006532824446241481,5.0917650268322845e-05,0.00012562071900668048,3.6061750687599314e-05,4.205999010187256e-06,2.5987691348428044e-05,2.132692471068509e-06,0.00013745994603375777,8.874614965337368e-05,1.976637939316017e-05,1.0978139919348706e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07770247522318652,0.025633238756984422,0.0013843936906841048,0.022511621435052476,0.002616064711941757,0.0021772039226275464,0.0020887953055681585,0.0002720249428573851,5.9292118316234266e-05,0.0005799416346989883,2.3158594057992588e-06,0.0009210707911111449,6.541482149002853e-05,0.008198721303493084,0.0063983523567539,0.0011982451600683897,0.0008863730766826006,0.00015209405405025578,2.1641592009569166e-06,3.292329620596668e-05,6.254883610834483e-06,1.9055765125841617e-06,9.309260113443685e-06,2.207716804702997e-06,4.121266930590117e-05,1.1888803538973036e-05,1.35375722926101e-05,1.5057648941052548e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1248417114323077,1.9183040948128216,2.7055771372816553,0.08598774595183156,0.07798919230613843,0.16629793928460057,0.010615706654888868,0.02734515113842162,0.0205598940864012,0.00031921871441664695,0.02108769247778841,0.0015099911113324316,0.013686610841472602,0.0030647800050609686,0.0072835875379265586,0.0007157122473091526,0.0007885394509670185,0.0003763915001532281,6.966141748054877e-05,8.640822835137563e-06,3.0988818321420197e-06,0.0001882326439196086,1.0313562421204736e-05,0.000324866364868337,0.0006353907330012287,6.837535718846877e-05,3.696358588767268e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02406240352685063,0.07813146678344207,0.031218668819690265,0.002032490067017889,0.01055690534411724,0.00026172436418736567,0.0009366050643053736,0.008213912649551736,5.884674725731287e-05,0.02153423223945894,0.0004503626814793549,0.0027950051659231256,0.000684000785160066,0.007308046525524636,0.000999812211094353,0.00051064159187586,0.00036414098948855944,2.888202132655948e-05,9.881432920799682e-07,4.895676210869837e-06,0.00015329449938461526,2.20493243974218e-06,7.832926358419812e-05,2.8993052758607973e-05,1.6802347798883233e-05,6.782356087864372e-07
