,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30H,31S,32H,33C,34O,35O,36H
1N,0.0,1.0187084328815812,1.0199610244556467,1.4598873280756615,2.076272621237503,2.438652166974537,2.6003413630160463,2.641941025128531,3.851606191485971,4.043307290638305,4.554541071671653,4.691338151419295,5.093295940272619,4.35596192865438,6.034459786217568,6.578468214002263,6.757793183161742,6.141883437606634,5.838925076386575,5.7759323672936755,7.149891281966559,2.47815211462329,2.952731622163811,3.5565673079387374,3.701619781048385,4.685727422927765,4.607694722535761,5.856978159089351,6.719362531179733,5.752321134525842,6.584831265940893,7.537255917583436,5.424332532417175,5.777708472388912,6.146310361729836,6.786283397608218
2H,0.0,0.0,1.6368514506550385,2.0616136195328876,2.343045910008941,3.3415524879999245,3.4972746852632537,3.622452651529746,4.638683654188485,4.644321497556046,5.38800755828742,5.475662946098603,5.978703602797433,5.0579339468801185,6.728239363832115,7.3066889179510275,7.458796304610414,6.641245471556665,6.256938497288118,6.21652503029635,7.617682818600612,2.7543945524925997,3.2750551876066125,3.5788477454108065,3.616524837673414,4.566717673612414,4.32192282809187,5.621717297081204,6.449734685890583,5.357577676564922,6.545529264320966,7.36772702632142,5.518049145319185,6.058656702290033,6.146542445126703,6.887664986901111
3H,0.0,0.0,0.0,2.0387342919065214,2.9245647998938455,2.727988234494193,3.0491322613131238,2.507094166922681,4.157328921204033,4.531080564733649,4.899745142395545,4.707084042928262,4.970529387614136,4.227580716986974,6.125765273979741,6.765127868003505,6.7126141499425795,6.352236961209592,5.958159833135525,6.143843737570151,7.367410568466301,2.612305945971749,2.6303892833685105,3.8784450738811858,4.255966468932839,4.819742506940118,4.637012441582054,6.151240102269344,6.911129915150781,6.164220141175117,6.991669706726376,8.01902332747659,5.336929330934852,5.700269063814488,5.904631912773738,6.466051314180174
4C,0.0,0.0,0.0,0.0,1.099121139497048,1.5439574171419121,2.1227901990551814,2.159039624227623,2.6062749910158387,2.643107774757744,3.452759757074242,3.496868680333092,4.106837854309581,3.2469392835956925,4.7118992201846845,5.247718263110948,5.509586742556227,4.724331758510951,4.492332133066561,4.319180033554631,5.725042958932685,1.5391100515654046,2.43120595211614,2.4940030785729643,2.6296608459389295,3.8259576569952913,4.074637929431337,4.933086363697127,5.872410371013431,4.970639263412341,5.369207443832645,6.403564527452294,4.502019599527972,4.671517829704824,5.45502528519661,6.059457337379073
5H,0.0,0.0,0.0,0.0,0.0,2.1545188657783068,2.4185510560710624,3.0526103941399607,2.8588628400186766,2.5119437473903514,3.5732680799272534,4.0053333444415875,4.736282258749032,3.9234711450314763,5.002033160844618,5.4002011273107025,5.918655214365211,4.806884426915726,4.689421452259028,4.186926639774381,5.744382120191715,2.166096397774526,3.2922624094669724,2.5452558212808714,2.2391808376678553,3.9642151119741187,4.303639303583943,4.769216205390856,5.797012534743627,4.638275807923618,5.047052381720677,5.937661133940055,4.883677961124729,5.067506952549248,5.928233748973898,6.604515088450447
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0937138923848873,1.097684443035847,1.544289094188738,2.165799212348053,2.1744344377973097,2.574535413871446,2.921212002080724,2.7156199754935817,3.941642789330842,4.3139835977145475,4.746159432417027,4.414432108642564,4.4368950604051,4.125317436656126,5.419222991873385,2.5539537665292125,3.1180556279954894,3.522662848160884,3.7224004153299286,4.836183222570085,5.257947870467924,5.956196417933647,6.886094798808283,6.1637612440352125,6.037646257076031,7.181744954322751,5.141067285692068,4.951989787949767,6.1667938814716114,6.579627867843559
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.756759605187124,2.1834460092069596,2.7224135258946736,2.3339385207109458,3.439991996447742,3.6300269116788475,3.752613129033126,4.730506011320511,4.902446752121879,5.5853799941471864,5.25971535120575,5.402757908004225,4.8607849224633375,6.2292099680474085,3.463182133199367,4.090362827875609,4.37477362447127,4.390817043102604,5.755863214492601,6.135154874419469,6.791525979769077,7.76899019672477,6.8776510878703325,6.825372773068309,7.8875901280562175,6.185967174349524,6.018340786482958,7.214337812866994,7.657964460598434
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1769590503583256,3.0318980597774687,2.742524117474423,2.6112245889823384,2.6248648495891147,2.566199277828435,4.1265540141281996,4.610266650615435,4.725836877298881,4.8138744306913335,4.731521075880893,4.741327599774011,5.816744353315619,2.828565636776274,2.9427474071227824,4.020711242791551,4.438420781821707,5.156450148835897,5.469383698647066,6.444694029246684,7.277745020782173,6.745267892197348,6.665268543601323,7.877070547824199,5.229053413775147,5.024078044725748,6.103281723144028,6.41412132328245
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1026417950066458,1.0964382714130523,1.542263100803784,2.1618064054006045,2.1909616773051743,2.585150550619057,2.8148605676084517,3.5278585010569463,3.144841763623099,3.449000529986801,2.871672271984407,4.09061917014127,3.085198416769076,3.6986520839577426,3.600143502145619,3.7568212556768366,4.8351952337397295,5.53537116758121,5.750241461775199,6.673987853544508,6.11752387148454,5.3841502801253265,6.570456913967765,4.927740467979001,4.418865871024372,6.108363417044619,6.407616131709347
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7489964775978457,2.1964173435835574,3.0737823005785567,2.68544678802661,2.7538285949292494,2.9400194516559246,3.803632109003943,2.7719696747830285,3.1201339738337404,2.1779240150503143,3.673839436924392,3.0018899658783256,3.876491616574781,3.099747874177008,3.028399762130866,4.368119981670071,5.1678171912342945,5.044907059213316,6.02617832673352,5.344945440156491,4.51857976630437,5.625709845133701,4.670374701462621,4.228362815852845,5.939996922467112,6.334302671718981
