 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,H20,C21,O22,O23,H24
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009428437566956216,0.0011022284052080167,7.527870094303779e-05,4.9385503295473754e-05,3.8960716224556435e-05,3.5141585714715262e-06,2.54485208950328e-06,8.779847824547105e-06,1.6036181035294916e-06,1.0614051090263033e-06,5.255017649918869e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1172370252495405,3.437076231144813,0.1333456205467669,0.2953133262257046,0.02295163751881457,0.024278787291282633,0.029210981410294212,0.006598206274069041,0.005861781130596239,0.001184415358277846
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5367006192949967,0.02661285052104634,0.08002712583517037,0.018537933964450914,0.020031498460614805,0.00817311712569102,0.004234721066015765,0.0011135334723400558,0.0002205085801800788
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5865587662632041,2.8542033967835554,0.10616292667584892,0.10519617318983931,0.1925920451718467,0.05410059563308095,0.027935385704385467,0.005276946641450397
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09808338082760992,0.01383516250412109,0.012167228812562936,0.032221071418878866,0.07298914254933253,0.005457038763863276,0.00016462367834746416
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9581757585138482,1.9626280165868462,2.752820093727801,0.28035040096909636,0.23619529124681418,0.05541587255450753
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02359346829975939,0.12066513761137343,0.03516139544007735,0.011525442585628043,0.00045942284744593387
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1216810660485983,0.035421157325807084,0.01153078574940769,0.0004012755999101003
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2739501967422155,3.412246604090196,0.16853707541931862
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4998315731172298,0.06240703545159554
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7513570902507052
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
