 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,H20,C21,O22,O23,H24
N1,0.0,1.5689272497252185,2.9739691532722783,0.09595379563205331,0.22700710350194192,0.004223743567161042,0.024329950350022056,0.21060222423268582,0.00584084447588884,0.014608632950400047,2.898121239146015,0.08491409804469074,0.10269456292140355,0.18009867314150135,0.0525611198105285,0.027423180904747935,0.002462751959944498,0.00497491654424774,0.0003031390510088716,0.00044744972173993425,0.000711566102936545,9.518309251329432e-05,0.00023144576774136727,6.022130761418332e-05
H2,0.0,0.0,0.10633557197215548,0.0344892744849743,0.007230099667993595,0.0016109833731385859,0.0004273739730082937,0.004445556064288425,5.695711218067778e-05,0.00019664970244259727,0.09597531874981391,0.011303537505830574,0.02670182343516969,0.02979652298828206,0.06527428855472306,0.005255149716057783,0.0007389629898033601,0.0005053454483980868,2.1797377798282724e-05,3.46892855369596e-05,9.34954953168976e-05,5.8082875978082704e-05,9.87761372117646e-06,2.6064206362086395e-06
C3,0.0,0.0,0.0,1.822556594474626,2.606358463212954,0.08097365231162623,0.08065750658513404,0.19932563053569732,0.016651081621653185,0.004942629997133796,0.2654571861173227,0.02574782986329538,0.007903055802455317,2.616686819220499,0.27119055869639835,0.2396037972041164,0.01675303243141346,0.03799153015907583,0.0019797391762015337,0.0022905541522348916,0.004736208535675801,0.0004350806809038238,0.0013162439172148127,0.00027378156122537245
H4,0.0,0.0,0.0,0.0,0.07254262617188134,0.02761783783699112,0.007768857031319243,0.004540359731037835,0.00030366089498112814,0.0002836486392814308,0.007809715540278983,0.00017212829187873702,0.0021396606306367527,0.0934174175226441,0.020088023850087677,0.012517978889120318,0.011054383859556038,0.0019008891522509508,0.0002476791370553677,7.45884167134836e-05,9.173700171127841e-05,0.00011345613405211452,2.858217545620434e-05,1.1297917970942706e-05
C5,0.0,0.0,0.0,0.0,0.0,1.8987676041367871,2.118076418781354,2.5748605569116343,0.08250976454151315,0.08029141500632475,0.18772492254451614,0.014551740516958622,0.007323941992457783,0.18641537370597386,0.04174001200963273,0.027545594988060043,0.0007360777458281786,0.003553736373370836,0.000707285705404348,0.0006829216475905397,0.0003691680387597762,5.395523138788244e-05,0.0001354441573701709,2.6708068005865115e-05
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.026295704917556728,0.07971632240079263,0.013933536972660754,0.017551731934306813,0.0046479519014988036,4.370040173129475e-05,0.00033543793838064495,0.021619769639044772,0.01339592632690867,0.00247523311800657,0.0002613894483654011,0.00019239627665534886,1.91675235148292e-05,1.5352453769601482e-05,4.4224854980789985e-05,9.734231366187451e-06,8.388153734273374e-06,1.5344048998056081e-06
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07479963738899231,0.004879471690816928,0.011263072436761723,0.018139799156191128,0.00021298075613662704,3.359209678066577e-05,0.0028655411007880716,0.0007426216333017432,0.0005050340785113239,2.3581262926342106e-05,5.2107388337274685e-05,2.0246651032174157e-05,3.523657951109982e-05,7.118399243610796e-06,1.4347218123544891e-06,1.973497488094722e-06,4.515900389190364e-07
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1644965527031266,1.8661370062945193,2.3891364077415997,0.07328924109643276,0.07763518868338104,0.029159537679360414,0.006815509999671093,0.00559200681636747,8.556516124191837e-05,0.0009137303009684183,9.716549164118238e-05,0.00014647365730058315,0.00012834264916286586,1.0458344150074406e-05,4.2248142190975946e-05,9.525470720417317e-06
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025609988264271966,0.0744624648205956,0.011022535767044817,0.01490183053370231,0.0018339138176772796,0.0007731185968979926,0.0005077980161788398,1.8395410354976605e-06,7.925697084010253e-05,1.3267922298609847e-05,1.8257777273378295e-05,1.077682637151689e-05,1.0312547766844204e-06,3.7468652371863698e-06,1.0099770573201994e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07780132430602893,0.006315746427957736,0.012671471403340462,0.0013857907761392063,0.0006503902651892046,0.00011786809309888291,5.929026836160034e-06,1.643860002675801e-05,1.1173640008799168e-06,3.695532907466159e-06,3.807678534473169e-06,3.2602233601686237e-07,9.498996271783966e-07,3.238727568355415e-07
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.112086821469121,1.950027146362961,0.03699410365606465,0.008282667836666535,0.00658187510773299,0.0003882299330006944,0.0015008262829932506,5.114142816586842e-05,3.7565747435852614e-05,0.00023578962375303547,1.64096595106078e-05,7.740226311928056e-05,2.3896740904527647e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025568638822212497,0.002896206487792874,0.0006789787163709038,0.0011432100821628932,4.362452177542053e-05,0.0002168741389914075,1.1644545227618153e-05,1.2663466973261706e-05,3.1088009740498634e-05,1.94987382706735e-06,1.1543079495579533e-05,4.179300109097284e-06
