,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20H,21C,22O,23O,24H
1N,0.0,1.020878068480583,1.4642911900414766,2.0983488278868494,2.415358404061699,2.8792987737110516,3.3506594722718486,2.453725914018657,3.148125552572826,3.255899668061877,1.470966479970663,2.1107768468544297,2.0996268740447035,2.441455275551273,2.820492600913247,3.570775018546252,3.8393186984516547,4.793366917063387,5.208973931949051,4.892383392639763,5.93200218395835,6.047260561937951,7.086845739797342,7.790332649084591
2H,0.0,0.0,2.0056837295431693,2.9001195703928224,2.7413639806812022,2.8090464380175977,3.783722123881636,2.878249780635538,3.268032870161821,3.858260155240399,2.060840592873629,2.2871630500327176,2.920967405966052,2.4408227372069162,2.3380833651746618,3.737315835814482,4.244006376384461,4.7558973672362335,5.027779067494369,4.73238833898428,6.061730315715658,6.371010285709027,7.09949121063306,7.888627796060356
3C,0.0,0.0,0.0,1.10032701754693,1.557969402460954,2.1706819992872664,2.22448812810152,2.4458781160804843,3.2877206901860943,3.1079898177858856,2.3370004202505554,3.255675924830441,2.8397865175403716,1.5264759537537365,2.4091989905028686,2.4516705534721868,2.621602023196195,3.810536173042844,4.192553245601941,4.199850269493473,4.836375731994868,4.873952910718324,6.057074509656873,6.712351426320154
4H,0.0,0.0,0.0,0.0,2.1894143922217175,3.0464560570123904,2.4329062510393875,2.9149533852732534,3.927044728571599,3.229126461169335,2.757404742926185,3.796766207080595,2.8385962438132033,2.1724398751271026,3.280049395712446,2.545983574452832,2.282060177778314,3.9839907125119645,4.555658798930989,4.448342540305368,4.70524258759438,4.4796030839289,6.012934165311542,6.537946605894713
5C,0.0,0.0,0.0,0.0,0.0,1.0957522592979292,1.0956143591001721,1.5488275157357498,2.1939507360728485,2.2025062152672126,2.459613053692147,3.2993559436225617,3.1257596710985798,2.5572019214645443,3.1511241300590123,3.43219331740579,3.582453324469087,4.687806241940557,4.763008225922886,5.260445635496238,5.691843981584916,5.712921247642482,6.874473745334432,7.520942262095663
6H,0.0,0.0,0.0,0.0,0.0,0.0,1.7708931994144275,2.189874972290233,2.346839807083029,3.0116788864497015,3.079142970976678,3.6719202013330334,3.9501404313585593,2.590960831093906,2.7827343856948246,3.577001686898302,3.9792794199800294,4.598667371385123,4.441668839050584,5.1339286599024865,5.7535401359655305,5.9794255899376605,6.805492342312209,7.5333453606361775
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.221426197724187,2.8618826620037354,2.3989589244655583,3.3292820643031256,4.243882755018362,3.7674002489100515,3.0725771462958518,3.8457984745295195,3.5617036358412832,3.4914063225849827,4.793579431757748,4.8434531075244625,5.548145093242104,5.563129691678515,5.427180679013508,6.766272962707437,7.312148546908864
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0951377788550156,1.0957628102582468,1.5616400436042202,2.2333446630944533,2.1928518604984726,3.7649520901206195,4.220605233451146,4.770590653381739,4.85499096220307,6.082523728559287,6.226662623282026,6.53188927289907,7.104668405588361,7.06106635114188,8.3175653709576,8.959043924850901
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7614354625140045,2.2153557931605086,2.407381179720634,2.9876000693410507,4.396097095956661,4.597270872840714,5.502572429756107,5.713470798952742,6.709821106107141,6.706837251736682,7.131083783874227,7.830333745793863,7.891480912355579,8.976299028197978,9.669170740301896
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2055166187401096,2.903429505279377,2.3342119313615415,4.526160682982634,5.15197993572189,5.3445147339173085,5.235317981325011,6.716271345957561,6.912335433330861,7.254820164515122,7.575052261149302,7.3662987821140105,8.840297855145023,9.396776595598729
