 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,H29,C30,O31,N32,H33,H34,C35,O36,O37,H38
N1,0.0,1.9652582846510196,1.634421255540508,2.7945660358380136,0.09798008231593047,0.18516317787944941,0.032096182567008524,0.0042636432586001805,0.02820394132533033,0.004408258405845689,0.00041625657418431494,0.005652599623960725,0.00021191016960386833,0.0007203711457897666,3.1348817350451696e-05,0.0012666103112381755,0.00011535742361168388,0.0010398464408739594,0.0002998120309402469,1.0709576866219095e-05,0.2227785234849537,0.04831008496989546,0.03274270683225104,0.0020027412020039437,0.007372423094130651,0.00036815292026559643,0.0014184520685724261,0.00029206957680283363,5.05906885838181e-05,8.225316998261567e-05,4.1572872381892556e-05,2.7334302844989056e-05,3.1870359695762573e-06,5.2832272789959944e-06,0.0003975081286530513,7.745406105322261e-05,0.0001201656988332328,3.584455328031755e-05
H2,0.0,0.0,0.02697180010623801,0.1070347384620357,0.004120043292704656,0.034932479962335616,0.002290265921094603,0.00013432382094458184,0.0045688061817757974,0.0005169612987211414,3.960483751463961e-05,0.0011585853352932274,4.934620567476067e-05,7.457329411220126e-05,9.31772236656414e-06,0.00023135588428513376,4.532490955999613e-05,0.00016778272047102138,4.0801678496960037e-05,3.614363618620331e-06,0.017059934334968774,0.03559460177628637,0.0027201270569530145,5.695615005119059e-05,0.0004377799253488801,3.799290585160264e-05,4.441993998971494e-05,4.4463015527185235e-06,1.3780778744809652e-06,2.1770011514932186e-05,3.905169440376888e-06,6.257260360964523e-06,2.8042317519183513e-06,1.6384626175813821e-06,4.284373543017583e-05,1.31672147386519e-05,1.2964218333966215e-05,1.529188363935674e-06
H3,0.0,0.0,0.0,0.10738277486352499,0.03798698501768727,0.013855358817623453,0.0016278520984014389,0.003324757195040995,0.0012820665449478907,0.0006540111688937422,8.02684972809331e-05,0.00019205136448152693,1.544572706024816e-05,0.00016070565255543734,1.6390718276859673e-05,6.123310129468873e-05,7.323681936011184e-06,2.2608837627058342e-05,4.382742940678419e-06,8.502374972962912e-07,0.009000867179646654,0.012796780818768005,0.0013414805889934156,0.0001708441114698367,0.00025301547771439115,1.4455625516829329e-05,4.083996996373518e-05,5.1621339414165135e-06,2.3612656157023793e-06,8.415827220331629e-06,4.512390593958138e-06,1.2722503169859678e-06,2.2987447234612546e-07,2.693506069295637e-07,2.89085812975598e-05,1.0998956456731435e-05,4.647163383220132e-06,1.2070132828778668e-06
C4,0.0,0.0,0.0,0.0,1.694613818386606,2.7586660389716227,0.09301258102194065,0.07884941067425433,0.1661816090195229,0.03575726466698145,0.0026021739035775315,0.03299925647098774,0.0006770550640633477,0.0045191546868152965,9.630417835282401e-05,0.005289160170012408,0.00025204976397619205,0.010258673814765168,0.002628091242876218,2.9839656730756836e-05,2.5410513475613583,0.2855094584907524,0.20221034522364056,0.011407818972444916,0.03393011486656264,0.004926211977536732,0.0043676061630671115,0.0013187392012700139,0.000114209908332219,0.000408581996108659,9.199423334893542e-05,0.00010565871447024144,1.0683367739794392e-05,3.905130293357928e-05,0.002842061463106893,0.0008252177715770553,0.0007147765050841554,0.00014109961031816276
H5,0.0,0.0,0.0,0.0,0.0,0.07709617117673484,0.0022396077930868508,0.02995108278716474,0.015267806005220264,0.009627146459089131,0.0037339178638657877,0.0014304352218138527,0.0001771998450619261,0.0008569624074128424,5.420344564766033e-05,0.0008746685687579525,3.310899256470101e-05,0.0005601720525425513,0.00013124724514079755,5.749609415461876e-06,0.1051004564524769,0.02966660154261147,0.009865273172524724,0.0007696831895827039,0.0013922258648360053,3.447894913444216e-05,0.00017425765118606051,9.122221781288076e-06,1.1656977902729793e-05,1.4177725822461795e-05,5.457745897663457e-06,6.4330150597591285e-06,3.3836054740277177e-06,2.247841603741918e-06,0.0006472011880154227,7.900281471340254e-05,9.668152081687698e-05,2.322677289212649e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9952788198972846,1.8749940231851954,2.7963030054488702,0.23164896433271553,0.012829387541950288,0.23320047553136541,0.014113790369884471,0.036484059570074265,0.0023405941032637045,0.0345710285187423,0.0023992689405809564,0.019117732132933607,0.005101990099286274,0.0002961656086996056,0.1681357623653928,0.039182484430955414,0.022352316498309877,0.005710113266027217,0.0023811904454041355,0.0005650320777668139,0.0004547963316296477,5.4545449974074955e-05,1.42209203821686e-05,7.57833184005241e-05,6.103567017069766e-05,6.380882036263746e-05,1.1145531751521887e-05,4.3209718812220466e-05,0.0012353900648390537,0.0024820644618071958,0.0003756761959921029,6.87813531082826e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025760643065408706,0.09788287890627267,0.018256275675153644,0.002541617231676341,0.02864655677152783,0.000352613220304443,0.002045431620538163,3.566938988686097e-05,0.0029773310138905273,0.00038368925548581956,0.006045800448760907,0.0015371104906178878,4.528022607974691e-06,0.027021518435939473,0.0039358525868400385,0.003966642673490006,0.0008667516443436885,0.00041657468273492704,0.00019382199137640832,4.7684170263351255e-05,3.3614871353115916e-07,2.156609869574666e-06,3.0109414232981635e-05,2.701248530434519e-05,2.5299530251765567e-05,1.0664312828367883e-06,1.0719271518855322e-05,0.00027641844279946426,0.0001019218519427989,8.414389078514883e-05,2.164340061927561e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09987344716724,0.02331077679688831,0.0008278209319407814,0.017514090954853456,0.007107344003450589,0.0028242495998445083,0.0007507754958038237,0.0014268861766144614,7.293162842003653e-05,0.0006937572825169713,0.00012674077489027713,7.990660601331356e-05,0.013950150289745444,0.002155876519203126,0.0014309885233390052,0.00015074602784181934,0.00022432559277385522,4.171785375772785e-05,7.790323976841762e-05,5.203885097060379e-06,2.069408596039324e-06,3.883567840201607e-06,5.1527776093740485e-06,8.278608675249544e-07,1.549840232595301e-06,3.768468173070971e-07,0.0009023982228704153,0.005178949905575325,0.00038461474887330205,2.0108343110170068e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.597501756135749,0.12228586598953806,3.6207538114036653,0.1268486198882537,0.32786560536640963,0.025901661750622917,0.3222018571143701,0.025797648484825242,0.26208762906134087,0.05479977447699062,0.0014668744854416937,0.00909918506986196,0.0028803199032774868,0.022309919359790847,0.0595409329343366,0.002666474728499374,0.0006595824013878593,0.0001763488898157417,2.6449207206402647e-05,9.403235444960245e-06,0.0003489629843799469,0.0004820783890434194,0.000565118568805506,1.571682702694588e-05,0.0006556261941105257,0.000600368683051189,0.0022912060272706064,0.00021552710025812827,1.5783338888630816e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913627358239288,0.32928220885166976,0.028238357804899472,3.908619806680646,0.12904725127653083,0.30888001458125425,0.003923254830152212,0.3401980690571893,0.04484764720441611,0.002783770920848805,0.0029277215101829734,0.0017476460251317771,0.005396419712123443,0.005182705720112146,0.0009957515272600304,0.00022556234047954593,0.00010860085794475727,1.1051474549050866e-05,9.251843526847381e-06,0.00047027262257162694,0.0002445838467797917,0.0006593479477158548,8.302752271927005e-05,0.0013381454410335003,0.00013333212211238954,0.00039148637478599035,4.012980889142592e-05,8.756034093670984e-06
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028832014326844124,0.0017091561649307252,0.12997101511482267,0.008626249682019749,0.0035457050534748458,0.0004221623300577626,0.02675513180458089,0.003220359087092506,0.0002087331396816161,0.00025437416820817127,0.0002525478162263006,7.80776292959029e-05,0.00010693969624497868,1.0593986452089865e-05,1.3775166674001582e-06,2.67912978335616e-06,6.012009781120042e-07,9.737089601280502e-08,8.524695607192712e-07,1.3778868185321258e-06,1.995212016603354e-06,8.455962885456358e-08,1.1166713856924915e-05,1.890448738617323e-05,3.792266183266779e-05,4.633656547126108e-06,5.264724511899743e-07
