,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29H,30C,31O,32N,33H,34H,35C,36O,37O,38H
1N,0.0,1.0205689629901296,1.0217379770736574,1.4612272978154115,2.076678262635468,2.4589584296049662,2.446206461221004,2.8756588547030244,3.7995668506591613,4.3579662350220385,4.001761755331035,4.900371444814698,4.991416834483781,5.7178865373408065,6.34709286765504,6.144733890450099,7.021319199885363,6.4897840768984745,7.830522624059265,8.117865263579962,2.4950414929450404,2.7519513047674145,3.7443894380581395,4.005048678131408,4.935582841886609,4.93487515930027,6.176952336048069,7.036974754126696,6.190027505052576,6.656966982006078,7.225675186038628,6.774442996152295,6.395683929396389,7.181575654042603,5.457773141913653,5.186319944297565,6.62847426908929,7.080377798724033
2H,0.0,0.0,1.6043331771258331,2.0236511946675892,2.4177104421571562,3.3395332975855108,3.4454066481659393,3.7159508050379686,4.583083467209304,5.080242840157893,4.691825381638081,5.631226610424093,5.695279444326105,6.387075765576749,6.968004956672665,6.836317354314495,7.687667670496314,7.161485677901035,8.467554528456958,8.740190532087714,2.5680431041767826,2.474412565326694,3.8806528281371215,4.348353312267247,4.943800427041268,4.735577921621783,6.1596092561730895,6.970010455599654,6.047557022415575,6.84466920089805,7.519785102542717,6.981281565469096,6.5116941862075715,7.50462890868408,5.631559592290445,5.558975324441227,6.694525949319719,7.232447859488441
3H,0.0,0.0,0.0,2.025477640991588,2.919504403430415,2.627135105601422,2.610196219375522,2.645366513610375,4.115688244042418,4.909282588677944,4.6843395593924155,5.0511946637057905,4.940712074048783,6.274879257596158,6.998865549889106,6.388384072218763,7.181603269108723,6.912055900582519,8.273462334317609,8.644949290469683,2.7219553556178266,2.746276969650379,4.006557434837733,4.310378767637795,5.029246861503664,4.992621631264153,6.412351768660239,7.179960501198958,6.567891261266818,6.919434214897304,7.352235535816201,7.211159612752831,6.946477469334436,7.61707468272809,5.284211725353355,4.891966098448179,6.396748154488811,6.736892541289598
4C,0.0,0.0,0.0,0.0,1.099454886325472,1.5577259384915725,2.127151850229655,2.180218515136269,2.6035396973550946,3.268703366460745,3.1842610004660608,3.6260484228760648,3.8016194275191957,4.547745939868868,5.2764641390644735,4.81289824832234,5.677774420883022,5.190140867334906,6.511996846620126,6.85748961601329,1.5498152054051708,2.4262103906782193,2.4871445736434503,2.5847016827214495,3.830693621260005,4.076521117097466,4.9472195743376615,5.88059590699916,5.011015902307823,5.270661940780925,5.852957068456325,5.343968134228801,5.016328895847259,5.725210826774942,4.443668214662465,4.213971986999229,5.705628814208945,6.206426732800525
5H,0.0,0.0,0.0,0.0,0.0,2.1668104892270525,2.5919999899166486,3.0548678654760297,2.691056669320364,2.877332783650689,2.6122208864837426,3.8368169549126483,4.269937681395592,4.069188183739906,4.636373036071334,4.799908183909116,5.742503931661463,4.893632806450742,6.148950063207425,6.367684166440291,2.148637167945031,3.082435573648656,2.7430264669745608,2.717037377334948,4.162798980091902,4.443951247360356,5.0013731273772235,6.018466575916103,4.867346963719747,5.249192657614646,5.98685775811887,5.052930354290148,4.562712375898747,5.412604942174173,5.036932763550821,4.94367434401642,6.288786029005749,6.8803072412911614
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.096622719566154,1.0969593119929282,1.5171926671180591,2.536765660405046,2.7354641718525126,2.5534468768581386,2.7598810040812425,3.827280472332698,4.693237525855777,3.84042125380779,4.71467037103031,4.340022662690102,5.7090172747417025,6.122193187942371,2.5907300535418245,3.559721363260161,3.060859781265567,2.69477723098843,4.330773458435138,4.8613102449299035,5.392724558059458,6.313174632159491,5.6899976817997135,5.3274153493560075,5.635281380961922,5.4101222219694645,5.313759739502343,5.545511128376974,4.527946136069923,3.9246566125030453,5.862671518287252,6.1693832053078195
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7640095861021687,2.1482704312652654,2.7631681588593633,2.6400033606582465,3.3172783312883074,3.6083914293255948,4.1089825467275585,4.833777067745684,4.5055914378181035,5.430724975244609,4.824177494044356,6.180663090765295,6.483510062294813,3.4599349171235385,4.2931159111780515,4.102982071453747,3.7566341552372426,5.398384821824724,5.862112067497958,6.468709840362176,7.400502072315005,6.7123609793680306,6.384674974205307,6.683981835979483,6.375086165399354,6.2289216204132005,6.441344202095365,5.5783875399524945,4.909879342977031,6.8994836202701375,7.162985070310965
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1521121553845552,3.423553350335594,3.7743869239918593,2.6467831445872374,2.409693685807766,4.58551126106525,5.541509346478682,4.037236529433634,4.726815694187298,4.831843991902073,6.1694314755088735,6.707869700110845,2.7110393274733764,3.4796712546560333,3.1693795240018092,2.9102264376952505,4.176763567234565,4.695339564193761,5.387946506243192,6.182487560442578,5.861857032417765,5.365017895881641,5.484574575051824,5.702974604574971,5.756535813966433,5.862445693424272,4.016768403901477,3.220270980460261,5.298425506609962,5.468309087855664
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4036903559524634,2.159381401978308,1.4051580196842937,2.1584031377214306,2.4401622510796384,3.4236038239768605,2.443432395845154,3.4279912486434694,2.823110010766482,4.192371811640168,4.626333783330767,3.3475834501686914,4.513235861695816,3.191389075403233,2.3928889941622287,4.410462764609414,5.194829695041227,5.090530618217466,6.062789432649226,5.406977657488658,4.624085478620075,4.882518400943009,4.4728750961019985,4.478822459835682,4.387151765635674,4.653322981856917,4.09140242120104,5.986694376894113,6.302441452558764
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0882399525166786,2.4042234972450993,3.3932616135817213,1.3941241152598507,2.1570613827197467,2.7879029418977432,3.8734517967494235,2.418460905561354,3.689775414959246,3.841625960376152,4.220882182895715,5.412343962269864,4.041413103292289,3.2322315899264047,5.333611937886613,6.096030979006353,5.764280996294035,6.80678333244568,5.873741646403823,5.193730845009024,5.602953761104536,4.665105166830306,4.500093838460317,4.4467842648654425,5.8227376317714805,5.396120152526552,7.135775408598618,7.531058226666644
