 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,O24,O25,C26,O27,O28,H29
N1,0.0,1.7375078996067752,1.7305438027070998,3.0135183522422055,0.08008970783315617,0.19771423249955658,0.006779153429219642,0.10590074638012863,0.224597654702426,0.02986146775074021,0.003950894189788334,0.001108023095938826,0.0008888507754147845,0.19793008274769877,0.06802050932467117,0.03396858718692479,0.0026252989415068706,0.0061740142502143686,0.0004233797804170658,0.0012982927109514153,1.8951599741967584e-05,6.633222970364727e-05,0.00030813891595127263,0.00016403808718744306,0.00016594443756423605,0.00034199291335343385,0.00017123949064656863,3.2652733636728826e-05,7.76355979348331e-06
H2,0.0,0.0,0.028763805717233693,0.10057328768368845,0.009742341764341411,0.028556078271453678,0.0005837640329220406,0.003960671292279061,0.0015660391481318037,0.0032062167241548867,0.0009620840214983328,0.00010110634219118175,1.757584934125589e-05,0.005758876974549687,0.001822639105759638,0.00048390831293076975,4.751445941830745e-05,0.00016755374587351657,1.9325399584824154e-05,3.3496469197480394e-05,1.5164194233641126e-07,1.8625564608409917e-06,6.872240073119151e-06,3.0449629477846685e-06,4.870599733863834e-06,7.859976230761845e-06,2.261380015244896e-06,1.5352216655717399e-06,4.4173941726732835e-07
H3,0.0,0.0,0.0,0.10118790765117625,0.031246891499564722,0.005973809768983207,0.0029572501029575538,0.0018964825197904656,0.0019295382326802724,0.0007756014934774402,0.00021917418494110663,1.8073176029531623e-05,0.00034757691600484364,0.034153426781269314,0.10192880296183626,0.006115848489799847,0.0006339971736353256,0.0006537187130886135,7.966008826265636e-05,6.535978351773775e-05,8.501247504622e-06,6.147441266479703e-06,1.2960352823498944e-05,1.8720666749905135e-05,6.732025248146201e-06,7.004461515303095e-05,0.00010558350992984078,5.2544742816795775e-06,2.5163294916641377e-06
C4,0.0,0.0,0.0,0.0,1.804081395790397,2.4719644978067787,0.08395183484658997,0.2138184570993496,0.037053767705394924,0.15754759484981412,0.03151628710700427,0.004340405579749795,0.010856986185727502,2.441945795530491,0.28310663446980044,0.24676640540308312,0.01611997526743747,0.038614363306202826,0.0033918239260730676,0.004577679995567019,0.00011612717941056339,0.00030785870296456963,0.0011500090806523255,0.0012197325498045641,0.0005104057506983978,0.0026846331092001408,0.0006687731937916608,0.00035441806932579034,9.377277559041719e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07985652228684414,0.03631184975291224,0.008321261672523228,0.001683840585072538,0.011180699724081089,0.0006014721868392581,5.783174803708491e-05,0.0058331404623499505,0.08540844954391846,0.02301794898825471,0.011220769319722157,0.007702167029746132,0.0017753979937578102,0.00036858306960252385,6.05030466245271e-05,6.070523002499328e-06,2.4914360449157513e-05,1.1100840001887491e-05,5.067267390979069e-05,4.033856262575242e-06,0.00010776214975716236,0.0001082870076994924,1.78973270945626e-05,5.529030923545619e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8691913268471114,2.641245038381609,0.1148926175669559,2.907835215975383,0.09778807621860564,0.0996015623162636,0.0852789584969722,0.1836523728576527,0.03733503241730478,0.029982663208796292,0.0008727167090982757,0.0034582671919223817,0.0002586888781859198,0.0009378031073689341,1.6795794960833277e-05,4.6147852702294045e-05,9.994179234942835e-05,0.00024298950405388098,5.142788843566504e-05,0.0009150665008395842,0.0003526352094021107,0.0004783496512840435,0.00014284794685781588
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10814632293446058,0.007256466516858628,0.08081160981003754,0.005137408400761823,0.003841749137900363,0.037026995704990906,0.013029386475132076,0.00974184808070555,0.0016704161662659534,0.00025510962032226914,0.00012173866869513716,1.0895256339349402e-05,2.5431433439138118e-05,6.190933912186836e-07,2.1171693247445944e-06,3.860430717539387e-06,4.941418916049045e-06,1.2286141379824755e-06,1.8902069238935226e-05,1.8564608260773774e-05,4.352532314011448e-06,7.29332360061008e-07
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.684209886571848,0.196655427492475,0.01020220083867196,0.029195119310743034,0.009321433969734727,0.0382453537569125,0.009321548362873203,0.006320029355183887,0.00023617653929619564,0.0010780632432571963,5.773275643439213e-05,0.00016447154035477418,1.2114074735558589e-06,9.931617363623246e-06,2.016463077150754e-05,9.07936850047808e-05,6.123379353656366e-06,0.0003191054974560348,9.57760921849668e-05,0.00021079683966854224,5.48114733575078e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031354974624198007,0.0006374189855073986,0.0022580188599152784,0.0007253483340092792,0.005453649376439773,0.0013476283135203104,0.0008895093459461156,3.4748462673706015e-05,0.00018391960476027425,4.423575765466481e-06,1.1960336191663146e-05,7.647390698473089e-08,8.273301466132921e-07,4.715935091104129e-06,2.1394730118085015e-05,2.468592431803529e-06,2.714321020735877e-05,7.758547429514984e-06,2.3684233649179376e-05,1.7819426883169953e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.910029296800718,1.69869795671723,1.8918994129158382,0.014810021435630219,0.0034650994854032585,0.015032592108945586,0.005207973756991335,0.0011908437791736531,4.674702638507444e-05,0.0005835477184236576,1.3295746394414998e-05,3.520395346090499e-05,0.00020237837077635712,0.0009977508503210275,7.539622669087975e-05,0.0015546953411320064,0.0023419130774895713,0.006291618295269079,0.000592117643815171
