 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,H25,C26,H27,H28,C29,H30,H31,N32,H33,H34,H35,C36,O37,O38,H39
N1,0.0,1.9108288903017698,2.6729111325410946,0.08623742461607264,0.21710969956263867,0.005046174594661279,0.02589565448353892,0.19832221926206128,0.005575030702805184,0.014284544433235458,2.6427606650423883,0.08304918881843826,0.09383470637424607,0.1729816072166834,0.0577404579448358,0.026862581154805706,0.0019097234743699065,0.004887220464642683,0.00022702160262877413,0.0007574822576959933,0.00016285095842472064,0.0001224449945498307,0.00022739408204250355,2.2592148027467118e-05,3.272210418936439e-05,0.0024626753538234125,0.0003890982881247229,0.00046106935721890174,0.009308392920916508,0.002159368321609234,7.178333117519031e-05,0.16301856394386186,0.0023760993662843566,0.003115342229469742,0.42317583664966674,0.0006409007535675415,9.750386278327416e-05,0.0002127435250189602,5.1301554147120676e-05
H2,0.0,0.0,0.09717922930980216,0.036142365981353786,0.011031641949994286,0.003339184634653769,0.0007432125430317793,0.00494432740037587,0.00014129145227426143,0.00026255003417330336,0.09282730562657893,0.009592316603722839,0.027773771472919595,0.022503348311838645,0.06390151954569279,0.003509326057734352,0.0006497414357895526,0.0003129190796992143,1.2253203249601441e-05,0.00013190922381733916,1.3317897413100965e-05,6.426093348776973e-05,2.1359321056291236e-05,9.753448504401518e-07,1.2364275582488204e-05,0.00012006580781187548,2.9744663934794247e-05,3.1474213315618726e-06,0.0006087179073961391,4.705585010844615e-05,3.216281691731382e-05,0.0026437724677694785,6.780047446652837e-05,0.0005230035214827122,0.009500893699412316,5.7881418139338336e-05,4.427768368897578e-05,7.2523026298787485e-06,2.005111631397938e-06
C3,0.0,0.0,0.0,1.969837094843336,2.731268070298863,0.08183151749230055,0.08614501799942853,0.21151226888540475,0.016744810671930566,0.005063603119796811,0.2558935761351209,0.02663976647790922,0.007864885369590402,2.3914563279240104,0.27503246601700093,0.2435013367327329,0.013566375502734318,0.03746783342489682,0.002246849801856521,0.004240680353239407,0.0008559084963774,0.0017411687105557405,0.0003855517859568114,0.00010659886584685196,1.5195132043399617e-05,0.00045150835505111675,6.937663021466811e-05,8.36557845667052e-05,0.002034731284238811,0.0018236770175878991,0.00011028430274007128,0.008752087593153435,0.0003391418960841941,0.0026564827258561685,0.020184644711158883,0.004191739790748272,0.00046221578646220285,0.0012233628001248331,0.00024158931496442992
H4,0.0,0.0,0.0,0.0,0.07584285422748527,0.029456589417292456,0.00769119560216569,0.004957798816563552,0.0004136387450415224,0.00026623240133694104,0.009868621446869286,0.00046747089185972257,0.0026296027065586536,0.1010720618545995,0.021892975097229428,0.01298695522932003,0.006405781565292257,0.001743050067486207,0.0004178123447344806,0.00031805527969686054,3.098583260285892e-05,9.123738804284187e-05,6.953846160895338e-05,3.670956794055158e-05,7.357169893307258e-07,0.00017783152450978612,8.84759913377664e-06,5.7917720807543205e-05,0.000726032503952645,0.0012601816740132055,6.226741360815247e-05,0.0007382262896540315,5.457524951224535e-05,0.00024312946220494958,0.0007767957907298673,5.4626617126407595e-05,8.451429359790374e-05,3.151311937044099e-05,1.0221570053037254e-05
C5,0.0,0.0,0.0,0.0,0.0,2.021045545020879,1.6823698017430635,2.5834954696066186,0.08066748673994972,0.07921491044268181,0.18413746372821682,0.015027233984156951,0.006034362631890167,0.1716132332141313,0.03276721427058103,0.02959765511708451,0.0004828380386725506,0.003233386995700388,0.00067987368261202,0.001169977634837463,0.0001392949369600771,0.00013355105791990063,0.00012072251579203774,4.902348109991905e-05,5.982829412554125e-06,0.00016713619527471135,4.9300199855939475e-05,1.658199003085059e-05,0.0005226337577051154,0.0004439680678710589,3.30385366910102e-05,0.004348001124771753,0.0001060128201866295,0.0007204473432100844,0.00964425577416117,0.00029896592486663986,4.069489471304755e-05,0.00012690636054157878,2.6616034625615015e-05
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.026997416551396647,0.07940418281394557,0.013576258729409041,0.017207902436818356,0.004637353913157227,4.109538003893576e-05,0.0003769502613035769,0.01435653227389766,0.005096665748062668,0.0011422265233316242,8.364261210114243e-05,0.00011405012949028404,1.7065426956008878e-06,5.2844845978006205e-05,4.041221320694177e-06,1.8682197144626045e-05,4.584641849936233e-06,1.9060000924220333e-06,5.766593798028907e-07,6.308115813591364e-06,1.5470506808945572e-07,2.3106710036469025e-06,8.267968106068224e-05,0.00024198206854353366,1.2479865196812767e-06,0.00010016003177337751,1.0222268866488804e-05,2.166614741638817e-05,4.561952443005168e-05,2.4505090108428718e-05,2.8412358463736354e-06,6.070055457496615e-06,1.208900394233936e-06
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07391489845129062,0.004510073040249418,0.011163473633348797,0.01716467611310235,0.00019760606968599603,2.891030912643977e-05,0.0024325604741388673,0.0006172537141526657,0.0004913092965490584,0.0001423426118549731,4.608900840774588e-05,1.035628066503591e-05,4.715423782264416e-05,7.046360501750115e-06,3.486989491818804e-06,3.3220201065553567e-06,1.29069187693176e-06,5.053361982199078e-07,1.3311792844250547e-05,3.3026126613489026e-06,3.3769406295736104e-06,3.8906648254011245e-05,8.894005391058002e-06,2.0516834631223446e-07,0.0005186294967265415,1.4847501541792596e-05,2.166953149340678e-05,0.0005851991458112327,2.92496526133057e-06,2.777490344607614e-06,7.54706185768228e-07,3.202775493704735e-07
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.851065652790362,2.111031274060584,2.6923911485355756,0.07306263500179677,0.07608262166125379,0.030419167055611457,0.006123508102852684,0.005954102133945413,0.00019110939795641269,0.0008852201240177049,8.256087467151119e-05,0.0001936414448354823,1.4216997978544477e-05,1.5940781290746386e-05,3.6311884779038905e-05,8.224648963439662e-06,3.6019908231654796e-06,0.000129711964931431,2.223024451808442e-05,2.1365846606391514e-05,0.00044938067362035317,0.00023384715742647,2.941875784534531e-06,0.006137824154511667,0.00019292559509909157,0.0001918957857176551,0.010273235584925322,0.00012476324001745032,9.222597097402474e-06,4.498104684981519e-05,9.876849904832952e-06
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02733779147934645,0.07751833849767675,0.01093548785195364,0.016123700792536555,0.0019921446644091123,0.0008340467463947565,0.0004566311807385759,3.1915361053291846e-05,6.61067095044654e-05,8.043808445989953e-06,2.1813511856594303e-05,1.1518485016903668e-06,9.257117250527358e-07,2.9399398020490963e-06,8.437706853214877e-07,3.839164188779165e-07,2.702492101103182e-06,7.673661528428966e-08,2.934357836714696e-07,1.5267340018665365e-05,2.4486021565239824e-05,6.315734080164503e-07,8.848619433976523e-05,1.0066091344462791e-05,4.748765831230628e-06,4.97047305916265e-05,1.1677447256053242e-05,8.131172867242853e-07,3.7483876665911353e-06,9.340024749171505e-07
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08264875871536104,0.00586322329798894,0.01255779198473772,0.0011795480589376073,0.0004909517016163933,0.00015596775040760402,2.350100815506906e-06,1.700509051372201e-05,2.784730607219288e-06,7.1838487878395085e-06,6.946235944216284e-07,7.946771340971992e-07,2.4402663747480347e-06,2.90457375262676e-07,3.7218538961880654e-07,1.2316674046553011e-05,1.8979905478389014e-06,2.158153578069033e-06,3.885145337134688e-05,9.529612931880038e-06,7.832530002360727e-08,0.0005403277173021692,2.0330057831197124e-05,1.3155663499242465e-05,0.0005010073576829921,2.1355137957979053e-06,2.5525476554655313e-07,8.35256576792176e-07,2.760515283029008e-07
