,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24H,25H,26C,27H,28H,29C,30H,31H,32N,33H,34H,35H,36C,37O,38O,39H
1N,0.0,1.0253821850365603,1.4862767327546502,2.100744514284597,2.403813433734729,2.842698039213602,3.3525311627983934,2.4408762093658667,3.111626331857283,3.2616197719789914,1.4881324799956597,2.119848327592958,2.104592606584061,2.439699498916748,2.704763235599996,3.6075097947472985,3.953214201744537,4.825732695389899,5.169917986129675,5.094977448907108,6.145594828836128,4.635588075016478,5.220632036901123,4.972958262316938,6.31158077197445,4.9419312013463825,5.761216223814038,5.3412109647982025,3.7147656853601725,3.370826616604798,4.241245953352028,2.8071138215378477,3.455889919409385,2.8691084864529035,1.8259764871778266,5.97169949071346,6.0391931102261935,7.140013736270836,7.853399990765497
2H,0.0,0.0,2.003493840561032,2.9062676315209024,2.612328691275068,2.6356249710344253,3.668236669695157,2.755582830004667,3.1030041644863515,3.759066320415065,2.049186371982233,2.303194002331881,2.927293790454307,2.5062927217604267,2.326006187685571,3.8277109815191754,4.365325929280854,4.882570891353859,5.02383905877057,5.12263928893724,6.100132632952657,4.4926363118004495,5.4998055007455315,5.421662924245725,6.590446483119909,5.231841131959776,6.151379414078031,5.441431108103804,4.144546312562726,4.011607966014864,4.722900642464162,2.944118562926325,3.428666287579862,2.7630292864459873,2.1304765511291404,6.176270378491247,6.4102362925705085,7.247675497274778,8.033830301077352
3C,0.0,0.0,0.0,1.0978933088402756,1.5483096404349683,2.1720447158242226,2.2105745868253703,2.432580990231582,3.277145295842411,3.086117963133973,2.341766172579515,3.277334320332161,2.788152963551619,1.5275391746812987,2.40525069376555,2.453266418586939,2.627097866255511,3.8383837568270214,4.212084349274049,4.4939209482893165,5.528642909358133,4.289892769907774,4.740752951296503,4.313316263164871,5.798754854412302,4.908062212609825,5.748000817235275,5.459421633735118,3.9623039085048117,3.3580400299512974,4.725738403748078,3.4104386703902874,4.292227656450348,3.196247348570296,2.701642439523527,4.8002170343372645,4.751655415280452,6.035876946592825,6.675650926383152
4H,0.0,0.0,0.0,0.0,2.176514780481701,3.055808607253377,2.438307813571658,2.8387536750295435,3.8589419267394365,3.1378424152645596,2.6724779417365903,3.720938353072422,2.6768369122125346,2.163196439922508,3.232387799065202,2.5815581717703,2.3871654953261565,4.012689913135725,4.612947779625364,4.650968885813635,5.707663388796035,4.657510728147781,4.5833120036920265,3.9400860869288965,5.584355975010375,4.778522711988926,5.462213410696684,5.516285517434028,3.803583093694782,2.95552869437803,4.491576691849221,3.6613894283916086,4.608778118640603,3.654437463430376,2.990748984902544,4.703483762215341,4.420610894678452,6.00984132649294,6.535887860345648
5C,0.0,0.0,0.0,0.0,0.0,1.0959852934867917,1.0936972942498957,1.5540920437496184,2.195126520949119,2.204130217570868,2.470029658779012,3.3212425665576526,3.1149688546626533,2.6138509593971344,3.3261345059603036,3.423918707747038,3.4432198460570107,4.7664911834648285,4.894619478055317,5.7021213591823825,6.65490985725138,5.494573383248776,6.141960745137327,5.678238530162958,7.170132953621997,6.429124759141614,7.283837478989123,6.9410260442198375,5.505057804749909,4.885291654074593,6.236106095367866,4.840415170115832,5.635383481821742,4.546651018364748,4.050796968596354,5.5963988723365174,5.4544495649006635,6.80922738475743,7.389509338448366
6H,0.0,0.0,0.0,0.0,0.0,0.0,1.7685079466549978,2.199763781608427,2.3556288993811965,3.0173407439395983,3.0928114111323213,3.706162775630481,3.944867752138985,2.7056855010404064,3.080626310765454,3.6140702013051436,3.851459937949847,4.757021214234025,4.639660104117294,5.718275835510029,6.581799755805102,5.394947413690885,6.410858303723168,6.097617360019385,7.432070046317139,6.744434525854025,7.690620206947841,7.112763212939377,5.939941050850856,5.4714478705887695,6.735223222372069,5.08478426250092,5.798886759645786,4.609063868862658,4.39137852801479,5.7119370503360525,5.7574718861623495,6.80667397165664,7.453671186974997
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2232597990384937,2.860378437547649,2.3984722967315517,3.335236240959025,4.256378151125372,3.7545706127427145,3.1034623862353103,4.016566344653129,3.516323421377644,3.258922809927262,4.843183760300196,4.998511734039477,5.981461459127759,6.886522963283092,5.957584762585922,6.398675075742392,5.80256124920089,7.356011948719641,6.884776140794923,7.684336713039357,7.494473059120295,6.070959552794346,5.322779629655276,6.838147374371277,5.61589689264131,6.487782634078222,5.305466758864628,4.888599327462673,5.39108169764288,5.063985198157111,6.618936750131774,7.0783660589585775
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0935028991777516,1.0937658395998486,1.5572951161058306,2.233661351701686,2.202143043664466,3.811772119212272,4.359794717157165,4.759656209324377,4.750799643470627,6.144374098575363,6.337151455085898,6.89463426184272,7.905961741683966,6.588676614337772,7.149861494809247,6.675877182213652,8.210916767805553,7.158653854510395,7.937936168428938,7.664636524063096,5.979109424483256,5.381171475647507,6.48825093943575,5.235924713977544,5.886634159949084,5.191261818693205,4.252254173941085,7.013321288526904,6.810066768893212,8.25849230789682,8.836964123486958
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7601161063992963,2.207403938882616,2.4080828199151436,3.007503981726115,4.475288503070187,4.8082603562010755,5.514492244514017,5.602795039808096,6.820584531056014,6.864066569611388,7.582094453487962,8.551520679334812,7.176049071894309,7.977728620751889,7.586721492897742,9.051177377839856,7.964916868254218,8.79786951265509,8.36986782344139,6.7983057979489425,6.301756057617103,7.301117584774579,5.883108628104129,6.4268875979784985,5.768406818207385,4.909949244382548,7.764357900699211,7.642859820182116,8.954885784437108,9.568853292329884
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.197514234961533,2.8890976628164307,2.3524826650233153,4.543363194899579,5.263048929545723,5.297267402393963,5.085213452784105,6.733371254547778,7.011954348375717,7.556066020283872,8.579389952908878,7.367939651644541,7.681984781855446,7.0772331803602,8.706993809045148,7.733715373271534,8.422901583870809,8.347144533784338,6.5302483845992985,5.8029744235195,6.978988682360377,5.980256815644128,6.674030713184043,6.022924451170949,4.984896234416752,7.41994841690167,7.042455584083788,8.70903171488309,9.19339116906875
