 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,H18,C19,H20,H21,C22,H23,H24,C25,H26,H27,N28,H29,H30,H31,C32,O33,O34,H35
N1,0.0,1.9919537943157386,2.0006176302486596,3.110252909823864,0.09764680253732638,0.19824504867339182,0.007814906981163161,0.03003108115801001,0.013681067978437933,0.25719644494585703,0.042633716915410444,0.04217349135257936,0.0027037988290747883,0.007160962928979997,0.0005234868017642835,0.0012605173825652044,0.00010174013001484905,2.0377181522035492e-05,0.00033192515065076644,3.900468720363648e-05,8.736378382501186e-06,3.081234881907591e-05,5.438919713496304e-07,8.7296082433852e-06,5.2964494578144894e-05,8.113705570078622e-06,4.958202593052796e-06,0.00040643176040761064,8.350592715200555e-06,0.00042485078802412257,1.1965915708844754e-05,0.0009013801972465874,8.305402827189778e-05,0.0002844112714152358,6.785942631004627e-05
H2,0.0,0.0,0.02787133446175938,0.10873343417300085,0.006179305889715492,0.033501901203314643,0.0006714111962100588,0.002999779252034651,0.0008416692220596378,0.007742410811456879,0.0015110124449757567,0.0006123488305468383,3.803265151502977e-05,0.00017013549572453268,2.398940432990493e-05,3.867372887267351e-05,3.47235773803245e-05,1.1868238356527172e-06,3.848431168185229e-06,6.619725492207351e-07,1.8670778920704123e-06,4.425698486576479e-07,6.440079158842593e-08,3.8049295270070616e-08,9.580615720761188e-07,3.7786002438089383e-07,2.57637857048465e-07,1.1946061947099018e-05,1.6265292335226889e-07,1.8797726288877215e-05,4.115373526403232e-07,1.4730155570519265e-05,1.851369593519614e-06,6.169738841710348e-06,1.9402062525486485e-06
H3,0.0,0.0,0.0,0.1097153548812021,0.03708788108686334,0.01073076995201483,0.0052502573075556835,0.0003919205439713025,0.0001739791572425986,0.01163619703317198,0.02441774705171762,0.0019359051132638028,0.0009047425795765118,0.00030638033504060136,2.2768027308606165e-05,2.064054587258557e-05,4.216537173862278e-06,1.7491070496422623e-06,2.1074484248817527e-06,2.3803484672235697e-07,8.231053976182068e-07,8.562336911710489e-07,1.798399373864612e-07,2.0447681858826172e-07,1.2072298510634738e-05,2.5045997551487176e-06,1.485554822711066e-06,0.00016541335360642506,2.519695726732607e-06,6.800706644161103e-05,4.56409882221287e-06,4.363359770664932e-05,2.4779819249864943e-05,5.368503861014062e-06,1.7489422845518021e-06
C4,0.0,0.0,0.0,0.0,2.0695022417347007,2.83879031582019,0.0844621742242706,0.08939960386305135,0.09982407344430211,2.713181876575694,0.2459217840309761,0.23688079088821895,0.01731502715155031,0.03612398323480978,0.002068540856222656,0.003577894269184534,0.0006769326121167651,9.539116147139204e-05,0.0007515922277046561,8.532067859778891e-05,1.9904670788273293e-05,7.840929077690406e-05,3.1640311264347076e-06,2.0764574249487744e-05,0.0005330216750443761,0.00013598596670283403,2.9169580380905558e-05,0.007387766998792136,8.555510544738798e-05,0.012959016810220936,9.330419812314528e-05,0.003910350976878113,0.0003855219822174738,0.0011691120909056857,0.0002459852779671534
H5,0.0,0.0,0.0,0.0,0.0,0.08146426726884715,0.034075863547420315,0.004275366679666659,0.005058381083192565,0.10506322243342425,0.021277440129328862,0.013058299903573767,0.011294057127018586,0.001833758456663448,0.0002946400760519552,0.0001639346816368903,4.623788159818787e-05,8.827599416338927e-06,3.123307368402273e-05,6.16211298121172e-06,4.038987648113945e-06,5.464850414305111e-06,1.0249850868060406e-06,1.980907153864564e-06,8.54965953352993e-05,1.9366412811194778e-05,9.182986393518888e-06,0.0009070903613034309,1.7329125235221454e-05,0.0005764812405784081,2.6953983230715295e-05,8.318864205980603e-05,0.00014958349930249693,2.9348435192644295e-05,1.0185443749533007e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.1366776962784026,2.1162508594246727,2.083594410049708,0.21211720018668317,0.03641850903572689,0.035262768852640805,0.0008664970327075805,0.00417835210103637,0.0004425901084809114,0.0012743522820421599,0.0003539830110111941,3.396677593592301e-05,0.00011070332729090637,1.0077725892565503e-05,7.848288899103828e-06,9.302128615593097e-06,8.584807258404936e-07,2.6390647501761677e-06,5.5419084309463185e-05,7.69452721804953e-06,6.611062617900565e-06,0.0003487553763878645,1.3661607184523028e-05,0.0004643865410445258,8.131400961675084e-06,0.0006071987420165348,6.071359589909786e-05,0.00023578760714090818,7.31391061666864e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023832387309730363,0.02536803373837304,0.010770705124695912,0.007187578805447292,0.001211107385082455,0.0002624704537397271,0.00012129615179157227,1.6122651334660176e-05,3.4476241882241965e-05,8.984884703133744e-06,2.688865392563855e-06,3.609334216614357e-06,7.466839369030254e-09,1.5018648340525687e-06,9.459276366641234e-07,1.0137599026904809e-07,1.2510208025062752e-07,5.768527278515734e-06,1.1019838128678572e-06,1.3101400320181256e-06,6.602171722702721e-05,1.1169902212060379e-06,4.205741718998901e-05,1.3487299974634936e-06,1.5606329007322728e-05,5.13057164275299e-06,2.792639372195538e-06,2.4996496694740244e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026730642090135648,0.008717587721560838,0.0013296333337868838,0.0023406963415730786,9.83877803957256e-05,0.00015138297707628645,3.1389804616477335e-05,0.00011626073637183154,1.1087186038816199e-05,4.789906000723931e-07,2.5136652373802804e-05,3.844403499542182e-06,9.201535466907274e-08,1.4343240797298762e-06,6.450610556818503e-08,6.447967235700958e-07,1.25270609085959e-06,3.390240908007769e-07,5.337574535690948e-07,1.1715418094970786e-05,2.7524732337802504e-07,1.8652801502927474e-05,3.2271533489947046e-07,1.163742661614009e-05,3.505855782903744e-06,3.992407486386185e-06,9.62431262907515e-07
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03307138008997246,0.006247090444853942,0.004441388842385541,0.00017733145578180398,0.0008095797304148444,2.1728895252648428e-05,0.00013246875028571914,2.781588400124768e-05,3.382497238080262e-06,8.909190262196276e-06,1.1870430183247294e-06,8.28203159830565e-07,9.526573507834257e-07,6.337907998421599e-08,4.429620759083264e-08,5.921546167853009e-06,1.5581155110577782e-06,5.994211262905225e-07,8.346910212297942e-05,3.682875267640995e-06,0.00015765958169433603,1.7873086377573344e-06,0.00015002949466280668,5.684922931625813e-06,5.06250170948519e-05,1.508559627727557e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6402104318771835,3.4779584276160134,0.14462043488342413,0.27556064301629635,0.022856577812308654,0.04016758548438368,0.008920146594020517,0.0006484935812374193,0.004942776273729993,0.00048644598151659224,0.0004351877665451642,0.0005235678299980728,2.9879819289035936e-05,0.00011617388476081736,0.0024800230189137573,0.00048989020086454,0.00020366159608209422,0.0236990495941293,0.000575921997145179,0.03950539561649047,0.0005788335274414802,0.028291840797148304,0.007766834214183754,0.005674314340095049,0.001258599105011693
