 , ,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,H2,H2,H3,H3,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,H5,H5,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,H7,H7,H8,H8,H9,H9,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,O11,O11,O11,O11,O11,O11,O11,O11,O11,O11,O11,O11,O11,O11,N12,N12,N12,N12,N12,N12,N12,N12,N12,N12,N12,N12,N12,N12,H13,H13,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,H15,H15,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,H17,H17,H18,H18,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,H20,H20,H21,H21,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,H23,H23,H24,H24,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,H26,H26,H27,H27,N28,N28,N28,N28,N28,N28,N28,N28,N28,N28,N28,N28,N28,N28,H29,H29,H30,H30,H31,H31,C32,C32,C32,C32,C32,C32,C32,C32,C32,C32,C32,C32,C32,C32,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O34,O34,O34,O34,O34,O34,O34,O34,O34,O34,O34,O34,O34,O34,H35,H35
1N1S,N1,0.0,0.02380759539643651,0.0004745785598692098,0.000478680694875111,0.0009795524584095272,9.529751177939083e-05,0.0012398187881648148,0.0011120550310961264,0.0011876803933459357,9.413855996717735e-06,9.878608469324202e-05,4.895943498736677e-05,1.7240050473696367e-05,4.116335870618659e-05,0.008197349178759694,0.0014225417464777124,0.008139868432839314,0.001366539355150742,0.001214286406210019,0.002166965902932194,0.004107673611186469,0.005243229092054769,0.0007244195092892536,0.0005996194180921677,0.00030326229634214386,0.0004704619845763425,1.1454000470756398e-05,4.010353341279971e-05,0.000681987777391313,2.817469476806833e-06,0.00017959759087957106,1.520134181320909e-05,0.00020314165069512669,1.481771198530435e-05,3.2542451055550536e-05,0.00020556059541876337,0.0001939894339555437,1.2693944963393378e-05,6.81511553026759e-05,4.944946635498937e-06,0.000130662375564361,4.834982143631095e-05,6.331182438912286e-05,3.381444131796141e-05,5.223475973398228e-05,4.780629661610414e-05,1.992391580843411e-06,1.5883159225377197e-05,6.705406091866983e-05,1.1221076356981996e-07,0.00016045465656322477,0.00010648215352038193,7.256969127378277e-05,3.372637158249869e-05,6.358037427933727e-07,2.735382871765779e-06,1.0281338333806289e-05,5.940090961997768e-06,6.600161928105308e-08,4.396011850593684e-05,7.615870482913234e-05,0.00010882101476272776,2.626491356494398e-05,7.193161029123152e-06,1.5852964540596926e-05,5.2666445593541056e-08,1.2276675039668561e-05,2.187535616593461e-06,1.936001795654896e-06,3.194900322522898e-06,2.8643426007057826e-05,1.065743450778811e-05,1.1057248742396553e-05,5.194878025527316e-07,3.5756183613955272e-06,1.2637933032744186e-05,3.0525495353650456e-07,3.9240605956281094e-07,3.6491279119255093e-07,3.0723283124534095e-07,1.407648441142939e-07,3.683505558627065e-07,2.0742528124284565e-07,5.187551951335578e-06,1.8889332764615574e-08,1.3112794199354738e-06,1.0628276145396853e-05,1.356418080522559e-06,1.3480517685016125e-05,2.845357283121075e-10,1.21035567435257e-06,1.485737841366852e-07,1.51098927814175e-06,5.792034204615826e-07,9.98658086226456e-08,2.9094842174393065e-08,7.659589034147984e-07,1.6710879571224524e-06,2.1501640218302143e-08,2.6795550267522117e-07,4.086408411652087e-08,5.294824003687637e-07,5.601396808607717e-07,3.09523801700351e-07,6.499560014638917e-07,9.38206655698437e-07,1.9783600602174545e-07,1.8707673771212185e-08,2.8439547494762962e-08,5.5895045536491494e-09,8.993577244043038e-09,4.3227622037456115e-09,7.640529808838892e-08,3.715883052368696e-07,5.449504045240694e-08,7.78292363889932e-09,3.951250926448324e-08,3.933047221238439e-09,2.622112673655863e-07,3.543508708681031e-08,2.88015089555671e-08,3.998789877002196e-08,3.4724879371950124e-07,6.428788057455392e-12,3.9380521066334495e-10,4.926520080772434e-09,8.858136446576736e-11,3.5515627522242355e-09,1.2185716879997699e-09,2.359930695305934e-09,4.778664797200349e-09,1.236928781622737e-09,2.216436201241123e-09,9.120018074071368e-10,2.010067667868043e-10,5.4332971455295365e-09,4.553912624771783e-08,7.3517165688485875e-09,3.4140219540290673e-09,8.366531911718766e-10,1.2322920461826925e-10,1.366828289439681e-09,6.315772071996406e-10,2.5113661150655275e-09,3.3979472013889733e-10,6.401379148979203e-10,2.087180095422525e-08,8.202908352572535e-09,2.835547574520092e-09,2.894301465161675e-10,1.3189618841558115e-10,3.8835668014769453e-10,1.038320318613728e-09,4.504840944719035e-12,8.925100658530027e-10,4.5818837612898733e-10,2.3837598561726736e-11,8.148892671755448e-10,1.2042769004239062e-09,2.2422579071257331e-10,9.327122407754018e-11,6.2506944065177095e-12,3.3127231513496724e-10,2.1832899377294268e-10,6.548321884736197e-10,1.687761042035163e-11,1.5076828674409626e-13,2.519606745465808e-10,3.4624259015458847e-10,2.9877633700436945e-10,6.920153339251556e-09,5.201519659436826e-09,3.5604483805684595e-09,3.8036240823657863e-13,8.050635047496257e-09,5.0257784600660216e-09,4.4953059052943445e-09,1.235930191523238e-09,3.163003747808091e-10,9.546963053441715e-09,1.296072299483697e-08,1.49214107736384e-09,1.8479442420726855e-08,1.5065800829106024e-09,1.4208665355397443e-09,2.6334161518093424e-09,8.709367647907751e-08,3.2803952021431826e-07,2.4913408336324494e-07,1.0976009656715746e-07,6.293105057064707e-07,3.956296135143589e-08,1.5272676456845602e-08,8.920914451593376e-09,2.9745492069466195e-08,1.1144088013503861e-09,4.329879371711698e-09,2.588592737384765e-08,7.771167237491383e-09,1.0566806957212904e-08,1.7359691462104365e-10,1.2142136185389063e-08,2.527091258475167e-07,5.819977036969348e-07,1.876598432204446e-09,7.450839167866263e-09,6.497568177943336e-09,1.0342471323809832e-09,1.4612266951985475e-10,1.6331374030897905e-09,9.128031663863112e-12,7.433124782352252e-09,1.7022324549920143e-08,8.31702340331475e-09,1.0368236269542308e-09,1.374645064444735e-09,8.442811283426721e-09,1.3625767181224546e-12,1.099688728967152e-09,4.4976433688503903e-10,3.234274653651781e-10,3.6048319884685043e-10,4.648901263948346e-10,1.531385152020448e-08,1.1160175006352802e-09,1.7830095178084093e-09,2.2083999073885252e-09,8.754043490100116e-09,9.29064158938786e-09,2.467721860188732e-11,1.3573572821279356e-10,1.9145601770631515e-11,3.795399550199363e-10,1.6155632942549403e-09,2.9953404062643685e-09,5.6906181988836124e-09,1.3035628132485044e-09,1.311907471546192e-09,5.107610556720488e-09,7.097130660937978e-09,2.285840405846784e-10,6.07909900196546e-09,1.3802832210529914e-09,2.3515023261921897e-11,2.3461159404103427e-10,1.2503265089947035e-10,3.892310362907381e-10,1.633920776455966e-11,1.370338509332214e-09,2.667496001862446e-09
2N1S,N1,0.0,0.0,0.008121096372975867,0.008134657468898077,0.023251105026315333,0.2658071098761563,0.017544821871440686,0.01679114006101079,0.029752495248724475,0.0005547766063522808,0.0017110827475066426,0.0019347842062256149,0.0011836975500727487,0.0017254880730543931,0.11060276149907189,0.16045779258558968,0.11064114148409221,0.15969978963663012,0.0035643554288915524,0.0058805876361938125,0.039537955208794884,0.05572877553558042,0.0083496640041405,0.04133736575874103,0.10169532705222961,0.1347475410391743,0.012040427514873553,0.0023692352559652186,0.03999207783360914,0.0004680287639415859,0.011444441527716398,0.0011739904668699452,0.006317817422229144,8.200985467921029e-05,0.00021841945390144168,0.0029008061205861857,0.006263615815034651,0.00175950870837438,0.0018700199143606433,5.702356582037993e-06,0.0004909900241396592,0.00016675773669838634,0.0006309128903265737,0.0003891143806658004,0.0015531155572192645,0.0005493878128315366,9.636012781033543e-06,0.00023133617091075642,0.0014735896538708992,0.00036598684195210396,0.005286373230287911,0.003857524703481552,0.0014584028786579495,5.150922986540962e-05,3.8213972909595384e-05,3.901443371656654e-05,0.0007713092658203635,0.000333232713517706,0.00010850072251589182,0.00026710199221691155,9.601353328836382e-06,0.00017652158840908427,0.0017002973674822286,7.611867735435318e-05,4.541182056616577e-06,2.8954239468026444e-05,1.9710908727210708e-05,2.410922128603943e-09,7.288500589952562e-06,6.615922771402438e-06,0.0008467454385070461,0.0005090459300061134,0.00018381985128446132,2.8335453507999375e-05,0.001068949284909415,0.001055302590948326,0.00015434383265411356,6.629312282546707e-05,1.5515588813741488e-11,6.0922396591722716e-05,1.807594510516708e-06,4.105170879964426e-05,3.652355026195764e-06,3.637436801096072e-05,4.699020341725202e-07,6.34122007174831e-05,0.00038696117133518726,5.013256788188869e-05,8.55814706595126e-05,6.406797016733634e-05,0.000291763620618557,5.097316555757736e-05,3.369424851529246e-05,6.855899062241377e-06,2.816954191553478e-05,2.3804110649949806e-05,3.0763437971703667e-05,1.7261824951653182e-06,1.688788050735468e-06,4.35152137701067e-06,1.0956417595409107e-07,4.5889717857683365e-05,4.319922252493669e-05,7.358942735180563e-07,7.665722190353108e-06,8.118951067004332e-08,1.7039960127362974e-06,1.0103246983472758e-06,5.396791474820972e-06,7.369091056252941e-06,6.823974032510449e-07,6.645393349158368e-06,2.8422059110688735e-06,1.918980709003648e-06,3.4136427173869777e-07,1.4870302811331726e-06,1.8000574146803672e-06,1.391106508208395e-06,2.034931399874651e-05,1.1533886543624305e-06,1.7933104317080506e-06,2.4761170345222183e-06,1.0720054930857259e-05,4.649285822999616e-08,4.0441554771675214e-08,9.173262902617552e-07,1.0817974516186268e-08,5.213146641036559e-07,3.5781367646592344e-07,4.4699071910514476e-07,4.899931327351226e-07,1.4130946635049213e-08,5.783528500558077e-08,4.227366479092609e-07,9.173942761009357e-08,4.971234814910019e-07,4.2779695812456e-06,4.686739885073621e-11,4.194944835944625e-09,7.292769765854246e-08,5.558090321322595e-07,2.4839540357923795e-07,1.0880558987125255e-07,3.458551778301455e-07,4.686161902967001e-09,1.417244896995129e-07,1.6009585008802674e-06,5.906426561175238e-07,1.782652030435372e-07,4.212988002905149e-08,2.2246116060387067e-10,1.1517498954560779e-08,4.75761874341174e-08,4.999063385469071e-10,5.637475064546038e-08,3.1264297817301667e-09,9.62790736025454e-10,3.248692781454565e-08,3.462622943928295e-08,2.6039606471073284e-08,8.804342144230759e-09,2.7521286583009896e-08,6.269522034862973e-08,5.741598352315691e-08,2.5204570430759077e-08,9.953686763708447e-10,1.0069149514180253e-08,2.931753684265459e-08,9.098959141695673e-09,2.122273823346177e-08,5.095646442576651e-07,8.576597343434855e-08,3.615765016284911e-07,5.273199654709515e-10,3.510346804347364e-07,1.20181398610697e-07,2.9797578182666484e-07,1.6012223480466048e-07,2.8694382425697995e-09,9.210227565059625e-07,1.4050260179754304e-06,1.0462259014687447e-07,1.3282253363833263e-06,2.896970627830342e-07,1.4409418325200818e-07,2.1087946056042028e-07,4.4342892979720716e-07,1.1680082793841251e-05,1.0782224976857435e-05,5.423895196532413e-06,2.923293092482737e-05,2.720012132861882e-06,2.081276392118525e-06,7.887048392163365e-07,5.6782738666605326e-06,1.2781495239977403e-07,2.2296812618449735e-07,1.0577607745254625e-06,3.370452008599756e-07,8.113490346239871e-07,1.1117484266520705e-07,5.093248249821158e-07,4.1711158802471004e-06,1.9055603238005148e-05,4.4121696429755275e-07,5.197571621984309e-07,4.288376720396059e-08,1.6649615508512738e-07,2.651199930703285e-07,1.287898189872294e-06,1.704075924813253e-07,8.622779827938132e-07,3.647607642598416e-07,7.662780676653824e-07,8.722485356216225e-08,1.9695229225291655e-08,4.4583887204296957e-07,5.247653172002487e-07,5.990533846755852e-09,5.118928472214179e-07,1.7490194181846164e-08,1.4763084665858628e-07,7.886541051327356e-07,1.2544468579456236e-06,5.13071847230151e-08,2.801913190353389e-08,9.759095269679108e-07,5.028512832794263e-07,2.6306424372180004e-07,5.6373765655592933e-08,3.078696408920223e-09,1.047888287253329e-08,6.546421782438472e-08,2.680823054657111e-07,3.076963350778783e-09,1.630209967018459e-08,7.695864598922242e-07,6.286286557966037e-08,1.0663919258746546e-07,1.0674128247956105e-11,2.6801357044803353e-07,3.735477260846665e-09,1.825955946443969e-07,4.165916278608961e-09,8.706270371305891e-09,1.4852819196775613e-08,2.3969661810951948e-09,6.624123471965504e-11,2.338988025485378e-08,4.8606447755616955e-09
3N1P+1,N1,0.0,0.0,0.0,0.0010129907963221108,0.01817773045059745,0.010868987173604072,0.2740485776753885,0.0007452776970784392,0.02110038629506139,0.0006816647384351171,0.01360758267552975,0.026219278683057956,0.010070216662201537,0.018749790163700153,0.2381865673974244,0.15277467405926304,0.12886755483387446,0.049835703721971214,0.0074324332187392095,0.04631417499199575,0.07261411490994973,0.11519093584153861,0.02543848189153719,0.01618598414091421,0.0014982085825976377,0.04847822075319552,0.017142485857526424,0.01251373176917947,0.0016214403537853084,0.004342016097875989,0.008611120800534389,0.021102008730575106,0.0006443877735118342,0.00038404433781336067,7.853478858921292e-05,0.0016233523566251407,0.0007558827686096059,0.0005419808705156015,0.003398957061142127,0.00011611382695697614,0.0007873380373832894,5.976461863177462e-07,1.876065806705185e-06,0.0009011252398862801,0.0009671371428319198,0.0024768969093724724,0.00039344174775601815,0.0020214273051433196,0.002046804447798145,2.391462941586653e-05,0.0036182640829349744,0.0013408905834411122,0.0006227257944892983,0.0011349850062716271,0.0002766343736049226,0.005903913899333535,0.0006076620456432202,0.0027811554872885225,0.01028441525368029,0.0006371542270926511,0.0028113231165738384,0.004670043590435213,0.001435056050713257,0.0006969212154788185,0.0028488296682782632,0.0011006636654717905,0.0030869746646795537,0.0007759102234570214,3.0542415084600094e-05,0.0005111437001303898,0.004462198281466545,0.0008670938543158258,1.731379208891326e-06,0.00025593488854402935,0.0013724319885786151,3.208952790290098e-05,2.4056532734739733e-06,3.4877112859987847e-06,0.00015763496734000348,4.6787826208927186e-06,0.0011650623495116363,6.537342947932068e-05,2.937307478156903e-05,0.0009568272187454596,0.0006032581231365519,0.0015542917249335986,0.0009955147030904499,0.00011423485884698437,0.0010135245687661332,2.5520212818541665e-06,7.118335080580351e-05,3.38468915528356e-05,0.00043262399243926275,7.708801061268034e-05,3.0390644434552527e-05,0.0015088851200961706,0.0003455084555867849,0.00012813415110457527,1.0425404965319629e-05,0.00028256278784288824,0.00011435152232230905,0.000308201049215473,0.0004405974478660646,6.254441405673106e-06,2.1659114427308168e-05,3.850497221513649e-05,6.243212539835952e-06,0.00020256783173988602,1.64993484323972e-05,4.033667072000924e-05,1.482981527733962e-05,5.6080234983379995e-05,0.00011985526503632826,4.155103017211559e-07,1.3860229992612716e-06,3.5457072294242664e-05,6.691469681907591e-06,1.6108654010693613e-06,7.833550784042131e-05,1.0091181774196656e-05,1.6812088707851558e-05,2.42770956360161e-06,2.3172068708277038e-08,3.168430848132786e-06,5.83299689926875e-06,1.8235222760010217e-05,2.6013016214632145e-05,2.2551925098923675e-05,1.970580090127072e-05,2.741845501308404e-06,1.6177647976789444e-07,2.1808530155098538e-06,4.4212876693094927e-07,1.311336590203993e-05,6.754952355247923e-06,1.3754581371649977e-06,3.566864492121624e-05,3.333478855616079e-06,2.6897626308475253e-06,1.2345974029770446e-06,4.34467295473695e-06,3.3097393807857145e-06,1.9616905899688675e-07,1.0707156561373665e-07,1.6339799309150749e-06,4.518838943035064e-07,4.327207011378675e-06,2.4572700398906022e-06,1.2722965814226939e-06,8.036088239293804e-08,7.393636147767779e-09,1.1009002598427742e-07,2.4229758865956796e-07,3.774375860743362e-07,8.174804806415636e-07,2.0642323406150354e-08,5.087353720512056e-07,3.176590284148517e-07,5.8716600470631874e-09,1.3324163772310271e-08,2.1253522497488575e-08,1.0868385638129752e-06,1.2587439000011358e-06,4.887927618213439e-07,4.86627969031872e-08,1.339174104941776e-09,1.442098968240657e-06,2.2174356439919052e-07,1.5970776701124123e-08,5.06029278035669e-07,2.8373948612880895e-07,3.109714619142778e-07,1.846013595319107e-07,1.6176183503802122e-08,3.787265923094196e-08,2.3694405104635052e-08,3.4779388524697197e-07,1.2249458114510503e-08,1.4667712400218136e-07,1.6403234504025477e-07,8.822752113335497e-07,8.748572000172317e-08,5.195929015933132e-07,5.462291641222805e-07,3.0383514815213175e-07,2.8900274795518044e-07,1.7533642182598896e-07,3.133349216977166e-06,1.7148336914907247e-06,2.6799671939414793e-06,1.7838198594688492e-05,9.1992286499476e-07,6.7322091252819405e-06,1.0433187647151954e-08,1.604899283247363e-06,1.4036157818253514e-06,4.20045442872663e-09,2.800562541871443e-07,3.7863955704153796e-07,3.7076558867532583e-07,9.776674891881498e-08,1.1622925919496652e-06,6.005474011416823e-07,8.359356606923996e-06,2.5222385144907378e-06,9.733298611536156e-09,1.3484262959551074e-06,3.074784252099505e-05,1.1497815316285909e-05,2.5818841126845626e-05,3.665262562346783e-05,1.1043278150157931e-05,1.2437156002853555e-06,4.734486694246698e-06,2.6312346329770975e-05,1.4935815060290736e-06,1.5741083871700923e-05,1.524962743970626e-05,1.508979002218247e-05,2.0760853072898655e-05,4.977968282027234e-08,4.6619067806119574e-07,3.338145373898982e-06,9.368679729782059e-07,4.716820267702815e-09,6.760364890112669e-08,5.210437074687491e-06,1.2095707546677659e-08,2.001866135081798e-07,1.5499545680253135e-06,2.4807691034745005e-07,5.647034586608868e-07,2.3104479462965344e-07,2.1319464194036186e-08,4.279559959741164e-07,1.2248824086569243e-05,2.442164441784911e-05,3.652044960666956e-06,1.343694591149358e-07,2.0596583993892636e-06,1.9628372620594803e-06,5.586451323758013e-07,3.47540012768377e-07,1.969906435750346e-07,1.2731888081374265e-05,5.153994786510907e-08,5.49579632425079e-06,6.846100175650349e-08,6.381053530457592e-06,1.0086232197004108e-05
4N1P-1,N1,0.0,0.0,0.0,0.0,0.01468239972361074,0.01062544315677627,0.0006810607273677327,0.2791658975777862,0.01781736817019075,0.003125369217581886,0.029699190773597506,0.01935172871580515,0.00021417574018212093,0.016159038793049918,0.07626053440104119,0.028121276545640228,0.23948011584654383,0.15392786418761473,0.008495177168746482,0.05569794810514317,0.11324082491943344,0.13250110995880782,0.026559475893517703,0.019259218438601344,0.050941565220434804,0.01567122653963171,0.022498030596187046,0.01093700187891633,0.00620514767184388,0.020320717276161027,0.0012603003691826764,0.005446343463211267,0.005521565670572048,0.00030397754613131767,3.0988125110376075e-06,0.0013902865183941238,5.571108788515744e-06,6.80475234347e-05,6.956976145078286e-05,0.0006687112269427864,6.0375641527166124e-05,0.0006463424360814152,5.233080352606834e-05,0.001053862131979555,0.0005532749437811013,0.0007240071848531038,0.0007088292116927963,0.0014398472049681477,1.3437291198847845e-05,0.00034395441801882143,0.0015354607585846836,0.0003897218076422959,0.00016467554860088995,0.0011056532204376524,0.0002748762852069486,0.0049037348130891445,0.0015445250922256903,0.0013965544668863572,0.008373969704486672,0.0001137347510558051,0.003416690875695405,0.004126399257560642,0.0012196847701533287,0.0007741477513025785,0.0029703902359303758,4.1940272000662304e-05,0.005480483533570224,0.0007001821097654126,1.159894624791491e-08,2.5028024923656744e-06,0.002123411497388261,0.0007103272924142701,0.0004505780813461868,4.136936301968319e-05,0.001474738406806786,0.00034757468744039954,0.00016935084720293148,5.153517168565713e-09,6.486913117553783e-06,8.359644682420786e-05,0.0004930697650791238,1.2853319864891688e-05,5.285375733032893e-05,0.0019629378457364233,0.0011787512096117503,0.001667353338568489,0.0019510999566692,0.00021522479570101893,0.0024568048133586373,7.753719040204388e-05,3.677316226680105e-05,6.779790599376057e-05,0.0007579151591547983,0.00036809252322678176,2.1991821667732836e-05,0.0015901079317908184,0.0003989838159372816,0.00018648542348431718,9.602196230806825e-06,0.000321923883307651,0.0001785839387675736,0.00029030077370384433,0.0007596610983213736,2.839193112480487e-05,5.0850089546639055e-05,1.4652919690938404e-06,8.34360688939384e-06,0.00022053485751727386,2.0034678830160857e-05,2.556553270660622e-05,3.6917237657974056e-06,0.00011722520510226708,0.00010211516984348634,1.0089251647027453e-05,3.060223217943303e-06,7.672339115760707e-05,2.1103745259321016e-05,1.1360606353427727e-05,0.0001756724610486593,1.286195131378065e-05,2.0360120799978176e-05,6.683830724441009e-06,1.2777477742531573e-06,1.2883135482866237e-05,9.962484529113524e-06,3.282025800266375e-05,2.9101940573150742e-05,3.0484358283233703e-05,3.3995972062328406e-05,6.319948724353708e-07,3.244341724162325e-07,6.093920692507027e-06,7.218208299963891e-07,2.1954931063827843e-05,1.018360082127856e-05,2.0318314066791743e-06,6.553686834553929e-05,2.6082928936688177e-06,5.267964214628051e-06,4.94581387400217e-07,4.343134693662876e-06,8.231457212071192e-06,1.7769446603033145e-07,1.092308777872475e-06,4.5241939665707775e-06,1.2802987734428228e-06,1.0934511886162568e-05,5.649882450331489e-06,3.2243803200771026e-06,5.996057383939046e-08,4.4398043019810984e-09,1.8528529377448422e-08,8.183305149067621e-07,5.941093488281979e-07,8.860458251547243e-07,8.07145674741605e-08,9.984055302503236e-07,4.3996495646680955e-07,5.933651969769471e-08,1.1978862346495589e-11,2.4525567687838645e-07,1.4647518415955574e-06,2.950526666101183e-06,9.806943523926748e-07,5.080315901295762e-08,1.0221803847798583e-08,2.5775466325761442e-06,3.732322193528148e-07,2.9779480659186675e-08,1.7394942215531728e-06,3.4235450252495525e-07,2.511036574226466e-07,1.6676857139685808e-07,3.832552812887968e-07,4.4522523445778006e-08,2.465057935552295e-09,2.578822941856629e-07,3.5423408473178597e-07,2.2127085363976562e-07,1.9003945794793253e-07,7.666655355009766e-08,3.154234651248089e-10,2.0332889594243397e-08,2.021675862273753e-07,5.5078488880866416e-08,3.5659765051931913e-07,2.2977739932983354e-08,1.7500578484153095e-06,3.041992750141276e-06,7.871595841812962e-07,2.7496330146092873e-07,1.1700006306014643e-06,2.3727118048100238e-09,4.774782591532301e-07,1.4335804356946369e-06,5.427229847754234e-07,1.311252069147173e-06,1.6934597601991896e-06,4.785805751694738e-08,1.9578698589040044e-06,6.958233815801407e-07,5.350345464449902e-07,9.818364933078527e-06,2.5802794564988574e-05,4.5075078114464873e-07,2.433175452232206e-07,5.950641679408619e-07,1.0689468805669122e-05,8.094249732693015e-06,2.2691757108894706e-06,3.1370212527193075e-05,2.0484978828783085e-06,1.8460515280871448e-06,7.786251812191836e-06,1.838776292961697e-05,1.1292573007803952e-06,2.0739882376608065e-05,6.331671528192473e-06,2.7771265046272475e-05,2.2787899286669244e-05,3.3875966476415442e-09,3.7523065987699056e-08,4.472463568383489e-07,9.265967446658863e-07,5.585839510935386e-07,3.088368263348684e-07,3.4228247036693915e-07,2.905310197753863e-06,1.1019425447678088e-06,1.2446831956225424e-06,1.4535325387754483e-08,5.660462623069407e-07,1.5700197320001053e-07,6.245072681210218e-07,3.754623492113751e-07,1.1102376083815813e-05,2.0518527370505524e-05,2.4196021000122414e-06,1.2669179625390825e-06,2.095851962646833e-06,1.9400699957650147e-06,1.3300225365497909e-06,3.922987046323101e-07,1.9862348521471063e-07,1.109135288679397e-05,3.1596174565606816e-08,5.067246654721913e-06,5.014363300137603e-07,6.043298007796238e-06,7.560778025883508e-06
