,1N,2H,3H,4C,5H,6C,7H,8H,9H,10C,11O,12N,13H,14C,15H,16C,17H,18H,19C,20H,21H,22C,23H,24H,25C,26H,27H,28N,29H,30H,31H,32C,33O,34O,35H
1N,0.0,1.0183201044488386,1.0186190600755765,1.4549775135953318,2.0717796779910045,2.4490884388664975,2.732675746411985,3.4096217118999386,2.652551839648616,2.497065142542004,2.900821907496455,3.5966965359114202,3.8470466708429853,4.8747390333634435,5.164700569018031,5.273178854955471,4.5566623129592765,5.579588163806606,6.609226457424874,7.251116097424069,7.227521539260647,6.807966065211632,6.526067913065348,7.901300596529693,6.568705351485382,7.420326774530355,6.726303950610443,5.3573490440619125,5.6088828416531396,4.3949178634633945,5.401079211034483,5.978879121769191,6.013201938499205,7.162691759189178,7.855096366485035
2H,0.0,0.0,1.6411454262519944,2.0590398948292252,2.358943005602263,3.3526626248927562,3.6897893756628455,4.212241356283019,3.5782063373163795,2.760739556741385,3.1668965515012815,3.6706784376013193,3.9018722160657258,4.8686319179210145,5.314678289060439,4.993576768170729,4.2021126746129,5.16508707170546,6.353091653485717,6.862621358393792,7.071591360739607,6.611500928379821,6.221704836335207,7.689888980624807,6.5957394204556925,7.469135676423217,6.856691152993967,5.466009520362758,5.878967861036875,4.5283355112870485,5.391710777921534,5.9803525004805715,6.006576407932225,7.174285307106859,7.8640258141103905
3H,0.0,0.0,0.0,2.0411306297548473,2.9272472846002504,2.7018217362573798,2.559544579279999,3.711097898441548,3.023591390252294,2.6770381679539073,2.619538638860983,3.953624819349801,4.414821565008655,5.065109564717006,5.1718643451152415,5.397587576405782,4.591707055912606,5.868019566809211,6.581609218359351,7.275382695657176,7.230885277954816,6.5482116002531665,6.218806226744622,7.62430959280594,6.165574839097794,6.917268937538289,6.4029360363468655,4.8254465362032555,4.972569640413763,3.968543606788055,4.790587945696804,6.322379246364019,6.529812062048715,7.40148350524964,8.171760969189291
4C,0.0,0.0,0.0,0.0,1.0974972284097204,1.5383279600435626,2.177047343260938,2.1939574273357727,2.155004816449689,1.5357235202298216,2.420487824709473,2.464656403464651,2.620065036558964,3.8463996377914094,4.133164143835458,4.601725120724568,4.148209072188534,4.930280005352726,5.9801888365664135,6.717043732782965,6.417011196457518,6.370564452662003,6.32074470186127,7.458445008225959,6.071764681382581,7.00807956559712,6.008997064587166,5.042370495148527,5.287667141379438,3.9873907775616084,5.352801048134443,4.785049999072255,4.764001817815437,5.988369843633135,6.625290890438802
5H,0.0,0.0,0.0,0.0,0.0,2.158847689767414,3.0721813568020613,2.5092548227118616,2.4835265415276053,2.1524077647569713,3.2781945477200334,2.530870594460092,2.258947264432172,3.9849451413133923,4.49679373350637,4.7510372646369765,4.432787461576206,4.846386077965591,6.2336578471967465,6.873726059863875,6.628267369507863,6.855095594581446,6.835126584617765,7.926059261843555,6.731329157266489,7.73030652690967,6.614794971335829,5.854321460435184,6.194644030984817,4.77767376605587,6.182653644009624,4.640718605256291,4.35655986928819,5.93895997310048,6.451754140881895
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0959268004888831,1.095538711757013,1.0929343845517592,2.498765659396966,3.1079876610471726,3.362327766655989,3.4715580193441915,4.61545719674394,4.61853618889999,5.662111174514184,5.324402203254492,6.117462453377975,6.910564272107681,7.7727289799031665,7.186515266440722,7.196396889699584,7.2754843013730355,8.25328153023259,6.602890304488629,7.453637617488925,6.3790518307464055,5.533238669423258,5.5046264995545195,4.558687941054191,5.980474526789893,5.409085702753984,5.376328311835164,6.507015904458137,7.097481491307768
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7776054634557517,1.7764956532500524,2.7496700485728076,2.8961222545791663,3.814399191414386,4.167408600760384,4.87828741377427,4.662909859556785,5.8595965882641945,5.442105831645954,6.47587864401493,6.953183350697141,7.875504075398028,7.24725092426427,7.006511054530367,7.066465426770567,8.040457715477931,6.2290273973890296,6.969181712280698,6.052118582051744,5.041952002005346,4.8477112082748075,4.182172002902567,5.468497140247857,5.84367630507108,6.010863940498169,6.814913536576172,7.491713647142363
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7818435429336845,2.7532587744575046,3.481855586010174,3.2298634251399445,3.2029880385270646,4.363008307252993,4.31844739415607,5.6312328372582146,5.503835354602727,6.073842766321703,6.830705536402265,7.729481735415024,6.942380040370365,7.240847243213633,7.478694055252408,8.254332121282944,6.6172576318190055,7.491754256762309,6.218687625473191,5.7370059584377415,5.6924415321974635,4.777724113803017,6.339305495134855,4.901857206991779,4.802286468576686,5.942388201960872,6.444453878419953
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.446487115805295,4.083995792591937,4.2766995582193505,4.226480656244065,5.607583553703292,5.684094705433,6.612741413749688,6.233720660596194,6.978423660626811,7.920497172512725,8.741104562133879,8.22330899999307,8.227677404637362,8.24865946478763,9.295838145653237,7.663726796461402,8.502548088947957,7.46719787907112,6.543414753983993,6.494634872481482,5.575481711015783,6.91992758100165,6.319638181538685,6.143760927289434,7.467812013738057,8.000690275291985
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.252693674491354,1.3423368022127675,2.0564140996289195,2.466294599775184,2.6836918025297987,3.2140657923063287,2.8292032940036993,3.7425613562945683,4.502273087164452,5.310566415560033,4.926542058020713,4.879325928488001,4.930546948012908,5.957813474412415,4.602074923582944,5.584347301893068,4.527979614960149,3.724573489663993,4.106147046290275,2.645853123458788,4.1502897850685985,3.661619145867335,3.972183006598475,4.744069484469999,5.498258665668507
