,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34H,35H,36S,37C,38H,39H,40H,41C,42O,43O,44H
1N,0.0,1.020425350962175,1.0219267076563032,1.4649239537093164,2.0866046386525055,2.4502762292638054,2.5819693761655444,2.6721267952758967,3.8248742108537725,4.713666260106267,4.8173298037470245,4.826633145815787,5.925999523988353,6.778903289577029,6.009562054211621,5.1819072548665055,4.635611088441842,7.232394198312195,8.14233224030898,6.533832910370167,7.052378923503506,7.436273557348646,8.47671221192417,2.4885009035190557,2.860026825593095,3.6135039989408764,3.8858223245323167,4.8990788904544225,4.988464179387417,5.626058329451229,5.853382678196998,6.634244038302837,5.240294786705133,5.314933653200447,4.341422573460219,6.74963211379277,6.686318023769797,7.689466356249328,6.716655068816686,5.980233405195866,5.956376521165987,6.048739672765101,7.092161961457221,7.757861566372922
2H,0.0,0.0,1.6217384653320883,2.042857703165507,2.3308117566247657,3.3419118490795854,3.490758844091697,3.6361594773208705,4.5946303746280455,5.395924823828496,5.442680086741231,5.553907083817335,6.5783233992024925,7.388591329507096,6.6852168816953235,5.881718475631157,5.333077792671806,7.878718218694352,8.765873516062204,7.1841171192618996,7.669110132939444,8.075989244528724,9.093859460277901,2.7452898829788324,3.1254599907921174,3.6751451420390846,3.973430038904435,4.9308706456854265,5.146631908771452,5.388404156729461,5.509096260590328,6.4401611937602095,4.858766521751336,5.067945229938929,3.8523899319028443,6.186867326700497,6.040052060113385,6.9895171445410735,6.187898915617792,5.24375205632844,6.078753505053506,6.194195830481048,7.23530259349169,7.934681699680163
3H,0.0,0.0,0.0,2.0166940787863745,2.9100386549370394,2.7362650394379435,3.0307742756710616,2.5360171550305566,4.135701748067434,5.220142526953224,5.473834701761204,4.926135999819402,6.350379715161818,7.269362241296767,6.234408999496631,5.014520117181878,4.287448081069657,7.365516862584903,8.344651710404248,6.338203903974776,6.719778735622425,7.38828219145553,8.393145548891118,2.5546821911621795,2.4568083470899724,3.8582114051075904,4.341763212872871,4.952015713952915,4.827917844806031,5.666008542768799,6.06763160803429,6.602338944771214,5.122391571116497,4.992946745441121,4.303728547383465,6.654889828309535,6.436814321936208,7.460483054448121,6.308241624906187,5.78929288702312,6.128791011404813,6.398931311054411,7.13926810724007,7.8736282019188994
4C,0.0,0.0,0.0,0.0,1.0973963872797643,1.552894140357942,2.1349880601990505,2.1558758342565802,2.583215249773884,3.482911859559702,3.7574712135960264,3.5408723643667885,4.59282458085534,5.456090044240905,4.645729990607185,4.050234825557745,3.725368635485945,5.862255600786933,6.745353790004362,5.372309680887137,6.009715185518743,6.1447778644232915,7.192147137892188,1.5384145865765337,2.412919192712715,2.4681993040741483,2.590376895098955,3.827610854699234,4.010046195443235,4.813097120721084,5.023141374630457,5.783852569584005,4.814243146694915,4.95512932026986,4.08147131961601,6.480775735643262,6.804697000370173,7.846008054592112,6.867200823210056,6.262392477196363,4.674063182342932,4.6715592316254915,5.851023579511529,6.43926208681889
5H,0.0,0.0,0.0,0.0,0.0,2.1653646382044993,2.4701720030829772,3.0551817240051746,2.81368362648281,3.295661521741924,3.347155020676578,3.897306222792001,4.425398336798666,5.155988923106527,4.737210072091094,4.653516455309379,4.53089213379003,5.995711083530186,6.759017255836336,5.902388299548625,6.640440364535914,6.474499877493481,7.518027455799982,2.1723907551634962,3.273612172723268,2.5479418181772577,2.2845256734740347,4.0005791863294515,4.449126108803441,4.890755703754988,4.8599843513400796,5.902535712988832,5.060639208007084,5.4175829946714105,4.291861342314263,6.608376018087042,7.080683864653378,8.070449871284707,7.302077798380961,6.500768687657051,4.647399286193426,4.4044736902270785,5.934565851770376,6.426159227344924
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.095482155830255,1.0981467524219652,1.5037457340280318,2.568927123627068,2.976077603938193,2.64689832688387,3.7171829026022207,4.635297471407667,3.7779414250274685,3.3453775111460047,3.169267685349853,5.061815695657854,5.949949070505959,4.7149762662613055,5.451420490555418,5.4201790697283405,6.500073641563327,2.530916204961632,3.154647294419957,3.386009581031406,3.368279350062317,4.556429523263142,4.536709795001547,5.825677168571684,6.133373763057047,6.6694826709307256,5.99997172910928,5.980496693115435,5.416304580845592,7.764742136052456,8.135028299942974,9.203956044878687,8.077201000769422,7.665134981917576,5.105067854621759,5.007938285047994,6.169778089517781,6.638645010521794
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7586689547864829,2.1507833104901817,2.7614099786838846,2.791757775019376,3.47790343564395,4.068903144013641,4.872233887369573,4.41870013543377,4.312224073548907,4.1712022694061295,5.766340430554568,6.565940856406564,5.656980118349441,6.425333172561505,6.265813477721777,7.3489800989987994,3.4504994046005097,4.084159270223323,4.295489318767276,4.153534116052103,5.5595191344567265,5.606605428287002,6.768097151583319,6.98408111468638,7.660276005684157,6.887952949390376,6.919962438190662,6.202518798894091,8.597763555201102,8.87675574723331,9.925382660543912,8.859871626007656,8.307633232201107,6.0712668378844965,5.846147797223753,7.184084874891204,7.60569047812249
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.144249030848586,3.3873811171791535,3.9159677456884725,2.832031092106747,4.362133697772916,5.3298139495407995,4.141753182092051,3.1027706723921744,2.650472990601929,5.279380597210719,6.253430240443746,4.475830792953516,5.05317543964193,5.391502325986977,6.432675844659825,2.7478605074805973,2.9233213628094536,3.82397808458509,4.050760021594427,4.7996500714357495,4.528476025865412,6.065613041286921,6.544264201856831,6.838248337171497,6.0899396461062665,5.873604501774146,5.570891958114844,7.881729884091853,8.108130911756739,9.19324080404717,7.904840130633559,7.684461323388098,5.4798538193324315,5.588011923934149,6.393347159811486,6.9344696651353965
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3747717783375102,2.2249979357359218,1.4460315109455362,2.261385036918746,3.2271748065587706,2.3114224665301433,2.626674414614579,2.9636529084718526,3.653018234785739,4.4810242225034616,3.8236835167161836,4.749472035003578,4.220645317571061,5.306003409221038,3.0774237725894045,3.8319660569106864,3.4032848992145888,3.13136705872965,4.342704575782311,4.381124448343686,5.789281803951513,6.0566935230952605,6.497838274100165,6.326580359905726,6.351924801131102,5.935693802586907,8.110301433901201,8.77409625898904,9.838197512172433,8.742858420833889,8.435934503187534,4.435109407397156,4.152016193161979,5.428115204328123,5.714876741590174
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082360037908013,2.2544923449023417,1.3822399009336834,2.1297585514565696,2.2512309979096785,3.6488989702305807,4.211868204695679,3.624649244982523,4.1648042694229215,4.595080656636069,5.628553504804273,4.585843044093632,5.614438689925872,4.137494084614565,5.060671240459691,4.164474785252674,3.574962410229956,5.108547405429993,5.347971235460171,6.508747600299718,6.584693966177266,7.205345934541292,7.221449885482471,7.392207172259417,6.820409570506906,8.927774847043498,9.725901015749134,10.758330633242117,9.802104290256649,9.363874672414562,4.878876061221951,4.258014682396843,5.904469719072294,5.992403765402842
