 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,H34,H35,S36,C37,H38,H39,H40,C41,O42,O43,H44
N1,0.0,1.924223235725312,1.7271555832023027,2.9068545737543054,0.08858180403463345,0.20242275602897397,0.01867410742564024,0.008115505501154474,0.03264487271157447,0.006887849646860955,8.244140985658177e-05,0.0039956648424126495,0.0019370397492300545,8.273941262426643e-05,0.0010884762583266289,0.00038873312536251425,0.00010310240399147297,0.00021069099910506206,3.416503238873325e-05,0.00021886517043166742,8.644450855133101e-07,0.0001540644957009618,7.584029537710535e-07,0.22635880957896456,0.05261345251316619,0.03586024029781812,0.0025800172692482803,0.006181008016492892,0.0005189858919361079,0.0013730669889121944,3.22921740083526e-05,0.0002810131291782758,0.00018854031695432483,2.872879444604237e-05,0.00011340034739626415,6.2160479585599e-05,9.95601717851402e-06,2.1551871287606161e-07,2.7004383928996845e-07,9.691154203572694e-07,0.0005607077410510197,0.00010395695379147862,0.0001589812990953482,3.248085905727116e-05
H2,0.0,0.0,0.02718335420587903,0.10823655282769629,0.007190085516396216,0.03227674262891267,0.0008753769193377003,0.0007983069636976481,0.004365171020338954,0.0012139074024378749,2.049274278381752e-05,0.0005310686701593959,0.0003303800690692693,3.289268490314079e-05,0.00014799705472279268,5.3736585567731865e-05,6.610443250343323e-06,3.636056405087462e-05,7.216322472469727e-06,3.605855914845524e-05,7.259655898650408e-08,1.723055278346486e-05,3.9813158991819364e-08,0.007600116973944804,0.0021059744613751707,0.0005808058402403393,4.911930407391907e-05,0.0001782225527431347,1.979308574395766e-05,4.3826760788290287e-05,1.0529540355186384e-06,1.8512169509321552e-05,6.998352475939829e-05,6.674457763367059e-06,0.0001434520383623017,4.413128869451555e-05,2.0005658215582756e-06,2.812167034793589e-07,3.270807189537095e-07,2.759939385699184e-06,1.6290360509652047e-05,2.604703027153654e-06,5.604552129279128e-06,1.3587957523597538e-06
H3,0.0,0.0,0.0,0.11066882089681107,0.03623280351480496,0.008590795811338703,0.00021820886363976832,0.005118814962526752,0.000748666667762854,0.0003407997378715999,1.7242042017251435e-05,8.05923426046018e-05,5.7607263636239026e-05,1.0901111751726589e-05,2.3578400835111424e-05,2.4117893581365735e-05,1.7396381108980563e-06,3.6916312743384694e-06,3.8440961880326086e-07,3.816000024858823e-06,1.3023396538969223e-07,9.188985835462127e-06,7.126545598090672e-08,0.019860323738996377,0.04800431718909448,0.003493481005847121,0.0007576349866185161,0.0004969863607272584,7.160561252939068e-05,3.235635197251785e-05,6.176856580664136e-06,1.6425328950298024e-06,3.3999778558446714e-05,1.051854200384561e-05,9.141834863557463e-06,1.2660464119074177e-05,8.526164253508384e-07,2.1940451899737923e-08,1.2741349331157892e-07,1.241367295623519e-07,6.747763387848771e-05,3.9901624739435704e-05,7.8082359469267e-06,2.115176309214206e-06
C4,0.0,0.0,0.0,0.0,1.6913478028273694,2.600581090055679,0.09055151955349516,0.0816733960184457,0.1713784875304437,0.049517352825826866,0.0002788114255425356,0.01890792048846343,0.013043125433110564,0.0002141709316360041,0.004416682139235795,0.0019761515627039483,0.0006112159943949536,0.0006761925496940047,4.27000329166205e-05,0.0015625161573638857,3.1197324001919213e-06,0.0008809411740706152,4.572010245285085e-06,2.710176771638117,0.2827113516085552,0.23723686172445121,0.017400797500604193,0.03627183116787844,0.004644356084405943,0.0035899598525139798,0.00015545044101550332,0.0008974833727093401,0.0011664344187695963,0.00047246627620900483,0.0004227711483433261,0.0002885613579115265,2.572205531616023e-05,1.311918964574943e-06,8.615150444146735e-07,2.416315596498464e-06,0.0034349680308998765,0.0004458770891185154,0.0010367682730780536,0.0002143763618046579
H5,0.0,0.0,0.0,0.0,0.0,0.07672238802340492,0.005280887474585105,0.03395259533618056,0.008750767499566159,0.0031156566011218967,0.00017126608520245945,0.0003863934091721255,0.000485302394457765,3.0162070707717703e-05,0.00043644710972268186,0.00031130351054575733,0.000125385124289501,4.365738727751811e-05,8.573739123107771e-07,4.778915008341045e-05,2.1450513794096793e-06,0.00015772207008657446,3.602244957878753e-07,0.09327286456530648,0.022984072647143083,0.012393857964688948,0.009940824985532615,0.0019338662649182048,0.00034676203643901893,6.720700410922653e-05,1.5579194764914206e-05,1.4614002627810763e-05,8.675640334065982e-05,3.614132620044508e-05,2.9211995207223396e-05,3.2181706762113294e-05,1.4153472642775e-06,1.1508340946875251e-07,2.8509739857796035e-07,2.493185506935447e-07,0.00010896354812617304,0.00011427534604835365,3.740266761897981e-05,1.381303830449987e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.021392441591619,1.7157878101557458,2.8095485782747676,0.25862325065585523,0.006258986228826036,0.1903580725509019,0.04997049989985437,0.0025544285568942504,0.03411336455778097,0.014948237065308678,0.0031705571057150106,0.005064566420047517,0.0010686332598348613,0.003952808999094337,0.0001471310244642865,0.002179700396306772,6.285871876099414e-05,0.18098900336579907,0.03710832593945765,0.030381838736425013,0.0011401648847437773,0.0036928956855097894,0.0002744733000781263,0.0007246720600408152,3.2605028872367825e-05,4.8356800775306574e-05,0.00026949489119623693,1.8881203515119793e-05,0.00027473628087726354,5.036710018613971e-05,7.856138917045064e-06,4.605492829323765e-07,1.0430736496758186e-07,7.955912899593187e-07,0.0008319544407139057,9.524582649694802e-05,0.0002448285451378679,8.800729414126796e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024084726032896686,0.10530390644402354,0.017469608358515742,0.0022301040868453192,0.02333180739634666,0.0028444336416812988,8.961887556679926e-05,0.0030588984412784903,0.0012470876516608165,7.411813203050954e-05,0.0006633796114698942,0.00010071851215465166,0.0006094959782920739,1.7341685292882048e-05,0.0002113024237746508,3.443465319996619e-06,0.029181409944253778,0.0059023993282758536,0.0034600224655698675,5.047786344780647e-05,0.0007268838878524697,4.210606285726115e-05,4.5074384773968745e-05,5.342787740447719e-06,9.312899433622235e-06,1.6930447432783602e-05,1.4373491734609445e-06,7.94399313286398e-06,4.024950831627017e-06,2.8747597091705046e-07,2.2504550667434842e-08,1.7996819590138102e-09,1.2539947036316335e-07,0.00015015430985831912,1.0052253915482368e-05,4.61262995813394e-05,1.0951266483871791e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1044253534787305,0.03102814015888722,0.00018348492751552037,0.011162502548279996,0.005232061160859169,0.0006243527295588525,0.0015661896929841657,0.0037850115846214116,0.003582024303289577,0.0004508095909305787,4.724767757036119e-05,0.0008322331600711941,5.0135938227446886e-05,0.0005914112297056295,2.3732454353275756e-05,0.010885094804280682,0.007804829166485949,0.00138493381345417,0.0005789078616238452,0.00012839026203015358,5.0963568062334375e-05,1.5713263633032604e-05,1.2349194868921387e-06,4.290580646326703e-06,1.494320548056649e-05,4.37322013158159e-06,4.1305037807859435e-06,9.214628808651426e-06,2.3321542974574783e-07,6.042461242472541e-08,6.209305669635512e-08,8.313144506111314e-08,1.4589357761218835e-05,8.230629182648386e-06,2.8826425141348366e-06,9.589894105488384e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.003134694984031,0.11705203435470457,3.156090857805869,0.4932911522356241,0.025572311330422703,0.3415137445409329,0.22767937257314932,0.008038426600822435,0.03909845118258548,0.003780910494198375,0.07167888671933559,0.002908759927940041,0.025249503437627885,0.00036036790949078856,0.014533549630015574,0.0032385950830592924,0.009219046688125454,0.007773873213205884,0.0007891960926590946,0.0002535964000679458,0.0003307659265693319,5.992896223494526e-06,2.6307737764907912e-05,5.211496620954881e-05,4.408480044126861e-06,3.307756047510324e-05,1.83181330934562e-05,2.6248368080183937e-06,9.306398096597945e-08,9.629103403518968e-08,3.0990068755620825e-07,0.00032974751877909436,0.0004635179452223831,0.00010054301630903206,5.102342524820891e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.096276076900776,0.39688450880676984,3.3175863218106496,0.11095695709633502,0.45762673719138647,0.11105706711158728,0.0008312552311824373,0.07476357971236389,0.0006821203770110973,0.03053608083269585,0.0009653749244975529,0.07839340796177172,0.0009058208207779472,0.0031729552662925486,0.0014105404462341348,0.002052176096423247,0.004346218408569857,0.0005958327755305193,8.78612656520783e-05,0.00017133390969487072,1.579905234638801e-06,1.284347308772027e-05,1.250756545559395e-05,1.899572639407765e-06,3.0878462486949587e-06,6.714307177191348e-06,1.4603459042722422e-06,7.482715203011026e-08,3.533972692260079e-08,4.651400753452606e-08,0.0003661241751303501,0.00043487400821197453,6.163168765734028e-05,7.115406008717517e-05
