 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,C27,H28,C29,H30,C31,H32,C33,H34,C35,H36,C37,O38,O39,H40
N1,0.0,1.6270100462376316,1.643515396379267,2.914004142819,0.0859315623673862,0.2173524353726876,0.018210536419081436,0.009121668933962934,0.03557405271472175,0.002491218081102531,0.0006824074846206729,0.0033236364639055715,0.0022388093039950735,0.0010854472395209064,5.192933784514686e-05,3.870576578535179e-05,0.2146369432662057,0.05306632104169958,0.033562888805287794,0.002276944064774633,0.006907234939162815,0.00023971274516276786,0.0011925153749469813,3.8247292608595274e-05,3.899379277028103e-05,0.00036606488431098483,0.00010781255140687729,3.837648607230015e-06,8.839451133092757e-05,6.9662441326556745e-06,1.778061315524382e-05,2.240561173261213e-06,1.546225733504991e-05,8.905213408905155e-07,5.2143259243714324e-05,4.3312037178999674e-08,0.000882913028790927,0.0001484647110603643,7.336896790954839e-05,5.803304237828044e-06
H2,0.0,0.0,0.02732894749396486,0.10831192388797206,0.00860722110788803,0.03225349977020242,0.0007379234259610179,0.0009460369984033434,0.004583448903668019,0.0007647843518197028,6.6776302867666e-05,0.0002276789515217592,0.00018940474478490454,8.768826758087656e-05,1.1789953453522628e-05,1.5941772814276334e-05,0.006574517499386423,0.0024477842082610834,0.000393461256765093,2.5092611218413552e-05,0.0001420322240548444,1.3865592343176303e-06,1.0414375456346825e-05,1.179027785180864e-06,5.780585670134286e-07,3.263025520672258e-06,1.3567188202889824e-06,3.497837952615157e-08,1.3813398629380913e-06,2.32596129023932e-08,1.6205908925925883e-07,6.030439481108374e-09,1.9690756769552564e-07,9.643429166317219e-09,8.421652969436977e-07,4.071987191878179e-11,3.604085658437395e-05,2.0842511150864773e-05,5.240397808248254e-06,1.1172142242443783e-06
H3,0.0,0.0,0.0,0.10369963777425384,0.03385114772184594,0.00770013650474155,0.00018621972057064617,0.004374385230035749,0.00048417958924051874,7.029787169554602e-05,2.1550015108395826e-05,0.0007787155433101045,0.0004704324771190871,6.617417704934958e-05,6.408405514024551e-06,1.424433614904963e-05,0.023424839764218386,0.06023145404785224,0.004126796782577435,0.0003771714990594699,0.00047895910206818826,2.572458419591861e-05,0.000103750903422406,6.170514304848496e-06,9.067162161313647e-06,1.5939053732316744e-05,4.77109819962962e-06,1.975216941119129e-07,4.206823671970561e-06,2.692505274293211e-07,9.058361734037845e-07,9.645092435839331e-08,9.294489581312959e-07,5.494277899309452e-08,2.234399933853659e-06,2.513652175295533e-09,0.00010599007959466444,3.921434303788551e-05,2.189782720996014e-05,4.2629187402276614e-07
C4,0.0,0.0,0.0,0.0,1.892411460334166,2.381164018723272,0.09336011805058853,0.08490594788944517,0.14243426721067506,0.026527673437064525,0.005888125236547692,0.0193177008918263,0.02000826524649714,0.004201100602294505,0.0002441450939646428,0.00011596295251714572,2.6464186706475994,0.271949435196459,0.2236613562276855,0.014716152688338369,0.035946866066132704,0.002011992260690043,0.004234021409508182,0.00015585864057610088,9.432657275132428e-05,0.0013302558003154275,0.00035006102717416443,8.51888652575461e-06,0.00023021140372930793,1.9723003389371385e-05,5.2614977668091756e-05,5.370476523935963e-06,4.001151395849334e-05,3.215793235700204e-06,0.00012068865635991854,1.5508368389482996e-07,0.005472264880020783,0.001412292779683355,0.0008650766893824047,7.360836447334318e-05
H5,0.0,0.0,0.0,0.0,0.0,0.08256568388823848,0.005400976117856615,0.03475435318094933,0.0052470428135366065,0.0002812150318447504,6.805638987450457e-05,0.010479042814953266,0.02146319307067146,0.0014721997466214942,8.845423311809597e-06,4.9733627928372215e-05,0.09504778917926049,0.023508825451858617,0.011329149157330964,0.005868782382380644,0.0015670371042675324,3.3168634642866124e-05,6.077308376728485e-05,1.3332287066569748e-05,1.3469614661421048e-06,1.5462245832820187e-05,5.179456381565473e-06,4.291432720293642e-08,6.982184835191418e-06,1.5513141593537227e-07,6.757836390480776e-07,4.3894381906994795e-08,1.2571770282576722e-06,5.944284553471846e-08,2.666081759583605e-06,1.2087700174134852e-08,0.00048258604966222585,3.0417570326957133e-05,7.971857235145041e-05,2.335165990197119e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.041495480044013,1.934971730818345,2.7681373344072564,0.09135688452802282,0.08515841345756447,0.18091686466386933,0.03729616665139497,0.030331125224107636,0.0005694676022648393,0.0020889210696292126,0.1817361958517987,0.03638875904844038,0.02742231365251628,0.0004826249589153786,0.003171851072264309,0.0005416146005577938,0.0003237947456154744,4.3909632633898354e-05,1.4847766760528458e-05,7.424466037378452e-05,2.2940195154835807e-05,4.1966730490727855e-07,2.0785431421838085e-05,1.6541109995049652e-06,4.50419693590054e-06,2.2068110583362e-07,4.81745547628587e-06,3.86263743434867e-07,6.668290753519823e-06,1.4349194721319236e-08,0.0015236809340481161,0.0015594385503742147,0.0002666774510281661,4.204050150513616e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02360368917265232,0.08388607930951575,0.005128119572936907,0.03193627397732901,0.007171627564361627,0.0006983838225060879,0.002131409396614936,4.010487944916541e-05,0.00020183962471276296,0.028966760884354903,0.005452979050552198,0.003020552115450381,7.700156834156147e-05,0.0005694957530750777,5.270691923087156e-05,6.88271473658908e-05,3.235788125222072e-06,6.563508842205579e-06,2.366990059732288e-05,7.237271876237017e-06,2.473989439977231e-07,4.270486253066252e-06,2.873370248401841e-07,8.305554539678184e-07,6.68880300036534e-08,8.804570554854507e-07,1.1544318789802333e-07,2.3416970206247e-06,4.09443501325768e-09,0.0002536860398540952,0.0004211195450094518,3.812695462235283e-05,6.392383532283219e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09249605972137931,0.0049524410925561035,0.0055715320154761105,0.028115683311115802,0.004259260331212045,0.003604558277657599,3.84299477664829e-05,0.0008227530969624475,0.00985192579742522,0.005379338272008316,0.0011945927777852194,2.6880570968002004e-05,0.00011891208719272406,8.30618147684703e-06,2.0628736997041486e-05,1.84519212553802e-06,2.7435072504911062e-06,6.488205510191136e-06,1.4140085542457825e-06,1.0202167222139735e-07,7.850226493300028e-07,2.557458698149162e-07,3.228122951171031e-07,4.195846625698607e-08,2.636453182436327e-07,3.668263337530675e-08,2.1740600508746155e-07,5.207789754990699e-10,5.064429050860575e-05,9.744747200512993e-05,1.2228233387978626e-05,1.5622014541971652e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.705889353737214,1.9716489772348529,2.7083661683959885,0.28180444877631605,0.23326967089123604,0.01667469960714929,0.043865436861273865,0.015679724621911334,0.0031836806053332015,0.014124891339152845,0.003889111682324642,0.0013610917246373588,0.0004959307790971534,0.00015035478568004024,4.3582339228409595e-05,6.190591077659402e-05,1.808121041066424e-05,8.067393903674058e-06,1.5686976317930146e-06,8.439394063058936e-06,1.6422531174953292e-06,4.000218627897567e-06,5.634796895748195e-08,5.190798452223144e-06,8.857912781046196e-08,1.095632755104825e-06,1.1539556421524821e-08,0.004104568656699337,0.019139450723370505,0.0016698119332458072,0.00019322369105712056
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027123943371311965,0.10024749553314227,0.023786859054260923,0.012836691918601817,0.009438311949723666,0.0016511214609309377,0.0016055114604114351,0.0006488856281191557,0.0009620080655436958,0.00024819274968468363,0.00010855713690705038,3.450584557196379e-05,1.239232984873162e-05,1.5908240642570348e-06,4.112519856658281e-06,3.010687947835322e-06,9.91129560423687e-07,8.475577262245793e-08,7.306884151070392e-07,7.844144755964066e-08,3.597952655809422e-07,1.6673793012955684e-08,3.0925422467298347e-07,6.179166511799394e-09,3.339650824774054e-07,4.0618508556633515e-10,0.00011864672117645192,0.00026361856913836856,1.3683958836496757e-05,1.1078287063925885e-05
