,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27C,28H,29C,30H,31C,32H,33C,34H,35C,36H,37C,38O,39O,40H
1N,0.0,1.0202277721455528,1.0224932030490728,1.465265726397493,2.0886241065560296,2.436844240172449,2.5879251592881967,2.6555743203200133,3.8707552726932697,4.5971133594002564,4.239632164885904,4.463944374243479,4.553116937017674,5.397985161934589,5.68417492075981,6.019879244619662,2.4900236843419874,2.820220271645771,3.6569176605491944,3.9247933612106207,4.89669320126883,5.021339745237645,6.07956020335851,6.016994253673619,6.228691062646912,7.415389172129416,8.336929922159062,8.201435457646797,7.9746762242888085,7.5342256001364785,9.599681096322144,10.365562744346754,9.28451872856958,9.841144274607306,10.028924694269497,11.065475161508287,5.408236988501557,5.51070709109494,6.2359494576376315,6.7376608510920954
2H,0.0,0.0,1.6174334917265143,2.0373716842850813,2.298144715544535,3.3202670069862887,3.465814088545732,3.6314537870624544,4.6379409848487265,5.4609925410034075,4.941568389966438,5.018609953586889,4.877727188440213,5.983457428231542,6.384161339591652,6.487854142646191,2.77474883823412,3.084349886644238,3.79137009587926,4.101988238801732,4.985263376340661,4.948318405891807,6.099775903988394,5.879882967838583,6.378371935491547,7.410298608343175,8.460125504254663,8.440573618305999,7.81471564246787,7.248920207336321,9.69193385977701,10.53133577901469,9.131222838652157,9.59728552460261,9.99556175981636,11.024724426036313,5.729365249261656,6.0160959224545145,6.48628191516891,7.09868871547305
3H,0.0,0.0,0.0,2.0133444415773507,2.8986865823671293,2.7671444913430236,3.102171875623285,2.576463848106803,4.1950403774936005,4.845194532998958,4.390176351344333,5.047622779248655,5.194404607463586,6.046413146386683,6.2628357719181444,6.755911393455089,2.5148643891866795,2.3766486554407322,3.844177437758656,4.321682962185788,4.8796959760435925,4.89544312822724,6.2277414592364275,6.291387412384284,6.455408074231025,7.447895745936537,8.328596881724723,8.223867473898927,7.963754925564786,7.554727106305205,9.526886537565883,10.275877314423198,9.207257716270782,9.743183124101256,9.926563968141595,10.928518615244293,5.189737018296581,5.331694601418214,5.849339738871618,6.2861892191551085
4C,0.0,0.0,0.0,0.0,1.0947615644819644,1.5470108849541706,2.138512027851671,2.1557751101967426,2.637885361576968,3.547603563303391,2.9256057291235464,3.150325924328434,3.1844838396427346,4.250514738183104,4.660090811291677,4.891401120080176,1.5424932216035019,2.4224472115317126,2.463167671904147,2.562122524781023,3.8189253772570306,4.204466475949972,4.874821810464324,4.888181934140907,4.882256411988262,6.275802081811398,7.113541121848132,6.892893314738301,7.002141575974047,6.688830421504416,8.428969940809647,9.153164324060358,8.333386494730952,8.996462576883943,8.974490539208801,10.034419319371391,4.342547468894793,4.341145953971393,5.370591101926058,5.8775381281629615
5H,0.0,0.0,0.0,0.0,0.0,2.164333809004998,2.4713806437720183,3.056110525763713,2.889776851204724,3.864344292151568,3.295552738160678,2.8313813645291597,2.5948214166671484,3.8598582784727706,4.440006220812653,4.308085282101911,2.1667410973525536,3.25045293429582,2.5657056787723045,2.3219586572379765,4.014044131796261,4.452546838290052,4.773083316748528,4.583014610269271,4.721163193956534,6.2529273779260715,7.152923655898476,6.943528837201831,6.9687459545171855,6.603174867346175,8.501161615417933,9.25462762545402,8.345009704380537,8.998505722015942,9.032344698743684,10.111251652029027,4.806083596909556,4.8397913808595865,5.918992520488913,6.506335461164644
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0962001242175154,1.097628156601773,1.5479553469277434,2.1603966035429747,2.1853117313157724,2.5623889979172425,3.188584865272719,3.443188764047736,3.5687142615495935,4.294370436685481,2.5379672294027316,3.245259666279858,3.2956032542991167,3.1871383684583345,4.51658520609064,5.127395024533102,5.504468927873849,5.728001834983112,5.245362215862482,6.8710672488703235,7.452681441454453,7.018048948952877,7.8081432819124075,7.678797396730307,8.784705272462263,9.360704152326418,9.087219685507572,9.862685427024687,9.52712751257408,10.57564503305707,4.6026812123343674,4.183738034302474,5.712966747706182,5.994314580743269
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7609906293912456,2.1856601020717283,2.4883366568801777,3.090540317008358,2.8550888162461363,3.6006745268874183,3.3560574374627334,3.3311441486765823,4.149085552688698,3.4628235121192086,4.166450918425655,4.224896462965177,3.9971267982913044,5.5283213329262155,6.115821821370279,6.440193435750515,6.562075010644163,6.138433042742437,7.85366377935747,8.453396498711856,7.993970294563399,8.780889918803732,8.60280641345661,9.804461560377774,10.376090422139718,10.087175208631486,10.849082489078516,10.552732700760599,11.610472888955982,5.691804101833381,5.248495741942387,6.806793427137715,7.083997117894086
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1512588254006006,2.4416265113443374,2.4820449240850704,3.481647613816847,4.151486285405797,4.321891234464456,4.2875362773667876,5.241743405078284,2.7670643511335253,3.0567127448268967,3.737636418749832,3.870140221642002,4.752237629049172,5.2737954649372005,5.923478766788704,6.2817144398525375,5.736490005523896,7.169392131332042,7.680715266266183,7.25140645538561,8.081753124372627,7.993636203764056,8.947020004488047,9.483718501645583,9.292574708894351,10.05913631425721,9.685177251134203,10.697795278103433,4.551313433606043,4.089523659774589,5.499002325558309,5.6548322856648685
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0970733451773416,1.0955163168656823,1.5215698959141912,2.425346376766119,2.449697497647455,2.6274868184204454,3.378224843313172,3.1174642018172016,3.963524807542639,3.285408722564459,2.8826820483151914,4.3036682277533,5.171791248743515,4.973294713770362,5.334092500149355,4.438055168144857,6.289665139593879,6.647957170105268,6.042659811189309,7.419621538929287,7.476923967669241,7.994559211330924,8.455258407867591,8.646674076909855,9.531416235787319,8.903511149764075,9.942987117732164,4.2222721535636225,3.522041960285872,5.473918509917341,5.6665469010116345
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7630562729180537,2.1630569596969598,3.287531548599724,2.5352289990260704,2.2881123753572536,3.5424186146971612,4.089823201768574,4.787286030769223,4.330876930172113,3.9496273992638122,5.2384278460428,6.122810794589615,5.886257654587757,6.327770931605722,5.266234736148502,7.1181953092097645,7.317760918711185,6.6050812640845935,8.309376701455669,8.443782053545318,8.623343432360375,8.97488335366314,9.479543026653495,10.40144716305828,9.62272712113339,10.632320565873114,4.925685036375534,4.035274474493696,6.114976415875725,6.1515678392821025
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.124761139046968,2.65612663145615,3.2168375569198306,3.485491597706095,4.065287894044065,2.822470376381118,3.546723446034483,2.7809367512087912,2.5429373693963897,3.505731354595817,4.429213257000281,4.2015534628578175,4.738980040147478,3.6835790330732445,5.405212550119889,5.682534246431911,5.076349188673549,6.570918590026638,6.723992269104397,6.999645904388763,7.443251257100135,7.738217524076077,8.649546755919955,7.92809288966986,8.94989350399477,3.2116008501294226,2.435280685023825,4.463870212380879,4.622568907882949
