 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,C31,C32,H33,C34,H35,C36,H37,C38,H39,C40,O41,H42,C43,O44,O45,H46
N1,0.0,1.6657274118264924,1.966993868141844,2.9430161913292023,0.08877199344397291,0.20464727305876568,0.017769829529452164,0.00764057709416166,0.034733153607509365,0.0021778873643570895,0.0010024669823718302,0.004969803824383931,0.0008143117307449765,0.00022900720506935368,0.00044235318311336425,1.788216225728778e-05,7.898721506682804e-05,0.0010058149470636019,0.0007463410272057214,1.0853182711212384e-05,2.355782826790609e-05,0.26501077813281715,0.048412908019902806,0.046041148230781925,0.0018199145626903723,0.0062330568134738445,0.0010934883946571716,0.0005460936076350648,3.9074422200080505e-05,0.0001328522334033133,6.899003472919663e-05,3.969319953814332e-05,1.4412487091330917e-05,2.18930078872831e-05,5.827452127848964e-06,1.3796255149023384e-05,1.2149990835652602e-07,6.057612791238176e-06,3.757929034620133e-08,7.46294447190321e-06,2.6484952030669806e-06,4.2236966701914014e-08,0.00137311990597197,0.0004050842182887829,0.00010533956936967237,6.913026143195999e-06
H2,0.0,0.0,0.027659035305561908,0.10745809559588337,0.006696964658957416,0.032089863725636936,0.0009328192240956046,0.0005988397779457255,0.0045527070546550474,0.0001020516007843586,0.00015668036165483734,0.0009013030776242603,0.00014929874748315086,7.480884269361887e-05,5.8984826471375484e-05,2.55917400826533e-07,1.3429293646893825e-05,1.9679345225398492e-05,8.715745866583191e-06,7.91016204981787e-07,8.873322567826136e-07,0.007017330550663448,0.00042413698405352473,0.0021705741226568653,2.6296945595083443e-05,0.00018871488476890352,5.835356343153464e-05,1.1593579694824108e-05,6.520401432119627e-07,1.7299192924813411e-06,1.0968948343070828e-05,4.194129723633644e-06,1.5784325912981956e-07,2.3195903101624893e-06,1.6365460497880235e-07,1.768673084323602e-06,1.023068540995098e-08,1.0738542154387076e-06,6.419023090842302e-10,8.982844313942806e-07,2.5995822217073083e-07,9.010550083843327e-10,7.918462425615669e-05,3.74287350860536e-05,7.962208266931725e-06,2.485174247723876e-06
H3,0.0,0.0,0.0,0.10129894642208781,0.036299704655503806,0.009013260641768217,0.00022429483276598106,0.0050744052332825085,0.001092991686544309,0.0003385577556409558,0.0001908417825642328,0.00010871539855983325,5.894435187503433e-06,1.5696604998893804e-05,8.71318504924723e-06,1.2330182270758883e-06,2.658490808826741e-06,4.2718207205805214e-05,1.1065826982292748e-05,3.39764082579741e-06,9.334576385633397e-06,0.01378467877216849,0.01779758062925496,0.00176331446971556,0.00039825940872284527,0.00017562919198343963,1.0476246969037817e-05,1.67507022803548e-05,3.0130504957703863e-07,3.612047421830411e-06,8.938367428101834e-06,4.265522089763607e-06,4.4818637490173785e-07,3.7477725404189144e-06,1.773405600147271e-08,1.2679751484334645e-06,7.022121328859043e-09,9.89490639535795e-07,5.139550784960534e-09,1.95196557772892e-06,6.090365164412859e-07,2.1569290797884833e-09,6.983747543287677e-05,0.00015683908068508945,1.3915193493474476e-05,1.4735648581343241e-06
C4,0.0,0.0,0.0,0.0,2.088217304539965,2.5191138409780067,0.09810387796623088,0.08879343981939969,0.1656677448436924,0.022556737764962476,0.004916363500566678,0.023554615978098548,0.002709557525247819,0.001275109100665306,0.0012305984325995112,5.97528164808514e-05,0.00023628592096258672,0.001595704720134955,0.002219655622168637,9.167562336398483e-05,0.0001336811476084776,2.524603950206985,0.2521574056324948,0.23521919998061938,0.018352715729671565,0.036092171741160084,0.0019178934312679141,0.00360958926553967,0.00010615625125121042,0.0012569190933608976,0.0003893922060023147,0.00019891777134140032,1.603137569938795e-05,6.508870582389026e-05,4.071390403703745e-06,4.5795921328056766e-05,8.52318339461533e-07,3.202048104564148e-05,2.4808172183199417e-07,3.448710353351481e-05,1.0095301102963639e-05,7.169276305951655e-08,0.005410179245255803,0.0014948178421364117,0.0007749241870811108,9.08502132822564e-05
H5,0.0,0.0,0.0,0.0,0.0,0.08071992932712613,0.0042263896720831085,0.03535687650994901,0.008245271597205672,0.0014707060773153646,0.0005323773634791085,0.0010065467673434636,5.1941105986719194e-05,0.0003230994190865921,7.216616141425547e-05,7.337304382515342e-06,1.0752281984105494e-05,0.00018747709105371158,8.799005020931894e-05,3.458597254768492e-05,6.527678103007695e-05,0.09455264231217253,0.020367245233261944,0.011546073215505714,0.01202152714215643,0.001619415738169927,0.00015954771836157455,9.903532446897678e-05,9.343729059807515e-06,1.1198063645467826e-05,5.048210577851542e-05,0.00010088340071978674,9.299592635514387e-06,1.3426662767157538e-05,1.6093614185752614e-06,4.4465211345490196e-05,5.804243643492413e-07,1.4819959728296084e-05,7.461553819254618e-09,2.77565942208291e-06,5.010076233880056e-07,4.362742167529632e-09,0.00026325157332829363,8.620727621400093e-05,5.8230606616471725e-05,1.9950342214913874e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.931194121860651,2.097367484877793,2.722887560585371,0.07443398584939276,0.08600613672298074,0.16331761173415607,0.02227237199211085,0.017222813282155247,0.010036310743140736,0.0007364638737107354,0.0013460276446670694,0.005617308077144917,0.006880997295034552,0.0006855980526333516,0.001149143540359665,0.19333280111442716,0.04330624128049436,0.03186686155988029,0.002021695183143324,0.0047833156028720125,0.0003997554841072004,0.0007931693510676852,1.4073441163331424e-05,0.0001699641167063337,8.180482774286513e-05,4.9059757591160547e-05,2.607615635419336e-06,3.6909946872665245e-05,1.1391989331865915e-06,9.437553641203356e-06,2.4003901488711676e-07,8.929760913559126e-06,8.407557317013925e-08,2.0734934531002613e-05,6.385195776517638e-06,3.4989263708595786e-09,0.0008142308845701385,0.00035508946848057665,0.00016675757674300407,4.018702491659365e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025309335334726013,0.08680172628564575,0.019001756771932943,0.014206991634875488,0.004270699629413066,0.00013265485439162283,0.0005192829788651654,0.0006958751986272382,0.0002322898371569515,0.00013924306155188582,0.00039185792561169386,0.00021978754432216974,0.00013087701258007733,8.19434702095112e-05,0.030224219214836534,0.005393697559274324,0.0037090310568679286,0.00014265871426277776,0.0009308429955583453,2.023479121171512e-05,0.0001684628210633088,1.871834454769683e-06,4.685823254124699e-05,9.614251882172908e-06,6.937841331877692e-06,2.7944013392122713e-07,3.957649728936197e-06,1.964680462762658e-08,9.661758114676289e-07,3.150541383334371e-09,1.580325045269504e-06,2.2653736664324242e-09,3.406515907355967e-06,1.0284907409063848e-06,4.205673587165393e-10,6.291174866124294e-05,6.499566573536786e-05,1.0459760353298542e-05,1.512437984185766e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07428057360345086,0.0036644991638450364,0.018555984437188533,0.021069110356944032,0.0012698419128165384,0.005737230878588351,0.0009851736238151165,0.00018396438160084294,0.00023060241548344962,0.0038828910909525227,0.006169636602966655,0.00036612587363271665,0.0011267596197330754,0.014497720850694673,0.02032850940941433,0.0018228909422326467,0.0008584308688557307,0.0001909168857245902,3.4633335259659503e-06,5.5081427910552705e-05,1.1292705099918976e-06,7.105883072400232e-06,1.8063055809536266e-05,8.004641509407051e-06,4.219187079712583e-07,3.0937025992106015e-06,2.186693670580553e-08,1.292543768682819e-06,1.609807420699383e-08,1.462820843567414e-06,1.583008013561482e-08,1.3804031360198366e-06,4.0877570106623295e-07,3.0153919361453063e-09,6.60938718723969e-05,4.1956525736575045e-05,5.850309088062389e-06,9.292138050120968e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0869737340735535,1.743665203064303,2.6616016979764003,0.0855032951821918,0.072088531964561,0.1671604686102514,0.01224170852840234,0.0284329204309145,0.009755791309977446,0.0017541737071627983,0.0007423948163545191,0.0006163481579809504,0.02412829094035482,0.005078064475951022,0.007767813274340729,0.0002554497265437883,0.0006964230469864996,0.0003004940886521812,6.154746804556965e-05,1.2198456729395346e-05,7.797582514901258e-06,1.7163967477445974e-05,8.52076237511934e-06,7.669310999602885e-07,7.892303874768025e-06,1.0413951250232145e-06,1.2654547691254292e-06,3.2256841642208656e-08,2.359829969128535e-06,1.281275612274868e-07,3.2319562546234692e-06,1.1497167353435866e-06,5.858078244713738e-09,0.0005108989852625478,0.0017212428707221589,0.0001974293070919203,2.9014601375054738e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026412356148717064,0.0814422521687419,0.0011085791975760095,0.027327906467377705,0.02059764677912268,0.007254204700310796,0.0013909165997150197,0.0008491604940588093,0.000353888411516623,9.807386789506545e-05,0.00021461042618886594,0.0161054725366101,0.0013424350698449938,0.009528698479471132,0.00025685862274449356,0.0008244855897034942,0.0006114459906245706,5.8373046230464354e-05,4.6872735488978634e-05,3.852753338806636e-06,1.8905220912301957e-05,4.8590243002522016e-06,4.53826160140558e-06,8.400923305229568e-06,1.057511106905551e-06,1.2564426226102654e-06,9.61696167145476e-09,2.029454402752151e-06,2.681523707526168e-07,2.7370086663758286e-06,1.0038195883410594e-06,1.2679158611916819e-08,0.0009680545579762168,0.004623515497327979,0.0004071411350159426,3.5521020406159565e-05
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09330217072748659,0.011781523296734875,0.0014791733418970665,0.02287335944704605,0.00047347260703856087,0.0011204311494883434,0.0014895218227445328,2.3096990899196257e-05,0.00014326368449668614,0.0001582850191990115,0.0011584492632705778,0.001059718500780904,0.00012915761071352616,2.850540756993425e-06,1.5692004476486332e-05,1.96303164368139e-06,3.235724723715805e-06,3.5493660499597013e-07,3.271825623762936e-07,4.4865037129859786e-07,8.493427960942768e-08,8.62328164430437e-09,8.245802207706987e-08,2.553816869088621e-08,2.104974661243375e-08,2.7840814098567535e-09,4.6784361051877e-08,1.1172218705723935e-09,1.0668935068736118e-08,5.354464649443003e-09,1.4181922303180272e-10,2.071736657982548e-05,5.539994869707687e-05,5.5402770197110485e-06,9.061548633670924e-07
