,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30H,31C,32C,33H,34C,35H,36C,37H,38C,39H,40C,41O,42H,43C,44O,45O,46H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.157580059157127,2.306862519601248,2.7016655655842015,3.4358476055831577,3.5677494802475156,4.239962379198182,4.265872016190854,4.049314405089675,5.11668066170024,4.6876093937215915,3.9036175759945135,4.50527358992764,4.469397156328633,4.47482929849903,5.6798582771652315,6.4533721928075325,6.41574953881269,6.003138606630036,7.379221780240916,6.825308805478264,6.471021612100998,5.848173797652988,7.8989597952132184,8.411078736063526,7.252347578357328,7.304144595884206,8.559417285059542,9.479581840600455,8.26964896740282,9.163778824917985,9.889482389568276,5.742927243092264,5.0082079812439835,7.0660373979028055,7.314154066222266
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0968586909579965,1.0989203079851764,1.5294885997823588,2.1769624848291853,2.1784561941910296,2.558208808602022,2.8295611185715743,3.425163166296863,2.8631040638643035,4.026237061683879,4.016820353530064,4.80482032336319,5.23751386560872,5.672093196526395,6.370635085483778,6.689983146775006,6.3272143392122,7.455432620048419,7.490378169392156,7.504630624965049,6.944833103982608,8.523450356339627,8.791391614553252,8.515046266157587,8.778731218759999,9.431615131855459,10.297193769189839,9.4309937185083,10.48586181955333,11.123316482347812,5.208517529546962,4.221321846173259,6.378535973419343,6.383302822715707
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.748252261687314,2.0947266885283717,2.509472170634495,2.375581988712082,3.4403467684261124,3.833897588447126,4.178218139339877,3.7577878443478414,4.940761056686777,5.03423113310038,5.562122186377816,5.890331011618455,6.40196992126472,7.196698672211094,7.255339562330348,6.746752288518696,8.021895571570218,8.064300603074791,7.956121869233464,7.2729858713682605,9.19346139308289,9.524565404392067,8.968325638104226,9.1365892222548,10.089656206825797,11.007558874832512,9.990864712570124,11.028550508086152,11.724495503219611,5.888172215941166,4.821059073500641,7.053194032162705,6.989435014295661
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1746222479195536,3.085822814163621,2.543607628019585,2.8080284642354614,3.129156260400375,3.764116801474669,2.706922281118444,4.494071135502727,4.329744712328054,5.475778229527701,5.943097285052376,6.390051375886865,6.966010675337402,7.531119211119559,7.265132333288253,8.291881109647013,8.281700079770479,8.327423818792619,7.837329202867834,9.221736784503676,9.449819408970972,9.27130517244317,9.537787772825721,10.088343758260523,10.899430354078916,10.113884062686038,11.123544748055245,11.724922734440392,5.954989456235081,5.024657889260023,7.07209385049469,7.0723849235566005
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0914239103843668,1.093627181939738,1.5173135742590147,2.1799989875091,2.094962411230708,2.1206542050309167,4.007934851182232,3.6847376230586573,4.644566621317633,5.2887265982394025,5.136288795335437,5.809230036077476,6.202944191539184,5.8624913882563305,6.788937760127303,7.2542913780664335,7.509208117069808,6.997667667172281,8.266158336716735,8.379634371933005,8.672746413080256,9.082630754551252,9.340295807464912,10.177924140995382,9.527372661879888,10.698347111638757,11.280499835178677,4.308144231779058,3.202701772822502,5.31200471282572,5.151072718828935
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.778034255115145,2.0844178735883223,2.4958845153731444,2.3068800787865458,2.955266310993826,3.89332572369704,3.744671686860939,4.2129504105606905,4.812437250158042,4.554889270275645,5.355507828223149,5.436941007211288,4.982094743842377,5.9930596633568385,6.562977174761795,6.810473685782424,6.2412915021684325,7.6591894047082185,7.80109456527047,8.042379069188891,8.460319513368361,8.777159045835107,9.658350431362154,8.951809905393665,10.163130540891629,10.769406303018894,3.6582466599359926,2.4785548279265184,4.686433684796785,4.519565625946367
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1009040280907563,3.02683153554138,2.4171743111246604,2.386210716749399,5.068099740029458,4.631465449043121,5.694742813652449,6.357729519959837,6.072656129660601,6.722585982214303,7.110387422709963,6.728765033710806,7.612579656430457,8.23937479791096,8.518472761944043,7.972723352693867,9.257894767207446,9.325820164078065,9.711043413381258,10.113780744501673,10.37017081925778,11.202679179910973,10.580170613879599,11.765671972149361,12.348321777653492,5.083036728720057,3.931566772914447,5.937108542194341,5.614389315865976
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.061890958203871,1.02497789252907,1.0248885485682746,3.4547173040159636,2.7043038825051613,4.267301086001045,5.104836587003593,4.606051670168813,5.028311614534289,5.923022374260561,5.846754213129162,6.4125397748988595,6.986184788323807,7.477795904321946,7.17440764425436,7.794835613695998,7.746305566797927,8.62429802916044,9.17903640813915,8.902745849641615,9.626819493511777,9.282222526259346,10.47171563994344,10.942317076764882,3.7604502515021943,2.89997563259462,4.608639367157958,4.499882077564441
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6521340621699228,1.6890622596247669,2.442319023617532,1.652279699739966,3.35436093161287,4.217096236045225,3.8055614561294777,4.162852447886541,5.209797966795831,5.260021575969679,5.76849698571622,6.1541584489826215,6.668190776175604,6.463707374182472,6.89157793940845,6.860246309476236,7.758032381483309,8.34645883277435,7.952514570127542,8.653186400966385,8.346629404285126,9.515219135466872,9.959319335728132,3.236003222202546,2.625453616552553,4.194025495282687,4.309377097374289
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6633558277469702,3.892700349801929,3.0376094605355815,4.488007109440805,5.397144090531487,4.495848211478504,4.8715314389621,5.7693698471583925,5.714623990144138,6.093830255177987,6.977287299569296,7.611361273091761,7.340409129145419,7.753875558828308,7.596331846673987,8.83076232444673,9.459994019008823,8.954736080191747,9.65172893675125,9.445907852228556,10.692514542515656,11.12649032313686,3.38384309876091,2.5462762392093095,3.9953162926152905,3.7269217859014705
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.051941225318257,3.1810512709514085,5.039017307858616,5.874157814952562,5.439506289394443,5.7375502485965235,6.8294319979554805,6.817856445524859,7.3122479873820705,7.833430381256061,8.332647678811519,8.069571305898561,8.560012698560714,8.474737758642139,9.421642423347853,9.970528123894919,9.625302506710561,10.297353580195317,10.024277925299563,11.174139120136672,11.61378729413853,4.658224848333762,3.8838116799605795,5.413648580390502,5.286323990254634
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2507174593530974,1.3444653212087456,2.039973174003531,2.4727197199295037,2.81649660986966,3.7607368091548126,4.02687803229189,4.588113550427468,4.214395510356888,4.604364979388404,4.598309244270608,4.874848728159608,5.059727810490334,5.514885400232522,6.119213841116259,5.7444213235337775,6.473200492377037,6.030273393986059,7.134987823605772,7.586679951126033,3.0286439608474605,3.1044866259999497,4.177817909871786,4.7785122588232
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2641596151550654,3.1625016718562815,2.8151945493265127,2.915946756784349,4.325984943771451,4.664029088589447,4.939138184012099,5.017211072592486,5.630635442718757,5.661736578713493,5.548581534242347,5.502259126360429,6.5977177576763335,7.277318456376956,6.527770002261976,7.153287575181641,7.003055774752634,8.137258161144219,8.503628321606739,2.8847091397665237,2.9027531636674406,3.834517835623679,4.305646533675418
24N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0151476666389498,1.456536961104605,2.0988478040443095,2.4677843142144784,2.7650529518257843,3.3863639583566076,2.925937263172166,3.3847750874379243,3.4162313502916097,3.7497584222715874,4.031344811034523,4.436506506013226,5.124239343733903,4.722089644796293,5.549433931520655,5.015040953777297,6.22305254615748,6.709554711825388,2.475301951102612,2.861926454448254,3.6145493449832435,4.345419577637506
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.108460151580962,2.7411147165570333,2.5107907156643603,2.7047740644997815,3.5653522122169354,2.4991170568492818,2.589311517590612,2.610688659503522,3.4309253824726036,3.9757104099721907,3.5500450941013333,4.158133302419014,4.206709547435651,5.123823005464509,4.258822268398199,5.420964038638636,5.995045362260086,3.295584949454655,3.661532004371895,4.396806385846952,5.155353757215655
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0965224186511526,1.559348157889744,2.1705638848498214,2.1515408904434916,2.56234812437452,3.5238389681356077,3.6928361280728543,3.277650057371744,3.2578418943278824,4.717051662760876,5.574960311559308,4.533324424208733,5.28741365835323,5.134897712440855,6.450286786004851,6.83086490428536,1.5275576381534013,2.4626767542185273,2.345800056867723,3.2009461066592406
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1778971235730578,3.066866061215984,2.4426941533023396,2.851778331425065,4.0164527581297405,4.4281458479167,3.074195122347915,2.759245759244008,5.029414740370251,5.9827661857695835,4.307799048265098,4.871917547874248,5.151955303794571,6.422606120072623,6.654093995271465,2.124415731032801,3.2022559185047226,2.457193743054945,3.399519984525451
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0969344629631645,1.0945831842083573,1.5136845976910707,2.5398144633979807,2.744471216128329,2.539756688438599,2.749426634472708,3.8277561489867837,4.704823811949026,3.8246374641553285,4.692417394311303,4.334278834380513,5.6912338520086,6.124673345499486,2.516806368123147,3.3860063643294325,2.9939232728957115,3.8057218504344865
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7637184739104022,2.151509079280785,2.6382046977920797,2.396990772128778,3.4210070690523318,3.7785048262097596,4.024229739464465,4.717386475172293,4.57638265628597,5.531459939410729,4.82163800225638,6.143608059514943,6.699925843645326,2.691710310493618,3.214195743581188,3.346944901580474,3.962108859049661
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.164039720943613,3.3444701034891917,3.62823378748623,2.7699062083848256,2.63471283379001,4.532330496856472,5.460328291261424,4.1202162585602515,4.838382138079246,4.8460166903250235,6.188239907033456,6.508827188062437,2.71117444749185,3.7190314689733146,2.664376653291116,3.4456585073977206
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.405047819367753,2.161754747802421,1.4026008614687635,2.1617515863383323,2.441041435700798,3.4292157786602258,2.4350624745389986,3.4175726209680453,2.8207413302861535,4.177914978477033,4.628771737773261,3.883089621416106,4.727566279977584,4.376500092679573,5.252469808705234
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0890744266082018,2.40667239532174,3.399090362922238,1.3931168945562136,2.1660911869662884,2.783913384531564,3.87211779271319,2.4157253510069956,3.6339272500912023,4.333564701769571,4.786519715416165,5.388024278441956,5.499777726033444,6.307789207049284
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3974909780749405,4.306112588833353,2.1429166468755123,2.483838670346362,3.872479550764757,4.960544450577945,3.3963687613056694,4.496947893637684,5.281321684885063,4.724757063473509,5.101386052110032,5.5767899551848625,6.275113179284618
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.088191082086666,2.7913615180491775,3.8765090940381555,1.3925644343129313,2.1534995994078265,2.4210617638708323,3.6831235338038453,3.8524646135797034,4.656264003398858,5.66792372977023,4.8897903657425426,5.833191157858628
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8793982050813485,4.964408736323548,2.142039049631961,2.462170892034994,3.400417826752184,4.564323070972831,4.5617889759763,4.4848808527234825,5.616158495667709,4.448298666920787,5.395198773894064
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0853487146566179,2.4228216778724905,3.4101666389735525,1.4004216920333676,2.355810303108311,3.1766315558043434,6.0817332111849325,6.710530551856121,6.761547673707978,7.61208508427722
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.400443813018713,4.298726422500454,2.147056268518446,2.5611285554259564,3.5130622915280547,6.880355014055239,7.3824982241052695,7.653169359376093,8.464268345111636
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0882673938681244,1.4027692529848952,2.427795703562753,2.4715015729110985,5.977747497508075,6.937809648948255,6.270357348794945,7.21943906693358
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1631436149852927,2.6961441542633597,2.3208065746174324,6.705271904085137,7.734673819582471,6.859498256031414,7.8180676591780145
40C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.358262043594448,1.9211552816671071,6.593578025232668,7.3945075405283225,7.0942795153217055,8.01266572042816
41O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9707966161178262,7.926892094584735,8.706931568503895,8.43600797937301,9.36163886753562
42H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.318961786090515,9.184134867291649,8.715477900421725,9.662821205449172
43C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2168562034414967,1.342222273129098,1.8902800864085259
44O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.251963537809361,2.315605687406417
45O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765625045996739
46H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
