,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30H,31C,32C,33H,34C,35H,36C,37H,38C,39H,40C,41O,42H,43C,44O,45O,46H
1N,0.0,1.0183631803275806,1.0193494089210382,1.461737182490887,2.07809772730853,2.4517699919073896,2.5920457777115344,2.6871472576061217,3.8513406496584097,4.040988915013842,4.323361697674598,5.002899937382011,5.914308518493108,5.04479281894397,5.5734757785318445,5.79495884488093,6.577769945354823,5.054246158943274,4.113431294863358,5.758069091303032,5.241208458880157,2.47762503718962,3.0432484285835284,3.4208066080353117,3.5133065357456794,4.669351271453674,4.703751434634399,5.76108957869352,6.115283696200388,6.649910897489146,5.662601137558927,5.740670530296168,5.878180139060086,6.001106669866603,6.308138092188971,6.140157603744773,6.543986350861664,6.387390103319155,6.94392947902694,6.453324606825971,7.199636133172516,7.589841670497598,5.4697554131514154,5.55072407442132,6.517566907178789,7.161099423307548
2H,0.0,0.0,1.6411487091950239,2.0658102550087527,2.349032416757005,3.3537034139003374,3.5162003195405975,3.6492018605468997,4.626072037659117,4.635625313104853,5.059413895360018,5.8590591989489935,6.749318329626612,5.992747119937069,6.33511670693556,6.432642674921931,7.37174664393061,5.771419220741329,4.76721691007716,6.372040566106582,6.036764003835183,2.763935202788503,3.447478317929877,3.3766907750149224,3.3173122237303323,4.530552929732314,4.440265446442022,5.476087451918311,5.95106707094184,6.343779736775292,5.152877815115677,5.24391951073525,5.5472077921758745,5.315946959344432,5.649237652117828,5.491537871644752,5.942440929439165,5.562245168689087,6.052022626219246,5.646457649971777,6.331798106966053,6.66332651353238,5.565645046214462,5.84828856963901,6.528135803208218,7.272874101621031
3H,0.0,0.0,0.0,2.0496632816383276,2.9328130141577415,2.72583957466689,2.974468796195564,2.5317614540685334,4.1858534322529355,4.435882448588321,4.821385047701402,5.084891495555573,6.088129633796622,4.994327874860445,5.49782142419799,5.833236711562292,6.435983748649743,4.740081927662885,3.811789889478829,5.406874460887896,4.783501928530574,2.627563739296039,2.748719010688519,3.7483874265645842,4.0770548288142585,4.8098296209208575,4.694174584530839,6.0784104066120435,6.51146895925414,6.863256404943139,6.129369664505077,6.403988793384038,6.587131349248101,6.3736992180112875,6.515560876684547,6.881953251402912,7.380154076695636,6.855150905888048,7.327354950105802,7.097624238357016,7.887434485969815,8.195836636072285,5.449057529609457,5.539607242049323,6.384962257238614,6.980526466294379
4C,0.0,0.0,0.0,0.0,1.0977449021776102,1.5376825050199963,2.137882429972739,2.1386530286307064,2.586936956732633,2.6043918208753327,3.1428429752372513,3.862043488149889,4.719638412111201,4.156155678508666,4.405792342047255,4.490789800699849,5.463745611079575,4.131008489501451,3.232048592283731,4.840189772823375,4.533644539975396,1.5367191697180158,2.422544280625701,2.474069787060611,2.607832812572809,3.855373357626941,4.205508813720346,4.907857150706959,5.056237867806433,5.85793343698453,5.039075351724977,5.05454154676044,4.969933696055259,5.694249436586314,6.067991088536672,5.705979692808219,6.0895168747744695,6.284233931249422,7.019157772424498,6.290865309102891,7.202331420817423,7.720639568423338,4.499171253070062,4.399249215168817,5.698799121684771,6.271862155922916
5H,0.0,0.0,0.0,0.0,0.0,2.165280923666328,2.5093484244802076,3.0509333729529833,2.797765936705304,2.6418452174024605,3.0294291366218182,4.2793220720595055,4.954057351402183,4.718242225761356,4.93885444501036,4.857557097952764,6.0103897546446,4.916470585634687,4.074196151293308,5.593690086575718,5.424528416461412,2.171151044893977,3.3013104401773985,2.5554418993953893,2.258729714868497,4.011033959632519,4.497132496992276,4.742555140329993,4.779249788088344,5.7829686076228395,4.661969250894408,4.395224802336562,4.229722991849251,5.420586354582073,5.977734365128067,4.9437173544574025,5.192566034388543,5.880506760523304,6.698155381352773,5.666815020531991,6.518820072041663,7.1315533789382455,4.830605443345259,4.762065890521103,6.074060691957568,6.692220404799628
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0937668430213028,1.098694506680576,1.5492112767186208,2.1908681709402282,2.163545195227712,2.6153897422896715,3.4842495560408646,2.7168648947768426,3.504295048532826,3.875854356295343,4.460775244645291,3.4933760746927094,2.8940296749900964,4.407517601319967,3.726655571722302,2.500030348092382,2.907871944730623,3.5764385748437553,3.8354064495166833,4.850141249339274,5.3125174673902915,5.964856598591321,5.9249437314364215,6.882550893405781,6.320821362404862,6.285879033267011,6.0037923246858,7.104607764596706,7.446750909160694,7.020047473253566,7.30489952898777,7.767487375841919,8.533304332224201,7.73051559767155,8.640112387833819,9.204515094273683,5.078047067301464,4.613466118423285,6.316923060298975,6.692325473393021
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7498346575521604,2.191042075369133,3.0070291073645024,2.320771979818069,3.2004554236584317,3.899391201438896,3.0707105388442066,4.351170366905028,4.799839815262775,5.213228280878936,4.444389479096722,3.9217968540173676,5.404427389177342,4.5320543776219155,3.4340369069053795,3.895716402703696,4.4634521559084925,4.559520498049161,5.81291536413334,6.239897950183786,6.854294567760384,6.808131923349622,7.816419350571058,7.048701714276233,6.866891066272073,6.583609820553153,7.788898546679258,8.202076244231762,7.438461236045971,7.60397282102719,8.303999683380551,9.04707103432396,8.14218905936169,8.920627671030857,9.498834226710956,6.144981774851596,5.695040053025645,7.387487008640239,7.782727385524537
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.198727748161358,2.846202162045307,3.0015018934627964,2.6591312873094566,3.682689128785965,2.463738110740078,3.2936755158108575,3.8845551021368125,4.150178461492257,2.9265240880183128,2.374569129124667,3.869791392388492,2.9197223456651833,2.687423474205419,2.596995342701569,3.953988528107731,4.4342862949887065,5.045405225187617,5.36480500294765,6.345948867949584,6.401764266297904,7.159930897259776,6.831797979337476,6.9905107243472,6.786071995704717,7.515722036819451,7.710987693133873,7.777816546904996,8.16235158488524,8.257342789582841,8.949065897403809,8.380043400185619,9.3277797637496,9.817422999450663,5.0879452372864495,4.609526229007284,6.211866221163424,6.51636539409222
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0994902778777447,1.0949167651998588,1.545609812360578,2.171464542045157,2.193324962652013,2.5963782329984064,2.7931885341064477,3.5331726131348553,3.224116635776756,2.954692926306465,4.081733754276738,3.6919737526467236,3.0660026375798712,3.4989770247604755,3.7768599624698265,4.005174478132272,4.9093536479312965,5.62957204924418,5.830445169864124,5.516195220464674,6.734118180087235,6.38695509535486,6.255543970944355,5.731074925198758,7.4080141003206,7.801268522255828,7.15206148597974,7.366094604414341,8.186169469950727,9.068177771633916,8.07382504385425,9.063762197252931,9.72355355019032,4.858377820411509,4.113275772565228,6.155464973916548,6.38728819959396
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7450422771585241,2.158509744283662,2.6647638894622423,3.054883877433965,2.641884755669909,2.4015817541470135,3.662487813565414,3.2434902749968715,2.8759438876173395,3.896424809034521,3.9649355673366955,2.6564469151833965,3.2459629012141167,3.0189124228433264,3.2323177142495325,4.0525004933684885,4.892475767788142,4.8402424516313545,4.450824184666112,5.740121123867334,5.472481304478577,5.367986840584862,4.7993597119859,6.57880726214663,6.985821472222669,6.375075110372141,6.642860578083465,7.430021206925244,8.355353163370124,7.343591239020452,8.410176351172451,9.083570750900446,4.010628487631788,3.3010362817081633,5.3360769815952915,5.602084368637142
